,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HepG2
,,,,,,,,,,,,,,,
486,992,DDAB,1,0,12.73,0,0,0,36,0,8,50,60,100,3.178
,,,,,,,,,,,,,,,
487,993,DDAB,1,0,12.73,0,0,0,36,0,12,50,60,100,4.82
,,,,,,,,,,,,,,,
488,994,DDAB,1,0,12.73,0,0,0,36,0,4,50,80,100,4.466
,,,,,,,,,,,,,,,
489,995,DDAB,1,0,12.73,0,0,0,36,0,8,50,80,100,4.078
,,,,,,,,,,,,,,,
490,996,DDAB,1,0,12.73,0,0,0,36,0,12,50,80,100,1
,,,,,,,,,,,,,,,
491,1002,DDAB,1,0,12.73,0,0,0,36,0,12,10,40,100,4.197
,,,,,,,,,,,,,,,
492,1003,DDAB,1,0,12.73,0,0,0,36,0,4,10,60,100,5.382
,,,,,,,,,,,,,,,
493,1004,DDAB,1,0,12.73,0,0,0,36,0,8,10,60,100,3.951
,,,,,,,,,,,,,,,
494,1005,DDAB,1,0,12.73,0,0,0,36,0,12,10,60,100,4.449
,,,,,,,,,,,,,,,
495,1006,DDAB,1,0,12.73,0,0,0,36,0,4,10,80,100,5.468
,,,,,,,,,,,,,,,
496,1007,DDAB,1,0,12.73,0,0,0,36,0,8,10,80,100,4.86
,,,,,,,,,,,,,,,
497,1008,DDAB,1,0,12.73,0,0,0,36,0,12,10,80,100,4.407
,,,,,,,,,,,,,,,
498,1014,DDAB,1,0,12.73,0,0,0,36,0,12,1,40,100,5.485
,,,,,,,,,,,,,,,
499,1015,DDAB,1,0,12.73,0,0,0,36,0,4,1,60,100,5.024
,,,,,,,,,,,,,,,
500,1016,DDAB,1,0,12.73,0,0,0,36,0,8,1,60,100,5.011
,,,,,,,,,,,,,,,
501,1017,DDAB,1,0,12.73,0,0,0,36,0,12,1,60,100,5.368
,,,,,,,,,,,,,,,
502,1018,DDAB,1,0,12.73,0,0,0,36,0,4,1,80,100,5.589
,,,,,,,,,,,,,,,
503,1019,DDAB,1,0,12.73,0,0,0,36,0,8,1,80,100,6.152
,,,,,,,,,,,,,,,
504,1020,DDAB,1,0,12.73,0,0,0,36,0,12,1,80,100,5.685
