,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HepG2
162,343,DOPE,1,1,9.784,134,2,9,36,2,4,10,60,10,0.693
,,,,,,,,,,,,,,,
163,344,DOPE,1,1,9.784,134,2,9,36,2,8,10,60,10,0.916
,,,,,,,,,,,,,,,
164,345,DOPE,1,1,9.784,134,2,9,36,2,12,10,60,10,1.253
,,,,,,,,,,,,,,,
165,346,DOPE,1,1,9.784,134,2,9,36,2,4,10,80,10,1.386
,,,,,,,,,,,,,,,
166,347,DOPE,1,1,9.784,134,2,9,36,2,8,10,80,10,2.639
,,,,,,,,,,,,,,,
167,348,DOPE,1,1,9.784,134,2,9,36,2,12,10,80,10,5.004
,,,,,,,,,,,,,,,
168,349,DOPE,1,1,9.784,134,2,9,36,2,4,1,20,10,0.693
,,,,,,,,,,,,,,,
169,350,DOPE,1,1,9.784,134,2,9,36,2,8,1,20,10,1.253
,,,,,,,,,,,,,,,
170,351,DOPE,1,1,9.784,134,2,9,36,2,12,1,20,10,0.693
,,,,,,,,,,,,,,,
171,352,DOPE,1,1,9.784,134,2,9,36,2,4,1,40,10,2.14
,,,,,,,,,,,,,,,
172,353,DOPE,1,1,9.784,134,2,9,36,2,8,1,40,10,2.398
,,,,,,,,,,,,,,,
173,354,DOPE,1,1,9.784,134,2,9,36,2,12,1,40,10,4.151
,,,,,,,,,,,,,,,
174,355,DOPE,1,1,9.784,134,2,9,36,2,4,1,60,10,3.651
,,,,,,,,,,,,,,,
175,356,DOPE,1,1,9.784,134,2,9,36,2,8,1,60,10,3.871
,,,,,,,,,,,,,,,
176,357,DOPE,1,1,9.784,134,2,9,36,2,12,1,60,10,4.197
,,,,,,,,,,,,,,,
177,358,DOPE,1,1,9.784,134,2,9,36,2,4,1,80,10,5.582
,,,,,,,,,,,,,,,
178,359,DOPE,1,1,9.784,134,2,9,36,2,8,1,80,10,5.649
,,,,,,,,,,,,,,,
179,360,DOPE,1,1,9.784,134,2,9,36,2,12,1,80,10,5.911
