,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta
292,1,1,9.784,134.0,2,9,36,2,8,1,40,100,196.2,2.876666667
294,1,1,9.784,134.0,2,9,36,2,4,1,60,100,197.7,0.54
295,1,1,9.784,134.0,2,9,36,2,8,1,60,100,148.4666667,4.106666667
296,1,1,9.784,134.0,2,9,36,2,12,1,60,100,171.6333333,1.651
297,1,1,9.784,134.0,2,9,36,2,4,1,80,100,253.0666667,-0.074666667
298,1,1,9.784,134.0,2,9,36,2,8,1,80,100,186.6333333,-5.6
299,1,1,9.784,134.0,2,9,36,2,12,1,80,100,150.0333333,6.683333333
303,1,1,9.784,134.0,2,9,36,2,4,200,40,10,170.1333333,-5.413333333
304,1,1,9.784,134.0,2,9,36,2,8,200,40,10,176.6666667,-1.593333333
306,1,1,9.784,134.0,2,9,36,2,4,200,60,10,153.6333333,-3.223333333
307,1,1,9.784,134.0,2,9,36,2,8,200,60,10,153.0333333,-1.48
308,1,1,9.784,134.0,2,9,36,2,12,200,60,10,149.9,-2.086666667
309,1,1,9.784,134.0,2,9,36,2,4,200,80,10,133.1,-3.64
310,1,1,9.784,134.0,2,9,36,2,8,200,80,10,138.3666667,-33.9
311,1,1,9.784,134.0,2,9,36,2,12,200,80,10,136.2333333,-2.783333333
315,1,1,9.784,134.0,2,9,36,2,4,100,40,10,137.9333333,-6.893333333
318,1,1,9.784,134.0,2,9,36,2,4,100,60,10,137.5666667,-3.093333333
319,1,1,9.784,134.0,2,9,36,2,8,100,60,10,115.6333333,-2.686666667
320,1,1,9.784,134.0,2,9,36,2,12,100,60,10,207.0666667,-1.29
321,1,1,9.784,134.0,2,9,36,2,4,100,80,10,145.4,-3.763333333
322,1,1,9.784,134.0,2,9,36,2,8,100,80,10,135.8666667,-36.3
323,1,1,9.784,134.0,2,9,36,2,12,100,80,10,120.9333333,-1.66
326,1,1,9.784,134.0,2,9,36,2,12,50,20,10,496.8333333,-6.54
327,1,1,9.784,134.0,2,9,36,2,4,50,40,10,93.06666667,-2.723333333
330,1,1,9.784,134.0,2,9,36,2,4,50,60,10,136.1666667,-2.57
331,1,1,9.784,134.0,2,9,36,2,8,50,60,10,129.5,-1.666333333
333,1,1,9.784,134.0,2,9,36,2,4,50,80,10,143.0333333,-3.51
334,1,1,9.784,134.0,2,9,36,2,8,50,80,10,134.7,-36.66666667
335,1,1,9.784,134.0,2,9,36,2,12,50,80,10,135.2333333,-2.383333333
339,1,1,9.784,134.0,2,9,36,2,4,10,40,10,132.7666667,-5.483333333
341,1,1,9.784,134.0,2,9,36,2,12,10,40,10,153.0,-1.983333333
342,1,1,9.784,134.0,2,9,36,2,4,10,60,10,156.7333333,-3.656666667
343,1,1,9.784,134.0,2,9,36,2,8,10,60,10,134.0666667,-1.370333333
344,1,1,9.784,134.0,2,9,36,2,12,10,60,10,167.5,-2.37
345,1,1,9.784,134.0,2,9,36,2,4,10,80,10,144.4333333,-4.92
346,1,1,9.784,134.0,2,9,36,2,8,10,80,10,161.1333333,-31.9
347,1,1,9.784,134.0,2,9,36,2,12,10,80,10,118.1666667,-2.056666667
351,1,1,9.784,134.0,2,9,36,2,4,1,40,10,157.5,-3.126666667
352,1,1,9.784,134.0,2,9,36,2,8,1,40,10,140.4666667,-1.383333333
354,1,1,9.784,134.0,2,9,36,2,4,1,60,10,153.2,-2.37
355,1,1,9.784,134.0,2,9,36,2,8,1,60,10,129.7666667,-1.059
356,1,1,9.784,134.0,2,9,36,2,12,1,60,10,145.7333333,-1.533333333
357,1,1,9.784,134.0,2,9,36,2,4,1,80,10,165.1666667,-3.313333333
358,1,1,9.784,134.0,2,9,36,2,8,1,80,10,157.6666667,15.6
359,1,1,9.784,134.0,2,9,36,2,12,1,80,10,140.5666667,-1.012333333
360,1,0,12.515,52.6,0,4,36,2,4,200,20,500,157.3333333,5.9
361,1,0,12.515,52.6,0,4,36,2,8,200,20,500,138.8333333,5.12
363,1,0,12.515,52.6,0,4,36,2,4,200,40,500,175.8333333,12.9
364,1,0,12.515,52.6,0,4,36,2,8,200,40,500,172.5333333,1.866666667
365,1,0,12.515,52.6,0,4,36,2,12,200,40,500,173.3,6.673333333
366,1,0,12.515,52.6,0,4,36,2,4,200,60,500,222.7333333,16.2
367,1,0,12.515,52.6,0,4,36,2,8,200,60,500,163.4666667,13.33333333
368,1,0,12.515,52.6,0,4,36,2,12,200,60,500,132.7666667,15.63333333
369,1,0,12.515,52.6,0,4,36,2,4,200,80,500,172.6333333,-10.96666667
370,1,0,12.515,52.6,0,4,36,2,8,200,80,500,156.5,5.703333333
372,1,0,12.515,52.6,0,4,36,2,4,100,20,500,126.4666667,1.823
373,1,0,12.515,52.6,0,4,36,2,8,100,20,500,173.0,7.926666667
374,1,0,12.515,52.6,0,4,36,2,12,100,20,500,198.5333333,2.883333333
375,1,0,12.515,52.6,0,4,36,2,4,100,40,500,185.6666667,12.1
376,1,0,12.515,52.6,0,4,36,2,8,100,40,500,160.6,4.013333333
377,1,0,12.515,52.6,0,4,36,2,12,100,40,500,183.8333333,2.956666667
378,1,0,12.515,52.6,0,4,36,2,4,100,60,500,224.0,22.76666667
379,1,0,12.515,52.6,0,4,36,2,8,100,60,500,147.6666667,9.33
380,1,0,12.515,52.6,0,4,36,2,12,100,60,500,146.4333333,19.53333333
381,1,0,12.515,52.6,0,4,36,2,4,100,80,500,170.8666667,7.633333333
382,1,0,12.515,52.6,0,4,36,2,8,100,80,500,136.8333333,7.98
383,1,0,12.515,52.6,0,4,36,2,12,100,80,500,290.3,-25.13333333
384,1,0,12.515,52.6,0,4,36,2,4,50,20,500,122.2,18.9
386,1,0,12.515,52.6,0,4,36,2,12,50,20,500,186.9666667,2.883333333
387,1,0,12.515,52.6,0,4,36,2,4,50,40,500,153.4666667,17.63333333
388,1,0,12.515,52.6,0,4,36,2,8,50,40,500,204.5333333,0.663333333
389,1,0,12.515,52.6,0,4,36,2,12,50,40,500,177.8333333,3.57
390,1,0,12.515,52.6,0,4,36,2,4,50,60,500,193.0,24.03333333
391,1,0,12.515,52.6,0,4,36,2,8,50,60,500,155.2333333,9.956666667
392,1,0,12.515,52.6,0,4,36,2,12,50,60,500,133.8333333,18.63333333
393,1,0,12.515,52.6,0,4,36,2,4,50,80,500,204.0333333,6.13
394,1,0,12.515,52.6,0,4,36,2,8,50,80,500,118.1,9.33
396,1,0,12.515,52.6,0,4,36,2,4,10,20,500,105.7,44.06666667
397,1,0,12.515,52.6,0,4,36,2,8,10,20,500,131.2333333,25.86666667
399,1,0,12.515,52.6,0,4,36,2,4,10,40,500,204.4333333,26.16666667
400,1,0,12.515,52.6,0,4,36,2,8,10,40,500,135.9,27.06666667
401,1,0,12.515,52.6,0,4,36,2,12,10,40,500,199.2666667,22.36666667
402,1,0,12.515,52.6,0,4,36,2,4,10,60,500,157.6333333,30.7
403,1,0,12.515,52.6,0,4,36,2,8,10,60,500,133.6333333,15.33333333
404,1,0,12.515,52.6,0,4,36,2,12,10,60,500,139.3666667,20.86666667
