Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,18PG,14PA,DOPE,DSPC,DOTAP,DDAB,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_B16
68,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,145.6666667,0.482666667,-3.62,8,0.99009901,60,0.497512438,1.5
69,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,164.5333333,0.325666667,-4.233333333,12,0.99009901,60,0.497512438,1.5
70,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,415.6,0.144666667,-2.0,4,0.99009901,80,0.497512438,1.5
71,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,420.6,0.213666667,-2.613333333,8,0.99009901,80,0.497512438,1.5
72,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,725.6666667,0.112,-0.015666667,12,0.99009901,80,0.497512438,1.792
73,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,613.1333333,0.699333333,-2.063333333,4,0.99009901,20,0.99009901,2.996
74,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,187.7333333,0.447,-1.543333333,8,0.99009901,20,0.99009901,3.418
75,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,99.15666667,0.669666667,-1.906666667,12,0.99009901,20,0.99009901,1.705
76,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,118.2,0.441,-1.441,4,0.99009901,40,0.99009901,1.705
77,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,170.9666667,0.641666667,-1.497333333,8,0.99009901,40,0.99009901,2.674
78,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,215.6333333,0.624,-4.113333333,12,0.99009901,40,0.99009901,1.792
79,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,182.2,0.565,-3.46,4,0.99009901,60,0.99009901,1.609
80,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,207.7333333,0.412333333,-5.52,8,0.99009901,60,0.99009901,1.946
81,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,348.7,0.722666667,-2.886666667,12,0.99009901,60,0.99009901,1.705
82,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,379.2666667,0.080666667,-2.153333333,4,0.99009901,80,0.99009901,1.5
83,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,430.7333333,0.114666667,-1.356666667,8,0.99009901,80,0.99009901,1.5
84,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,255.0166667,0.3485,0.867666667,12,0.99009901,80,0.99009901,1.5
85,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,738.2666667,0.887666667,-1.916666667,4,0.99009901,20,1.960784314,3.135
86,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,190.2,0.453,-0.810333333,8,0.99009901,20,1.960784314,2.197
87,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,210.8,0.686333333,-2.876666667,12,0.99009901,20,1.960784314,1.946
88,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,263.4666667,0.627666667,-2.14,4,0.99009901,40,1.960784314,1.872
89,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,162.0,0.536333333,-0.342,8,0.99009901,40,1.960784314,2.14
90,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,203.3333333,0.343333333,-2.2,12,0.99009901,40,1.960784314,2.603
91,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,194.0,0.484333333,-3.503333333,4,0.99009901,60,1.960784314,1.609
92,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,235.7333333,0.341333333,-2.013333333,8,0.99009901,60,1.960784314,1.5
93,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,183.1666667,0.295666667,-3.336666667,12,0.99009901,60,1.960784314,1.504
94,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,264.4666667,0.139,-6.496666667,4,0.99009901,80,1.960784314,1.504
95,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,410.2,0.146666667,0.9383,8,0.99009901,80,1.960784314,1.5
96,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,363.8,0.148333333,0.4627,12,0.99009901,80,1.960784314,1.5
97,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,457.7666667,0.88,-20.96666667,4,0.99009901,20,9.090909091,2.079
98,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,170.4666667,0.436333333,-1.013333333,8,0.99009901,20,9.090909091,3.497
99,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,205.1333333,0.81,-0.812553333,12,0.99009901,20,9.090909091,3.239
100,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,153.8666667,0.343666667,-1.636666667,4,0.99009901,40,9.090909091,3.091
101,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,202.0333333,0.364666667,-0.022666667,8,0.99009901,40,9.090909091,2.398
102,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,192.2666667,0.267,-3.43,12,0.99009901,40,9.090909091,2.442
103,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,176.8,0.353333333,-13.4,4,0.99009901,60,9.090909091,1.504
104,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,293.4666667,0.390666667,-1.985333333,8,0.99009901,60,9.090909091,1.609
105,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,281.8333333,0.217333333,-3.243333333,12,0.99009901,60,9.090909091,2.303
106,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,496.8666667,0.153666667,-1.304,4,0.99009901,80,9.090909091,1.5
