,LGBM,XGB,RF,kNN,DT,lasso,MLR,PLS
120,0.05031748022259752,0.05743194270514573,0.01083435666530319,0.03412553847848143,0.09291854277527634,0.03162002218931392,0.04276659137021205,0.04995882042350491
121,0.04392680292007778,0.04202749019902702,0.06572520125528736,0.2133862794192804,0.16629144494474,0.08437096989004556,0.04436413729836508,0.03784868309117623
122,0.04590772732831916,0.0884052977130591,0.031202756174102064,0.15040070903684927,0.026811297584936555,0.01954699102810825,0.08056280846195468,0.08651760314531937
123,0.0029611503129818306,0.05341201365555198,0.02974928366762214,0.07906809878155091,0.18307408923454765,0.008126725889612885,0.08903484530452527,0.09455510388126603
124,0.05044808599123379,0.07462879293188424,0.006368877063719025,0.13813260848336922,0.015452312730249718,0.04044299468509199,0.09579658070673824,0.09999131817476575
125,0.14491470432269982,0.1416305310893049,0.19585891663255617,0.15037428557513632,0.440083913221449,0.2312900087659428,0.2841074992001578,0.29234572180642837
126,0.20188355082860598,0.19665854217768985,0.2537535816618917,0.10724151077466337,0.31498158002455995,0.20552667220720833,0.2687017732374323,0.27528157338341824
127,0.23952501412842786,0.29648096550208736,0.3102067130577154,0.44127308262483567,0.10489152681129765,0.38205483053553696,0.25371195088860427,0.2489014124570314
128,0.02724221045495334,0.02996144333043843,0.006546595715649806,0.012568719671497697,0.004451494064674544,0.03430587052520223,0.10348946425008493,0.10673394467108971
129,0.010652001851678361,0.040185259738223955,0.02231716468822531,0.14854161041745534,0.001944330740892397,0.09969880513501655,0.13739347913258437,0.14395496329245305
130,0.05139688498446715,0.038746406333738326,0.10584254332105247,0.054586042580582694,0.02645313139582478,0.0033603964001333586,0.15301671141665757,0.15704937781679995
131,0.022576737258175328,0.022953747043929773,0.013542434165643547,0.02298653560191899,0.006805157593123112,0.04114953078536854,0.0873561016275774,0.09130657636051048
132,0.018692220108614654,0.04726263474500719,0.048911857006413484,0.06469509569354853,0.011256651657797712,0.01687520400057224,0.11920066965058301,0.1255404162491851
133,0.055601438848690066,0.002012215820043961,0.0828325828898896,0.13557374334693806,0.03264428980761358,0.16031995663127657,0.18875361280611924,0.1965920151194126
134,0.02661957865965342,0.0746686938986933,0.0682074635011592,0.03628464475363047,0.06365124846500203,0.09111288488141406,0.03457558242445624,0.028472250048706016
135,0.03822705263074727,0.0035271612996700674,0.014734957020056949,0.05257436381695174,0.12331150225133031,0.09826285922834538,0.01548852511475135,0.021904965397944842
136,0.0069964547592773485,0.03243683270631248,0.033630099604312236,0.0848195615772192,0.04615227179697101,0.04233930934232416,0.12986310116640498,0.13603161080908305
137,0.13706061691457583,0.139974011000775,0.17723836812662086,0.15038899951840856,0.13774048301268926,0.20277873123682216,0.27787240010150016,0.2843451352067742
138,0.15235504861276541,0.12261077130958292,0.10899884022376827,0.10981729018916869,0.05618092509209982,0.13139042314266652,0.017803250850614183,0.012661516172069509
139,0.03841259655438323,0.00879234304888743,0.0660731341247115,0.04959281505582125,0.0372492836676217,0.09561545296175467,0.10169041333989148,0.1098787771820231
140,0.19265367735868233,0.12111559117421034,0.21591485878018774,0.2396599560348751,0.38507981989357354,0.29694844293958994,0.2129832418078511,0.2068467383598696
141,0.013062966117554253,0.02371151277485123,0.10483763132760254,0.1812415925997966,0.26841997544003277,0.14395423514434413,0.12051815780112185,0.1123157081268612
142,0.02371356670643393,0.05661802260396526,0.037304202483284477,0.00028363273446385673,0.12433483422022107,0.018846515065835567,0.10486084372883514,0.10138304213224653
143,0.06925408185900728,0.15946867871713893,0.04537897393914575,0.07031780890137396,0.06232091690544417,0.04467654250607367,0.11751847527810627,0.11566811652976655
144,0.045252417936285205,0.04289723522244443,0.007139787146949628,0.032932358736310896,0.3237310683585755,0.03425168490096264,0.07788847632075291,0.07473979409874626
145,0.07198840945819902,0.20385637592693556,0.0357088279437853,0.17938478388832801,0.016373311502251353,0.3196063173591573,0.20838543642131163,0.21073813853292273
146,0.0939269192356727,0.10665649430604429,0.12227111474962421,0.27248588467142504,0.0333606221858371,0.3602068334554872,0.3607725307097695,0.36022074902574713
147,0.10190027974825361,0.09390283664181442,0.14244269340974297,0.12928373126411308,0.031620957838722874,0.08369182152114257,0.08656836424174402,0.08749564167188623
148,0.003727638530972799,0.018670979431306967,0.043097284759175625,0.0198468112609701,0.09777936962750716,0.06619415371691478,0.07638402172683306,0.07449814790258885
149,0.005460207224769031,0.036700422957545664,0.030465957156501466,0.05783721481211296,0.04533360622185839,0.010240041958758328,0.1095127489579027,0.10844138148094146
150,0.0035337037667111937,0.026508501671007545,0.042873857279301486,0.03826238583764119,0.034486287351616796,0.012960533509926597,0.024618015515609826,0.02643252926145051
151,0.10612782203195001,0.029749233338172143,0.24122322281348102,0.28592785189230396,0.16792877609496526,0.48343512169060643,0.3885570918813005,0.38990464490831844
152,0.010630404231177393,0.002790371829059113,0.012549802155818301,0.023578770044943576,0.07388456815390926,0.03226040464508351,0.10990002953476286,0.10949235892710202
153,0.16348596630398732,0.16077432913512807,0.10301610042297721,0.16518894832589043,0.06554441260744986,0.1126620068349048,0.1064331209242313,0.10516098183765143
154,0.08703186140471697,0.08595469442733333,0.19542400054577752,0.2430445083968879,0.28100695865738856,0.3562134834082787,0.26325843285838957,0.26424037289926416
155,0.15671696940334218,0.22788146276040683,0.17521831082002975,0.22131666278985407,0.2385386819484241,0.29137014612083467,0.25115377003886596,0.2512662935012277
156,0.0015984879616255387,0.04559114793749375,0.08485605130304275,0.028164088172203394,0.07895006139991823,0.17137654629526983,0.2702943807147261,0.26810119962305623
157,0.22840716014441417,0.2540801777441483,0.282065766134535,0.5648138281395811,0.30331559557920595,0.49045571392938314,0.3970980921318018,0.39868286353108834
158,0.008551418441441194,0.04508963016228168,0.015269818529130175,0.025835907948361048,0.034588620548505866,0.06372150888643302,0.1821014257368444,0.18013678572635233
159,0.019499465652955572,0.06861510327542542,0.14375426388320311,0.13910382682061107,0.012893982808022786,0.2542785304514614,0.24379060680832287,0.24570331264590767
160,0.012740182179235782,0.0013166634069328165,0.026823918679220182,0.04252956485301329,0.055208759721653844,0.08330452922589304,0.14373163575465903,0.14367715899628403
161,0.09072123557672934,0.14480865539657356,0.07262928093873655,0.19028503236283195,0.270261972984036,0.13785609299688134,0.16162343886157254,0.15888194610212908
162,0.14122995962093232,0.08119446597917124,0.11676217765043018,0.05163543238548607,0.09987720016373292,0.1693915467728655,0.27585364432347403,0.2743953923224123
163,0.04436100564742396,0.01933253784917488,0.03488504570882778,0.08050414787299931,0.09864920180106423,0.0651646539491319,0.05504964025686393,0.05710853433567964
164,0.0479420933050429,0.07900073033739591,0.10289841724655441,0.2673380663575508,0.17959476054031923,0.2327636298801687,0.2566491968718759,0.25349748585020243
165,0.1438691015897307,0.09544068247970383,0.15602503752217212,0.07392991734815701,0.20824805566925914,0.16450671618017687,0.25676357451638027,0.25572493124083845
166,0.011444337818479144,0.019048978889081247,0.040077773229636404,0.14127199339717506,0.08007572656569789,0.00994163721453134,0.013188359707489161,0.013819980140379995
167,0.03667983998051233,0.003441808729253648,0.0159366898621921,0.09816997288585061,0.11865534179287762,0.13220329987730756,0.07727452614602576,0.07808850575964565
168,0.0927214610943401,0.08536682513664845,0.04072997680447615,0.1832462988519658,0.10555669259107647,0.14964125601095696,0.14791588418027718,0.1472893891919192
169,0.08657071501617564,0.03021839026832901,0.0009162232228133727,0.055522304262176525,0.19576340564879252,0.051160741511773244,0.02469351098901723,0.023712054363890234
170,0.02505534499190276,0.137005579761926,0.02655819347796412,0.06559009855600179,0.07260540319279579,0.011231841778435891,0.09092608760734117,0.08835478587070872
171,0.004585635608595706,0.035228016505317594,0.0600201255287221,0.15253203042774643,0.17795742939009407,0.06953934524109379,0.055829077243294,0.05679411322219041
172,0.016696043253462828,0.02439731324104516,0.04476326920453022,0.17133933162009324,0.03141629144494476,0.2777795803715056,0.19907035722318106,0.20092413135722464
173,0.031583016074924086,0.02904401653085248,0.0413951425842537,0.09661411901832351,0.03356528857961527,0.15161355798437476,0.18193315092894874,0.17970910821357672
174,0.09615412523107308,0.14315993806352584,0.017404489016236646,0.08176092441959293,0.044975440032746616,0.08506605747408791,0.04336928239223192,0.04012579082141676
175,0.09488262771889261,0.10540744870888902,0.09606290080502,0.05944697604126109,0.051678264428980714,0.08268056093268583,0.08980245348805788,0.0877456647427714
176,0.05919693196302883,0.10377261134087917,0.040739186792195015,0.04514027029026102,0.05259926320098235,0.04372576125817301,0.020155556474794056,0.01974296205791337
177,0.004581902501849311,0.006919435555945597,0.05010301541820211,0.04859507283949027,0.19141424478100694,0.07446994253583566,0.016326179271885566,0.015337783227766022
178,0.06480358578659834,0.07436431625364653,0.0032879656160464954,0.1280830412618808,0.04850593532541958,0.1443309364632563,0.17816143142486968,0.17509162008957507
