,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,PDI
30,0,1,9.3028,149.0,3,10,1,4,50,60,500,215.5666667,0.091,0.283333333
31,0,1,9.3028,149.0,3,10,1,8,50,60,500,221.9666667,-0.125666667,0.240333333
32,0,1,9.3028,149.0,3,10,1,12,50,60,500,234.9333333,0.407333333,0.281333333
36,0,1,9.3028,149.0,3,10,1,4,10,20,500,303.8,-4.81,0.320333333
37,0,1,9.3028,149.0,3,10,1,8,10,20,500,462.6666667,-3.45,0.568333333
39,0,1,9.3028,149.0,3,10,1,4,10,40,500,242.8,1.363333333,0.251
40,0,1,9.3028,149.0,3,10,1,8,10,40,500,182.1,-1.420666667,0.263
41,0,1,9.3028,149.0,3,10,1,12,10,40,500,252.6333333,-2.366666667,0.273666667
42,0,1,9.3028,149.0,3,10,1,4,10,60,500,242.8,-1.566666667,0.252666667
43,0,1,9.3028,149.0,3,10,1,8,10,60,500,202.9666667,-2.063333333,0.257333333
44,0,1,9.3028,149.0,3,10,1,12,10,60,500,142.2666667,-0.186,0.268333333
48,0,1,9.3028,149.0,3,10,1,4,1,20,500,1859.333333,-19.73333333,0.579
51,0,1,9.3028,149.0,3,10,1,4,1,40,500,370.2333333,-25.56666667,0.760333333
52,0,1,9.3028,149.0,3,10,1,8,1,40,500,1164.833333,-15.7,0.693666667
53,0,1,9.3028,149.0,3,10,1,12,1,40,500,1153.333333,-4.87,0.461
54,0,1,9.3028,149.0,3,10,1,4,1,60,500,1720.666667,-28.26666667,0.716333333
55,0,1,9.3028,149.0,3,10,1,8,1,60,500,2275.666667,-17.83333333,0.719666667
56,0,1,9.3028,149.0,3,10,1,12,1,60,500,1034.266667,-5.81,0.683333333
69,0,1,9.3028,149.0,3,10,1,4,200,80,100,415.6,0.144666667,0.0
70,0,1,9.3028,149.0,3,10,1,8,200,80,100,420.6,0.213666667,0.0
71,0,1,9.3028,149.0,3,10,1,12,200,80,100,725.6666667,0.112,0.0
81,0,1,9.3028,149.0,3,10,1,4,100,80,100,379.2666667,0.080666667,0.0
82,0,1,9.3028,149.0,3,10,1,8,100,80,100,430.7333333,0.114666667,0.0
83,0,1,9.3028,149.0,3,10,1,12,100,80,100,255.0166667,0.3485,0.0
93,0,1,9.3028,149.0,3,10,1,4,50,80,100,2155.333333,0.775333333,0.0
94,0,1,9.3028,149.0,3,10,1,8,50,80,100,410.2,0.146666667,0.0
95,0,1,9.3028,149.0,3,10,1,12,50,80,100,363.8,0.148333333,0.0
105,0,1,9.3028,149.0,3,10,1,4,10,80,100,496.8666667,0.153666667,0.0
106,0,1,9.3028,149.0,3,10,1,8,10,80,100,526.7333333,0.369,0.0
107,0,1,9.3028,149.0,3,10,1,12,10,80,100,501.1333333,0.277,0.0
117,0,1,9.3028,149.0,3,10,1,4,1,80,100,364.1333333,0.201,0.0
118,0,1,9.3028,149.0,3,10,1,8,1,80,100,812.3666667,0.132666667,0.0
119,0,1,9.3028,149.0,3,10,1,12,1,80,100,409.6,0.290333333,0.0
120,0,1,9.3028,149.0,3,10,1,4,200,20,10,113.3,0.238333333,0.0
121,0,1,9.3028,149.0,3,10,1,8,200,20,10,179.0666667,0.428333333,0.0
122,0,1,9.3028,149.0,3,10,1,12,200,20,10,1512.333333,0.599333333,0.0
123,0,1,9.3028,149.0,3,10,1,4,200,40,10,108.3166667,0.307333333,0.0
124,0,1,9.3028,149.0,3,10,1,8,200,40,10,153.9,0.435666667,0.0
125,0,1,9.3028,149.0,3,10,1,12,200,40,10,120.1,0.400666667,0.0
126,0,1,9.3028,149.0,3,10,1,4,200,60,10,166.4,0.504,0.0
127,0,1,9.3028,149.0,3,10,1,8,200,60,10,192.9,0.356666667,0.0
128,0,1,9.3028,149.0,3,10,1,12,200,60,10,260.3666667,0.331,0.0
129,0,1,9.3028,149.0,3,10,1,4,200,80,10,230.6333333,0.313333333,0.0
130,0,1,9.3028,149.0,3,10,1,8,200,80,10,237.4,0.258666667,0.0
131,0,1,9.3028,149.0,3,10,1,12,200,80,10,208.8333333,0.286,0.0
132,0,1,9.3028,149.0,3,10,1,4,100,20,10,129.5333333,0.231666667,0.0
133,0,1,9.3028,149.0,3,10,1,8,100,20,10,247.0333333,0.714,0.0
134,0,1,9.3028,149.0,3,10,1,12,100,20,10,1955.333333,0.704333333,0.0
135,0,1,9.3028,149.0,3,10,1,4,100,40,10,181.4666667,0.334,0.0
136,0,1,9.3028,149.0,3,10,1,8,100,40,10,144.4,0.396,0.0
137,0,1,9.3028,149.0,3,10,1,12,100,40,10,123.8,0.366333333,0.0
138,0,1,9.3028,149.0,3,10,1,4,100,60,10,253.1333333,0.477333333,0.0
139,0,1,9.3028,149.0,3,10,1,8,100,60,10,212.9666667,0.330666667,0.0
140,0,1,9.3028,149.0,3,10,1,12,100,60,10,219.6333333,0.313,0.0
141,0,1,9.3028,149.0,3,10,1,4,100,80,10,243.4333333,0.302666667,0.0
142,0,1,9.3028,149.0,3,10,1,8,100,80,10,226.2666667,0.251333333,0.0
143,0,1,9.3028,149.0,3,10,1,12,100,80,10,262.2333333,0.095333333,0.0
144,0,1,9.3028,149.0,3,10,1,4,50,20,10,135.9333333,0.257333333,0.0
145,0,1,9.3028,149.0,3,10,1,8,50,20,10,967.0333333,1.0,0.0
146,0,1,9.3028,149.0,3,10,1,12,50,20,10,1599.666667,0.223666667,0.0
147,0,1,9.3028,149.0,3,10,1,4,50,40,10,113.75,0.3625,0.0
148,0,1,9.3028,149.0,3,10,1,8,50,40,10,142.2666667,0.315,0.0
149,0,1,9.3028,149.0,3,10,1,12,50,40,10,142.3333333,0.393333333,0.0
150,0,1,9.3028,149.0,3,10,1,4,50,60,10,256.9666667,0.289333333,0.0
151,0,1,9.3028,149.0,3,10,1,8,50,60,10,205.9333333,0.315,0.0
152,0,1,9.3028,149.0,3,10,1,12,50,60,10,184.7,0.339666667,0.0
153,0,1,9.3028,149.0,3,10,1,4,50,80,10,244.4333333,0.245,0.0
154,0,1,9.3028,149.0,3,10,1,8,50,80,10,247.3666667,0.241333333,0.0
155,0,1,9.3028,149.0,3,10,1,12,50,80,10,250.6333333,0.152666667,0.0
156,0,1,9.3028,149.0,3,10,1,4,10,20,10,636.7,1.0,0.0
157,0,1,9.3028,149.0,3,10,1,8,10,20,10,691.7,0.956666667,0.0
158,0,1,9.3028,149.0,3,10,1,12,10,20,10,1708.333333,0.6,0.0
159,0,1,9.3028,149.0,3,10,1,4,10,40,10,111.6666667,0.341,0.0
160,0,1,9.3028,149.0,3,10,1,8,10,40,10,148.1333333,0.512,0.0
161,0,1,9.3028,149.0,3,10,1,12,10,40,10,118.0,0.328666667,0.0
162,0,1,9.3028,149.0,3,10,1,4,10,60,10,233.5,0.391333333,0.0
163,0,1,9.3028,149.0,3,10,1,8,10,60,10,264.6666667,0.407666667,0.0
164,0,1,9.3028,149.0,3,10,1,12,10,60,10,220.9,0.306,0.0
165,0,1,9.3028,149.0,3,10,1,4,10,80,10,256.1,0.264333333,0.0
166,0,1,9.3028,149.0,3,10,1,8,10,80,10,278.3,0.217333333,0.0
167,0,1,9.3028,149.0,3,10,1,12,10,80,10,265.9,0.18,0.0
168,0,1,9.3028,149.0,3,10,1,4,1,20,10,675.8333333,0.61,0.0
169,0,1,9.3028,149.0,3,10,1,8,1,20,10,682.8333333,0.205,0.0
170,0,1,9.3028,149.0,3,10,1,12,1,20,10,464.0,0.574666667,0.0
171,0,1,9.3028,149.0,3,10,1,4,1,40,10,163.5666667,0.133666667,0.0
172,0,1,9.3028,149.0,3,10,1,8,1,40,10,459.9666667,0.154666667,0.0
173,0,1,9.3028,149.0,3,10,1,12,1,40,10,753.9666667,0.546333333,0.0
174,0,1,9.3028,149.0,3,10,1,4,1,60,10,194.8666667,0.121,0.0
175,0,1,9.3028,149.0,3,10,1,8,1,60,10,934.6333333,0.794,0.0
176,0,1,9.3028,149.0,3,10,1,12,1,60,10,1021.5,0.392,0.0
177,0,1,9.3028,149.0,3,10,1,4,1,80,10,201.0,0.139666667,0.0
178,0,1,9.3028,149.0,3,10,1,8,1,80,10,456.4,0.434666667,0.0
179,0,1,9.3028,149.0,3,10,1,12,1,80,10,398.5,0.280666667,0.0
180,1,1,9.784,134.0,2,9,2,4,200,20,500,288.9666667,-7.436666667,0.464333333
181,1,1,9.784,134.0,2,9,2,8,200,20,500,533.7,-3.523333333,0.403333333
182,1,1,9.784,134.0,2,9,2,12,200,20,500,342.3333333,-3.396666667,0.496333333
183,1,1,9.784,134.0,2,9,2,4,200,40,500,237.1333333,-4.23,0.211
184,1,1,9.784,134.0,2,9,2,8,200,40,500,185.1333333,-1.803333333,0.237333333
185,1,1,9.784,134.0,2,9,2,12,200,40,500,267.7333333,-2.356666667,0.806666667
186,1,1,9.784,134.0,2,9,2,4,200,60,500,206.6,-5.31,0.246666667
187,1,1,9.784,134.0,2,9,2,8,200,60,500,173.1333333,0.721666667,0.215
188,1,1,9.784,134.0,2,9,2,12,200,60,500,183.6666667,-0.501666667,0.260333333
189,1,1,9.784,134.0,2,9,2,4,200,80,500,166.6333333,-24.63333333,0.219666667
190,1,1,9.784,134.0,2,9,2,8,200,80,500,137.6333333,-6.11,0.164666667
191,1,1,9.784,134.0,2,9,2,12,200,80,500,158.8,-0.955,0.225333333
192,1,1,9.784,134.0,2,9,2,4,100,20,500,577.6666667,-11.77666667,0.252
193,1,1,9.784,134.0,2,9,2,8,100,20,500,562.7666667,-3.553333333,0.344333333
194,1,1,9.784,134.0,2,9,2,12,100,20,500,288.1666667,-1.593,0.316
195,1,1,9.784,134.0,2,9,2,4,100,40,500,240.3,-3.686666667,0.260333333
196,1,1,9.784,134.0,2,9,2,8,100,40,500,191.7333333,0.269333333,0.264
197,1,1,9.784,134.0,2,9,2,12,100,40,500,189.9666667,-2.24,0.325666667
198,1,1,9.784,134.0,2,9,2,4,100,60,500,192.8,-3.663333333,0.182
199,1,1,9.784,134.0,2,9,2,8,100,60,500,170.3,0.073,0.242
200,1,1,9.784,134.0,2,9,2,12,100,60,500,181.6333333,-1.161666667,0.328333333
201,1,1,9.784,134.0,2,9,2,4,100,80,500,172.9333333,-26.66666667,0.206666667
202,1,1,9.784,134.0,2,9,2,8,100,80,500,148.0,-6.033333333,0.187666667
203,1,1,9.784,134.0,2,9,2,12,100,80,500,162.5333333,-0.325333333,0.193666667
204,1,1,9.784,134.0,2,9,2,4,50,20,500,650.7333333,-11.36666667,0.484666667
205,1,1,9.784,134.0,2,9,2,8,50,20,500,403.2666667,-4.096666667,0.629666667
206,1,1,9.784,134.0,2,9,2,12,50,20,500,475.3333333,-3.116666667,0.162
207,1,1,9.784,134.0,2,9,2,4,50,40,500,191.8,-0.756333333,0.206
208,1,1,9.784,134.0,2,9,2,8,50,40,500,170.0,0.3774,0.294
209,1,1,9.784,134.0,2,9,2,12,50,40,500,307.4666667,-3.04,0.557666667
210,1,1,9.784,134.0,2,9,2,4,50,60,500,189.0333333,-2.12,0.220333333
211,1,1,9.784,134.0,2,9,2,8,50,60,500,155.4333333,1.195666667,0.233333333
212,1,1,9.784,134.0,2,9,2,12,50,60,500,256.8,0.16,0.427666667
213,1,1,9.784,134.0,2,9,2,4,50,80,500,202.3,-29.4,0.256333333
214,1,1,9.784,134.0,2,9,2,8,50,80,500,135.8666667,-10.41,0.173666667
215,1,1,9.784,134.0,2,9,2,12,50,80,500,163.5333333,-0.4925,0.229333333
216,1,1,9.784,134.0,2,9,2,4,10,20,500,431.8,-9.42,0.420666667
217,1,1,9.784,134.0,2,9,2,8,10,20,500,465.9333333,-1.686666667,0.358
218,1,1,9.784,134.0,2,9,2,12,10,20,500,599.5333333,-0.166206667,0.522
219,1,1,9.784,134.0,2,9,2,4,10,40,500,197.5666667,-2.53,0.262666667
220,1,1,9.784,134.0,2,9,2,8,10,40,500,199.4,2.476666667,0.327666667
221,1,1,9.784,134.0,2,9,2,12,10,40,500,208.5,1.541666667,0.330666667
222,1,1,9.784,134.0,2,9,2,4,10,60,500,193.9,-1.64,0.197333333
223,1,1,9.784,134.0,2,9,2,8,10,60,500,159.3,2.77,0.201
224,1,1,9.784,134.0,2,9,2,12,10,60,500,190.9666667,2.354,0.275
225,1,1,9.784,134.0,2,9,2,4,10,80,500,166.8666667,-26.83333333,0.266
226,1,1,9.784,134.0,2,9,2,8,10,80,500,146.8666667,5.42,0.208666667
227,1,1,9.784,134.0,2,9,2,12,10,80,500,167.8,7.203333333,0.237
228,1,1,9.784,134.0,2,9,2,4,1,20,500,287.7333333,2.916666667,0.327
229,1,1,9.784,134.0,2,9,2,8,1,20,500,306.5333333,3.96,0.569
230,1,1,9.784,134.0,2,9,2,12,1,20,500,473.2,5.006666667,0.17
231,1,1,9.784,134.0,2,9,2,4,1,40,500,261.7,4.206666667,0.330333333
232,1,1,9.784,134.0,2,9,2,8,1,40,500,205.1,4.25,0.196
233,1,1,9.784,134.0,2,9,2,12,1,40,500,177.9333333,2.72,0.268
234,1,1,9.784,134.0,2,9,2,4,1,60,500,224.5,4.343333333,0.256333333
235,1,1,9.784,134.0,2,9,2,8,1,60,500,195.0333333,5.876666667,0.254
236,1,1,9.784,134.0,2,9,2,12,1,60,500,179.0333333,6.29,0.261666667
237,1,1,9.784,134.0,2,9,2,4,1,80,500,237.6333333,6.303333333,0.301
238,1,1,9.784,134.0,2,9,2,8,1,80,500,164.9666667,11.93333333,0.183666667
239,1,1,9.784,134.0,2,9,2,12,1,80,500,171.5333333,8.72,0.187333333
240,1,1,9.784,134.0,2,9,2,4,200,20,100,177.0333333,-4.186666667,0.31
241,1,1,9.784,134.0,2,9,2,8,200,20,100,223.4,-2.646666667,0.485666667
242,1,1,9.784,134.0,2,9,2,12,200,20,100,169.1333333,-2.373333333,0.368333333
243,1,1,9.784,134.0,2,9,2,4,200,40,100,193.5,-1.616666667,0.275333333
244,1,1,9.784,134.0,2,9,2,8,200,40,100,139.0,-1.976666667,0.236666667
245,1,1,9.784,134.0,2,9,2,12,200,40,100,159.2333333,-2.136666667,0.303666667
246,1,1,9.784,134.0,2,9,2,4,200,60,100,171.7,-0.094333333,0.236333333
247,1,1,9.784,134.0,2,9,2,8,200,60,100,150.1333333,-1.95,0.232
248,1,1,9.784,134.0,2,9,2,12,200,60,100,177.5333333,-2.43,0.260666667
249,1,1,9.784,134.0,2,9,2,4,200,80,100,219.6333333,-15.26666667,0.307666667
250,1,1,9.784,134.0,2,9,2,8,200,80,100,141.4666667,-3.21,0.245666667
251,1,1,9.784,134.0,2,9,2,12,200,80,100,160.0333333,-4.51,0.184333333
252,1,1,9.784,134.0,2,9,2,4,100,20,100,176.9333333,-4.66,0.24
253,1,1,9.784,134.0,2,9,2,8,100,20,100,263.8333333,-6.34,0.433333333
254,1,1,9.784,134.0,2,9,2,12,100,20,100,303.3666667,-2.326666667,0.674666667
255,1,1,9.784,134.0,2,9,2,4,100,40,100,174.6666667,-3.043333333,0.246333333
256,1,1,9.784,134.0,2,9,2,8,100,40,100,148.9333333,-0.049066667,0.217333333
257,1,1,9.784,134.0,2,9,2,12,100,40,100,152.4666667,-1.993333333,0.288333333
258,1,1,9.784,134.0,2,9,2,4,100,60,100,164.2,-2.476666667,0.201666667
259,1,1,9.784,134.0,2,9,2,8,100,60,100,150.2666667,1.32,0.204333333
260,1,1,9.784,134.0,2,9,2,12,100,60,100,191.8,-1.426666667,0.244333333
261,1,1,9.784,134.0,2,9,2,4,100,80,100,241.5333333,-15.93333333,0.267
262,1,1,9.784,134.0,2,9,2,8,100,80,100,148.0333333,-3.53,0.21
263,1,1,9.784,134.0,2,9,2,12,100,80,100,155.5666667,-3.316666667,0.167333333
264,1,1,9.784,134.0,2,9,2,4,50,20,100,153.8666667,-3.213333333,0.203
265,1,1,9.784,134.0,2,9,2,8,50,20,100,203.9333333,-2.766666667,0.501
266,1,1,9.784,134.0,2,9,2,12,50,20,100,263.9333333,-1.060666667,0.412333333
267,1,1,9.784,134.0,2,9,2,4,50,40,100,170.0666667,-3.176666667,0.220333333
268,1,1,9.784,134.0,2,9,2,8,50,40,100,158.3666667,-1.57,0.279
269,1,1,9.784,134.0,2,9,2,12,50,40,100,130.9333333,0.963666667,0.215
270,1,1,9.784,134.0,2,9,2,4,50,60,100,160.7333333,-3.816666667,0.165333333
271,1,1,9.784,134.0,2,9,2,8,50,60,100,138.7333333,0.242266667,0.185333333
272,1,1,9.784,134.0,2,9,2,12,50,60,100,152.2333333,-1.88,0.245666667
273,1,1,9.784,134.0,2,9,2,4,50,80,100,189.0,-15.9,0.199
274,1,1,9.784,134.0,2,9,2,8,50,80,100,147.2,-5.523333333,0.241333333
275,1,1,9.784,134.0,2,9,2,12,50,80,100,148.5333333,-2.94,0.207
276,1,1,9.784,134.0,2,9,2,4,10,20,100,154.9,-5.373333333,0.957333333
277,1,1,9.784,134.0,2,9,2,8,10,20,100,230.9333333,-2.173333333,0.481666667
278,1,1,9.784,134.0,2,9,2,12,10,20,100,168.1666667,-0.284166667,0.428
279,1,1,9.784,134.0,2,9,2,4,10,40,100,164.0666667,-0.60825,0.157333333
280,1,1,9.784,134.0,2,9,2,8,10,40,100,478.0,-3.73,0.815333333
281,1,1,9.784,134.0,2,9,2,12,10,40,100,161.1333333,0.813333333,0.330333333
282,1,1,9.784,134.0,2,9,2,4,10,60,100,179.6666667,1.84,0.263333333
283,1,1,9.784,134.0,2,9,2,8,10,60,100,153.8,-0.397333333,0.197333333
284,1,1,9.784,134.0,2,9,2,12,10,60,100,150.7333333,-0.254666667,0.228333333
285,1,1,9.784,134.0,2,9,2,4,10,80,100,222.5666667,-12.13333333,0.208
286,1,1,9.784,134.0,2,9,2,8,10,80,100,166.1666667,-6.06,0.209333333
287,1,1,9.784,134.0,2,9,2,12,10,80,100,198.6666667,-0.9158,0.219
288,1,1,9.784,134.0,2,9,2,4,1,20,100,236.7666667,-3.646666667,0.272333333
289,1,1,9.784,134.0,2,9,2,8,1,20,100,211.3666667,1.916666667,0.439666667
290,1,1,9.784,134.0,2,9,2,12,1,20,100,182.6,0.651,0.281
291,1,1,9.784,134.0,2,9,2,4,1,40,100,179.9,-1.32,0.168333333
292,1,1,9.784,134.0,2,9,2,8,1,40,100,196.2,2.876666667,0.148333333
293,1,1,9.784,134.0,2,9,2,12,1,40,100,180.0,-3.013333333,0.512666667
294,1,1,9.784,134.0,2,9,2,4,1,60,100,197.7,0.54,0.18
295,1,1,9.784,134.0,2,9,2,8,1,60,100,148.4666667,4.106666667,0.206666667
296,1,1,9.784,134.0,2,9,2,12,1,60,100,171.6333333,1.651,0.198666667
297,1,1,9.784,134.0,2,9,2,4,1,80,100,253.0666667,-0.074666667,0.335333333
298,1,1,9.784,134.0,2,9,2,8,1,80,100,186.6333333,-5.6,0.255
299,1,1,9.784,134.0,2,9,2,12,1,80,100,150.0333333,6.683333333,0.178
300,1,1,9.784,134.0,2,9,2,4,200,20,10,274.6,-9.106666667,0.739666667
301,1,1,9.784,134.0,2,9,2,8,200,20,10,236.6,-4.033333333,0.577
302,1,1,9.784,134.0,2,9,2,12,200,20,10,405.4,-5.893333333,0.707666667
303,1,1,9.784,134.0,2,9,2,4,200,40,10,170.1333333,-5.413333333,0.409333333
304,1,1,9.784,134.0,2,9,2,8,200,40,10,176.6666667,-1.593333333,0.290333333
305,1,1,9.784,134.0,2,9,2,12,200,40,10,260.6666667,-1.943333333,0.788666667
306,1,1,9.784,134.0,2,9,2,4,200,60,10,153.6333333,-3.223333333,0.193
307,1,1,9.784,134.0,2,9,2,8,200,60,10,153.0333333,-1.48,0.370333333
308,1,1,9.784,134.0,2,9,2,12,200,60,10,149.9,-2.086666667,0.288333333
309,1,1,9.784,134.0,2,9,2,4,200,80,10,133.1,-3.64,0.144333333
310,1,1,9.784,134.0,2,9,2,8,200,80,10,138.3666667,-33.9,0.247666667
311,1,1,9.784,134.0,2,9,2,12,200,80,10,136.2333333,-2.783333333,0.169
312,1,1,9.784,134.0,2,9,2,4,100,20,10,196.5,-6.903333333,0.676666667
313,1,1,9.784,134.0,2,9,2,8,100,20,10,197.3,-2.48,0.605666667
314,1,1,9.784,134.0,2,9,2,12,100,20,10,213.9333333,-1.81,0.647666667
315,1,1,9.784,134.0,2,9,2,4,100,40,10,137.9333333,-6.893333333,0.216666667
316,1,1,9.784,134.0,2,9,2,8,100,40,10,470.4333333,-3.68,1.0
317,1,1,9.784,134.0,2,9,2,12,100,40,10,165.9666667,-2.296666667,0.624666667
318,1,1,9.784,134.0,2,9,2,4,100,60,10,137.5666667,-3.093333333,0.191333333
319,1,1,9.784,134.0,2,9,2,8,100,60,10,115.6333333,-2.686666667,0.217
320,1,1,9.784,134.0,2,9,2,12,100,60,10,207.0666667,-1.29,0.332333333
321,1,1,9.784,134.0,2,9,2,4,100,80,10,145.4,-3.763333333,0.130333333
322,1,1,9.784,134.0,2,9,2,8,100,80,10,135.8666667,-36.3,0.231
323,1,1,9.784,134.0,2,9,2,12,100,80,10,120.9333333,-1.66,0.173
324,1,1,9.784,134.0,2,9,2,4,50,20,10,278.8333333,-8.986666667,0.789333333
325,1,1,9.784,134.0,2,9,2,8,50,20,10,415.8,-6.63,0.856666667
326,1,1,9.784,134.0,2,9,2,12,50,20,10,496.8333333,-6.54,0.378333333
327,1,1,9.784,134.0,2,9,2,4,50,40,10,93.06666667,-2.723333333,0.211
328,1,1,9.784,134.0,2,9,2,8,50,40,10,207.5666667,-2.203333333,0.603666667
329,1,1,9.784,134.0,2,9,2,12,50,40,10,201.6333333,-2.146666667,0.620333333
330,1,1,9.784,134.0,2,9,2,4,50,60,10,136.1666667,-2.57,0.159666667
331,1,1,9.784,134.0,2,9,2,8,50,60,10,129.5,-1.666333333,0.283
332,1,1,9.784,134.0,2,9,2,12,50,60,10,202.5,-2.12,0.512333333
333,1,1,9.784,134.0,2,9,2,4,50,80,10,143.0333333,-3.51,0.155333333
334,1,1,9.784,134.0,2,9,2,8,50,80,10,134.7,-36.66666667,0.230666667
335,1,1,9.784,134.0,2,9,2,12,50,80,10,135.2333333,-2.383333333,0.219666667
336,1,1,9.784,134.0,2,9,2,4,10,20,10,235.4666667,-9.563333333,0.617
337,1,1,9.784,134.0,2,9,2,8,10,20,10,378.9333333,-5.376666667,0.809333333
338,1,1,9.784,134.0,2,9,2,12,10,20,10,476.3333333,-7.476666667,0.748333333
339,1,1,9.784,134.0,2,9,2,4,10,40,10,132.7666667,-5.483333333,0.226
340,1,1,9.784,134.0,2,9,2,8,10,40,10,279.9666667,-2.596666667,0.880333333
341,1,1,9.784,134.0,2,9,2,12,10,40,10,153.0,-1.983333333,0.411666667
342,1,1,9.784,134.0,2,9,2,4,10,60,10,156.7333333,-3.656666667,0.235666667
343,1,1,9.784,134.0,2,9,2,8,10,60,10,134.0666667,-1.370333333,0.204666667
344,1,1,9.784,134.0,2,9,2,12,10,60,10,167.5,-2.37,0.380333333
345,1,1,9.784,134.0,2,9,2,4,10,80,10,144.4333333,-4.92,0.081666667
346,1,1,9.784,134.0,2,9,2,8,10,80,10,161.1333333,-31.9,0.24
347,1,1,9.784,134.0,2,9,2,12,10,80,10,118.1666667,-2.056666667,0.198
348,1,1,9.784,134.0,2,9,2,4,1,20,10,302.6666667,-8.333333333,0.693
349,1,1,9.784,134.0,2,9,2,8,1,20,10,270.0333333,-7.673333333,0.633333333
350,1,1,9.784,134.0,2,9,2,12,1,20,10,180.3,-9.613333333,0.614
351,1,1,9.784,134.0,2,9,2,4,1,40,10,157.5,-3.126666667,0.177
352,1,1,9.784,134.0,2,9,2,8,1,40,10,140.4666667,-1.383333333,0.248666667
353,1,1,9.784,134.0,2,9,2,12,1,40,10,228.2,-1.873333333,0.517
354,1,1,9.784,134.0,2,9,2,4,1,60,10,153.2,-2.37,0.232666667
355,1,1,9.784,134.0,2,9,2,8,1,60,10,129.7666667,-1.059,0.194666667
356,1,1,9.784,134.0,2,9,2,12,1,60,10,145.7333333,-1.533333333,0.333666667
357,1,1,9.784,134.0,2,9,2,4,1,80,10,165.1666667,-3.313333333,0.186
358,1,1,9.784,134.0,2,9,2,8,1,80,10,157.6666667,15.6,0.210666667
359,1,1,9.784,134.0,2,9,2,12,1,80,10,140.5666667,-1.012333333,0.184333333
360,1,0,12.515,52.6,0,4,2,4,200,20,500,157.3333333,5.9,0.166
361,1,0,12.515,52.6,0,4,2,8,200,20,500,138.8333333,5.12,0.375666667
362,1,0,12.515,52.6,0,4,2,12,200,20,500,235.9333333,9.113333333,0.509333333
363,1,0,12.515,52.6,0,4,2,4,200,40,500,175.8333333,12.9,0.266333333
364,1,0,12.515,52.6,0,4,2,8,200,40,500,172.5333333,1.866666667,0.298333333
365,1,0,12.515,52.6,0,4,2,12,200,40,500,173.3,6.673333333,0.307666667
366,1,0,12.515,52.6,0,4,2,4,200,60,500,222.7333333,16.2,0.28
367,1,0,12.515,52.6,0,4,2,8,200,60,500,163.4666667,13.33333333,0.289666667
368,1,0,12.515,52.6,0,4,2,12,200,60,500,132.7666667,15.63333333,0.248666667
369,1,0,12.515,52.6,0,4,2,4,200,80,500,172.6333333,-10.96666667,0.228666667
370,1,0,12.515,52.6,0,4,2,8,200,80,500,156.5,5.703333333,0.215666667
371,1,0,12.515,52.6,0,4,2,12,200,80,500,415.4333333,-30.56666667,0.464333333
372,1,0,12.515,52.6,0,4,2,4,100,20,500,126.4666667,1.823,0.141666667
