,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta
364,1,0,12.515,0,36,2,8,200,40,500,172.5333333,1.866666667
365,1,0,12.515,0,36,2,12,200,40,500,173.3,6.673333333
366,1,0,12.515,0,36,2,4,200,60,500,222.7333333,16.2
367,1,0,12.515,0,36,2,8,200,60,500,163.4666667,13.33333333
368,1,0,12.515,0,36,2,12,200,60,500,132.7666667,15.63333333
369,1,0,12.515,0,36,2,4,200,80,500,172.6333333,-10.96666667
370,1,0,12.515,0,36,2,8,200,80,500,156.5,5.703333333
371,1,0,12.515,0,36,2,12,200,80,500,415.4333333,-30.56666667
372,1,0,12.515,0,36,2,4,100,20,500,126.4666667,1.823
373,1,0,12.515,0,36,2,8,100,20,500,173.0,7.926666667
374,1,0,12.515,0,36,2,12,100,20,500,198.5333333,2.883333333
375,1,0,12.515,0,36,2,4,100,40,500,185.6666667,12.1
376,1,0,12.515,0,36,2,8,100,40,500,160.6,4.013333333
377,1,0,12.515,0,36,2,12,100,40,500,183.8333333,2.956666667
