,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Zeta,RLU_HepG2
34,0.0,1.0,1.0,8.0,50.0,80.0,500.0,-6.63,0.21712889783014794
35,0.0,1.0,1.0,12.0,50.0,80.0,500.0,-11.83333333,0.0
36,0.0,1.0,1.0,4.0,10.0,20.0,500.0,-4.81,0.17861761747377497
38,0.0,1.0,1.0,12.0,10.0,20.0,500.0,-0.677333333,0.14154332519040091
39,0.0,1.0,1.0,4.0,10.0,40.0,500.0,1.363333333,0.14154332519040091
40,0.0,1.0,1.0,8.0,10.0,40.0,500.0,-1.420666667,0.14154332519040091
41,0.0,1.0,1.0,12.0,10.0,40.0,500.0,-2.366666667,0.14154332519040091
42,0.0,1.0,1.0,4.0,10.0,60.0,500.0,-1.566666667,0.041385256502371015
43,0.0,1.0,1.0,8.0,10.0,60.0,500.0,-2.063333333,0.2234516453513436
44,0.0,1.0,1.0,12.0,10.0,60.0,500.0,-0.186,0.14154332519040091
45,0.0,1.0,1.0,4.0,10.0,80.0,500.0,-22.66666667,0.06753843943095267
46,0.0,1.0,1.0,8.0,10.0,80.0,500.0,-0.437,0.08449489869234089
47,0.0,1.0,1.0,12.0,10.0,80.0,500.0,-2.24,0.14154332519040091
50,0.0,1.0,1.0,12.0,1.0,20.0,500.0,-2.423333333,0.14154332519040091
57,0.0,1.0,1.0,4.0,1.0,80.0,500.0,-6.776666667,0.14154332519040091
58,0.0,1.0,1.0,8.0,1.0,80.0,500.0,-5.44,0.14154332519040091
59,0.0,1.0,1.0,12.0,1.0,80.0,500.0,-4.47,0.048282799252766184
62,0.0,1.0,1.0,12.0,200.0,20.0,100.0,-1.007333333,0.06135939071705704
68,0.0,1.0,1.0,12.0,200.0,60.0,100.0,-4.233333333,0.14154332519040091
69,0.0,1.0,1.0,4.0,200.0,80.0,100.0,-2.0,0.14154332519040091
70,0.0,1.0,1.0,8.0,200.0,80.0,100.0,-2.613333333,0.14154332519040091
71,0.0,1.0,1.0,12.0,200.0,80.0,100.0,-0.015666667,0.14154332519040091
73,0.0,1.0,1.0,8.0,100.0,20.0,100.0,-1.543333333,0.14154332519040091
75,0.0,1.0,1.0,4.0,100.0,40.0,100.0,-1.441,0.14154332519040091
79,0.0,1.0,1.0,8.0,100.0,60.0,100.0,-5.52,0.14154332519040091
81,0.0,1.0,1.0,4.0,100.0,80.0,100.0,-2.153333333,0.14154332519040091
82,0.0,1.0,1.0,8.0,100.0,80.0,100.0,-1.356666667,0.14154332519040091
83,0.0,1.0,1.0,12.0,100.0,80.0,100.0,0.867666667,0.0946975140106337
89,0.0,1.0,1.0,12.0,50.0,40.0,100.0,-2.2,0.14154332519040091
91,0.0,1.0,1.0,8.0,50.0,60.0,100.0,-2.013333333,0.14154332519040091
92,0.0,1.0,1.0,12.0,50.0,60.0,100.0,-3.336666667,0.14154332519040091
94,0.0,1.0,1.0,8.0,50.0,80.0,100.0,0.9383,0.14154332519040091
95,0.0,1.0,1.0,12.0,50.0,80.0,100.0,0.4627,0.0896680557551372
97,0.0,1.0,1.0,8.0,10.0,20.0,100.0,-1.013333333,0.14154332519040091
99,0.0,1.0,1.0,4.0,10.0,40.0,100.0,-1.636666667,0.14154332519040091
100,0.0,1.0,1.0,8.0,10.0,40.0,100.0,-0.022666667,0.14154332519040091
101,0.0,1.0,1.0,12.0,10.0,40.0,100.0,-3.43,0.14154332519040091
102,0.0,1.0,1.0,4.0,10.0,60.0,100.0,-13.4,0.14154332519040091
103,0.0,1.0,1.0,8.0,10.0,60.0,100.0,-1.985333333,0.14154332519040091
104,0.0,1.0,1.0,12.0,10.0,60.0,100.0,-3.243333333,0.14154332519040091
105,0.0,1.0,1.0,4.0,10.0,80.0,100.0,-1.304,0.05503664319586149
106,0.0,1.0,1.0,8.0,10.0,80.0,100.0,-0.888,0.041385256502371015
107,0.0,1.0,1.0,12.0,10.0,80.0,100.0,-0.417666667,0.14154332519040091
108,0.0,1.0,1.0,4.0,1.0,20.0,100.0,-6.72,0.0
109,0.0,1.0,1.0,8.0,1.0,20.0,100.0,-5.936666667,0.033912918522776225
110,0.0,1.0,1.0,12.0,1.0,20.0,100.0,-3.736666667,0.14154332519040091
111,0.0,1.0,1.0,4.0,1.0,40.0,100.0,-7.57,0.14154332519040091
112,0.0,1.0,1.0,8.0,1.0,40.0,100.0,-4.593333333,0.14154332519040091
113,0.0,1.0,1.0,12.0,1.0,40.0,100.0,-1.266666667,0.05503664319586149
114,0.0,1.0,1.0,4.0,1.0,60.0,100.0,-16.4,0.14154332519040091
115,0.0,1.0,1.0,8.0,1.0,60.0,100.0,-1.483333333,0.14154332519040091
116,0.0,1.0,1.0,12.0,1.0,60.0,100.0,-0.622,0.14154332519040091
117,0.0,1.0,1.0,4.0,1.0,80.0,100.0,-8.473333333,0.041385256502371015
118,0.0,1.0,1.0,8.0,1.0,80.0,100.0,-5.833333333,0.14154332519040091
119,0.0,1.0,1.0,12.0,1.0,80.0,100.0,-6.46,0.14154332519040091
120,0.0,1.0,1.0,4.0,200.0,20.0,10.0,-1.485333333,0.14154332519040091
121,0.0,1.0,1.0,8.0,200.0,20.0,10.0,-0.415666667,0.14154332519040091
123,0.0,1.0,1.0,4.0,200.0,40.0,10.0,-1.42,0.14154332519040091
124,0.0,1.0,1.0,8.0,200.0,40.0,10.0,-0.845333333,0.14154332519040091
125,0.0,1.0,1.0,12.0,200.0,40.0,10.0,-1.69,0.14154332519040091
127,0.0,1.0,1.0,8.0,200.0,60.0,10.0,-1.398,0.14154332519040091
128,0.0,1.0,1.0,12.0,200.0,60.0,10.0,-0.940666667,0.14154332519040091
129,0.0,1.0,1.0,4.0,200.0,80.0,10.0,8.696666667,0.14154332519040091
130,0.0,1.0,1.0,8.0,200.0,80.0,10.0,-0.939,0.14154332519040091
131,0.0,1.0,1.0,12.0,200.0,80.0,10.0,-0.976,0.14154332519040091
132,0.0,1.0,1.0,4.0,100.0,20.0,10.0,-1.733333333,0.14154332519040091
135,0.0,1.0,1.0,4.0,100.0,40.0,10.0,-1.7,0.14154332519040091
136,0.0,1.0,1.0,8.0,100.0,40.0,10.0,-0.988333333,0.05503664319586149
137,0.0,1.0,1.0,12.0,100.0,40.0,10.0,-2.643333333,0.14154332519040091
139,0.0,1.0,1.0,8.0,100.0,60.0,10.0,-0.511666667,0.14154332519040091
140,0.0,1.0,1.0,12.0,100.0,60.0,10.0,-1.116666667,0.14154332519040091
141,0.0,1.0,1.0,4.0,100.0,80.0,10.0,2.933333333,0.14154332519040091
142,0.0,1.0,1.0,8.0,100.0,80.0,10.0,0.520333333,0.14154332519040091
143,0.0,1.0,1.0,12.0,100.0,80.0,10.0,-2.67,0.14154332519040091
144,0.0,1.0,1.0,4.0,50.0,20.0,10.0,-1.596666667,0.14154332519040091
146,0.0,1.0,1.0,12.0,50.0,20.0,10.0,-2.373333333,0.14154332519040091
147,0.0,1.0,1.0,4.0,50.0,40.0,10.0,-1.247666667,0.14154332519040091
148,0.0,1.0,1.0,8.0,50.0,40.0,10.0,-1.014,0.14154332519040091
149,0.0,1.0,1.0,12.0,50.0,40.0,10.0,-3.99,0.14154332519040091
150,0.0,1.0,1.0,4.0,50.0,60.0,10.0,-10.79333333,0.14154332519040091
151,0.0,1.0,1.0,8.0,50.0,60.0,10.0,-1.503333333,0.14154332519040091
152,0.0,1.0,1.0,12.0,50.0,60.0,10.0,-1.180333333,0.14154332519040091
153,0.0,1.0,1.0,4.0,50.0,80.0,10.0,1.269666667,0.14154332519040091
154,0.0,1.0,1.0,8.0,50.0,80.0,10.0,-1.149666667,0.14154332519040091
155,0.0,1.0,1.0,12.0,50.0,80.0,10.0,-1.219666667,0.33654260669636443
159,0.0,1.0,1.0,4.0,10.0,40.0,10.0,-1.019766667,0.14154332519040091
161,0.0,1.0,1.0,12.0,10.0,40.0,10.0,-1.693333333,0.14154332519040091
162,0.0,1.0,1.0,4.0,10.0,60.0,10.0,-0.879,0.14154332519040091
163,0.0,1.0,1.0,8.0,10.0,60.0,10.0,-0.790333333,0.14154332519040091
164,0.0,1.0,1.0,12.0,10.0,60.0,10.0,-1.506666667,0.14154332519040091
165,0.0,1.0,1.0,4.0,10.0,80.0,10.0,0.606333333,0.14154332519040091
166,0.0,1.0,1.0,8.0,10.0,80.0,10.0,-1.317,0.27115964937491016
167,0.0,1.0,1.0,12.0,10.0,80.0,10.0,-0.951333333,0.2386837189251329
169,0.0,1.0,1.0,8.0,1.0,20.0,10.0,-31.73333333,0.14154332519040091
171,0.0,1.0,1.0,4.0,1.0,40.0,10.0,-1.746666667,0.19916654691766056
172,0.0,1.0,1.0,8.0,1.0,40.0,10.0,-1.683333333,0.3102457249604829
174,0.0,1.0,1.0,4.0,1.0,60.0,10.0,-1.74,0.5449058772812188
176,0.0,1.0,1.0,12.0,1.0,60.0,10.0,-1.422666667,0.6743785026584279
177,0.0,1.0,1.0,4.0,1.0,80.0,10.0,-1.713333333,0.6335680413852567
178,0.0,1.0,1.0,8.0,1.0,80.0,10.0,-2.203333333,0.14154332519040091
179,0.0,1.0,1.0,12.0,1.0,80.0,10.0,-1.184333333,0.14154332519040091
181,1.0,1.0,2.0,8.0,200.0,20.0,500.0,-3.523333333,0.14154332519040091
183,1.0,1.0,2.0,4.0,200.0,40.0,500.0,-4.23,0.14154332519040091
184,1.0,1.0,2.0,8.0,200.0,40.0,500.0,-1.803333333,0.14154332519040091
186,1.0,1.0,2.0,4.0,200.0,60.0,500.0,-5.31,0.14154332519040091
187,1.0,1.0,2.0,8.0,200.0,60.0,500.0,0.721666667,0.14154332519040091
188,1.0,1.0,2.0,12.0,200.0,60.0,500.0,-0.501666667,0.4614168702399771
189,1.0,1.0,2.0,4.0,200.0,80.0,500.0,-24.63333333,0.14154332519040091
190,1.0,1.0,2.0,8.0,200.0,80.0,500.0,-6.11,0.14154332519040091
191,1.0,1.0,2.0,12.0,200.0,80.0,500.0,-0.955,0.14154332519040091
192,1.0,1.0,2.0,4.0,100.0,20.0,500.0,-11.77666667,0.14154332519040091
193,1.0,1.0,2.0,8.0,100.0,20.0,500.0,-3.553333333,0.14154332519040091
194,1.0,1.0,2.0,12.0,100.0,20.0,500.0,-1.593,0.14154332519040091
195,1.0,1.0,2.0,4.0,100.0,40.0,500.0,-3.686666667,0.14154332519040091
196,1.0,1.0,2.0,8.0,100.0,40.0,500.0,0.269333333,0.14154332519040091
197,1.0,1.0,2.0,12.0,100.0,40.0,500.0,-2.24,0.14154332519040091
198,1.0,1.0,2.0,4.0,100.0,60.0,500.0,-3.663333333,0.14154332519040091
199,1.0,1.0,2.0,8.0,100.0,60.0,500.0,0.073,0.28366144561000145
200,1.0,1.0,2.0,12.0,100.0,60.0,500.0,-1.161666667,0.14154332519040091
201,1.0,1.0,2.0,4.0,100.0,80.0,500.0,-26.66666667,0.14154332519040091
202,1.0,1.0,2.0,8.0,100.0,80.0,500.0,-6.033333333,0.0
203,1.0,1.0,2.0,12.0,100.0,80.0,500.0,-0.325333333,0.14154332519040091
206,1.0,1.0,2.0,12.0,50.0,20.0,500.0,-3.116666667,0.14154332519040091
207,1.0,1.0,2.0,4.0,50.0,40.0,500.0,-0.756333333,0.14154332519040091
208,1.0,1.0,2.0,8.0,50.0,40.0,500.0,0.3774,0.14154332519040091
210,1.0,1.0,2.0,4.0,50.0,60.0,500.0,-2.12,0.3546486564161517
211,1.0,1.0,2.0,8.0,50.0,60.0,500.0,1.195666667,0.033912918522776225
212,1.0,1.0,2.0,12.0,50.0,60.0,500.0,0.16,0.14154332519040091
213,1.0,1.0,2.0,4.0,50.0,80.0,500.0,-29.4,0.1444173013363989
214,1.0,1.0,2.0,8.0,50.0,80.0,500.0,-10.41,0.14154332519040091
215,1.0,1.0,2.0,12.0,50.0,80.0,500.0,-0.4925,0.14154332519040091
216,1.0,1.0,2.0,4.0,10.0,20.0,500.0,-9.42,0.33740479954016384
217,1.0,1.0,2.0,8.0,10.0,20.0,500.0,-1.686666667,0.125736456387412
219,1.0,1.0,2.0,4.0,10.0,40.0,500.0,-2.53,0.550222733151315
220,1.0,1.0,2.0,8.0,10.0,40.0,500.0,2.476666667,0.5461991665469177
221,1.0,1.0,2.0,12.0,10.0,40.0,500.0,1.541666667,0.18407817215117112
222,1.0,1.0,2.0,4.0,10.0,60.0,500.0,-1.64,0.32993246156056905
223,1.0,1.0,2.0,8.0,10.0,60.0,500.0,2.77,0.5768070125017963
224,1.0,1.0,2.0,12.0,10.0,60.0,500.0,2.354,0.6260957034056618
225,1.0,1.0,2.0,4.0,10.0,80.0,500.0,-26.83333333,0.5735019399338985
226,1.0,1.0,2.0,8.0,10.0,80.0,500.0,5.42,0.6498060066101452
227,1.0,1.0,2.0,12.0,10.0,80.0,500.0,7.203333333,0.8077309958327346
228,1.0,1.0,2.0,4.0,1.0,20.0,500.0,2.916666667,0.837045552521914
230,1.0,1.0,2.0,12.0,1.0,20.0,500.0,5.006666667,0.8917947981031757
231,1.0,1.0,2.0,4.0,1.0,40.0,500.0,4.206666667,0.14154332519040091
232,1.0,1.0,2.0,8.0,1.0,40.0,500.0,4.25,0.14154332519040091
233,1.0,1.0,2.0,12.0,1.0,40.0,500.0,2.72,0.14154332519040091
234,1.0,1.0,2.0,4.0,1.0,60.0,500.0,4.343333333,0.14154332519040091
235,1.0,1.0,2.0,8.0,1.0,60.0,500.0,5.876666667,0.14154332519040091
236,1.0,1.0,2.0,12.0,1.0,60.0,500.0,6.29,0.14154332519040091
237,1.0,1.0,2.0,4.0,1.0,80.0,500.0,6.303333333,0.14154332519040091
238,1.0,1.0,2.0,8.0,1.0,80.0,500.0,11.93333333,0.22733151314844086
239,1.0,1.0,2.0,12.0,1.0,80.0,500.0,8.72,0.14154332519040091
240,1.0,1.0,2.0,4.0,200.0,20.0,100.0,-4.186666667,0.14154332519040091
242,1.0,1.0,2.0,12.0,200.0,20.0,100.0,-2.373333333,0.14154332519040091
243,1.0,1.0,2.0,4.0,200.0,40.0,100.0,-1.616666667,0.14154332519040091
244,1.0,1.0,2.0,8.0,200.0,40.0,100.0,-1.976666667,0.14154332519040091
245,1.0,1.0,2.0,12.0,200.0,40.0,100.0,-2.136666667,0.009196723667193596
246,1.0,1.0,2.0,4.0,200.0,60.0,100.0,-0.094333333,0.14154332519040091
247,1.0,1.0,2.0,8.0,200.0,60.0,100.0,-1.95,0.14154332519040091
248,1.0,1.0,2.0,12.0,200.0,60.0,100.0,-2.43,0.14154332519040091
249,1.0,1.0,2.0,4.0,200.0,80.0,100.0,-15.26666667,0.14154332519040091
250,1.0,1.0,2.0,8.0,200.0,80.0,100.0,-3.21,0.14154332519040091
251,1.0,1.0,2.0,12.0,200.0,80.0,100.0,-4.51,0.14154332519040091
252,1.0,1.0,2.0,4.0,100.0,20.0,100.0,-4.66,0.1132346601523207
253,1.0,1.0,2.0,8.0,100.0,20.0,100.0,-6.34,0.14154332519040091
255,1.0,1.0,2.0,4.0,100.0,40.0,100.0,-3.043333333,0.14154332519040091
256,1.0,1.0,2.0,8.0,100.0,40.0,100.0,-0.049066667,0.14154332519040091
257,1.0,1.0,2.0,12.0,100.0,40.0,100.0,-1.993333333,0.14154332519040091
258,1.0,1.0,2.0,4.0,100.0,60.0,100.0,-2.476666667,0.14154332519040091
259,1.0,1.0,2.0,8.0,100.0,60.0,100.0,1.32,0.0896680557551372
260,1.0,1.0,2.0,12.0,100.0,60.0,100.0,-1.426666667,0.42951573501939927
261,1.0,1.0,2.0,4.0,100.0,80.0,100.0,-15.93333333,0.017962350912487435
262,1.0,1.0,2.0,8.0,100.0,80.0,100.0,-3.53,0.05503664319586149
263,1.0,1.0,2.0,12.0,100.0,80.0,100.0,-3.316666667,0.23509124874263537
264,1.0,1.0,2.0,4.0,50.0,20.0,100.0,-3.213333333,0.26670498634861334
266,1.0,1.0,2.0,12.0,50.0,20.0,100.0,-1.060666667,0.5125736456387413
267,1.0,1.0,2.0,4.0,50.0,40.0,100.0,-3.176666667,0.5222014657278344
268,1.0,1.0,2.0,8.0,50.0,40.0,100.0,-1.57,0.5598505532404081
269,1.0,1.0,2.0,12.0,50.0,40.0,100.0,0.963666667,0.2151171145279494
270,1.0,1.0,2.0,4.0,50.0,60.0,100.0,-3.816666667,0.0946975140106337
271,1.0,1.0,2.0,8.0,50.0,60.0,100.0,0.242266667,0.2151171145279494
272,1.0,1.0,2.0,12.0,50.0,60.0,100.0,-1.88,0.0
273,1.0,1.0,2.0,4.0,50.0,80.0,100.0,-15.9,0.017962350912487435
274,1.0,1.0,2.0,8.0,50.0,80.0,100.0,-5.523333333,0.14154332519040091
275,1.0,1.0,2.0,12.0,50.0,80.0,100.0,-2.94,0.14154332519040091
278,1.0,1.0,2.0,12.0,10.0,20.0,100.0,-0.284166667,0.14154332519040091
279,1.0,1.0,2.0,4.0,10.0,40.0,100.0,-0.60825,0.14154332519040091
281,1.0,1.0,2.0,12.0,10.0,40.0,100.0,0.813333333,0.06135939071705704
282,1.0,1.0,2.0,4.0,10.0,60.0,100.0,1.84,0.017962350912487435
283,1.0,1.0,2.0,8.0,10.0,60.0,100.0,-0.397333333,0.14154332519040091
284,1.0,1.0,2.0,12.0,10.0,60.0,100.0,-0.254666667,0.14154332519040091
285,1.0,1.0,2.0,4.0,10.0,80.0,100.0,-12.13333333,0.14154332519040091
286,1.0,1.0,2.0,8.0,10.0,80.0,100.0,-6.06,0.14154332519040091
287,1.0,1.0,2.0,12.0,10.0,80.0,100.0,-0.9158,0.14154332519040091
288,1.0,1.0,2.0,4.0,1.0,20.0,100.0,-3.646666667,0.14154332519040091
289,1.0,1.0,2.0,8.0,1.0,20.0,100.0,1.916666667,0.14154332519040091
290,1.0,1.0,2.0,12.0,1.0,20.0,100.0,0.651,0.14154332519040091
291,1.0,1.0,2.0,4.0,1.0,40.0,100.0,-1.32,0.15131484408679408
292,1.0,1.0,2.0,8.0,1.0,40.0,100.0,2.876666667,0.14154332519040091
294,1.0,1.0,2.0,4.0,1.0,60.0,100.0,0.54,0.06135939071705704
295,1.0,1.0,2.0,8.0,1.0,60.0,100.0,4.106666667,0.06135939071705704
296,1.0,1.0,2.0,12.0,1.0,60.0,100.0,1.651,0.14154332519040091
297,1.0,1.0,2.0,4.0,1.0,80.0,100.0,-0.074666667,0.14154332519040091
298,1.0,1.0,2.0,8.0,1.0,80.0,100.0,-5.6,0.14154332519040091
299,1.0,1.0,2.0,12.0,1.0,80.0,100.0,6.683333333,0.14154332519040091
303,1.0,1.0,2.0,4.0,200.0,40.0,10.0,-5.413333333,0.009196723667193596
304,1.0,1.0,2.0,8.0,200.0,40.0,10.0,-1.593333333,0.14154332519040091
306,1.0,1.0,2.0,4.0,200.0,60.0,10.0,-3.223333333,0.0
307,1.0,1.0,2.0,8.0,200.0,60.0,10.0,-1.48,0.17301336398907885
308,1.0,1.0,2.0,12.0,200.0,60.0,10.0,-2.086666667,0.1579249892225894
309,1.0,1.0,2.0,4.0,200.0,80.0,10.0,-3.64,0.14154332519040091
310,1.0,1.0,2.0,8.0,200.0,80.0,10.0,-33.9,0.14154332519040091
311,1.0,1.0,2.0,12.0,200.0,80.0,10.0,-2.783333333,0.591320592039086
315,1.0,1.0,2.0,4.0,100.0,40.0,10.0,-6.893333333,0.7518321597930737
318,1.0,1.0,2.0,4.0,100.0,60.0,10.0,-3.093333333,0.6367294151458542
319,1.0,1.0,2.0,8.0,100.0,60.0,10.0,-2.686666667,0.40307515447621795
320,1.0,1.0,2.0,12.0,100.0,60.0,10.0,-1.29,0.4632849547348757
321,1.0,1.0,2.0,4.0,100.0,80.0,10.0,-3.763333333,0.017962350912487435
322,1.0,1.0,2.0,8.0,100.0,80.0,10.0,-36.3,0.14154332519040091
323,1.0,1.0,2.0,12.0,100.0,80.0,10.0,-1.66,0.14154332519040091
326,1.0,1.0,2.0,12.0,50.0,20.0,10.0,-6.54,0.14154332519040091
327,1.0,1.0,2.0,4.0,50.0,40.0,10.0,-2.723333333,0.14154332519040091
330,1.0,1.0,2.0,4.0,50.0,60.0,10.0,-2.57,0.14154332519040091
331,1.0,1.0,2.0,8.0,50.0,60.0,10.0,-1.666333333,0.14154332519040091
333,1.0,1.0,2.0,4.0,50.0,80.0,10.0,-3.51,0.14154332519040091
334,1.0,1.0,2.0,8.0,50.0,80.0,10.0,-36.66666667,0.14154332519040091
335,1.0,1.0,2.0,12.0,50.0,80.0,10.0,-2.383333333,0.14154332519040091
339,1.0,1.0,2.0,4.0,10.0,40.0,10.0,-5.483333333,0.14154332519040091
341,1.0,1.0,2.0,12.0,10.0,40.0,10.0,-1.983333333,0.14154332519040091
342,1.0,1.0,2.0,4.0,10.0,60.0,10.0,-3.656666667,0.14154332519040091
343,1.0,1.0,2.0,8.0,10.0,60.0,10.0,-1.370333333,0.14154332519040091
344,1.0,1.0,2.0,12.0,10.0,60.0,10.0,-2.37,0.14154332519040091
345,1.0,1.0,2.0,4.0,10.0,80.0,10.0,-4.92,0.14154332519040091
346,1.0,1.0,2.0,8.0,10.0,80.0,10.0,-31.9,0.14154332519040091
347,1.0,1.0,2.0,12.0,10.0,80.0,10.0,-2.056666667,0.14154332519040091
351,1.0,1.0,2.0,4.0,1.0,40.0,10.0,-3.126666667,0.14154332519040091
352,1.0,1.0,2.0,8.0,1.0,40.0,10.0,-1.383333333,0.6166115821238685
354,1.0,1.0,2.0,4.0,1.0,60.0,10.0,-2.37,0.5290990084782297
355,1.0,1.0,2.0,8.0,1.0,60.0,10.0,-1.059,0.540020117833022
356,1.0,1.0,2.0,12.0,1.0,60.0,10.0,-1.533333333,0.5319729846242276
357,1.0,1.0,2.0,4.0,1.0,80.0,10.0,-3.313333333,0.21066245150165247
358,1.0,1.0,2.0,8.0,1.0,80.0,10.0,15.6,0.25420319011352205
359,1.0,1.0,2.0,12.0,1.0,80.0,10.0,-1.012333333,0.05503664319586149
360,1.0,0.0,2.0,4.0,200.0,20.0,500.0,5.9,1.0
361,1.0,0.0,2.0,8.0,200.0,20.0,500.0,5.12,0.9639315993677253
363,1.0,0.0,2.0,4.0,200.0,40.0,500.0,12.9,0.7131771806294007
364,1.0,0.0,2.0,8.0,200.0,40.0,500.0,1.866666667,0.924414427360253
365,1.0,0.0,2.0,12.0,200.0,40.0,500.0,6.673333333,0.9568903578100301
366,1.0,0.0,2.0,4.0,200.0,60.0,500.0,16.2,0.5449058772812188
367,1.0,0.0,2.0,8.0,200.0,60.0,500.0,13.33333333,0.7207932174162954
368,1.0,0.0,2.0,12.0,200.0,60.0,500.0,15.63333333,0.6720793217416297
369,1.0,0.0,2.0,4.0,200.0,80.0,500.0,-10.96666667,0.14154332519040091
370,1.0,0.0,2.0,8.0,200.0,80.0,500.0,5.703333333,0.14154332519040091
372,1.0,0.0,2.0,4.0,100.0,20.0,500.0,1.823,0.14154332519040091
373,1.0,0.0,2.0,8.0,100.0,20.0,500.0,7.926666667,0.009196723667193596
374,1.0,0.0,2.0,12.0,100.0,20.0,500.0,2.883333333,0.14154332519040091
375,1.0,0.0,2.0,4.0,100.0,40.0,500.0,12.1,0.14154332519040091
376,1.0,0.0,2.0,8.0,100.0,40.0,500.0,4.013333333,0.14154332519040091
377,1.0,0.0,2.0,12.0,100.0,40.0,500.0,2.956666667,0.14154332519040091
378,1.0,0.0,2.0,4.0,100.0,60.0,500.0,22.76666667,0.14154332519040091
379,1.0,0.0,2.0,8.0,100.0,60.0,500.0,9.33,0.14154332519040091
380,1.0,0.0,2.0,12.0,100.0,60.0,500.0,19.53333333,0.017962350912487435
381,1.0,0.0,2.0,4.0,100.0,80.0,500.0,7.633333333,0.14154332519040091
382,1.0,0.0,2.0,8.0,100.0,80.0,500.0,7.98,0.14154332519040091
383,1.0,0.0,2.0,12.0,100.0,80.0,500.0,-25.13333333,0.14154332519040091
384,1.0,0.0,2.0,4.0,50.0,20.0,500.0,18.9,0.14154332519040091
386,1.0,0.0,2.0,12.0,50.0,20.0,500.0,2.883333333,0.14154332519040091
387,1.0,0.0,2.0,4.0,50.0,40.0,500.0,17.63333333,0.14154332519040091
388,1.0,0.0,2.0,8.0,50.0,40.0,500.0,0.663333333,0.14154332519040091
389,1.0,0.0,2.0,12.0,50.0,40.0,500.0,3.57,0.14154332519040091
390,1.0,0.0,2.0,4.0,50.0,60.0,500.0,24.03333333,0.14154332519040091
391,1.0,0.0,2.0,8.0,50.0,60.0,500.0,9.956666667,0.14154332519040091
392,1.0,0.0,2.0,12.0,50.0,60.0,500.0,18.63333333,0.14154332519040091
393,1.0,0.0,2.0,4.0,50.0,80.0,500.0,6.13,0.009196723667193596
394,1.0,0.0,2.0,8.0,50.0,80.0,500.0,9.33,0.1132346601523207
396,1.0,0.0,2.0,4.0,10.0,20.0,500.0,44.06666667,0.2606696364420175
397,1.0,0.0,2.0,8.0,10.0,20.0,500.0,25.86666667,0.14154332519040091
399,1.0,0.0,2.0,4.0,10.0,40.0,500.0,26.16666667,0.14154332519040091
400,1.0,0.0,2.0,8.0,10.0,40.0,500.0,27.06666667,0.33740479954016384
401,1.0,0.0,2.0,12.0,10.0,40.0,500.0,22.36666667,0.3489007041241557
402,1.0,0.0,2.0,4.0,10.0,60.0,500.0,30.7,0.30004310964219
