,RLU_HepG2
204,0.32892656990946983
205,0.05503664319586149
206,0.14154332519040091
207,0.14154332519040091
208,0.14154332519040091
209,0.14154332519040091
210,0.3546486564161517
211,0.033912918522776225
212,0.14154332519040091
213,0.1444173013363989
214,0.14154332519040091
215,0.14154332519040091
216,0.33740479954016384
217,0.125736456387412
218,0.21712889783014794
219,0.550222733151315
220,0.5461991665469177
221,0.18407817215117112
222,0.32993246156056905
223,0.5768070125017963
224,0.6260957034056618
225,0.5735019399338985
226,0.6498060066101452
227,0.8077309958327346
228,0.837045552521914
229,0.8936628825980744
230,0.8917947981031757
231,0.14154332519040091
232,0.14154332519040091
233,0.14154332519040091
234,0.14154332519040091
235,0.14154332519040091
236,0.14154332519040091
237,0.14154332519040091
238,0.22733151314844086
239,0.14154332519040091
240,0.14154332519040091
241,0.14154332519040091
242,0.14154332519040091
243,0.14154332519040091
244,0.14154332519040091
245,0.009196723667193596
246,0.14154332519040091
247,0.14154332519040091
248,0.14154332519040091
249,0.14154332519040091
250,0.14154332519040091
251,0.14154332519040091
252,0.1132346601523207
253,0.14154332519040091
254,0.14154332519040091
255,0.14154332519040091
256,0.14154332519040091
257,0.14154332519040091
258,0.14154332519040091
259,0.0896680557551372
260,0.42951573501939927
261,0.017962350912487435
262,0.05503664319586149
263,0.23509124874263537
264,0.26670498634861334
265,0.3135507975283805
266,0.5125736456387413
267,0.5222014657278344
268,0.5598505532404081
269,0.2151171145279494
270,0.0946975140106337
271,0.2151171145279494
272,0.0
273,0.017962350912487435
274,0.14154332519040091
275,0.14154332519040091
276,0.14154332519040091
277,0.14154332519040091
278,0.14154332519040091
279,0.14154332519040091
280,0.1579249892225894
281,0.06135939071705704
282,0.017962350912487435
283,0.14154332519040091
284,0.14154332519040091
285,0.14154332519040091
286,0.14154332519040091
287,0.14154332519040091
288,0.14154332519040091
289,0.14154332519040091
290,0.14154332519040091
291,0.15131484408679408
292,0.14154332519040091
293,0.14154332519040091
294,0.06135939071705704
295,0.06135939071705704
296,0.14154332519040091
297,0.14154332519040091
298,0.14154332519040091
299,0.14154332519040091
300,0.14154332519040091
301,0.009196723667193596
302,0.14154332519040091
303,0.009196723667193596
304,0.14154332519040091
305,0.02615318292858171
306,0.0
307,0.17301336398907885
308,0.1579249892225894
309,0.14154332519040091
310,0.14154332519040091
311,0.591320592039086
312,0.701537577238109
313,0.3819514298031326
314,0.6807012501796235
315,0.7518321597930737
316,0.4648656416151746
317,0.8080183934473344
318,0.6367294151458542
319,0.40307515447621795
320,0.4632849547348757
321,0.017962350912487435
322,0.14154332519040091
323,0.14154332519040091
324,0.14154332519040091
325,0.14154332519040091
326,0.14154332519040091
327,0.14154332519040091
328,0.14154332519040091
329,0.14154332519040091
330,0.14154332519040091
331,0.14154332519040091
332,0.14154332519040091
333,0.14154332519040091
334,0.14154332519040091
335,0.14154332519040091
336,0.14154332519040091
337,0.14154332519040091
338,0.14154332519040091
339,0.14154332519040091
340,0.14154332519040091
341,0.14154332519040091
342,0.14154332519040091
343,0.14154332519040091
344,0.14154332519040091
345,0.14154332519040091
346,0.14154332519040091
347,0.14154332519040091
348,0.0
349,0.14154332519040091
350,0.14154332519040091
351,0.14154332519040091
352,0.6166115821238685
353,0.6077022560712746
354,0.5290990084782297
355,0.540020117833022
356,0.5319729846242276
357,0.21066245150165247
358,0.25420319011352205
359,0.05503664319586149
360,1.0
361,0.9639315993677253
362,0.9518608995545337
363,0.7131771806294007
364,0.924414427360253
365,0.9568903578100301
366,0.5449058772812188
367,0.7207932174162954
