,RF,XGB,LGBM,DT,kNN,MLR,PLS,lasso
48,0.06956019563310674,0.0011172081576660275,0.0035015352905219815,0.19397015326700728,0.643085806607538,0.6379552743592647,0.6370912194725595,0.19158932477309032
49,0.030813029499294278,0.00759686684698202,0.013978204364388819,0.0036804248453885455,0.02616444554085772,0.13241745046108802,0.13297523297727198,0.08129503677777242
50,0.08247739807808048,0.07538328319787979,0.10210099783220693,0.020250739446087636,0.0326094568796516,0.11770592392484266,0.11828259960430298,0.24195044552753353
51,0.06012764620373348,0.10516739821171173,0.07843619905954971,0.04095522990051088,0.04011602578649319,0.0017395399591292604,0.002494541948507595,0.0642629352083377
52,0.02846138448208893,0.10695792082722189,0.03900447194509238,0.0036804248453885455,0.012939878644422738,0.25977540701148927,0.2599514504416377,0.3392984498416647
53,0.0656351892576516,0.038950491044494995,0.056320149043967205,0.0036804248453885455,0.010134469545935608,0.17107175812252334,0.17149405982068452,0.04890413391137127
54,0.019449678052855992,0.03470017764798472,0.04457426503231737,0.06394191987093298,0.12257297959448796,0.04244182467648963,0.04285429809466307,0.10572573796575191
55,0.05995004897629949,0.06883039062882296,0.0013527782980193165,0.0036804248453885455,0.03224303443814908,0.24248511977245013,0.2431269790640323,0.1794773905374687
56,0.16645205044238723,0.12868664558935827,0.09430418716671868,0.00914224253831672,0.026877699358598666,0.22645895418201484,0.22690623670033627,0.024009400591686658
57,0.1343944499396067,0.007172410095145132,0.012937978424653274,0.004974455498790012,0.07206768444011062,0.2830873892942173,0.2835972447432814,0.016830708691772833
58,0.12357727064900492,0.024896799283952165,0.020010389392438432,0.044770099489109955,0.047479857060611384,0.20361416558762777,0.20114709774159048,0.0731542511421055
59,0.28072150384981476,0.04314690346710137,0.022511216346095597,0.013085955005825942,0.06406765074621959,0.29569160829707397,0.29587813014396486,0.09903112729616692
60,0.0379785025789916,0.01659484787409138,0.02770434460214305,0.3022093752800932,0.1418662747834672,0.35168758791181587,0.35190319326259173,0.0741035499753977
61,0.003394802990435375,0.04621843988855667,0.07628065705796003,0.02159182575961277,0.03932531767893674,0.12213373734900373,0.12297535981707533,0.2948023577744391
62,0.04603973162268393,0.05963059192817355,0.07335458308296494,0.2236824415165367,0.11316279668344328,0.2507752686064106,0.2509819548824089,0.14797029820080293
63,0.04481265951975481,0.011043705905628198,0.08638330911498038,0.254055749753518,0.06313937432047256,0.1513040832623162,0.15165386168631428,0.10866142990277378
64,0.05433470165537779,0.044915884292455854,0.01133280185068447,0.2480057363090437,0.0447028131070103,0.15042775961778704,0.15098910321296793,0.10989252333983446
65,0.0032017152641730107,0.036840494464693174,0.002711551959667935,0.025858205610827245,0.17983805650332652,0.13230134049532027,0.13190772765474312,0.06954973530986053
66,0.10554579670781103,0.1120429011915729,0.1259846168650659,0.013847808550685625,0.0005794664474705891,0.08117673026455663,0.0815433188459267,0.3011530258968851
67,0.33780697962948714,0.0685025250835184,0.04156802828208166,0.0013982253293896851,0.10142452546049413,0.08843261890725362,0.08942096106687941,0.01224816370356463
68,0.10629823965415675,0.21557649970054626,0.2676051918732813,0.05252307968091774,0.0825665433673583,0.08189188035445466,0.0812515927268811,0.20019136888612693
69,0.2504060898133568,0.12779677718372945,0.11189415739649572,0.029443398763108253,0.013971564995030272,0.05644731033365313,0.055937800237908786,0.16497630563864263
70,0.03249067009500772,0.22554075717926025,0.24280947915926257,0.05008066684592627,0.01571769169370224,0.1380648998438178,0.13806237489084178,0.204633889185507
71,0.06038545187838573,0.11803017556667328,0.07336493935941178,0.07661109617280631,0.0805893358025731,0.24950815662773662,0.2523599565984038,0.20474290019865243
72,0.030540756363718002,0.054100317647618024,0.04005981220016863,0.020682082997221463,0.19782573970047523,0.135343756093114,0.13727977075076692,0.09879768219954749
73,0.48167599657165905,0.021142884363696046,0.030958572095482306,0.24895805324011816,0.09137113090137372,0.13188562729175307,0.13122644985481224,0.14497604980020906
74,0.20049118946785438,0.03930927091434655,0.11698656359067461,0.0624047683068924,0.11007357489123759,4.6720536264532875e-05,0.0007553334137672119,0.06956881351416278
75,0.009132405264472454,0.09508795227277467,0.1327878332892815,0.27902662005915574,0.515359525261391,0.4173722745930731,0.4154089654473813,0.12553377570831292
76,0.023699096659368257,0.25100187166751986,0.23719350093524183,0.026922559827910725,0.12090390205791617,0.136487944946652,0.1370851763350994,0.09463993934299214
77,0.07631234514846541,0.15710942682382645,0.00579905473648612,0.22376086761674283,0.1746611570750846,0.14546063333271791,0.14567168371397987,0.6302228575392785
78,0.07229014375984319,0.12669358873085246,0.08478039937469606,0.19942636909563502,0.15287741977705527,0.12113636586867929,0.1210913408379396,0.17032108428360304
79,0.044359278367840795,0.017236474615204445,0.022124584528135642,0.15035403782378773,0.12312299210038075,0.04451862342242499,0.04435825998878773,0.037252509445426935
80,0.03428504539644126,0.04101402355790229,0.006831617038556809,0.2803557023777513,0.4065213157701835,0.2428144676018667,0.24271290691143213,0.012435578213927573
81,0.10381903364106249,0.012181771306596978,0.011853518016907025,0.020262743441017084,0.14805865228094622,0.03267771984189527,0.03297751821140604,0.12503654609807893
82,0.04887060493732326,0.0188052948483155,0.03276795326085474,0.10083355740790534,0.4960899046980004,0.2660287904328724,0.2669117879002758,0.03388381313246924
83,0.005598021421529181,0.038159902729184236,0.04684077919916947,0.0484001075557946,0.01986506472357863,0.051469148594283476,0.052176380466221584,0.09883163798163086
