P_charged_centers,cLogP,Double_bonds,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL)
1,9.784,2,-3.213333333,4,0.99009901,20,1.960784314
1,9.784,2,-2.766666667,8,0.99009901,20,1.960784314
1,9.784,2,-1.060666667,12,0.99009901,20,1.960784314
1,9.784,2,-3.176666667,4,0.99009901,40,1.960784314
1,9.784,2,-1.57,8,0.99009901,40,1.960784314
1,9.784,2,0.963666667,12,0.99009901,40,1.960784314
1,9.784,2,-3.816666667,4,0.99009901,60,1.960784314
1,9.784,2,0.242266667,8,0.99009901,60,1.960784314
1,9.784,2,-1.88,12,0.99009901,60,1.960784314
1,9.784,2,-15.9,4,0.99009901,80,1.960784314
1,9.784,2,-5.523333333,8,0.99009901,80,1.960784314
1,9.784,2,-2.94,12,0.99009901,80,1.960784314
1,9.784,2,-5.373333333,4,0.99009901,20,9.090909091
1,9.784,2,-2.173333333,8,0.99009901,20,9.090909091
1,9.784,2,-0.284166667,12,0.99009901,20,9.090909091
1,9.784,2,-0.60825,4,0.99009901,40,9.090909091
1,9.784,2,-3.73,8,0.99009901,40,9.090909091
1,9.784,2,0.813333333,12,0.99009901,40,9.090909091
1,9.784,2,1.84,4,0.99009901,60,9.090909091
1,9.784,2,-0.397333333,8,0.99009901,60,9.090909091
1,9.784,2,-0.254666667,12,0.99009901,60,9.090909091
1,9.784,2,-12.13333333,4,0.99009901,80,9.090909091
1,9.784,2,-6.06,8,0.99009901,80,9.090909091
1,9.784,2,-0.9158,12,0.99009901,80,9.090909091
1,9.784,2,-3.646666667,4,0.99009901,20,50.0
1,9.784,2,1.916666667,8,0.99009901,20,50.0
1,9.784,2,0.651,12,0.99009901,20,50.0
1,9.784,2,-1.32,4,0.99009901,40,50.0
1,9.784,2,2.876666667,8,0.99009901,40,50.0
1,9.784,2,-3.013333333,12,0.99009901,40,50.0
1,9.784,2,0.54,4,0.99009901,60,50.0
1,9.784,2,4.106666667,8,0.99009901,60,50.0
1,9.784,2,1.651,12,0.99009901,60,50.0
1,9.784,2,-0.074666667,4,0.99009901,80,50.0
1,9.784,2,-5.6,8,0.99009901,80,50.0
1,9.784,2,6.683333333,12,0.99009901,80,50.0
1,9.784,2,-9.106666667,4,9.090909091,20,0.497512438
1,9.784,2,-4.033333333,8,9.090909091,20,0.497512438
1,9.784,2,-5.893333333,12,9.090909091,20,0.497512438
1,9.784,2,-5.413333333,4,9.090909091,40,0.497512438
1,9.784,2,-1.593333333,8,9.090909091,40,0.497512438
1,9.784,2,-1.943333333,12,9.090909091,40,0.497512438
1,9.784,2,-3.223333333,4,9.090909091,60,0.497512438
1,9.784,2,-1.48,8,9.090909091,60,0.497512438
1,9.784,2,-2.086666667,12,9.090909091,60,0.497512438
1,9.784,2,-3.64,4,9.090909091,80,0.497512438
1,9.784,2,-33.9,8,9.090909091,80,0.497512438
1,9.784,2,-2.783333333,12,9.090909091,80,0.497512438
1,9.784,2,-6.903333333,4,9.090909091,20,0.99009901
1,9.784,2,-2.48,8,9.090909091,20,0.99009901
1,9.784,2,-1.81,12,9.090909091,20,0.99009901
1,9.784,2,-6.893333333,4,9.090909091,40,0.99009901
1,9.784,2,-3.68,8,9.090909091,40,0.99009901
1,9.784,2,-2.296666667,12,9.090909091,40,0.99009901
1,9.784,2,-3.093333333,4,9.090909091,60,0.99009901
1,9.784,2,-2.686666667,8,9.090909091,60,0.99009901
1,9.784,2,-1.29,12,9.090909091,60,0.99009901
1,9.784,2,-3.763333333,4,9.090909091,80,0.99009901
1,9.784,2,-36.3,8,9.090909091,80,0.99009901
1,9.784,2,-1.66,12,9.090909091,80,0.99009901
1,9.784,2,-8.986666667,4,9.090909091,20,1.960784314
1,9.784,2,-6.63,8,9.090909091,20,1.960784314
1,9.784,2,-6.54,12,9.090909091,20,1.960784314
1,9.784,2,-2.723333333,4,9.090909091,40,1.960784314
1,9.784,2,-2.203333333,8,9.090909091,40,1.960784314
1,9.784,2,-2.146666667,12,9.090909091,40,1.960784314
1,9.784,2,-2.57,4,9.090909091,60,1.960784314
1,9.784,2,-1.666333333,8,9.090909091,60,1.960784314
1,9.784,2,-2.12,12,9.090909091,60,1.960784314
1,9.784,2,-3.51,4,9.090909091,80,1.960784314
1,9.784,2,-36.66666667,8,9.090909091,80,1.960784314
1,9.784,2,-2.383333333,12,9.090909091,80,1.960784314
1,9.784,2,-9.563333333,4,9.090909091,20,9.090909091
1,9.784,2,-5.376666667,8,9.090909091,20,9.090909091
1,9.784,2,-7.476666667,12,9.090909091,20,9.090909091
1,9.784,2,-5.483333333,4,9.090909091,40,9.090909091
1,9.784,2,-2.596666667,8,9.090909091,40,9.090909091
1,9.784,2,-1.983333333,12,9.090909091,40,9.090909091
1,9.784,2,-3.656666667,4,9.090909091,60,9.090909091
1,9.784,2,-1.370333333,8,9.090909091,60,9.090909091
1,9.784,2,-2.37,12,9.090909091,60,9.090909091
1,9.784,2,-4.92,4,9.090909091,80,9.090909091
1,9.784,2,-31.9,8,9.090909091,80,9.090909091
1,9.784,2,-2.056666667,12,9.090909091,80,9.090909091
1,9.784,2,-8.333333333,4,9.090909091,20,50.0
1,9.784,2,-7.673333333,8,9.090909091,20,50.0
1,9.784,2,-9.613333333,12,9.090909091,20,50.0
1,9.784,2,-3.126666667,4,9.090909091,40,50.0
1,9.784,2,-1.383333333,8,9.090909091,40,50.0
1,9.784,2,-1.873333333,12,9.090909091,40,50.0
1,9.784,2,-2.37,4,9.090909091,60,50.0
1,9.784,2,-1.059,8,9.090909091,60,50.0
1,9.784,2,-1.533333333,12,9.090909091,60,50.0
1,9.784,2,-3.313333333,4,9.090909091,80,50.0
1,9.784,2,15.6,8,9.090909091,80,50.0
1,9.784,2,-1.012333333,12,9.090909091,80,50.0
1,12.515,2,5.9,4,0.199600798,20,0.497512438
1,12.515,2,5.12,8,0.199600798,20,0.497512438
1,12.515,2,9.113333333,12,0.199600798,20,0.497512438
1,12.515,2,12.9,4,0.199600798,40,0.497512438
1,12.515,2,1.866666667,8,0.199600798,40,0.497512438
1,12.515,2,6.673333333,12,0.199600798,40,0.497512438
1,12.515,2,16.2,4,0.199600798,60,0.497512438
1,12.515,2,13.33333333,8,0.199600798,60,0.497512438
1,12.515,2,15.63333333,12,0.199600798,60,0.497512438
1,12.515,2,-10.96666667,4,0.199600798,80,0.497512438
1,12.515,2,5.703333333,8,0.199600798,80,0.497512438
1,12.515,2,-30.56666667,12,0.199600798,80,0.497512438
1,12.515,2,1.823,4,0.199600798,20,0.99009901
1,12.515,2,7.926666667,8,0.199600798,20,0.99009901
1,12.515,2,2.883333333,12,0.199600798,20,0.99009901
1,12.515,2,12.1,4,0.199600798,40,0.99009901
1,12.515,2,4.013333333,8,0.199600798,40,0.99009901
1,12.515,2,2.956666667,12,0.199600798,40,0.99009901
1,12.515,2,22.76666667,4,0.199600798,60,0.99009901
1,12.515,2,9.33,8,0.199600798,60,0.99009901
1,12.515,2,19.53333333,12,0.199600798,60,0.99009901
1,12.515,2,7.633333333,4,0.199600798,80,0.99009901
1,12.515,2,7.98,8,0.199600798,80,0.99009901
1,12.515,2,-25.13333333,12,0.199600798,80,0.99009901
1,12.515,2,18.9,4,0.199600798,20,1.960784314
1,12.515,2,21.16666667,8,0.199600798,20,1.960784314
1,12.515,2,2.883333333,12,0.199600798,20,1.960784314
1,12.515,2,17.63333333,4,0.199600798,40,1.960784314
1,12.515,2,0.663333333,8,0.199600798,40,1.960784314
1,12.515,2,3.57,12,0.199600798,40,1.960784314
1,12.515,2,24.03333333,4,0.199600798,60,1.960784314
1,12.515,2,9.956666667,8,0.199600798,60,1.960784314
1,12.515,2,18.63333333,12,0.199600798,60,1.960784314
1,12.515,2,6.13,4,0.199600798,80,1.960784314
1,12.515,2,9.33,8,0.199600798,80,1.960784314
1,12.515,2,-27.3,12,0.199600798,80,1.960784314
1,12.515,2,44.06666667,4,0.199600798,20,9.090909091
1,12.515,2,25.86666667,8,0.199600798,20,9.090909091
1,12.515,2,1.388333333,12,0.199600798,20,9.090909091
1,12.515,2,26.16666667,4,0.199600798,40,9.090909091
1,12.515,2,27.06666667,8,0.199600798,40,9.090909091
1,12.515,2,22.36666667,12,0.199600798,40,9.090909091
1,12.515,2,30.7,4,0.199600798,60,9.090909091
1,12.515,2,15.33333333,8,0.199600798,60,9.090909091
1,12.515,2,20.86666667,12,0.199600798,60,9.090909091
1,12.515,2,15.56666667,4,0.199600798,80,9.090909091
1,12.515,2,18.4,8,0.199600798,80,9.090909091
1,12.515,2,-31.76666667,12,0.199600798,80,9.090909091
1,12.515,2,19.9,4,0.199600798,20,50.0
1,12.515,2,16.3,8,0.199600798,20,50.0
1,12.515,2,12.23333333,12,0.199600798,20,50.0
1,12.515,2,5.41,4,0.199600798,40,50.0
1,12.515,2,22.13333333,8,0.199600798,40,50.0
1,12.515,2,24.76666667,12,0.199600798,40,50.0
1,12.515,2,22.4,4,0.199600798,60,50.0
1,12.515,2,23.5,8,0.199600798,60,50.0
1,12.515,2,21.46666667,12,0.199600798,60,50.0
1,12.515,2,12.93333333,4,0.199600798,80,50.0
1,12.515,2,31.5,8,0.199600798,80,50.0
1,12.515,2,-16.6,12,0.199600798,80,50.0
1,12.515,2,-27.6,4,0.99009901,20,0.497512438
1,12.515,2,-2.563333333,8,0.99009901,20,0.497512438
1,12.515,2,1.926666667,12,0.99009901,20,0.497512438
1,12.515,2,-3.873333333,4,0.99009901,40,0.497512438
1,12.515,2,-3.35,8,0.99009901,40,0.497512438
1,12.515,2,-2.93,12,0.99009901,40,0.497512438
