,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_N2a
171,172,18PG,0,1,9.3028,3,10,36,1,4,1,40,10,163.5666667,-1.746666667,3.0
172,173,18PG,0,1,9.3028,3,10,36,1,8,1,40,10,459.9666667,-1.683333333,3.0
173,174,18PG,0,1,9.3028,3,10,36,1,12,1,40,10,753.9666667,-1.856666667,3.0
174,175,18PG,0,1,9.3028,3,10,36,1,4,1,60,10,194.8666667,-1.74,3.0
175,176,18PG,0,1,9.3028,3,10,36,1,8,1,60,10,934.6333333,-1.833333333,3.0
176,177,18PG,0,1,9.3028,3,10,36,1,12,1,60,10,1021.5,-1.422666667,3.0
177,178,18PG,0,1,9.3028,3,10,36,1,4,1,80,10,201.0,-1.713333333,3.0
178,179,18PG,0,1,9.3028,3,10,36,1,8,1,80,10,456.4,-2.203333333,3.0
179,180,18PG,0,1,9.3028,3,10,36,1,12,1,80,10,398.5,-1.184333333,3.0
180,181,DOPE,1,1,9.784,2,9,36,2,4,200,20,500,288.9666667,-7.436666667,6.284
181,182,DOPE,1,1,9.784,2,9,36,2,8,200,20,500,533.7,-3.523333333,6.05
182,183,DOPE,1,1,9.784,2,9,36,2,12,200,20,500,342.3333333,-3.396666667,5.537
183,184,DOPE,1,1,9.784,2,9,36,2,4,200,40,500,237.1333333,-4.23,5.442
184,185,DOPE,1,1,9.784,2,9,36,2,8,200,40,500,185.1333333,-1.803333333,5.147
185,186,DOPE,1,1,9.784,2,9,36,2,12,200,40,500,267.7333333,-2.356666667,4.369
186,187,DOPE,1,1,9.784,2,9,36,2,4,200,60,500,206.6,-5.31,5.7
187,188,DOPE,1,1,9.784,2,9,36,2,8,200,60,500,173.1333333,0.721666667,4.682
188,189,DOPE,1,1,9.784,2,9,36,2,12,200,60,500,183.6666667,-0.501666667,4.533
189,190,DOPE,1,1,9.784,2,9,36,2,4,200,80,500,166.6333333,-24.63333333,3.258
190,191,DOPE,1,1,9.784,2,9,36,2,8,200,80,500,137.6333333,-6.11,2.197
191,192,DOPE,1,1,9.784,2,9,36,2,12,200,80,500,158.8,-0.955,2.639
192,193,DOPE,1,1,9.784,2,9,36,2,4,100,20,500,577.6666667,-11.77666667,6.619
193,194,DOPE,1,1,9.784,2,9,36,2,8,100,20,500,562.7666667,-3.553333333,6.066
194,195,DOPE,1,1,9.784,2,9,36,2,12,100,20,500,288.1666667,-1.593,5.549
195,196,DOPE,1,1,9.784,2,9,36,2,4,100,40,500,240.3,-3.686666667,5.82
196,197,DOPE,1,1,9.784,2,9,36,2,8,100,40,500,191.7333333,0.269333333,5.124
197,198,DOPE,1,1,9.784,2,9,36,2,12,100,40,500,189.9666667,-2.24,5.394
198,199,DOPE,1,1,9.784,2,9,36,2,4,100,60,500,192.8,-3.663333333,5.347
199,200,DOPE,1,1,9.784,2,9,36,2,8,100,60,500,170.3,0.073,5.215
200,201,DOPE,1,1,9.784,2,9,36,2,12,100,60,500,181.6333333,-1.161666667,5.215
201,202,DOPE,1,1,9.784,2,9,36,2,4,100,80,500,172.9333333,-26.66666667,5.153
202,203,DOPE,1,1,9.784,2,9,36,2,8,100,80,500,148.0,-6.033333333,3.932
203,204,DOPE,1,1,9.784,2,9,36,2,12,100,80,500,162.5333333,-0.325333333,4.635
204,205,DOPE,1,1,9.784,2,9,36,2,4,50,20,500,650.7333333,-11.36666667,6.303
205,206,DOPE,1,1,9.784,2,9,36,2,8,50,20,500,403.2666667,-4.096666667,6.009
206,207,DOPE,1,1,9.784,2,9,36,2,12,50,20,500,475.3333333,-3.116666667,5.389
207,208,DOPE,1,1,9.784,2,9,36,2,4,50,40,500,191.8,-0.756333333,5.513
208,209,DOPE,1,1,9.784,2,9,36,2,8,50,40,500,170.0,0.3774,4.956
209,210,DOPE,1,1,9.784,2,9,36,2,12,50,40,500,307.4666667,-3.04,5.017
210,211,DOPE,1,1,9.784,2,9,36,2,4,50,60,500,189.0333333,-2.12,5.384
211,212,DOPE,1,1,9.784,2,9,36,2,8,50,60,500,155.4333333,1.195666667,4.949
212,213,DOPE,1,1,9.784,2,9,36,2,12,50,60,500,256.8,0.16,4.804
213,214,DOPE,1,1,9.784,2,9,36,2,4,50,80,500,202.3,-29.4,5.257
214,215,DOPE,1,1,9.784,2,9,36,2,8,50,80,500,135.8666667,-10.41,3.555
215,216,DOPE,1,1,9.784,2,9,36,2,12,50,80,500,163.5333333,-0.4925,4.025
216,217,DOPE,1,1,9.784,2,9,36,2,4,10,20,500,431.8,-9.42,6.997
