,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3,Exp_PC3
139,140,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,10,2.6389732352794555,13.998822728800372
140,141,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,10,2.6389732352794555,13.998822728800372
141,142,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,10,3.0910933727360477,22.001120254831193
142,143,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,10,2.707904251597284,14.997810917177775
143,144,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,10,2.525670504695033,12.499273275960652
144,145,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,10,2.5650388426503046,13.001163359504929
145,146,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,10,2.525670504695033,12.499273275960652
146,147,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,10,2.5650388426503046,13.001163359504929
147,148,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,10,2.602751143451792,13.500829708595866
148,149,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,10,2.602751143451792,13.500829708595866
149,150,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,10,2.602751143451792,13.500829708595866
150,151,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,10,2.602751143451792,13.500829708595866
151,152,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,10,2.707904251597284,14.997810917177775
152,153,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,10,2.525670504695033,12.499273275960652
153,154,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,10,2.4848821211989405,11.999705660541164
154,155,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,10,2.5650388426503046,13.001163359504929
155,156,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,10,2.707904251597284,14.997810917177775
156,157,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,10,2.6741246303783845,14.499651727984507
157,158,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,10,2.6389732352794555,13.998822728800372
158,159,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,10,2.525670504695033,12.499273275960652
159,160,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,10,2.6389732352794555,13.998822728800372
160,161,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,10,2.6741246303783845,14.499651727984507
161,162,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,10,2.525670504695033,12.499273275960652
162,163,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,10,2.6389732352794555,13.998822728800372
163,164,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,10,2.4848821211989405,11.999705660541164
164,165,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,10,2.6389732352794555,13.998822728800372
165,166,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,10,2.5650388426503046,13.001163359504929
166,167,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,10,2.8034383158897356,16.501285977333474
167,168,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,10,2.707904251597284,14.997810917177775
168,169,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,10,2.6741246303783845,14.499651727984507
169,170,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,10,2.707904251597284,14.997810917177775
170,171,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,10,2.6741246303783845,14.499651727984507
171,172,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,10,2.4422863813608107,11.499302500056768
172,173,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,10,2.944332606715115,18.997979030914447
173,174,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,10,2.525670504695033,12.499273275960652
174,175,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,10,2.6389732352794555,13.998822728800372
175,176,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,10,2.6741246303783845,14.499651727984507
176,177,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,10,2.602751143451792,13.500829708595866
177,178,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,10,2.5650388426503046,13.001163359504929
178,179,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,10,2.602751143451792,13.500829708595866
179,180,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,10,2.6741246303783845,14.499651727984507
180,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,2.890175541218196,17.99646844628277
181,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,2.7726789280592854,16.001443358210743
182,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,3.33196553882205,27.993309601550315
183,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,2.707904251597284,14.997810917177775
