,P_charged_centers,N_charged_centers,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
641,1,1,0,12,10,40,100
642,1,1,0,4,10,60,100
643,1,1,0,8,10,60,100
644,1,1,0,12,10,60,100
645,1,1,0,4,10,80,100
646,1,1,0,8,10,80,100
647,1,1,0,12,10,80,100
648,1,1,0,4,1,20,100
649,1,1,0,8,1,20,100
650,1,1,0,12,1,20,100
651,1,1,0,4,1,40,100
652,1,1,0,8,1,40,100
653,1,1,0,12,1,40,100
654,1,1,0,4,1,60,100
655,1,1,0,8,1,60,100
656,1,1,0,12,1,60,100
657,1,1,0,4,1,80,100
658,1,1,0,8,1,80,100
659,1,1,0,12,1,80,100
660,1,1,0,4,200,20,10
661,1,1,0,8,200,20,10
662,1,1,0,12,200,20,10
663,1,1,0,4,200,40,10
664,1,1,0,8,200,40,10
665,1,1,0,12,200,40,10
666,1,1,0,4,200,60,10
667,1,1,0,8,200,60,10
668,1,1,0,12,200,60,10
669,1,1,0,4,200,80,10
670,1,1,0,8,200,80,10
671,1,1,0,12,200,80,10
672,1,1,0,4,100,20,10
673,1,1,0,8,100,20,10
674,1,1,0,12,100,20,10
675,1,1,0,4,100,40,10
676,1,1,0,8,100,40,10
677,1,1,0,12,100,40,10
678,1,1,0,4,100,60,10
679,1,1,0,8,100,60,10
680,1,1,0,12,100,60,10
681,1,1,0,4,100,80,10
682,1,1,0,8,100,80,10
683,1,1,0,12,100,80,10
684,1,1,0,4,50,20,10
685,1,1,0,8,50,20,10
686,1,1,0,12,50,20,10
687,1,1,0,4,50,40,10
688,1,1,0,8,50,40,10
689,1,1,0,12,50,40,10
690,1,1,0,4,50,60,10
691,1,1,0,8,50,60,10
692,1,1,0,12,50,60,10
693,1,1,0,4,50,80,10
694,1,1,0,8,50,80,10
695,1,1,0,12,50,80,10
696,1,1,0,4,10,20,10
697,1,1,0,8,10,20,10
698,1,1,0,12,10,20,10
699,1,1,0,4,10,40,10
700,1,1,0,8,10,40,10
701,1,1,0,12,10,40,10
702,1,1,0,4,10,60,10
703,1,1,0,8,10,60,10
704,1,1,0,12,10,60,10
705,1,1,0,4,10,80,10
706,1,1,0,8,10,80,10
707,1,1,0,12,10,80,10
708,1,1,0,4,1,20,10
709,1,1,0,8,1,20,10
710,1,1,0,12,1,20,10
711,1,1,0,4,1,40,10
712,1,1,0,8,1,40,10
713,1,1,0,12,1,40,10
714,1,1,0,4,1,60,10
715,1,1,0,8,1,60,10
716,1,1,0,12,1,60,10
717,1,1,0,4,1,80,10
718,1,1,0,8,1,80,10
719,1,1,0,12,1,80,10
