,RF,XGB,LGBM,DT,kNN,lasso,PLS,MLR
19,0.21413186249358662,0.00700035327027676,0.050187190615264554,0.27175841090669195,0.0013208012443879369,0.14187779189609084,0.07606172281801982,0.18876394784227907
20,0.06744817855310409,0.1116476658553941,0.017232489335541112,0.09392362383639946,0.02595904957480133,0.07717131175767578,0.09293533886574573,0.14202439608149525
21,0.05681503335043632,0.020949111402554732,0.021971817781609837,0.05170600307850179,0.21046160114032547,0.0662868719262647,0.2914164278904403,0.01080963684728592
22,0.04202103642893759,0.0008979526519958952,0.11792904074761984,0.05170600307850179,0.2044978008325959,0.03498877033570541,0.2911355865443893,0.034908581378860604
23,0.005533606977936992,0.025807560718077896,0.05528114222763645,0.022255002565418153,0.29705227034958603,0.14736115270174965,0.25712530266501665,0.19781592290759992
24,0.0198617239610063,0.031782677453135524,0.00990101078063474,0.07162647511544376,0.025744641083592854,0.17701738666788613,0.0842352917008023,0.2202729998147518
25,0.029854284248331822,0.05494439724685597,0.03646460509698035,0.03193090473747222,0.0561680475350636,0.31204131482144093,0.1418699423478308,0.25015999229570707
26,0.0363517188301703,0.11071108896466875,0.018816449614748404,0.06076620489139728,0.04308673301004223,0.10655246474806845,0.09185126494057988,0.03047586173768302
27,0.018178809645972294,0.034558291373159966,0.006502227384035442,0.008437375292172616,0.0041152796134190095,0.07918381026475857,0.16989603216220622,0.17254810511562163
28,0.0021021036428938156,0.04288100072088574,0.00925221749650787,0.03306824012314008,0.05782512004318374,0.005885456025646718,0.01902744805630291,0.055792832866769504
29,0.016616983068240776,0.03255263470407632,0.024484111297803562,0.01608517188301689,0.09767801634957812,0.2157789011125773,0.07274014342874885,0.11709264914205138
30,0.07350333504361212,0.01763442684559409,0.012442153088970093,0.05713186249358648,0.05394470436234522,0.09633303143582,0.11834611740560741,0.012045093583263278
31,0.018281169830682648,0.0268645198422251,0.08697070697616384,0.028407730460064978,0.0801510807381756,0.0426644834625004,0.14018497887548953,0.009937448431609486
32,0.0036729091841965766,0.0015681152835511636,0.17248561710982296,0.0045151359671626035,0.22685011269831923,0.03573469560368736,0.1112597489002925,0.10058005194752836
33,0.02671677783478793,0.021392711471018844,0.2128889896098381,0.06825722592782624,0.21104884399886015,0.1345275733738467,0.04068861425181297,0.07926466291990536
34,0.05016803488968796,0.003062556244398551,0.10220002207395873,0.0951000513083633,0.004755212892774918,0.12077693201930584,0.12568672430956374,0.04102717266590228
35,0.258601077475629,0.10558022681476521,0.10103902982970508,0.28106721395587475,0.0639830209007507,0.11242030287090732,0.13563256826702424,0.04134535370757281
36,0.13011236531554654,0.035657816863078354,0.015375567260947853,0.11944586967675727,0.0367511129269234,0.010008809797536322,0.021429492645804293,0.041623557857082494
37,0.043439456131348836,0.008379300641303988,0.01205626440972929,0.04299640841457157,0.1310624897731405,0.06448567444745856,0.26699955446844725,0.0007281351952818649
38,0.0013401744484333733,0.046216096805877904,0.05902370618493619,0.029538957707249125,0.06084770556722591,0.22959598742847448,0.12246783544633943,0.15933791039498751
39,0.02274166239096803,0.007519299284258263,0.0035788776672002753,0.008634464560580535,0.036440074941579026,0.012531101539183243,0.006073458731846615,0.06356579028641562
40,0.0020723447922024185,0.020819308092314026,0.0343189545533083,0.04588433628967237,7.054085474972327e-05,0.15263958882796508,0.009007638179332922,0.08244000830093323
41,0.013581323755772923,0.052031017689291414,0.05373691459935909,0.021974639009015695,0.11960683491423396,0.0958925390588527,0.10046355189229272,0.037936382981552
42,0.019148024628012572,0.02859203279354805,0.10529288968509631,0.019958953309389404,0.0629369914466481,0.07064882433335246,0.12659935666265892,0.006749913252663942
43,0.09316572601333928,0.07133510778842078,0.014456843804303898,0.15839624715971556,0.08217056636196984,0.026934098833096,0.09351098829900495,0.02597778985345811
44,0.04015392508978877,0.030763378750060633,0.04075293579591266,0.04207285787583381,0.14032921125103937,0.008565704784866013,0.02983543355506113,0.05154534096067265
45,0.26842124166239056,0.008102865024001982,0.024420294584823865,0.3519343252950229,0.05995651626609433,0.0022034677402277825,0.0324656645382051,0.08959358396375783
46,0.01889917906618932,0.024301503140722103,0.06373362642398761,0.039322729604925444,0.09264639265903507,0.06559948506336077,0.23448458855614962,0.00310515048690696
47,0.04268522319137985,0.027984040828776147,0.056223694820808245,0.04366341713699334,0.16522418166215624,0.0019771146169780263,0.050897006860405825,0.048273795509744644
48,0.012091328886609354,0.029709139645191285,0.02865810566878424,0.038122113904566435,0.44654321815008546,0.052406601641210304,0.07606867558111274,0.03316085724328177
49,0.024696511031297108,0.015619398756722025,0.06017744967529359,0.035813237557721866,0.45887905380800065,0.033791448640985655,0.011772135448171406,0.09487205862601544
50,0.1706785531041562,0.037558042116199286,0.08921123007692722,0.17065161621344282,0.40289430870362863,0.2330246574633249,0.13162312724802544,0.17832633240743212
51,0.08838276038994441,0.025467420982176803,0.1409863455401716,0.02867404529795492,0.09129798725446941,0.3832555450980093,0.12295753979766011,0.3091146385334008
52,0.040170600307850746,0.03628745348775242,0.007667549306544563,0.01051088470277789,0.020171947966578285,0.3262006451493178,0.10023509583619411,0.24486058152572465
53,0.024089020010262197,0.04479993247202918,0.21005494317345297,0.02560287326834282,0.12685576880942123,0.1572903295967647,0.05244241810211914,0.1136442969567415
54,0.003145459209850876,0.01737197058943396,0.035209076818725926,0.013083632632118924,0.038329779731444025,0.07355508075120293,0.009477470181419423,0.04215247256091087
55,0.0449338122113902,0.002440214157104492,0.06857563904967956,0.16465586747782746,0.018374044861386052,0.13358586576916087,0.037786999797457865,0.08274067607015306
56,0.07138224730631088,0.06718376126272246,0.01737017044417488,0.033819541156637156,0.06355624379904057,0.08551899841440053,0.08849004315744347,0.025597451717086384
57,0.016686249358644267,0.01070906747726981,0.312167551028697,0.02778347870702913,0.2405439119791037,0.10327169210347181,0.14143447882723686,0.055593569855888814
58,0.08957516675218008,0.10891433182956624,0.10600505082550926,0.012211390456644433,0.11743681444970089,0.1072526247678054,0.0738983508445763,0.062235481080053834
59,0.11167136993330107,0.0852082484254108,0.039053176725057925,0.15338635197537187,0.16157381661910764,0.07687807371598387,0.2584804680551037,0.024661772969247764
60,0.1650795279630588,0.04772815385373691,0.09249971821858172,0.1823059444403723,0.08778858856853611,0.15029370748213522,0.3599998710836087,0.08220343948634534
61,0.06828681375064416,0.0005850890619807925,0.019802225422989927,0.06039727332698086,0.03505192221400574,0.26830294298752255,0.24265048333650624,0.1980577853234946
62,0.03617290918419991,0.06764527995993752,0.03280656520246253,0.0707644946126218,0.017505358694288597,0.45425706858901127,0.291840064226187,0.3925490855223585
63,0.03605772190867071,0.0776174926036074,0.0212664090855752,0.02886950572943392,0.013469746420747997,0.44296922867110455,0.05164460065672899,0.3740620885454672
64,0.046770395074398785,0.022290530976666834,0.020417267505594083,0.10620831195484864,0.020165506131333277,0.4345546570959379,0.06874195812436423,0.37789094142003166
65,0.01667804002052295,0.04006354409404256,0.0412295214927675,0.011616213442791179,0.04073043841840747,0.5863247956285187,0.13198993563871403,0.5030193413849121
66,0.003533606977937559,0.0068478213939500154,0.0024591454036544252,0.02916367367880962,0.04251519932797439,0.10536439431863209,0.1449781125084435,0.14783282950988674
67,0.05124037968188988,0.08333684233532856,0.001059699959250815,0.06674191893278603,0.054831491855932765,0.00022821727705796269,0.0007701512449462822,0.037195950523450205
68,0.022349153412006467,0.0055640960210650015,0.0596195323084584,0.035833760903027145,0.11822338943762767,0.14450360646559346,0.1887928562796144,0.2082918231048856
69,0.024185736275012526,0.03860348543183745,0.004946611107492338,0.03889173935351459,0.011237854692505933,0.277802734223418,0.17867349609228117,0.31710410196324784
70,0.036138276038994804,0.07503312611469792,0.08794911354067295,0.018077646656405016,0.021080540216277754,0.02875193894378747,0.21514199617019691,0.09469504525131767
71,0.07165007696254491,0.05229214728031484,0.023633521667482338,0.08145487714497461,0.023950877271709914,0.04724406938874076,0.22890695945301154,0.10548192974569298
72,0.29901975371985595,0.1275000076192413,0.06466305421903984,0.3761245082948521,0.10798155214158145,0.2348853879058116,0.16750754180192656,0.29459890139384826
73,0.0290115443817357,0.00930017228001756,0.1921243428406224,0.020882503848127232,0.0913193203673459,0.1500213550684591,0.07626941990141023,0.2291774500652115
74,0.006517188301694066,0.016574532145289034,0.06388467755344773,0.009047374722079615,0.10055938832687694,0.07119909196055685,0.05850403930708453,0.1439729020281722
75,0.013672396100563589,0.08089132098554652,0.20308385740419443,0.006003078501795767,0.22830887147906698,0.037540805659889875,0.01578690880984157,0.0930269238870276
76,0.013280913288868046,0.05026322147857232,0.0553707709307778,0.024747733880622458,0.019168053661039464,0.24065313995324505,0.022367066212787057,0.17796786466712272
77,0.03430425859414943,0.011032079520318427,0.022332597107302343,0.07824525397639814,0.04510856993827922,0.31258746524826814,0.13012731597078653,0.2427030329031612
78,0.0507457670600317,0.09329327580682928,0.3303887147672053,0.04181631605951763,0.35434667543811904,0.011850828008669545,0.0009471792022928138,0.015612857223206711
79,0.03611570035915984,0.41152246419193195,0.018230788338502224,0.11465220259473718,0.0005136127552953784,0.08932645653611948,0.07562069561965745,0.07364590424194095
80,0.00640302719343433,0.0940609867753831,0.08715017795464852,0.0037455105182145343,0.08367293548005716,0.0423279957870174,0.043182976336784584,0.051134292392301106
81,0.02062339661364898,0.017824252456686618,0.1912965853348153,0.019719514280827743,0.3534902832410153,0.006251955200375026,0.04536493642736783,0.023809707433875338
82,0.0035584915341205225,0.12893940821374106,0.07174467184874128,0.010415597742431948,0.038497745530164995,0.037058092828499256,0.09202408650301874,0.059154023561152624
83,0.20711646998460653,0.18504676200782044,0.06670968262452198,0.2566033863519753,0.054161720897819676,0.15014172546061827,0.13331859494218812,0.18663597031124096
