,P_charged_centers,cLogP,Hbond_D,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
61,0,9.3028,3,1,8,200,20,100
62,0,9.3028,3,1,12,200,20,100
63,0,9.3028,3,1,4,200,40,100
64,0,9.3028,3,1,8,200,40,100
65,0,9.3028,3,1,12,200,40,100
66,0,9.3028,3,1,4,200,60,100
67,0,9.3028,3,1,8,200,60,100
68,0,9.3028,3,1,12,200,60,100
69,0,9.3028,3,1,4,200,80,100
70,0,9.3028,3,1,8,200,80,100
71,0,9.3028,3,1,12,200,80,100
72,0,9.3028,3,1,4,100,20,100
73,0,9.3028,3,1,8,100,20,100
74,0,9.3028,3,1,12,100,20,100
75,0,9.3028,3,1,4,100,40,100
76,0,9.3028,3,1,8,100,40,100
77,0,9.3028,3,1,12,100,40,100
78,0,9.3028,3,1,4,100,60,100
79,0,9.3028,3,1,8,100,60,100
80,0,9.3028,3,1,12,100,60,100
81,0,9.3028,3,1,4,100,80,100
82,0,9.3028,3,1,8,100,80,100
83,0,9.3028,3,1,12,100,80,100
84,0,9.3028,3,1,4,50,20,100
85,0,9.3028,3,1,8,50,20,100
86,0,9.3028,3,1,12,50,20,100
87,0,9.3028,3,1,4,50,40,100
88,0,9.3028,3,1,8,50,40,100
89,0,9.3028,3,1,12,50,40,100
90,0,9.3028,3,1,4,50,60,100
91,0,9.3028,3,1,8,50,60,100
92,0,9.3028,3,1,12,50,60,100
93,0,9.3028,3,1,4,50,80,100
94,0,9.3028,3,1,8,50,80,100
95,0,9.3028,3,1,12,50,80,100
96,0,9.3028,3,1,4,10,20,100
97,0,9.3028,3,1,8,10,20,100
98,0,9.3028,3,1,12,10,20,100
99,0,9.3028,3,1,4,10,40,100
100,0,9.3028,3,1,8,10,40,100
101,0,9.3028,3,1,12,10,40,100
102,0,9.3028,3,1,4,10,60,100
103,0,9.3028,3,1,8,10,60,100
104,0,9.3028,3,1,12,10,60,100
105,0,9.3028,3,1,4,10,80,100
106,0,9.3028,3,1,8,10,80,100
107,0,9.3028,3,1,12,10,80,100
108,0,9.3028,3,1,4,1,20,100
109,0,9.3028,3,1,8,1,20,100
110,0,9.3028,3,1,12,1,20,100
111,0,9.3028,3,1,4,1,40,100
112,0,9.3028,3,1,8,1,40,100
113,0,9.3028,3,1,12,1,40,100
114,0,9.3028,3,1,4,1,60,100
115,0,9.3028,3,1,8,1,60,100
116,0,9.3028,3,1,12,1,60,100
117,0,9.3028,3,1,4,1,80,100
118,0,9.3028,3,1,8,1,80,100
119,0,9.3028,3,1,12,1,80,100
120,0,9.3028,3,1,4,200,20,10
121,0,9.3028,3,1,8,200,20,10
122,0,9.3028,3,1,12,200,20,10
123,0,9.3028,3,1,4,200,40,10
124,0,9.3028,3,1,8,200,40,10
125,0,9.3028,3,1,12,200,40,10
126,0,9.3028,3,1,4,200,60,10
127,0,9.3028,3,1,8,200,60,10
128,0,9.3028,3,1,12,200,60,10
129,0,9.3028,3,1,4,200,80,10
130,0,9.3028,3,1,8,200,80,10
131,0,9.3028,3,1,12,200,80,10
132,0,9.3028,3,1,4,100,20,10
133,0,9.3028,3,1,8,100,20,10
134,0,9.3028,3,1,12,100,20,10
