,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,RLU_ARPE19
282,283,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,100,179.6666667,0.263333333,7.076
283,284,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,100,153.8,0.197333333,6.219
284,285,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,100,150.7333333,0.228333333,5.517
285,286,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,100,222.5666667,0.208,6.868
286,287,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,100,166.1666667,0.209333333,5.953
287,288,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,100,198.6666667,0.219,5.606
288,289,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,100,236.7666667,0.272333333,7.869
289,290,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,100,211.3666667,0.439666667,6.99
290,291,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,100,182.6,0.281,6.194
291,292,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,100,179.9,0.168333333,6.116
292,293,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,100,196.2,0.148333333,5.914
293,294,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,100,180.0,0.512666667,6.207
294,295,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,100,197.7,0.18,6.279
295,296,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,100,148.4666667,0.206666667,5.252
296,297,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,100,171.6333333,0.198666667,6.363
297,298,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,100,253.0666667,0.335333333,7.005
298,299,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,100,186.6333333,0.255,6.702
299,300,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,100,150.0333333,0.178,6.506
300,301,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,10,274.6,0.739666667,3.0
301,302,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,10,236.6,0.577,3.0
302,303,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,10,405.4,0.707666667,3.0
303,304,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,10,170.1333333,0.409333333,3.0
304,305,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,10,176.6666667,0.290333333,3.0
305,306,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,10,260.6666667,0.788666667,3.0
306,307,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,10,153.6333333,0.193,3.0
307,308,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,10,153.0333333,0.370333333,3.0
308,309,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,10,149.9,0.288333333,3.0
309,310,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,10,133.1,0.144333333,3.0
310,311,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,10,138.3666667,0.247666667,3.0
311,312,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,10,136.2333333,0.169,3.0
312,313,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,10,196.5,0.676666667,3.0
313,314,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,10,197.3,0.605666667,3.0
314,315,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,10,213.9333333,0.647666667,3.0
315,316,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,10,137.9333333,0.216666667,3.0
316,317,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,10,470.4333333,1.0,3.0
317,318,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,10,165.9666667,0.624666667,3.0
318,319,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,10,137.5666667,0.191333333,3.0
319,320,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,10,115.6333333,0.217,3.0
320,321,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,10,207.0666667,0.332333333,3.0
321,322,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,10,145.4,0.130333333,3.0
322,323,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,10,135.8666667,0.231,3.0
323,324,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,10,120.9333333,0.173,3.0
324,325,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,10,278.8333333,0.789333333,3.0
325,326,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,10,415.8,0.856666667,3.0
326,327,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,10,496.8333333,0.378333333,3.0
327,328,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,10,93.06666667,0.211,3.0
328,329,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,10,207.5666667,0.603666667,3.0
329,330,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,10,201.6333333,0.620333333,3.0
330,331,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,10,136.1666667,0.159666667,3.0
331,332,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,10,129.5,0.283,3.0
332,333,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,10,202.5,0.512333333,3.0
333,334,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,10,143.0333333,0.155333333,3.0
334,335,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,10,134.7,0.230666667,3.0
335,336,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,10,135.2333333,0.219666667,3.0
336,337,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,10,235.4666667,0.617,3.0
337,338,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,10,378.9333333,0.809333333,3.0
338,339,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,10,476.3333333,0.748333333,3.0
339,340,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,10,132.7666667,0.226,3.0
340,341,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,10,279.9666667,0.880333333,3.0
341,342,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,10,153.0,0.411666667,3.0
342,343,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,10,156.7333333,0.235666667,3.0
343,344,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,10,134.0666667,0.204666667,3.0
344,345,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,10,167.5,0.380333333,3.0
345,346,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,10,144.4333333,0.081666667,4.605
346,347,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,10,161.1333333,0.24,3.0
347,348,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,10,118.1666667,0.198,3.219
348,349,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,10,302.6666667,0.693,3.0
349,350,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,10,270.0333333,0.633333333,3.0
350,351,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,10,180.3,0.614,3.0
351,352,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,10,157.5,0.177,3.0
352,353,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,10,140.4666667,0.248666667,3.0
353,354,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,10,228.2,0.517,3.0
354,355,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,10,153.2,0.232666667,3.0
355,356,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,10,129.7666667,0.194666667,3.0
356,357,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,10,145.7333333,0.333666667,3.0
357,358,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,10,165.1666667,0.186,5.106
358,359,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,10,157.6666667,0.210666667,3.0
359,360,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,10,140.5666667,0.184333333,5.231
360,361,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,20,500,157.3333333,0.166,4.875
361,362,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,20,500,138.8333333,0.375666667,5.652
362,363,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,20,500,235.9333333,0.509333333,4.727
363,364,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,40,500,175.8333333,0.266333333,4.927
364,365,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,40,500,172.5333333,0.298333333,5.043
365,366,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,40,500,173.3,0.307666667,3.611
366,367,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,60,500,222.7333333,0.28,4.585
367,368,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,60,500,163.4666667,0.289666667,5.602
368,369,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,60,500,132.7666667,0.248666667,3.0
369,370,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,80,500,172.6333333,0.228666667,3.0
370,371,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,80,500,156.5,0.215666667,3.0
371,372,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,80,500,415.4333333,0.464333333,3.0
372,373,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,20,500,126.4666667,0.141666667,6.24
373,374,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,20,500,173.0,0.266666667,6.223
374,375,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,20,500,198.5333333,0.402666667,3.0
375,376,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,40,500,185.6666667,0.295,4.304
376,377,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,40,500,160.6,0.245333333,5.438
377,378,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,40,500,183.8333333,0.354,3.807
378,379,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,60,500,224.0,0.195666667,3.0
379,380,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,60,500,147.6666667,0.245666667,5.298
380,381,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,60,500,146.4333333,0.24,4.5
381,382,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,80,500,170.8666667,0.246333333,3.0
382,383,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,80,500,136.8333333,0.256666667,3.829
383,384,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,80,500,290.3,0.270666667,3.871
384,385,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,20,500,122.2,0.186333333,5.743
385,386,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,20,500,176.0666667,0.496333333,5.338
386,387,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,20,500,186.9666667,0.243,4.143
387,388,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,40,500,153.4666667,0.229666667,5.293
388,389,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,40,500,204.5333333,0.348333333,5.606
389,390,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,40,500,177.8333333,0.331,4.19
390,391,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,60,500,193.0,0.257666667,4.159
391,392,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,60,500,155.2333333,0.232666667,3.892
392,393,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,60,500,133.8333333,0.272,3.784
393,394,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,80,500,204.0333333,0.267,3.219
394,395,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,80,500,118.1,0.251,3.611
396,397,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,20,500,105.7,0.192333333,5.13
397,398,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,20,500,131.2333333,0.203666667,4.564
398,399,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,20,500,241.2,0.458333333,3.0
399,400,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,40,500,204.4333333,0.278666667,4.868
400,401,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,40,500,135.9,0.314333333,4.691
401,402,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,40,500,199.2666667,0.421,3.178
402,403,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,60,500,157.6333333,0.228333333,5.136
403,404,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,60,500,133.6333333,0.194,4.736
404,405,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,60,500,139.3666667,0.264333333,4.754
405,406,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,80,500,138.7666667,0.140333333,5.011
406,407,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,80,500,143.8333333,0.207,4.745
407,408,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,80,500,581.7333333,0.704333333,3.892
408,409,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,20,500,137.3,0.147333333,5.911
409,410,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,20,500,899.4,0.383333333,4.635
410,411,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,20,500,158.2333333,0.258666667,3.584
411,412,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,40,500,214.0333333,0.282,5.9
412,413,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,40,500,173.5,0.248333333,6.671
413,414,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,40,500,217.2,0.522333333,4.159
414,415,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,60,500,218.4,0.214,5.82
415,416,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,60,500,152.1333333,0.246333333,6.094
416,417,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,60,500,101.8666667,0.231333333,5.656
417,418,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,80,500,200.6,0.364,5.124
418,419,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,80,500,133.7333333,0.264333333,6.18
421,422,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,20,100,576.1666667,0.390666667,4.745
422,423,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,20,100,453.7333333,0.368333333,3.0
423,424,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,40,100,157.1,0.253333333,3.0
424,425,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,40,100,161.9333333,0.634666667,7.043
425,426,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,40,100,154.0333333,0.321666667,7.156
426,427,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,60,100,187.9,0.252666667,3.178
427,428,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,60,100,151.0666667,0.26,6.907
428,429,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,60,100,165.1666667,0.227,6.494
429,430,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,80,100,152.2,0.155,3.401
430,431,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,80,100,143.4666667,0.167666667,3.332
431,432,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,80,100,119.9666667,0.237,3.738
433,434,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,20,100,115.6666667,0.283333333,5.215
434,435,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,20,100,388.5666667,0.348666667,3.0
435,436,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,40,100,176.5,0.311333333,3.258
436,437,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,40,100,214.0333333,0.314666667,6.652
437,438,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,40,100,199.2,0.431,6.428
438,439,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,60,100,182.5333333,0.252,4.99
439,440,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,60,100,155.6333333,0.269,3.611
440,441,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,60,100,181.7,0.266666667,6.161
441,442,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,80,100,175.7,0.143666667,3.258
442,443,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,80,100,162.9666667,0.154333333,3.784
443,444,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,80,100,128.4666667,0.179,3.367
445,446,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,20,100,139.2,0.262333333,4.745
446,447,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,20,100,307.7,0.539333333,3.0
447,448,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,40,100,162.2333333,0.378,7.419
448,449,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,40,100,223.1333333,0.318,7.412
449,450,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,40,100,242.6666667,0.782666667,6.261
450,451,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,60,100,207.0333333,0.238333333,7.476
451,452,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,60,100,154.4666667,0.284666667,7.001
452,453,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,60,100,170.7333333,0.238333333,6.916
453,454,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,80,100,149.4333333,0.106333333,3.912
454,455,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,80,100,171.1333333,0.235,4.22
455,456,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,80,100,163.5333333,0.214,3.296
457,458,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,20,100,171.1666667,0.473666667,3.555
458,459,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,20,100,224.7333333,0.667333333,3.0
459,460,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,40,100,166.5666667,0.488666667,5.624
460,461,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,40,100,146.1333333,0.331,5.953
461,462,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,40,100,231.5,0.267666667,6.859
462,463,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,60,100,161.8333333,0.254333333,5.193
463,464,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,60,100,137.9,0.27,5.204
464,465,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,60,100,150.0,0.260666667,5.352
465,466,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,80,100,169.0,0.172333333,3.0
466,467,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,80,100,125.6,0.137,5.22
467,468,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,80,100,136.8666667,0.203,3.0
469,470,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,20,100,130.5333333,0.249666667,4.691
470,471,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,20,100,401.8333333,0.549333333,3.0
471,472,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,40,100,161.9,0.303,7.224
472,473,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,40,100,345.8666667,0.653,5.737
473,474,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,40,100,354.4666667,0.356333333,5.991
474,475,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,60,100,202.1,0.265333333,6.718
475,476,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,60,100,139.7,0.281666667,5.313
476,477,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,60,100,122.8,0.189333333,5.468
477,478,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,80,100,152.7666667,0.206666667,5.883
478,479,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,80,100,134.0,0.192,3.0
479,480,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,80,100,194.4666667,0.301666667,3.664
480,481,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,20,10,183.1333333,0.629333333,3.0
481,482,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,20,10,151.5333333,0.402,3.0
482,483,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,20,10,766.5666667,0.907333333,3.0
483,484,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,40,10,99.71,0.181666667,3.0
484,485,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,40,10,247.2666667,0.368666667,3.0
485,486,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,40,10,400.6,0.535333333,3.0
487,488,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,60,10,297.0,0.258333333,3.0
488,489,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,60,10,134.1333333,0.257,3.0
489,490,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,80,10,165.4666667,0.175,3.0
490,491,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,80,10,110.9666667,0.174666667,3.0
491,492,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,80,10,128.5333333,0.182,3.0
492,493,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,20,10,176.3333333,0.631666667,3.219
493,494,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,20,10,176.6666667,0.532666667,3.0
494,495,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,20,10,495.4333333,0.636333333,3.0
495,496,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,40,10,116.2666667,0.275666667,3.0
496,497,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,40,10,285.1333333,0.367666667,3.0
497,498,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,40,10,432.9,0.635333333,3.0
499,500,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,60,10,293.6333333,0.427333333,3.0
500,501,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,60,10,162.9333333,0.248333333,3.0
501,502,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,80,10,170.3,0.095333333,3.0
502,503,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,80,10,136.5,0.184666667,3.0
503,504,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,80,10,108.9333333,0.175,3.0
504,505,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,20,10,145.8666667,0.455333333,3.0
505,506,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,20,10,241.3666667,0.758666667,3.0
506,507,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,20,10,357.8666667,0.772,3.0
507,508,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,40,10,133.4,0.228666667,3.0
508,509,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,40,10,282.5,0.323,3.0
509,510,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,40,10,462.7,0.739666667,3.0
511,512,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,60,10,296.5666667,0.253,3.0
512,513,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,60,10,138.1666667,0.219666667,3.0
513,514,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,80,10,159.1333333,0.153,3.332
514,515,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,80,10,117.1333333,0.218666667,3.0
515,516,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,80,10,118.5666667,0.198666667,3.0
516,517,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,20,10,122.3666667,0.275666667,3.401
517,518,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,20,10,411.6333333,1.0,3.0
518,519,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,20,10,199.2,0.498,3.0
519,520,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,40,10,119.1333333,0.235666667,3.135
520,521,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,40,10,393.5333333,0.312,3.584
521,522,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,40,10,474.5,0.771333333,4.043
523,524,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,60,10,309.2,0.357333333,3.0
524,525,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,60,10,135.1,0.243666667,3.0
525,526,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,80,10,178.8,0.187666667,3.0
526,527,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,80,10,114.0333333,0.199666667,3.0
527,528,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,80,10,99.51,0.233666667,3.0
528,529,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,20,10,142.0666667,0.393,6.353
529,530,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,20,10,155.0333333,0.426,3.401
530,531,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,20,10,123.6666667,0.345,4.06
531,532,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,40,10,108.2666667,0.213333333,3.0
532,533,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,40,10,247.7,0.358333333,6.738
533,534,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,40,10,772.0333333,0.821333333,4.443
535,536,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,60,10,397.4666667,0.533,4.369
536,537,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,60,10,117.0333333,0.272333333,3.434
537,538,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,80,10,137.2333333,0.148333333,3.0
538,539,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,80,10,104.4666667,0.211,6.001
539,540,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,80,10,99.66666667,0.235333333,5.756
540,541,DSPC,1,1,6.12,111.0,0,8,36,0,4,200,20,500,445.6,0.224,6.858
541,542,DSPC,1,1,6.12,111.0,0,8,36,0,8,200,20,500,388.5666667,0.160666667,6.293
542,543,DSPC,1,1,6.12,111.0,0,8,36,0,12,200,20,500,168.4666667,0.232333333,5.971
543,544,DSPC,1,1,6.12,111.0,0,8,36,0,4,200,40,500,206.4666667,0.204666667,3.85
544,545,DSPC,1,1,6.12,111.0,0,8,36,0,8,200,40,500,266.9333333,0.448,5.861
545,546,DSPC,1,1,6.12,111.0,0,8,36,0,12,200,40,500,295.5333333,0.357,6.373
546,547,DSPC,1,1,6.12,111.0,0,8,36,0,4,200,60,500,213.1,0.208333333,3.466
547,548,DSPC,1,1,6.12,111.0,0,8,36,0,8,200,60,500,226.5333333,0.251333333,3.045
548,549,DSPC,1,1,6.12,111.0,0,8,36,0,12,200,60,500,191.9333333,0.201333333,3.912
549,550,DSPC,1,1,6.12,111.0,0,8,36,0,4,200,80,500,204.2,0.222333333,3.0
550,551,DSPC,1,1,6.12,111.0,0,8,36,0,8,200,80,500,153.2,0.214666667,3.0
551,552,DSPC,1,1,6.12,111.0,0,8,36,0,12,200,80,500,145.8666667,0.251,3.0
552,553,DSPC,1,1,6.12,111.0,0,8,36,0,4,100,20,500,380.3333333,0.369666667,4.691
553,554,DSPC,1,1,6.12,111.0,0,8,36,0,8,100,20,500,300.7,0.191666667,4.905
554,555,DSPC,1,1,6.12,111.0,0,8,36,0,12,100,20,500,323.3666667,0.139333333,3.912
555,556,DSPC,1,1,6.12,111.0,0,8,36,0,4,100,40,500,197.5333333,0.27,3.0
556,557,DSPC,1,1,6.12,111.0,0,8,36,0,8,100,40,500,266.7,0.469333333,4.205
557,558,DSPC,1,1,6.12,111.0,0,8,36,0,12,100,40,500,260.9333333,0.451,4.522
