P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),Lipid_NA_ratio
0,1,9.3028,3,10,36,1,227.4,0.728366667,4,0.199600798,60,0.99009901,10.95657982
0,1,9.3028,3,10,36,1,217.1,-0.417,8,0.199600798,60,0.99009901,21.91315965
0,1,9.3028,3,10,36,1,241.5666667,-2.663333333,12,0.199600798,60,0.99009901,32.86973947
0,1,9.3028,3,10,36,1,188.8333333,-25.4,4,0.199600798,80,0.99009901,8.982674934
0,1,9.3028,3,10,36,1,184.6,-17.4,8,0.199600798,80,0.99009901,17.96534987
0,1,9.3028,3,10,36,1,285.2666667,-8.583333333,12,0.199600798,80,0.99009901,26.9480248
0,1,9.3028,3,10,36,1,431.4,-6.4,4,0.199600798,20,1.960784314,27.02868963
0,1,9.3028,3,10,36,1,265.1333333,-3.806666667,8,0.199600798,20,1.960784314,54.05737926
0,1,9.3028,3,10,36,1,1283.4,-1.361666667,12,0.199600798,20,1.960784314,81.08606889
0,1,9.3028,3,10,36,1,281.9333333,-5.183333333,4,0.199600798,40,1.960784314,15.06799861
0,1,9.3028,3,10,36,1,247.4666667,-2.506666667,8,0.199600798,40,1.960784314,30.13599722
0,1,9.3028,3,10,36,1,230.4,-2.166666667,12,0.199600798,40,1.960784314,45.20399583
0,1,9.3028,3,10,36,1,215.5666667,0.091,4,0.199600798,60,1.960784314,11.0811016
0,1,9.3028,3,10,36,1,221.9666667,-0.125666667,8,0.199600798,60,1.960784314,22.16220321
0,1,9.3028,3,10,36,1,234.9333333,0.407333333,12,0.199600798,60,1.960784314,33.24330481
0,1,9.3028,3,10,36,1,172.3666667,-25.33333333,4,0.199600798,80,1.960784314,9.087653102
0,1,9.3028,3,10,36,1,163.9833333,-6.63,8,0.199600798,80,1.960784314,18.1753062
0,1,9.3028,3,10,36,1,247.1,-11.83333333,12,0.199600798,80,1.960784314,27.26295931
0,1,9.3028,3,10,36,1,303.8,-4.81,4,0.199600798,20,9.090909091,29.27565509
0,1,9.3028,3,10,36,1,462.6666667,-3.45,8,0.199600798,20,9.090909091,58.55131018
0,1,9.3028,3,10,36,1,947.7666667,-0.677333333,12,0.199600798,20,9.090909091,87.82696527
0,1,9.3028,3,10,36,1,242.8,1.363333333,4,0.199600798,40,9.090909091,16.37687066
0,1,9.3028,3,10,36,1,182.1,-1.420666667,8,0.199600798,40,9.090909091,32.75374132
0,1,9.3028,3,10,36,1,252.6333333,-2.366666667,12,0.199600798,40,9.090909091,49.13061198
0,1,9.3028,3,10,36,1,242.8,-1.566666667,4,0.199600798,60,9.090909091,12.07727585
0,1,9.3028,3,10,36,1,202.9666667,-2.063333333,8,0.199600798,60,9.090909091,24.1545517
0,1,9.3028,3,10,36,1,142.2666667,-0.186,12,0.199600798,60,9.090909091,36.23182754
0,1,9.3028,3,10,36,1,154.0833333,-22.66666667,4,0.199600798,80,9.090909091,9.927478443
0,1,9.3028,3,10,36,1,172.25,-0.437,8,0.199600798,80,9.090909091,19.85495689
0,1,9.3028,3,10,36,1,175.9333333,-2.24,12,0.199600798,80,9.090909091,29.78243533
0,1,9.3028,3,10,36,1,1859.333333,-19.73333333,4,0.199600798,20,50.0,54.55401653
0,1,9.3028,3,10,36,1,487.5,-3.413333333,8,0.199600798,20,50.0,109.1080331
0,1,9.3028,3,10,36,1,1049.966667,-2.423333333,12,0.199600798,20,50.0,163.6620496
0,1,9.3028,3,10,36,1,370.2333333,-25.56666667,4,0.199600798,40,50.0,31.1016812
0,1,9.3028,3,10,36,1,1164.833333,-15.7,8,0.199600798,40,50.0,62.2033624
0,1,9.3028,3,10,36,1,1153.333333,-4.87,12,0.199600798,40,50.0,93.30504359
0,1,9.3028,3,10,36,1,1720.666667,-28.26666667,4,0.199600798,60,50.0,23.28423609
0,1,9.3028,3,10,36,1,214.1666667,-17.83333333,8,0.199600798,60,50.0,46.56847218
0,1,9.3028,3,10,36,1,1034.266667,-5.81,12,0.199600798,60,50.0,69.85270826
0,1,9.3028,3,10,36,1,476.1166667,-6.776666667,4,0.199600798,80,50.0,19.37551353
0,1,9.3028,3,10,36,1,418.8333333,-5.44,8,0.199600798,80,50.0,38.75102707
0,1,9.3028,3,10,36,1,268.4333333,-4.47,12,0.199600798,80,50.0,58.1265406
0,1,9.3028,3,10,36,1,514.5666667,-1.836666667,4,0.99009901,20,0.497512438,27.41327923
0,1,9.3028,3,10,36,1,209.0,-1.497333333,8,0.99009901,20,0.497512438,54.82655846
0,1,9.3028,3,10,36,1,296.5333333,-1.007333333,12,0.99009901,20,0.497512438,82.23983768
0,1,9.3028,3,10,36,1,75.20666667,-1.843333333,4,0.99009901,40,0.497512438,15.12479596
0,1,9.3028,3,10,36,1,210.5666667,-0.593366667,8,0.99009901,40,0.497512438,30.24959192
0,1,9.3028,3,10,36,1,184.1666667,-7.61,12,0.99009901,40,0.497512438,45.37438788
0,1,9.3028,3,10,36,1,133.6666667,-4.72,4,0.99009901,60,0.497512438,11.02863487
0,1,9.3028,3,10,36,1,145.6666667,-3.62,8,0.99009901,60,0.497512438,22.05726974
0,1,9.3028,3,10,36,1,164.5333333,-4.233333333,12,0.99009901,60,0.497512438,33.08590461
0,1,9.3028,3,10,36,1,415.6,-2.0,4,0.99009901,80,0.497512438,8.980554327
0,1,9.3028,3,10,36,1,420.6,-2.613333333,8,0.99009901,80,0.497512438,17.96110865
0,1,9.3028,3,10,36,1,725.6666667,-0.015666667,12,0.99009901,80,0.497512438,26.94166298
0,1,9.3028,3,10,36,1,613.1333333,-2.063333333,4,0.99009901,20,0.99009901,27.557724
0,1,9.3028,3,10,36,1,187.7333333,-1.543333333,8,0.99009901,20,0.99009901,55.115448
0,1,9.3028,3,10,36,1,99.15666667,-1.906666667,12,0.99009901,20,0.99009901,82.673172
0,1,9.3028,3,10,36,1,118.2,-1.441,4,0.99009901,40,0.99009901,15.208104
0,1,9.3028,3,10,36,1,170.9666667,-1.497333333,8,0.99009901,40,0.99009901,30.416208
0,1,9.3028,3,10,36,1,215.6333333,-4.113333333,12,0.99009901,40,0.99009901,45.624312
0,1,9.3028,3,10,36,1,182.2,-3.46,4,0.99009901,60,0.99009901,11.091564
0,1,9.3028,3,10,36,1,207.7333333,-5.52,8,0.99009901,60,0.99009901,22.183128
0,1,9.3028,3,10,36,1,348.7,-2.886666667,12,0.99009901,60,0.99009901,33.274692
0,1,9.3028,3,10,36,1,379.2666667,-2.153333333,4,0.99009901,80,0.99009901,9.033294
0,1,9.3028,3,10,36,1,430.7333333,-1.356666667,8,0.99009901,80,0.99009901,18.066588
0,1,9.3028,3,10,36,1,255.0166667,0.867666667,12,0.99009901,80,0.99009901,27.099882
0,1,9.3028,3,10,36,1,738.2666667,-1.916666667,4,0.99009901,20,1.960784314,27.84661354
0,1,9.3028,3,10,36,1,190.2,-0.810333333,8,0.99009901,20,1.960784314,55.69322709
0,1,9.3028,3,10,36,1,210.8,-2.876666667,12,0.99009901,20,1.960784314,83.53984063
0,1,9.3028,3,10,36,1,263.4666667,-2.14,4,0.99009901,40,1.960784314,15.37472008
0,1,9.3028,3,10,36,1,162.0,-0.342,8,0.99009901,40,1.960784314,30.74944016
0,1,9.3028,3,10,36,1,203.3333333,-2.2,12,0.99009901,40,1.960784314,46.12416024
0,1,9.3028,3,10,36,1,194.0,-3.503333333,4,0.99009901,60,1.960784314,11.21742226
0,1,9.3028,3,10,36,1,235.7333333,-2.013333333,8,0.99009901,60,1.960784314,22.43484451
0,1,9.3028,3,10,36,1,183.1666667,-3.336666667,12,0.99009901,60,1.960784314,33.65226677
0,1,9.3028,3,10,36,1,264.4666667,-6.496666667,4,0.99009901,80,1.960784314,9.138773347
0,1,9.3028,3,10,36,1,410.2,0.9383,8,0.99009901,80,1.960784314,18.27754669
0,1,9.3028,3,10,36,1,363.8,0.4627,12,0.99009901,80,1.960784314,27.41632004
0,1,9.3028,3,10,36,1,457.7666667,-20.96666667,4,0.99009901,20,9.090909091,30.1577299
0,1,9.3028,3,10,36,1,170.4666667,-1.013333333,8,0.99009901,20,9.090909091,60.3154598
0,1,9.3028,3,10,36,1,205.1333333,-0.812553333,12,0.99009901,20,9.090909091,90.4731897
0,1,9.3028,3,10,36,1,153.8666667,-1.636666667,4,0.99009901,40,9.090909091,16.70764871
0,1,9.3028,3,10,36,1,202.0333333,-0.022666667,8,0.99009901,40,9.090909091,33.41529743
0,1,9.3028,3,10,36,1,192.2666667,-3.43,12,0.99009901,40,9.090909091,50.12294614
0,1,9.3028,3,10,36,1,176.8,-13.4,4,0.99009901,60,9.090909091,12.22428832
0,1,9.3028,3,10,36,1,293.4666667,-1.985333333,8,0.99009901,60,9.090909091,24.44857663
0,1,9.3028,3,10,36,1,281.8333333,-3.243333333,12,0.99009901,60,9.090909091,36.67286495
0,1,9.3028,3,10,36,1,496.8666667,-1.304,4,0.99009901,80,9.090909091,9.982608119
0,1,9.3028,3,10,36,1,526.7333333,-0.888,8,0.99009901,80,9.090909091,19.96521624
0,1,9.3028,3,10,36,1,501.1333333,-0.417666667,12,0.99009901,80,9.090909091,29.94782436
0,1,9.3028,3,10,36,1,237.7333333,-6.72,4,0.99009901,20,50.0,56.15778891
0,1,9.3028,3,10,36,1,154.0666667,-5.936666667,8,0.99009901,20,50.0,112.3155778
0,1,9.3028,3,10,36,1,185.1,-3.736666667,12,0.99009901,20,50.0,168.4733667
0,1,9.3028,3,10,36,1,196.1666667,-7.57,4,0.99009901,40,50.0,31.70309584
0,1,9.3028,3,10,36,1,298.0333333,-4.593333333,8,0.99009901,40,50.0,63.40619168
0,1,9.3028,3,10,36,1,189.2333333,-1.266666667,12,0.99009901,40,50.0,95.10928752
0,1,9.3028,3,10,36,1,241.5,-16.4,4,0.99009901,60,50.0,23.55153149
0,1,9.3028,3,10,36,1,249.8,-1.483333333,8,0.99009901,60,50.0,47.10306297
0,1,9.3028,3,10,36,1,346.5,-0.622,12,0.99009901,60,50.0,70.65459446
0,1,9.3028,3,10,36,1,364.1333333,-8.473333333,4,0.99009901,80,50.0,19.47574931
0,1,9.3028,3,10,36,1,812.3666667,-5.833333333,8,0.99009901,80,50.0,38.95149861
0,1,9.3028,3,10,36,1,409.6,-6.46,12,0.99009901,80,50.0,58.42724792
0,1,9.3028,3,10,36,1,113.3,-1.485333333,4,9.090909091,20,0.497512438,35.67187778
0,1,9.3028,3,10,36,1,179.0666667,-0.415666667,8,9.090909091,20,0.497512438,71.34375556
0,1,9.3028,3,10,36,1,1512.333333,-2.8,12,9.090909091,20,0.497512438,107.0156333
0,1,9.3028,3,10,36,1,108.3166667,-1.42,4,9.090909091,40,0.497512438,18.22177042
0,1,9.3028,3,10,36,1,153.9,-0.845333333,8,9.090909091,40,0.497512438,36.44354084
0,1,9.3028,3,10,36,1,120.1,-1.69,12,9.090909091,40,0.497512438,54.66531125
0,1,9.3028,3,10,36,1,166.4,-3.313333333,4,9.090909091,60,0.497512438,12.40506796
0,1,9.3028,3,10,36,1,192.9,-1.398,8,9.090909091,60,0.497512438,24.81013593
0,1,9.3028,3,10,36,1,260.3666667,-0.940666667,12,9.090909091,60,0.497512438,37.21520389
0,1,9.3028,3,10,36,1,230.6333333,8.696666667,4,9.090909091,80,0.497512438,9.496716736
0,1,9.3028,3,10,36,1,237.4,-0.939,8,9.090909091,80,0.497512438,18.99343347
0,1,9.3028,3,10,36,1,208.8333333,-0.976,12,9.090909091,80,0.497512438,28.49015021
0,1,9.3028,3,10,36,1,129.5333333,-1.733333333,4,9.090909091,20,0.99009901,35.85741011
0,1,9.3028,3,10,36,1,247.0333333,-1.54,8,9.090909091,20,0.99009901,71.71482022
0,1,9.3028,3,10,36,1,1955.333333,-1.195666667,12,9.090909091,20,0.99009901,107.5722303
0,1,9.3028,3,10,36,1,181.4666667,-1.7,4,9.090909091,40,0.99009901,18.32048629
0,1,9.3028,3,10,36,1,144.4,-0.988333333,8,9.090909091,40,0.99009901,36.64097258
0,1,9.3028,3,10,36,1,123.8,-2.643333333,12,9.090909091,40,0.99009901,54.96145887
0,1,9.3028,3,10,36,1,253.1333333,-0.603333333,4,9.090909091,60,0.99009901,12.47484502
0,1,9.3028,3,10,36,1,212.9666667,-0.511666667,8,9.090909091,60,0.99009901,24.94969004
0,1,9.3028,3,10,36,1,219.6333333,-1.116666667,12,9.090909091,60,0.99009901,37.42453505
0,1,9.3028,3,10,36,1,243.4333333,2.933333333,4,9.090909091,80,0.99009901,9.552024382
0,1,9.3028,3,10,36,1,226.2666667,0.520333333,8,9.090909091,80,0.99009901,19.10404876
0,1,9.3028,3,10,36,1,262.2333333,-2.67,12,9.090909091,80,0.99009901,28.65607315
0,1,9.3028,3,10,36,1,135.9333333,-1.596666667,4,9.090909091,20,1.960784314,36.22847476
0,1,9.3028,3,10,36,1,967.0333333,-1.566666667,8,9.090909091,20,1.960784314,72.45694953
0,1,9.3028,3,10,36,1,1599.666667,-2.373333333,12,9.090909091,20,1.960784314,108.6854243
0,1,9.3028,3,10,36,1,113.75,-1.247666667,4,9.090909091,40,1.960784314,18.51791804
0,1,9.3028,3,10,36,1,142.2666667,-1.014,8,9.090909091,40,1.960784314,37.03583607
0,1,9.3028,3,10,36,1,142.3333333,-3.99,12,9.090909091,40,1.960784314,55.55375411
0,1,9.3028,3,10,36,1,256.9666667,-10.79333333,4,9.090909091,60,1.960784314,12.61439913
0,1,9.3028,3,10,36,1,205.9333333,-1.503333333,8,9.090909091,60,1.960784314,25.22879825
0,1,9.3028,3,10,36,1,184.7,-1.180333333,12,9.090909091,60,1.960784314,37.84319738
0,1,9.3028,3,10,36,1,244.4333333,1.269666667,4,9.090909091,80,1.960784314,9.662639673
0,1,9.3028,3,10,36,1,247.3666667,-1.149666667,8,9.090909091,80,1.960784314,19.32527935
0,1,9.3028,3,10,36,1,250.6333333,-1.219666667,12,9.090909091,80,1.960784314,28.98791902
0,1,9.3028,3,10,36,1,636.7,-2.273333333,4,9.090909091,20,9.090909091,39.196992
0,1,9.3028,3,10,36,1,691.7,-1.220666667,8,9.090909091,20,9.090909091,78.393984
0,1,9.3028,3,10,36,1,1708.333333,-1.876666667,12,9.090909091,20,9.090909091,117.590976
0,1,9.3028,3,10,36,1,111.6666667,-1.019766667,4,9.090909091,40,9.090909091,20.097372
0,1,9.3028,3,10,36,1,148.1333333,-1.61,8,9.090909091,40,9.090909091,40.194744
0,1,9.3028,3,10,36,1,118.0,-1.693333333,12,9.090909091,40,9.090909091,60.292116
0,1,9.3028,3,10,36,1,233.5,-0.879,4,9.090909091,60,9.090909091,13.730832
0,1,9.3028,3,10,36,1,264.6666667,-0.790333333,8,9.090909091,60,9.090909091,27.461664
0,1,9.3028,3,10,36,1,220.9,-1.506666667,12,9.090909091,60,9.090909091,41.192496
0,1,9.3028,3,10,36,1,256.1,0.606333333,4,9.090909091,80,9.090909091,10.547562
0,1,9.3028,3,10,36,1,278.3,-1.317,8,9.090909091,80,9.090909091,21.095124
0,1,9.3028,3,10,36,1,265.9,-0.951333333,12,9.090909091,80,9.090909091,31.642686
0,1,9.3028,3,10,36,1,675.8333333,-3.106666667,4,9.090909091,20,50.0,72.59281091
0,1,9.3028,3,10,36,1,682.8333333,-31.73333333,8,9.090909091,20,50.0,145.1856218
0,1,9.3028,3,10,36,1,464.0,-2.386666667,12,9.090909091,20,50.0,217.7784327
0,1,9.3028,3,10,36,1,163.5666667,-1.746666667,4,9.090909091,40,50.0,37.86622909
0,1,9.3028,3,10,36,1,459.9666667,-1.683333333,8,9.090909091,40,50.0,75.73245818
0,1,9.3028,3,10,36,1,753.9666667,-1.856666667,12,9.090909091,40,50.0,113.5986873
0,1,9.3028,3,10,36,1,194.8666667,-1.74,4,9.090909091,60,50.0,26.29070182
0,1,9.3028,3,10,36,1,934.6333333,-1.833333333,8,9.090909091,60,50.0,52.58140364
0,1,9.3028,3,10,36,1,1021.5,-1.422666667,12,9.090909091,60,50.0,78.87210545
0,1,9.3028,3,10,36,1,201.0,-1.713333333,4,9.090909091,80,50.0,20.50293818
0,1,9.3028,3,10,36,1,456.4,-2.203333333,8,9.090909091,80,50.0,41.00587636
0,1,9.3028,3,10,36,1,398.5,-1.184333333,12,9.090909091,80,50.0,61.50881455
1,1,9.784,2,9,36,2,288.9666667,-7.436666667,4,0.199600798,20,0.497512438,26.47303244
1,1,9.784,2,9,36,2,533.7,-3.523333333,8,0.199600798,20,0.497512438,52.94606489
1,1,9.784,2,9,36,2,342.3333333,-3.396666667,12,0.199600798,20,0.497512438,79.41909733
1,1,9.784,2,9,36,2,237.1333333,-4.23,4,0.199600798,40,0.497512438,14.74686478
1,1,9.784,2,9,36,2,185.1333333,-1.803333333,8,0.199600798,40,0.497512438,29.49372956
1,1,9.784,2,9,36,2,267.7333333,-2.356666667,12,0.199600798,40,0.497512438,44.24059433
1,1,9.784,2,9,36,2,206.6,-5.31,4,0.199600798,60,0.497512438,10.83814222
1,1,9.784,2,9,36,2,173.1333333,0.721666667,8,0.199600798,60,0.497512438,21.67628445
1,1,9.784,2,9,36,2,183.6666667,-0.501666667,12,0.199600798,60,0.497512438,32.51442667
1,1,9.784,2,9,36,2,166.6333333,-24.63333333,4,0.199600798,80,0.497512438,8.883780946
1,1,9.784,2,9,36,2,137.6333333,-6.11,8,0.199600798,80,0.497512438,17.76756189
1,1,9.784,2,9,36,2,158.8,-0.955,12,0.199600798,80,0.497512438,26.65134284
1,1,9.784,2,9,36,2,577.6666667,-11.77666667,4,0.199600798,20,0.99009901,26.47905638
1,1,9.784,2,9,36,2,562.7666667,-3.553333333,8,0.199600798,20,0.99009901,52.95811276
1,1,9.784,2,9,36,2,288.1666667,-1.593,12,0.199600798,20,0.99009901,79.43716915
1,1,9.784,2,9,36,2,240.3,-3.686666667,4,0.199600798,40,0.99009901,14.75288872
1,1,9.784,2,9,36,2,191.7333333,0.269333333,8,0.199600798,40,0.99009901,29.50577744
1,1,9.784,2,9,36,2,189.9666667,-2.24,12,0.199600798,40,0.99009901,44.25866615
1,1,9.784,2,9,36,2,192.8,-3.663333333,4,0.199600798,60,0.99009901,10.84416616
1,1,9.784,2,9,36,2,170.3,0.073,8,0.199600798,60,0.99009901,21.68833233
1,1,9.784,2,9,36,2,181.6333333,-1.161666667,12,0.199600798,60,0.99009901,32.53249849
1,1,9.784,2,9,36,2,172.9333333,-26.66666667,4,0.199600798,80,0.99009901,8.889804885
1,1,9.784,2,9,36,2,148.0,-6.033333333,8,0.199600798,80,0.99009901,17.77960977
1,1,9.784,2,9,36,2,162.5333333,-0.325333333,12,0.199600798,80,0.99009901,26.66941466
1,1,9.784,2,9,36,2,650.7333333,-11.36666667,4,0.199600798,20,1.960784314,26.49092709
1,1,9.784,2,9,36,2,403.2666667,-4.096666667,8,0.199600798,20,1.960784314,52.98185417
1,1,9.784,2,9,36,2,475.3333333,-3.116666667,12,0.199600798,20,1.960784314,79.47278126
1,1,9.784,2,9,36,2,191.8,-0.756333333,4,0.199600798,40,1.960784314,14.76475942
1,1,9.784,2,9,36,2,170.0,0.3774,8,0.199600798,40,1.960784314,29.52951884
1,1,9.784,2,9,36,2,307.4666667,-3.04,12,0.199600798,40,1.960784314,44.29427827
1,1,9.784,2,9,36,2,189.0333333,-2.12,4,0.199600798,60,1.960784314,10.85603687
1,1,9.784,2,9,36,2,155.4333333,1.195666667,8,0.199600798,60,1.960784314,21.71207373
1,1,9.784,2,9,36,2,256.8,0.16,12,0.199600798,60,1.960784314,32.5681106
1,1,9.784,2,9,36,2,202.3,-29.4,4,0.199600798,80,1.960784314,8.90167559
1,1,9.784,2,9,36,2,135.8666667,-10.41,8,0.199600798,80,1.960784314,17.80335118
1,1,9.784,2,9,36,2,163.5333333,-0.4925,12,0.199600798,80,1.960784314,26.70502677
1,1,9.784,2,9,36,2,431.8,-9.42,4,0.199600798,20,9.090909091,26.57812281
1,1,9.784,2,9,36,2,465.9333333,-1.686666667,8,0.199600798,20,9.090909091,53.15624562
1,1,9.784,2,9,36,2,599.5333333,-0.166206667,12,0.199600798,20,9.090909091,79.73436843
1,1,9.784,2,9,36,2,197.5666667,-2.53,4,0.199600798,40,9.090909091,14.85195514
1,1,9.784,2,9,36,2,199.4,2.476666667,8,0.199600798,40,9.090909091,29.70391029
1,1,9.784,2,9,36,2,208.5,1.541666667,12,0.199600798,40,9.090909091,44.55586543
1,1,9.784,2,9,36,2,193.9,-1.64,4,0.199600798,60,9.090909091,10.94323259
1,1,9.784,2,9,36,2,159.3,2.77,8,0.199600798,60,9.090909091,21.88646518
1,1,9.784,2,9,36,2,190.9666667,2.354,12,0.199600798,60,9.090909091,32.82969777
1,1,9.784,2,9,36,2,166.8666667,-26.83333333,4,0.199600798,80,9.090909091,8.988871312
1,1,9.784,2,9,36,2,146.8666667,5.42,8,0.199600798,80,9.090909091,17.97774262
1,1,9.784,2,9,36,2,167.8,7.203333333,12,0.199600798,80,9.090909091,26.96661394
1,1,9.784,2,9,36,2,287.7333333,2.916666667,4,0.199600798,20,50.0,27.07840826
1,1,9.784,2,9,36,2,306.5333333,3.96,8,0.199600798,20,50.0,54.15681653
1,1,9.784,2,9,36,2,473.2,5.006666667,12,0.199600798,20,50.0,81.23522479
1,1,9.784,2,9,36,2,261.7,4.206666667,4,0.199600798,40,50.0,15.3522406
1,1,9.784,2,9,36,2,205.1,4.25,8,0.199600798,40,50.0,30.7044812
1,1,9.784,2,9,36,2,177.9333333,2.72,12,0.199600798,40,50.0,46.0567218
1,1,9.784,2,9,36,2,224.5,4.343333333,4,0.199600798,60,50.0,11.44351804
1,1,9.784,2,9,36,2,195.0333333,5.876666667,8,0.199600798,60,50.0,22.88703609
1,1,9.784,2,9,36,2,179.0333333,6.29,12,0.199600798,60,50.0,34.33055413
1,1,9.784,2,9,36,2,237.6333333,6.303333333,4,0.199600798,80,50.0,9.489156766
1,1,9.784,2,9,36,2,164.9666667,11.93333333,8,0.199600798,80,50.0,18.97831353
1,1,9.784,2,9,36,2,171.5333333,8.72,12,0.199600798,80,50.0,28.4674703
1,1,9.784,2,9,36,2,177.0333333,-4.186666667,4,0.99009901,20,0.497512438,27.27491863
1,1,9.784,2,9,36,2,223.4,-2.646666667,8,0.99009901,20,0.497512438,54.54983727
1,1,9.784,2,9,36,2,169.1333333,-2.373333333,12,0.99009901,20,0.497512438,81.8247559
1,1,9.784,2,9,36,2,193.5,-1.616666667,4,0.99009901,40,0.497512438,15.0475721
1,1,9.784,2,9,36,2,139.0,-1.976666667,8,0.99009901,40,0.497512438,30.0951442
1,1,9.784,2,9,36,2,159.2333333,-2.136666667,12,0.99009901,40,0.497512438,45.1427163
1,1,9.784,2,9,36,2,171.7,-0.094333333,4,0.99009901,60,0.497512438,10.97178992
1,1,9.784,2,9,36,2,150.1333333,-1.95,8,0.99009901,60,0.497512438,21.94357984
1,1,9.784,2,9,36,2,177.5333333,-2.43,12,0.99009901,60,0.497512438,32.91536977
1,1,9.784,2,9,36,2,219.6333333,-15.26666667,4,0.99009901,80,0.497512438,8.933898833
1,1,9.784,2,9,36,2,141.4666667,-3.21,8,0.99009901,80,0.497512438,17.86779767
1,1,9.784,2,9,36,2,160.0333333,-4.51,12,0.99009901,80,0.497512438,26.8016965
1,1,9.784,2,9,36,2,176.9333333,-4.66,4,0.99009901,20,0.99009901,27.28094257
1,1,9.784,2,9,36,2,263.8333333,-6.34,8,0.99009901,20,0.99009901,54.56188515
1,1,9.784,2,9,36,2,303.3666667,-2.326666667,12,0.99009901,20,0.99009901,81.84282772
1,1,9.784,2,9,36,2,174.6666667,-3.043333333,4,0.99009901,40,0.99009901,15.05359604
1,1,9.784,2,9,36,2,148.9333333,-0.049066667,8,0.99009901,40,0.99009901,30.10719208
1,1,9.784,2,9,36,2,152.4666667,-1.993333333,12,0.99009901,40,0.99009901,45.16078812
1,1,9.784,2,9,36,2,164.2,-2.476666667,4,0.99009901,60,0.99009901,10.97781386
1,1,9.784,2,9,36,2,150.2666667,1.32,8,0.99009901,60,0.99009901,21.95562772
1,1,9.784,2,9,36,2,191.8,-1.426666667,12,0.99009901,60,0.99009901,32.93344158
1,1,9.784,2,9,36,2,241.5333333,-15.93333333,4,0.99009901,80,0.99009901,8.939922772
1,1,9.784,2,9,36,2,148.0333333,-3.53,8,0.99009901,80,0.99009901,17.87984554
1,1,9.784,2,9,36,2,155.5666667,-3.316666667,12,0.99009901,80,0.99009901,26.81976832
1,1,9.784,2,9,36,2,153.8666667,-3.213333333,4,0.99009901,20,1.960784314,27.29281328
1,1,9.784,2,9,36,2,203.9333333,-2.766666667,8,0.99009901,20,1.960784314,54.58562656
1,1,9.784,2,9,36,2,263.9333333,-1.060666667,12,0.99009901,20,1.960784314,81.87843984
1,1,9.784,2,9,36,2,170.0666667,-3.176666667,4,0.99009901,40,1.960784314,15.06546674
1,1,9.784,2,9,36,2,158.3666667,-1.57,8,0.99009901,40,1.960784314,30.13093349
1,1,9.784,2,9,36,2,130.9333333,0.963666667,12,0.99009901,40,1.960784314,45.19640023
1,1,9.784,2,9,36,2,160.7333333,-3.816666667,4,0.99009901,60,1.960784314,10.98968457
1,1,9.784,2,9,36,2,138.7333333,0.242266667,8,0.99009901,60,1.960784314,21.97936913
1,1,9.784,2,9,36,2,152.2333333,-1.88,12,0.99009901,60,1.960784314,32.9690537
1,1,9.784,2,9,36,2,189.0,-15.9,4,0.99009901,80,1.960784314,8.951793477
1,1,9.784,2,9,36,2,147.2,-5.523333333,8,0.99009901,80,1.960784314,17.90358695
1,1,9.784,2,9,36,2,148.5333333,-2.94,12,0.99009901,80,1.960784314,26.85538043
