,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
156,157,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,10,3.0
157,158,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,10,3.0
158,159,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,10,3.0
159,160,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,10,3.0
160,161,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,10,3.0
161,162,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,10,3.0
162,163,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,10,3.0
163,164,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,10,3.0
164,165,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,10,3.0
165,166,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,10,3.0
166,167,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,10,3.0
167,168,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,10,3.0
168,169,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,10,3.0
169,170,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,10,3.0
170,171,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,10,3.0
171,172,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,10,3.0
172,173,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,10,3.0
173,174,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,10,3.0
174,175,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,10,3.0
175,176,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,10,3.0
176,177,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,10,3.0
177,178,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,10,3.0
178,179,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,10,3.0
179,180,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,10,3.0
180,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,3.0
181,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,3.0
182,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,3.0
183,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,3.0
184,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,3.0
185,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,3.0
186,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,3.0
187,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,3.784
188,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,3.0
189,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,3.0
190,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,3.0
191,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,3.0
192,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,3.584
193,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,5.05
194,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,3.0
195,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,3.0
196,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,3.0
197,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,3.0
198,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,3.0
199,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,3.0
200,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,3.0
201,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,3.0
