,RLU_ARPE19
473,0.5864705882352941
474,0.7290196078431372
475,0.45352941176470574
476,0.48392156862745095
477,0.565294117647059
478,0.0
479,0.1301960784313725
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.04294117647058815
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.06509803921568624
514,0.0
515,0.0
516,0.07862745098039203
517,0.0
518,0.0
519,0.026470588235294024
520,0.11450980392156862
521,0.2045098039215686
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.6574509803921569
529,0.07862745098039203
530,0.2078431372549019
531,0.0
532,0.7329411764705884
533,0.28294117647058814
534,0.0
535,0.2684313725490195
536,0.08509803921568626
537,0.0
538,0.5884313725490198
539,0.5403921568627452
540,0.756470588235294
541,0.645686274509804
542,0.5825490196078431
543,0.16666666666666663
544,0.5609803921568628
545,0.6613725490196078
546,0.09137254901960778
547,0.008823529411764675
548,0.1788235294117646
549,0.0
550,0.0
551,0.0
552,0.33156862745098037
553,0.3735294117647059
554,0.1788235294117646
555,0.0
556,0.2362745098039215
557,0.29843137254901964
558,0.0
559,0.0
560,0.05803921568627446
561,0.0
562,0.0
563,0.0
564,0.5327450980392157
565,0.5933333333333333
566,0.42000000000000015
567,0.2178431372549019
568,0.3260784313725491
569,0.44470588235294106
570,0.05803921568627446
571,0.0
572,0.07196078431372543
573,0.0
574,0.0
575,0.0
576,0.6007843137254902
577,0.5845098039215686
578,0.10313725490196068
579,0.04294117647058815
580,0.1198039215686274
581,0.0
582,0.034901960784313624
583,0.14470588235294113
584,0.10882352941176465
585,0.11450980392156862
586,0.0
587,0.04294117647058815
588,0.5213725490196077
589,0.33862745098039215
590,0.017843137254901942
591,0.0
592,0.1350980392156862
593,0.1301960784313725
594,0.09137254901960778
595,0.07196078431372543
596,0.26098039215686275
597,0.0
598,0.0
599,0.11450980392156862
600,0.42333333333333334
601,0.39431372549019605
602,0.04294117647058815
603,0.33156862745098037
604,0.35039215686274505
605,0.28294117647058814
606,0.0
607,0.0
608,0.09137254901960778
609,0.0
610,0.0
611,0.0
612,0.08509803921568626
613,0.1537254901960784
614,0.0
615,0.0
616,0.017843137254901942
617,0.026470588235294024
618,0.0
619,0.1198039215686274
620,0.0
621,0.0
622,0.0
623,0.0
624,0.7923529411764707
625,0.7629411764705882
626,0.40803921568627455
627,0.37921568627450986
628,0.45549019607843144
629,0.6084313725490196
630,0.4005882352941177
631,0.47882352941176465
632,0.19019607843137254
633,0.0
634,0.0
635,0.10313725490196068
636,0.8572549019607842
637,0.7911764705882354
638,0.7637254901960784
639,0.7913725490196077
640,0.7064705882352942
641,0.6562745098039218
642,0.008823529411764675
643,0.3954901960784314
644,0.3127450980392156
645,0.1788235294117646
646,0.1707843137254902
647,0.2009803921568628
648,0.644313725490196
649,0.4831372549019608
650,0.5511764705882354
651,0.5352941176470589
652,0.4592156862745098
653,0.6311764705882354
654,0.2941176470588235
655,0.4780392156862745
656,0.6096078431372549
657,0.0
658,0.10882352941176465
659,0.44666666666666655
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.034901960784313624
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.008823529411764675
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.2145098039215687
716,0.22725490196078424
717,0.16254901960784318
718,0.22411764705882342
719,0.33529411764705885
