P_charged_centers,Hbond_D,Hbond_A,Double_bonds,wt_Helper,wt_Dlin,wt_DMG,wt_pDNA
0,3,10,1,0.335970441,26.99857826,4.219802392,3.416290797
0,3,10,1,0.341809036,27.46776767,4.293135387,1.737830063
0,3,10,1,0.343800593,27.62780913,4.31814942,1.165303708
0,3,10,1,0.592339099,47.6003588,2.789926186,6.023156706
0,3,10,1,0.610731765,49.07839306,2.876555922,3.105090589
0,3,10,1,0.617119134,49.59168195,2.906640529,2.091710225
0,3,10,1,0.794399724,63.83794679,1.662948804,8.077795356
0,3,10,1,0.827835138,66.52481604,1.732940498,4.208890457
0,3,10,1,0.839614625,67.47141536,1.757598969,2.845853253
0,3,10,1,0.95775616,76.96526687,0.751841019,9.738873298
0,3,10,1,1.006780709,80.90487869,0.790325414,5.118687914
0,3,10,1,1.02425688,82.30926346,0.804044253,3.471693664
0,3,10,1,0.665145715,26.72554853,4.218486318,3.381742721
0,3,10,1,0.676585912,27.18521556,4.291042323,1.719953563
0,3,10,1,0.680487267,27.34197197,4.315785492,1.153247482
0,3,10,1,1.172418831,47.10777752,2.788392463,5.960827465
0,3,10,1,1.208435199,48.55491487,2.874051076,3.071971183
0,3,10,1,1.220937482,49.05725646,2.903785561,2.069168879
0,3,10,1,1.572063319,63.1654893,1.661723001,7.992705308
0,3,10,1,1.637503744,65.79488493,1.730895698,4.162709194
0,3,10,1,1.660544963,66.7206809,1.75525103,2.814188287
0,3,10,1,1.895047407,76.14298688,0.751172955,9.634825316
0,3,10,1,1.990960174,79.99676097,0.78919157,5.061233144
0,3,10,1,2.025125617,81.36952814,0.802734322,3.432056897
0,3,10,1,3.076808729,24.72522912,4.208844255,3.1286304
0,3,10,1,3.125704601,25.11815626,4.275730152,1.589174905
0,3,10,1,3.142350416,25.251922,4.298500381,1.065091995
0,3,10,1,5.41389837,43.50607706,2.777178043,5.505082869
0,3,10,1,5.567136098,44.73749515,2.8557847,2.830450764
0,3,10,1,5.620161398,45.16360636,2.882985192,1.904939972
0,3,10,1,7.249405125,58.25620587,1.652774016,7.371504457
0,3,10,1,7.526825255,60.48555351,1.716022348,3.826798541
0,3,10,1,7.624077956,61.26707603,1.738194752,2.584162593
0,3,10,1,8.729154122,70.14746601,0.746301879,8.876176376
0,3,10,1,9.134553669,73.405256,0.780961646,4.644201967
0,3,10,1,9.278186239,74.55948706,0.793241559,3.144818553
0,3,10,1,16.70339922,13.42284845,4.154363824,1.698472904
0,3,10,1,16.84646554,13.53781652,4.189946376,0.856510249
0,3,10,1,16.89470049,13.57657812,4.201943067,0.572641745
0,3,10,1,29.10484081,23.38864457,2.714539482,2.959504401
0,3,10,1,29.54198904,23.7399368,2.755311261,1.501977749
0,3,10,1,29.69063797,23.85939105,2.769175394,1.006356919
0,3,10,1,38.67667561,31.0805692,1.603236362,3.932809406
0,3,10,1,39.45247085,31.70399811,1.635394843,2.005847788
0,3,10,1,39.71803194,31.91740295,1.646402956,1.346232987
0,3,10,1,46.28817105,37.1971655,0.719531324,4.70677874
0,3,10,1,47.40376625,38.09365759,0.736872811,2.41010861
0,3,10,1,47.78767789,38.40216891,0.742840565,1.619751665
0,3,10,1,0.130677266,21.0024453,29.99124247,2.657564406
0,3,10,1,0.132437067,21.28528032,30.39512752,1.346676602
0,3,10,1,0.133034247,21.38125912,30.53218411,0.901832658
0,3,10,1,0.249530865,40.10459121,21.47582999,5.074672619
0,3,10,1,0.256027135,41.14867139,22.03493028,2.603393149
0,3,10,1,0.258268382,41.50888454,22.22782282,1.750788738
0,3,10,1,0.358096048,57.55318334,13.69754372,7.282546833
0,3,10,1,0.371628041,59.72804476,14.21515643,3.778872496
0,3,10,1,0.376368875,60.48999131,14.39649821,2.551386208
0,3,10,1,0.4576533,73.55402109,6.564641789,9.307228067
0,3,10,1,0.479990191,77.14400535,6.885045219,4.880745071
0,3,10,1,0.487928371,78.41982934,6.998911563,3.307642581
0,3,10,1,0.260028833,20.89591207,29.98756759,2.644084123
0,3,10,1,0.26351258,21.17586593,30.38932728,1.339754175
0,3,10,1,0.264694666,21.27085833,30.52565017,0.897176101
0,3,10,1,0.49647495,39.89671758,21.47080571,5.048369132
0,3,10,1,0.509331415,40.92986286,22.02680287,2.589549577
0,3,10,1,0.513766158,41.28623874,22.21859,1.741397838
0,3,10,1,0.712407354,57.24904146,13.69294541,7.24406195
