,RLU_N2a
293,0.012234471632159183
294,0.15151922559827902
295,0.25208389351976335
296,0.4788921753159451
297,0.24576499058886803
298,0.20314600699112662
299,0.30626512503361114
300,0.1970959935466523
301,0.12261360580801284
302,0.20314600699112662
303,0.47700994891099757
304,0.48709330465178813
305,0.506991126646948
306,0.7026082280182846
307,0.5813390696423769
308,0.32831406292013976
309,0.30693734874966394
310,0.36353858564130137
311,0.40844312987362197
312,0.3518418929819843
313,0.3468674374831944
314,0.22358160795912885
315,0.18916375369723037
316,0.29174509276687277
317,0.053912342027426674
318,0.07851573003495566
319,0.23339607421349817
320,0.34727077171282605
321,0.30760957246571663
322,0.32831406292013976
323,0.34377520838935194
324,0.33127184727077175
325,0.405216456036569
326,0.20166711481581068
327,0.30559290131755845
328,0.358967464372143
329,0.11992471094380208
330,0.07461683248184997
331,0.2667383705297123
332,0.33893519763377244
333,0.34108631352514107
334,0.38800752890561974
335,0.31298736219413825
336,0.36488303307340686
337,0.3378596396880882
338,0.19077709061575687
339,0.30142511427803165
340,0.2823339607421349
341,0.11710137133638077
342,0.018150040333422934
343,0.5801290669534821
344,0.3492874428609841
345,0.3483463296585103
346,0.30492067760150576
347,0.34431298736219407
348,0.3432374294165098
349,0.38343640763646136
350,0.405216456036569
351,0.40145200322667374
352,0.6117235816079589
353,0.5009411132024737
354,0.48830330734068284
355,0.6914493143318097
356,0.6466792148426994
357,0.5746168324818499
358,0.9936810970691046
359,0.6911804248453886
360,0.24146275880613066
361,0.9912610916913147
362,0.9061575692390427
363,0.5603656897015327
364,0.7633772519494488
365,0.817961817692928
366,0.1599892444205432
367,0.17894595321322937
368,0.0
369,0.0
370,0.23917719817155147
371,0.04463565474589942
372,0.26579725732723847
373,0.24146275880613066
374,0.0
375,0.11427803172895945
376,0.08214573810164022
377,0.03979564399031993
378,0.0
379,0.0
380,0.3082817961817693
381,0.27036837859639684
382,0.19239042753428337
383,0.0
384,0.16778703952675456
385,0.0
386,0.053912342027426674
387,0.0
388,0.18741597203549343
389,0.0
390,0.322398494218876
391,0.35466523258940574
392,0.2675450389889755
393,0.3006184458187684
394,0.22237160527023392
395,0.0
396,0.012234471632159183
397,0.03979564399031993
398,0.5291745092766872
399,0.42444205431567616
400,0.4662543694541543
401,0.5384511965582145
402,0.35466523258940574
403,0.4420543156762571
404,0.516940037644528
405,0.2999462221027157
406,0.3666308147351438
407,0.4226942726539392
408,0.08577574616832478
409,0.21175047055660123
410,0.1253025006722237
411,0.9365420812046248
412,0.4762032804517342
413,0.997311105135789
414,0.4698843775208389
415,0.49973111051357877
416,0.8634041408980908
417,0.2500672223716053
418,0.3967464372143048
419,0.0
420,0.06265125033611185
421,0.029443398763108364
422,0.053912342027426674
423,0.16590481312180694
424,0.2855606345791879
425,0.0
426,0.02393116429147618
427,0.2894595321322936
428,0.0
429,0.04463565474589942
430,0.0
431,0.13538585641301415
432,0.2198171551492336
433,0.07071793492874423
434,0.07851573003495566
435,0.292551761226136
436,0.0
437,0.06265125033611185
438,0.06265125033611185
439,0.0892713094917989
440,0.22102715783812854
441,0.398494218876042
442,0.1734337187415972
443,0.06265125033611185
444,0.31997848884108626
445,0.0
446,0.0
447,0.18741597203549343
448,0.30142511427803165
449,0.21578381285291748
450,0.30559290131755845
451,0.25719279376176396
452,0.127856950793224
453,0.214439365420812
454,0.3608496907770906
455,0.6558214573810164
456,0.4038720086044635
457,0.24025275611723573
458,0.8349018553374563
459,0.8522452272116159
460,0.5239311642914761
461,0.629604732454961
462,0.545038988975531
463,0.4641032535627856
464,0.5903468674374831
465,0.4444743210540467
466,0.4296853993008872
467,0.37093304651788117
468,0.3205162678139285
469,0.30142511427803165
470,0.29631621403603114
471,0.31997848884108626
472,0.26391503092229096
473,0.19239042753428337
474,0.18244151653670337
475,0.25114278031728965
476,0.029443398763108364
477,0.03979564399031993
478,0.45307878461952134
479,0.3679752621672492
480,0.3448507663350363
481,0.24253831675181503
482,0.26109169131486953
483,0.2871739714977144
484,0.23581607959128792
485,0.18069373487496643
486,0.19077709061575687
487,0.19239042753428337
488,0.03979564399031993
489,0.012234471632159183
490,0.4583221296047324
491,0.3426996504436677
492,0.34727077171282605
493,0.29026620059155683
494,0.2346060769023931
495,0.27735950524334496
496,0.22237160527023392
497,0.1493681097069104
498,0.16402258671685932
499,0.0060500134444743114
500,0.0
501,0.0
502,0.49381554181231513
503,0.4856144124764721
504,0.3819575154611454
505,0.42323205162678135
506,0.29026620059155683
507,0.3082817961817693
508,0.23581607959128792
509,0.2346060769023931
510,0.24025275611723573
511,0.2285560634579188
512,0.03979564399031993
513,0.1329658510352245
514,0.5786501747781662
515,0.47230438289862864
516,0.4361387469749932
517,0.5095455767679483
518,0.5263511696692659
519,0.24684054853455228
520,0.3432374294165098
521,0.36488303307340686
522,0.1734337187415972
523,0.19239042753428337
524,0.2489916644259209
525,0.3746974993277762
526,0.25719279376176396
527,0.23097606883570854
528,0.2346060769023931
529,0.2807206238236085
530,0.25208389351976335
531,0.17894595321322937
532,0.1449314331809627
533,0.06265125033611185
534,0.11992471094380208
535,0.0
536,0.018150040333422934
537,0.36743748319440706
538,0.3236084969077708
539,0.20744823877386398
540,0.23917719817155147
541,0.2500672223716053
542,0.24576499058886803
543,0.23339607421349817
544,0.1599892444205432
545,0.1493681097069104
546,0.2130949179887066
547,0.053912342027426674
548,0.04463565474589942
549,0.4034686743748319
550,0.22492605539123423
551,0.34431298736219407
552,0.29026620059155683
553,0.28798063995697765
554,0.31164291476203276
555,0.25114278031728965
556,0.20744823877386398
557,0.2436138746974993
558,0.16590481312180694
559,0.07071793492874423
560,0.4714977144393653
561,0.43640763646141434
562,0.36353858564130137
563,0.43116429147620317
564,0.22237160527023392
565,0.28636730303845115
566,0.0892713094917989
