,RLU_N2a
306,0.13960654183455795
307,0.16200521450580707
308,0.2334676463616971
309,0.13960654183455795
310,0.17741170893576674
311,0.27305048589713204
312,0.047167575254799754
313,0.0
314,0.0
315,0.0
316,0.11187485186063045
317,0.09160938611045272
318,0.06695899502251718
319,0.18084854230860392
320,0.26309552026546573
321,0.1578573121592794
322,0.09160938611045272
323,0.20869874377814646
324,0.0
325,0.0
326,0.0
327,0.0
328,0.08390613889547288
329,0.07572884569803268
330,0.009362408153590907
331,0.16603460535671954
332,0.18772220905427828
333,0.1345105475231097
334,0.10547523109741647
335,0.123844512917753
336,0.08390613889547288
337,0.0
338,0.05747807537331118
339,0.09160938611045272
340,0.22173500829580467
341,0.1578573121592794
342,0.12929604171604647
343,0.25207395117326375
344,0.3407205498933396
345,0.5406494429959705
346,0.3351505095994311
347,0.29758236548945244
348,0.18772220905427828
349,0.047167575254799754
350,0.0
351,0.38848068262621466
352,0.2922493481867741
353,0.22659397961602273
354,0.29758236548945244
355,0.5389902820573595
356,0.5478786442284902
357,0.5654183455795212
358,0.7378525716994548
359,0.6309552026546574
360,0.407916567907087
361,0.3890732401042902
362,0.43896657975823644
363,0.4785494192936715
364,0.428656079639725
365,0.4242711543019672
366,0.3155961128229438
367,0.2852571699454847
368,0.3756814410997867
369,0.16603460535671954
370,0.18772220905427828
371,0.32424745200284427
372,0.42462668878881255
373,0.38966579758236547
374,0.407916567907087
375,0.4215453899028206
376,0.4105238208106186
377,0.47570514339890974
378,0.2962787390376866
379,0.38788812514813925
380,0.43493718890732397
381,0.22422374970372122
382,0.1842853756814411
383,0.35363830291538273
384,0.4172789760606778
385,0.4191751599905191
386,0.46053567196018014
387,0.3944062574069685
388,0.44015169471438725
389,0.4163308840957572
390,0.2866793078928655
391,0.384214268784072
392,0.36738563640673133
393,0.22173500829580467
394,0.1345105475231097
395,0.6298885991941219
396,0.42640436122303854
397,0.42557478075373306
398,0.38729556767006396
399,0.42201943588528085
400,0.4210713439203602
401,0.45650628110926755
402,0.47570514339890974
403,0.4723868215216875
404,0.6577388006636642
405,0.5600853282768428
406,0.5489452476890258
407,0.6531168523346764
408,0.7280161175634037
409,0.6885517895235838
410,0.6250296278739038
411,0.9944299597060913
412,0.7277790945721734
413,0.3313581417397488
414,0.9922967527850199
415,0.9172789760606779
416,0.6124674093387059
417,0.7914197677174686
418,0.8395354349371886
419,0.782768428537568
420,0.2595401753970135
421,0.27625029627873904
422,0.07572884569803268
423,0.10547523109741647
424,0.35683811329698983
425,0.3293434463142924
426,0.1578573121592794
427,0.35280872244607725
428,0.3313581417397488
429,0.047167575254799754
430,0.21924626688788812
431,0.19092201943588527
432,0.10547523109741647
433,0.15359089831713674
434,0.0
435,0.0
436,0.3902583550604409
437,0.35683811329698983
438,0.2881014458402465
439,0.0
440,0.2664138421426879
441,0.0
442,0.16603460535671954
443,0.03590898317136759
444,0.3914434700165916
445,0.2837165205024887
446,0.0
447,0.40270206210002363
448,0.43114482104764157
449,0.3816070158805403
450,0.3543493718890733
451,0.38350319981038156
452,0.31452950936240814
453,0.11803744963261437
454,0.12929604171604647
455,0.15359089831713674
456,0.5849727423560085
457,0.49265228727186533
458,0.1490874614837639
459,0.5295093624081535
460,0.5931500355534487
461,0.43114482104764157
462,0.5081772931974402
463,0.5741881962550366
464,0.38291064233230615
465,0.4416923441573833
466,0.4911116378288694
467,0.19412182981749226
468,0.7559848305285612
469,0.30516710120881724
470,0.22896420952832425
471,0.9440625740696846
472,0.5861578573121593
473,0.5382792130836691
474,0.9976297700876984
475,0.5327091727897606
476,0.559018724816307
477,0.8795923204550842
478,0.3389428774591135
479,0.46823891917515986
480,0.0987200758473572
481,0.023346764636169692
482,0.03590898317136759
483,0.17373785257169944
484,0.14446551315477596
485,0.16603460535671954
486,0.16200521450580707
487,0.2647546812040768
488,0.3702299123014932
489,0.11187485186063045
490,0.13960654183455795
491,0.3736667456743303
492,0.11803744963261437
493,0.0
494,0.009362408153590907
495,0.1578573121592794
496,0.07572884569803268
497,0.123844512917753
498,0.22896420952832425
499,0.23785257169945478
500,0.31227779094572167
501,0.18084854230860392
502,0.18772220905427828
503,0.3763925100734771
504,0.10547523109741647
505,0.009362408153590907
506,0.06695899502251718
507,0.17373785257169944
508,0.17373785257169944
509,0.17741170893576674
510,0.19720312870348422
511,0.31334439440625744
512,0.469779568618156
513,0.271391324958521
514,0.17373785257169944
515,0.4005688551789523
516,0.07572884569803268
517,0.03590898317136759
518,0.0
519,0.2837165205024887
520,0.384214268784072
521,0.35280872244607725
522,0.30872244607726956
523,0.38788812514813925
524,0.34522398672671245
525,0.23121592794501067
526,0.30753733112111864
527,0.43659634984593504
528,0.6966105712254089
529,0.4745200284427588
530,0.33029153827921304
531,0.8544678833846884
532,0.8697558663190328
533,0.69056648494904
534,0.5803507940270205
535,0.6735008295804692
536,0.5989570988385873
537,0.5276131784783122
538,0.6388954728608673
539,0.5103105001185115
540,0.4972742356008532
541,0.4454847120170657
542,0.40104290116141267
543,0.384214268784072
544,0.37971083195069916
545,0.4005688551789523
546,0.3511495615074662
547,0.2881014458402465
548,0.279331595164731
549,0.33989096942403413
550,0.14446551315477596
551,0.15359089831713674
552,0.5178952358378763
553,0.442877459113534
554,0.4224934818677412
555,0.33230623370466933
556,0.34866082009954963
557,0.3716520502488741
558,0.3263806589239155
559,0.27779094572173507
560,0.2866793078928655
561,0.2881014458402465
562,0.15359089831713674
563,0.12929604171604647
564,0.5225171841668641
565,0.42059729793789996
566,0.42462668878881255
567,0.37437781464802083
568,0.32531405546337994
569,0.36300071106897364
570,0.31452950936240814
571,0.25017776724342256
572,0.26309552026546573
573,0.123844512917753
574,0.11187485186063045
575,0.009362408153590907
576,0.5538042190092438
577,0.5465750177767243
578,0.4552026546575018
579,0.49158568381132967
580,0.37437781464802083
581,0.3902583550604409
582,0.3263806589239155
583,0.32531405546337994
584,0.33029153827921304
585,0.3199810381607016
586,0.15359089831713674
587,0.23571936477838346
588,0.628584972742356
589,0.6182744726238445
590,0.5348423797108319
591,0.5029627873903768
592,0.5676700639962076
593,0.5824840009480918
594,0.33609860156435173
595,0.4210713439203602
596,0.44015169471438725
597,0.271391324958521
598,0.2881014458402465
599,0.337994785494193
600,0.4488030338942877
601,0.34522398672671245
602,0.32211424508177294
603,0.32531405546337994
