,P_charged_centers,N_charged_centers,cLogP,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_N2a
119,0.0,1.0,9.3028,12.0,1.0,80.0,100.0,409.6,-6.46,0.11018064361765759
120,0.0,1.0,9.3028,4.0,200.0,20.0,10.0,113.3,-1.485333333,0.11018064361765759
121,0.0,1.0,9.3028,8.0,200.0,20.0,10.0,179.0666667,-0.415666667,0.11018064361765759
123,0.0,1.0,9.3028,4.0,200.0,40.0,10.0,108.3166667,-1.42,0.11018064361765759
124,0.0,1.0,9.3028,8.0,200.0,40.0,10.0,153.9,-0.845333333,0.11018064361765759
125,0.0,1.0,9.3028,12.0,200.0,40.0,10.0,120.1,-1.69,0.11018064361765759
127,0.0,1.0,9.3028,8.0,200.0,60.0,10.0,192.9,-1.398,0.4023208517765282
128,0.0,1.0,9.3028,12.0,200.0,60.0,10.0,260.3666667,-0.940666667,0.36702954898911355
129,0.0,1.0,9.3028,4.0,200.0,80.0,10.0,230.6333333,8.696666667,0.4331857877736571
130,0.0,1.0,9.3028,8.0,200.0,80.0,10.0,237.4,-0.939,0.3114008852733581
131,0.0,1.0,9.3028,12.0,200.0,80.0,10.0,208.8333333,-0.976,0.29357578657734174
132,0.0,1.0,9.3028,4.0,100.0,20.0,10.0,129.5333333,-1.733333333,0.14104557961478645
135,0.0,1.0,9.3028,4.0,100.0,40.0,10.0,181.4666667,-1.7,0.5431271683215695
136,0.0,1.0,9.3028,8.0,100.0,40.0,10.0,144.4,-0.988333333,0.4769709295370259
137,0.0,1.0,9.3028,12.0,100.0,40.0,10.0,123.8,-2.643333333,0.4151214260078957
139,0.0,1.0,9.3028,8.0,100.0,60.0,10.0,212.9666667,-0.511666667,0.3642780236870439
140,0.0,1.0,9.3028,12.0,100.0,60.0,10.0,219.6333333,-1.116666667,0.3965785381026439
141,0.0,1.0,9.3028,4.0,100.0,80.0,10.0,243.4333333,2.933333333,0.390955855963632
142,0.0,1.0,9.3028,8.0,100.0,80.0,10.0,226.2666667,0.520333333,0.37516449336044977
143,0.0,1.0,9.3028,12.0,100.0,80.0,10.0,262.2333333,-2.67,0.37516449336044977
144,0.0,1.0,9.3028,4.0,50.0,20.0,10.0,135.9333333,-1.596666667,0.36774733819834904
146,0.0,1.0,9.3028,12.0,50.0,20.0,10.0,1599.666667,-2.373333333,0.3057782031343461
147,0.0,1.0,9.3028,4.0,50.0,40.0,10.0,113.75,-1.247666667,0.3959803804282809
148,0.0,1.0,9.3028,8.0,50.0,40.0,10.0,142.2666667,-1.014,0.41081469075248234
149,0.0,1.0,9.3028,12.0,50.0,40.0,10.0,142.3333333,-3.99,0.34417992582844836
150,0.0,1.0,9.3028,4.0,50.0,60.0,10.0,256.9666667,-10.79333333,0.3953822227539179
151,0.0,1.0,9.3028,8.0,50.0,60.0,10.0,205.9333333,-1.503333333,0.34334250508434017
152,0.0,1.0,9.3028,12.0,50.0,60.0,10.0,184.7,-1.180333333,0.32599593252781434
153,0.0,1.0,9.3028,4.0,50.0,80.0,10.0,244.4333333,1.269666667,0.3801890178250986
154,0.0,1.0,9.3028,8.0,50.0,80.0,10.0,247.3666667,-1.149666667,0.17657614547194642
155,0.0,1.0,9.3028,12.0,50.0,80.0,10.0,250.6333333,-1.219666667,0.2328029668620649
159,0.0,1.0,9.3028,4.0,10.0,40.0,10.0,111.6666667,-1.019766667,0.43904773298241406
161,0.0,1.0,9.3028,12.0,10.0,40.0,10.0,118.0,-1.693333333,0.4883359253499221
162,0.0,1.0,9.3028,4.0,10.0,60.0,10.0,233.5,-0.879,0.4701519320492882
163,0.0,1.0,9.3028,8.0,10.0,60.0,10.0,264.6666667,-0.790333333,0.4691948797703075
164,0.0,1.0,9.3028,12.0,10.0,60.0,10.0,220.9,-1.506666667,0.6613231247756909
165,0.0,1.0,9.3028,4.0,10.0,80.0,10.0,256.1,0.606333333,0.5786577341787295
166,0.0,1.0,9.3028,8.0,10.0,80.0,10.0,278.3,-1.317,0.5349922239502333
167,0.0,1.0,9.3028,12.0,10.0,80.0,10.0,265.9,-0.951333333,0.47362124656059335
169,0.0,1.0,9.3028,8.0,1.0,20.0,10.0,682.8333333,-31.73333333,0.7548749850460581
171,0.0,1.0,9.3028,4.0,1.0,40.0,10.0,163.5666667,-1.746666667,0.8227060653188178
172,0.0,1.0,9.3028,8.0,1.0,40.0,10.0,459.9666667,-1.683333333,0.9260677114487379
174,0.0,1.0,9.3028,4.0,1.0,60.0,10.0,194.8666667,-1.74,0.8298839574111736
176,0.0,1.0,9.3028,12.0,1.0,60.0,10.0,1021.5,-1.422666667,0.9503529130278741
177,0.0,1.0,9.3028,4.0,1.0,80.0,10.0,201.0,-1.713333333,0.894604617777246
178,0.0,1.0,9.3028,8.0,1.0,80.0,10.0,456.4,-2.203333333,0.4371336284244526
179,0.0,1.0,9.3028,12.0,1.0,80.0,10.0,398.5,-1.184333333,0.2645053236033018
181,1.0,1.0,9.784,8.0,200.0,20.0,500.0,533.7,-3.523333333,0.33448977150376835
183,1.0,1.0,9.784,4.0,200.0,40.0,500.0,237.1333333,-4.23,0.3523148701997846
184,1.0,1.0,9.784,8.0,200.0,40.0,500.0,185.1333333,-1.803333333,0.2785022131833951
186,1.0,1.0,9.784,4.0,200.0,60.0,500.0,206.6,-5.31,0.2306495992343581
187,1.0,1.0,9.784,8.0,200.0,60.0,500.0,173.1333333,0.721666667,0.21689197272401003
188,1.0,1.0,9.784,12.0,200.0,60.0,500.0,183.6666667,-0.501666667,0.4007656418231845
189,1.0,1.0,9.784,4.0,200.0,80.0,500.0,166.6333333,-24.63333333,0.4254097380069386
190,1.0,1.0,9.784,8.0,200.0,80.0,500.0,137.6333333,-6.11,0.3738485464768512
191,1.0,1.0,9.784,12.0,200.0,80.0,500.0,158.8,-0.955,0.3523148701997846
192,1.0,1.0,9.784,4.0,100.0,20.0,500.0,577.6666667,-11.77666667,0.33544682378274904
193,1.0,1.0,9.784,8.0,100.0,20.0,500.0,562.7666667,-3.553333333,0.35614307931570754
194,1.0,1.0,9.784,12.0,100.0,20.0,500.0,288.1666667,-1.593,0.3490848187582246
195,1.0,1.0,9.784,4.0,100.0,40.0,500.0,240.3,-3.686666667,0.2855604737408781
196,1.0,1.0,9.784,8.0,100.0,40.0,500.0,191.7333333,0.269333333,0.13637994975475534
