,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_HepG2
148,149,18PG,0,1,9.3028,3,10,36,1,8,50,40,10,142.2666667,-1.014,3.0
149,150,18PG,0,1,9.3028,3,10,36,1,12,50,40,10,142.3333333,-3.99,3.0
150,151,18PG,0,1,9.3028,3,10,36,1,4,50,60,10,256.9666667,-10.79333333,3.0
151,152,18PG,0,1,9.3028,3,10,36,1,8,50,60,10,205.9333333,-1.503333333,2.398
152,153,18PG,0,1,9.3028,3,10,36,1,12,50,60,10,184.7,-1.180333333,2.303
153,154,18PG,0,1,9.3028,3,10,36,1,4,50,80,10,244.4333333,1.269666667,3.0
154,155,18PG,0,1,9.3028,3,10,36,1,8,50,80,10,247.3666667,-1.149666667,2.015
155,156,18PG,0,1,9.3028,3,10,36,1,12,50,80,10,250.6333333,-1.219666667,2.251
159,160,18PG,0,1,9.3028,3,10,36,1,4,10,40,10,111.6666667,-1.019766667,3.0
161,162,18PG,0,1,9.3028,3,10,36,1,12,10,40,10,118.0,-1.693333333,3.0
162,163,18PG,0,1,9.3028,3,10,36,1,4,10,60,10,233.5,-0.879,3.0
163,164,18PG,0,1,9.3028,3,10,36,1,8,10,60,10,264.6666667,-0.790333333,2.398
164,165,18PG,0,1,9.3028,3,10,36,1,12,10,60,10,220.9,-1.506666667,3.0
165,166,18PG,0,1,9.3028,3,10,36,1,4,10,80,10,256.1,0.606333333,3.0
166,167,18PG,0,1,9.3028,3,10,36,1,8,10,80,10,278.3,-1.317,3.0
167,168,18PG,0,1,9.3028,3,10,36,1,12,10,80,10,265.9,-0.951333333,2.303
169,170,18PG,0,1,9.3028,3,10,36,1,8,1,20,10,682.8333333,-31.73333333,3.0
171,172,18PG,0,1,9.3028,3,10,36,1,4,1,40,10,163.5666667,-1.746666667,3.0
172,173,18PG,0,1,9.3028,3,10,36,1,8,1,40,10,459.9666667,-1.683333333,3.0
174,175,18PG,0,1,9.3028,3,10,36,1,4,1,60,10,194.8666667,-1.74,3.0
176,177,18PG,0,1,9.3028,3,10,36,1,12,1,60,10,1021.5,-1.422666667,3.0
177,178,18PG,0,1,9.3028,3,10,36,1,4,1,80,10,201.0,-1.713333333,3.0
178,179,18PG,0,1,9.3028,3,10,36,1,8,1,80,10,456.4,-2.203333333,3.0
179,180,18PG,0,1,9.3028,3,10,36,1,12,1,80,10,398.5,-1.184333333,3.0
181,182,DOPE,1,1,9.784,2,9,36,2,8,200,20,500,533.7,-3.523333333,3.0
183,184,DOPE,1,1,9.784,2,9,36,2,4,200,40,500,237.1333333,-4.23,3.0
184,185,DOPE,1,1,9.784,2,9,36,2,8,200,40,500,185.1333333,-1.803333333,3.0
186,187,DOPE,1,1,9.784,2,9,36,2,4,200,60,500,206.6,-5.31,3.0
187,188,DOPE,1,1,9.784,2,9,36,2,8,200,60,500,173.1333333,0.721666667,3.0
188,189,DOPE,1,1,9.784,2,9,36,2,12,200,60,500,183.6666667,-0.501666667,3.0
189,190,DOPE,1,1,9.784,2,9,36,2,4,200,80,500,166.6333333,-24.63333333,3.0
190,191,DOPE,1,1,9.784,2,9,36,2,8,200,80,500,137.6333333,-6.11,3.0
191,192,DOPE,1,1,9.784,2,9,36,2,12,200,80,500,158.8,-0.955,3.0
192,193,DOPE,1,1,9.784,2,9,36,2,4,100,20,500,577.6666667,-11.77666667,3.0
193,194,DOPE,1,1,9.784,2,9,36,2,8,100,20,500,562.7666667,-3.553333333,2.398
194,195,DOPE,1,1,9.784,2,9,36,2,12,100,20,500,288.1666667,-1.593,3.0
195,196,DOPE,1,1,9.784,2,9,36,2,4,100,40,500,240.3,-3.686666667,3.0
196,197,DOPE,1,1,9.784,2,9,36,2,8,100,40,500,191.7333333,0.269333333,3.0
197,198,DOPE,1,1,9.784,2,9,36,2,12,100,40,500,189.9666667,-2.24,3.0
198,199,DOPE,1,1,9.784,2,9,36,2,4,100,60,500,192.8,-3.663333333,3.0
199,200,DOPE,1,1,9.784,2,9,36,2,8,100,60,500,170.3,0.073,3.0
200,201,DOPE,1,1,9.784,2,9,36,2,12,100,60,500,181.6333333,-1.161666667,3.0
201,202,DOPE,1,1,9.784,2,9,36,2,4,100,80,500,172.9333333,-26.66666667,3.0
202,203,DOPE,1,1,9.784,2,9,36,2,8,100,80,500,148.0,-6.033333333,3.0
203,204,DOPE,1,1,9.784,2,9,36,2,12,100,80,500,162.5333333,-0.325333333,3.0
206,207,DOPE,1,1,9.784,2,9,36,2,12,50,20,500,475.3333333,-3.116666667,3.0
207,208,DOPE,1,1,9.784,2,9,36,2,4,50,40,500,191.8,-0.756333333,3.0
208,209,DOPE,1,1,9.784,2,9,36,2,8,50,40,500,170.0,0.3774,3.0
210,211,DOPE,1,1,9.784,2,9,36,2,4,50,60,500,189.0333333,-2.12,3.0
211,212,DOPE,1,1,9.784,2,9,36,2,8,50,60,500,155.4333333,1.195666667,3.0
212,213,DOPE,1,1,9.784,2,9,36,2,12,50,60,500,256.8,0.16,3.0
213,214,DOPE,1,1,9.784,2,9,36,2,4,50,80,500,202.3,-29.4,3.0
214,215,DOPE,1,1,9.784,2,9,36,2,8,50,80,500,135.8666667,-10.41,3.0
215,216,DOPE,1,1,9.784,2,9,36,2,12,50,80,500,163.5333333,-0.4925,4.357
216,217,DOPE,1,1,9.784,2,9,36,2,4,10,20,500,431.8,-9.42,2.741
217,218,DOPE,1,1,9.784,2,9,36,2,8,10,20,500,465.9333333,-1.686666667,3.0
219,220,DOPE,1,1,9.784,2,9,36,2,4,10,40,500,197.5666667,-2.53,3.0
220,221,DOPE,1,1,9.784,2,9,36,2,8,10,40,500,199.4,2.476666667,3.0
221,222,DOPE,1,1,9.784,2,9,36,2,12,10,40,500,208.5,1.541666667,3.0
222,223,DOPE,1,1,9.784,2,9,36,2,4,10,60,500,193.9,-1.64,3.0
223,224,DOPE,1,1,9.784,2,9,36,2,8,10,60,500,159.3,2.77,3.0
224,225,DOPE,1,1,9.784,2,9,36,2,12,10,60,500,190.9666667,2.354,3.0
225,226,DOPE,1,1,9.784,2,9,36,2,4,10,80,500,166.8666667,-26.83333333,3.0
226,227,DOPE,1,1,9.784,2,9,36,2,8,10,80,500,146.8666667,5.42,3.0
227,228,DOPE,1,1,9.784,2,9,36,2,12,10,80,500,167.8,7.203333333,3.902
228,229,DOPE,1,1,9.784,2,9,36,2,4,1,20,500,287.7333333,2.916666667,3.676
230,231,DOPE,1,1,9.784,2,9,36,2,12,1,20,500,473.2,5.006666667,2.197
231,232,DOPE,1,1,9.784,2,9,36,2,4,1,40,500,261.7,4.206666667,3.0
232,233,DOPE,1,1,9.784,2,9,36,2,8,1,40,500,205.1,4.25,3.584
233,234,DOPE,1,1,9.784,2,9,36,2,12,1,40,500,177.9333333,2.72,3.401
234,235,DOPE,1,1,9.784,2,9,36,2,4,1,60,500,224.5,4.343333333,4.174
235,236,DOPE,1,1,9.784,2,9,36,2,8,1,60,500,195.0333333,5.876666667,4.159
236,237,DOPE,1,1,9.784,2,9,36,2,12,1,60,500,179.0333333,6.29,5.807
237,238,DOPE,1,1,9.784,2,9,36,2,4,1,80,500,237.6333333,6.303333333,6.222
238,239,DOPE,1,1,9.784,2,9,36,2,8,1,80,500,164.9666667,11.93333333,6.708
239,240,DOPE,1,1,9.784,2,9,36,2,12,1,80,500,171.5333333,8.72,6.424
240,241,DOPE,1,1,9.784,2,9,36,2,4,200,20,100,177.0333333,-4.186666667,3.0
242,243,DOPE,1,1,9.784,2,9,36,2,12,200,20,100,169.1333333,-2.373333333,3.0
243,244,DOPE,1,1,9.784,2,9,36,2,4,200,40,100,193.5,-1.616666667,3.0
244,245,DOPE,1,1,9.784,2,9,36,2,8,200,40,100,139.0,-1.976666667,3.0
245,246,DOPE,1,1,9.784,2,9,36,2,12,200,40,100,159.2333333,-2.136666667,3.0
246,247,DOPE,1,1,9.784,2,9,36,2,4,200,60,100,171.7,-0.094333333,3.0
247,248,DOPE,1,1,9.784,2,9,36,2,8,200,60,100,150.1333333,-1.95,3.0
248,249,DOPE,1,1,9.784,2,9,36,2,12,200,60,100,177.5333333,-2.43,3.0
249,250,DOPE,1,1,9.784,2,9,36,2,4,200,80,100,219.6333333,-15.26666667,3.0
250,251,DOPE,1,1,9.784,2,9,36,2,8,200,80,100,141.4666667,-3.21,3.0
251,252,DOPE,1,1,9.784,2,9,36,2,12,200,80,100,160.0333333,-4.51,5.226
252,253,DOPE,1,1,9.784,2,9,36,2,4,100,20,100,176.9333333,-4.66,3.0
253,254,DOPE,1,1,9.784,2,9,36,2,8,100,20,100,263.8333333,-6.34,3.0
255,256,DOPE,1,1,9.784,2,9,36,2,4,100,40,100,174.6666667,-3.043333333,3.0
256,257,DOPE,1,1,9.784,2,9,36,2,8,100,40,100,148.9333333,-0.049066667,3.0
257,258,DOPE,1,1,9.784,2,9,36,2,12,100,40,100,152.4666667,-1.993333333,3.0
258,259,DOPE,1,1,9.784,2,9,36,2,4,100,60,100,164.2,-2.476666667,3.0
259,260,DOPE,1,1,9.784,2,9,36,2,8,100,60,100,150.2666667,1.32,3.0
260,261,DOPE,1,1,9.784,2,9,36,2,12,100,60,100,191.8,-1.426666667,3.0
261,262,DOPE,1,1,9.784,2,9,36,2,4,100,80,100,241.5333333,-15.93333333,3.0
262,263,DOPE,1,1,9.784,2,9,36,2,8,100,80,100,148.0333333,-3.53,3.0
263,264,DOPE,1,1,9.784,2,9,36,2,12,100,80,100,155.5666667,-3.316666667,3.989
264,265,DOPE,1,1,9.784,2,9,36,2,4,50,20,100,153.8666667,-3.213333333,3.0
266,267,DOPE,1,1,9.784,2,9,36,2,12,50,20,100,263.9333333,-1.060666667,3.0
267,268,DOPE,1,1,9.784,2,9,36,2,4,50,40,100,170.0666667,-3.176666667,2.015
268,269,DOPE,1,1,9.784,2,9,36,2,8,50,40,100,158.3666667,-1.57,3.0
