P_charged_centers,N_charged_centers,cLogP,Hbond_A,Size,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL)
0,1,9.3028,10,420.6,8,0.99009901,80,0.497512438
0,1,9.3028,10,725.6666667,12,0.99009901,80,0.497512438
0,1,9.3028,10,613.1333333,4,0.99009901,20,0.99009901
0,1,9.3028,10,187.7333333,8,0.99009901,20,0.99009901
0,1,9.3028,10,99.15666667,12,0.99009901,20,0.99009901
0,1,9.3028,10,118.2,4,0.99009901,40,0.99009901
0,1,9.3028,10,170.9666667,8,0.99009901,40,0.99009901
0,1,9.3028,10,215.6333333,12,0.99009901,40,0.99009901
0,1,9.3028,10,182.2,4,0.99009901,60,0.99009901
0,1,9.3028,10,207.7333333,8,0.99009901,60,0.99009901
0,1,9.3028,10,348.7,12,0.99009901,60,0.99009901
0,1,9.3028,10,379.2666667,4,0.99009901,80,0.99009901
0,1,9.3028,10,430.7333333,8,0.99009901,80,0.99009901
0,1,9.3028,10,255.0166667,12,0.99009901,80,0.99009901
0,1,9.3028,10,738.2666667,4,0.99009901,20,1.960784314
0,1,9.3028,10,190.2,8,0.99009901,20,1.960784314
0,1,9.3028,10,210.8,12,0.99009901,20,1.960784314
0,1,9.3028,10,263.4666667,4,0.99009901,40,1.960784314
0,1,9.3028,10,162.0,8,0.99009901,40,1.960784314
0,1,9.3028,10,203.3333333,12,0.99009901,40,1.960784314
0,1,9.3028,10,194.0,4,0.99009901,60,1.960784314
0,1,9.3028,10,235.7333333,8,0.99009901,60,1.960784314
0,1,9.3028,10,183.1666667,12,0.99009901,60,1.960784314
0,1,9.3028,10,264.4666667,4,0.99009901,80,1.960784314
0,1,9.3028,10,410.2,8,0.99009901,80,1.960784314
0,1,9.3028,10,363.8,12,0.99009901,80,1.960784314
0,1,9.3028,10,457.7666667,4,0.99009901,20,9.090909091
0,1,9.3028,10,170.4666667,8,0.99009901,20,9.090909091
0,1,9.3028,10,205.1333333,12,0.99009901,20,9.090909091
0,1,9.3028,10,153.8666667,4,0.99009901,40,9.090909091
0,1,9.3028,10,202.0333333,8,0.99009901,40,9.090909091
0,1,9.3028,10,192.2666667,12,0.99009901,40,9.090909091
0,1,9.3028,10,176.8,4,0.99009901,60,9.090909091
0,1,9.3028,10,293.4666667,8,0.99009901,60,9.090909091
0,1,9.3028,10,281.8333333,12,0.99009901,60,9.090909091
0,1,9.3028,10,496.8666667,4,0.99009901,80,9.090909091
0,1,9.3028,10,526.7333333,8,0.99009901,80,9.090909091
0,1,9.3028,10,501.1333333,12,0.99009901,80,9.090909091
0,1,9.3028,10,237.7333333,4,0.99009901,20,50.0
0,1,9.3028,10,154.0666667,8,0.99009901,20,50.0
0,1,9.3028,10,185.1,12,0.99009901,20,50.0
0,1,9.3028,10,196.1666667,4,0.99009901,40,50.0
0,1,9.3028,10,298.0333333,8,0.99009901,40,50.0
0,1,9.3028,10,189.2333333,12,0.99009901,40,50.0
0,1,9.3028,10,241.5,4,0.99009901,60,50.0
0,1,9.3028,10,249.8,8,0.99009901,60,50.0
0,1,9.3028,10,346.5,12,0.99009901,60,50.0
0,1,9.3028,10,364.1333333,4,0.99009901,80,50.0
0,1,9.3028,10,812.3666667,8,0.99009901,80,50.0
0,1,9.3028,10,409.6,12,0.99009901,80,50.0
0,1,9.3028,10,113.3,4,9.090909091,20,0.497512438
0,1,9.3028,10,179.0666667,8,9.090909091,20,0.497512438
0,1,9.3028,10,1512.333333,12,9.090909091,20,0.497512438
0,1,9.3028,10,108.3166667,4,9.090909091,40,0.497512438
0,1,9.3028,10,153.9,8,9.090909091,40,0.497512438
0,1,9.3028,10,120.1,12,9.090909091,40,0.497512438
0,1,9.3028,10,166.4,4,9.090909091,60,0.497512438
0,1,9.3028,10,192.9,8,9.090909091,60,0.497512438
0,1,9.3028,10,260.3666667,12,9.090909091,60,0.497512438
0,1,9.3028,10,230.6333333,4,9.090909091,80,0.497512438
0,1,9.3028,10,237.4,8,9.090909091,80,0.497512438
0,1,9.3028,10,208.8333333,12,9.090909091,80,0.497512438
0,1,9.3028,10,129.5333333,4,9.090909091,20,0.99009901
0,1,9.3028,10,247.0333333,8,9.090909091,20,0.99009901
0,1,9.3028,10,1955.333333,12,9.090909091,20,0.99009901
0,1,9.3028,10,181.4666667,4,9.090909091,40,0.99009901
0,1,9.3028,10,144.4,8,9.090909091,40,0.99009901
0,1,9.3028,10,123.8,12,9.090909091,40,0.99009901
0,1,9.3028,10,253.1333333,4,9.090909091,60,0.99009901
0,1,9.3028,10,212.9666667,8,9.090909091,60,0.99009901
0,1,9.3028,10,219.6333333,12,9.090909091,60,0.99009901
0,1,9.3028,10,243.4333333,4,9.090909091,80,0.99009901
0,1,9.3028,10,226.2666667,8,9.090909091,80,0.99009901
0,1,9.3028,10,262.2333333,12,9.090909091,80,0.99009901
0,1,9.3028,10,135.9333333,4,9.090909091,20,1.960784314
0,1,9.3028,10,967.0333333,8,9.090909091,20,1.960784314
0,1,9.3028,10,1599.666667,12,9.090909091,20,1.960784314
0,1,9.3028,10,113.75,4,9.090909091,40,1.960784314
0,1,9.3028,10,142.2666667,8,9.090909091,40,1.960784314
0,1,9.3028,10,142.3333333,12,9.090909091,40,1.960784314
0,1,9.3028,10,256.9666667,4,9.090909091,60,1.960784314
0,1,9.3028,10,205.9333333,8,9.090909091,60,1.960784314
0,1,9.3028,10,184.7,12,9.090909091,60,1.960784314
0,1,9.3028,10,244.4333333,4,9.090909091,80,1.960784314
0,1,9.3028,10,247.3666667,8,9.090909091,80,1.960784314
0,1,9.3028,10,250.6333333,12,9.090909091,80,1.960784314
0,1,9.3028,10,636.7,4,9.090909091,20,9.090909091
0,1,9.3028,10,691.7,8,9.090909091,20,9.090909091
0,1,9.3028,10,1708.333333,12,9.090909091,20,9.090909091
0,1,9.3028,10,111.6666667,4,9.090909091,40,9.090909091
0,1,9.3028,10,148.1333333,8,9.090909091,40,9.090909091
0,1,9.3028,10,118.0,12,9.090909091,40,9.090909091
0,1,9.3028,10,233.5,4,9.090909091,60,9.090909091
0,1,9.3028,10,264.6666667,8,9.090909091,60,9.090909091
0,1,9.3028,10,220.9,12,9.090909091,60,9.090909091
0,1,9.3028,10,256.1,4,9.090909091,80,9.090909091
0,1,9.3028,10,278.3,8,9.090909091,80,9.090909091
0,1,9.3028,10,265.9,12,9.090909091,80,9.090909091
0,1,9.3028,10,675.8333333,4,9.090909091,20,50.0
0,1,9.3028,10,682.8333333,8,9.090909091,20,50.0
0,1,9.3028,10,464.0,12,9.090909091,20,50.0
0,1,9.3028,10,163.5666667,4,9.090909091,40,50.0
0,1,9.3028,10,459.9666667,8,9.090909091,40,50.0
0,1,9.3028,10,753.9666667,12,9.090909091,40,50.0
0,1,9.3028,10,194.8666667,4,9.090909091,60,50.0
0,1,9.3028,10,934.6333333,8,9.090909091,60,50.0
0,1,9.3028,10,1021.5,12,9.090909091,60,50.0
0,1,9.3028,10,201.0,4,9.090909091,80,50.0
0,1,9.3028,10,456.4,8,9.090909091,80,50.0
0,1,9.3028,10,398.5,12,9.090909091,80,50.0
1,1,9.784,9,288.9666667,4,0.199600798,20,0.497512438
1,1,9.784,9,533.7,8,0.199600798,20,0.497512438
1,1,9.784,9,342.3333333,12,0.199600798,20,0.497512438
1,1,9.784,9,237.1333333,4,0.199600798,40,0.497512438
1,1,9.784,9,185.1333333,8,0.199600798,40,0.497512438
1,1,9.784,9,267.7333333,12,0.199600798,40,0.497512438
1,1,9.784,9,206.6,4,0.199600798,60,0.497512438
1,1,9.784,9,173.1333333,8,0.199600798,60,0.497512438
1,1,9.784,9,183.6666667,12,0.199600798,60,0.497512438
1,1,9.784,9,166.6333333,4,0.199600798,80,0.497512438
1,1,9.784,9,137.6333333,8,0.199600798,80,0.497512438
1,1,9.784,9,158.8,12,0.199600798,80,0.497512438
1,1,9.784,9,577.6666667,4,0.199600798,20,0.99009901
1,1,9.784,9,562.7666667,8,0.199600798,20,0.99009901
1,1,9.784,9,288.1666667,12,0.199600798,20,0.99009901
1,1,9.784,9,240.3,4,0.199600798,40,0.99009901
1,1,9.784,9,191.7333333,8,0.199600798,40,0.99009901
1,1,9.784,9,189.9666667,12,0.199600798,40,0.99009901
1,1,9.784,9,192.8,4,0.199600798,60,0.99009901
1,1,9.784,9,170.3,8,0.199600798,60,0.99009901
1,1,9.784,9,181.6333333,12,0.199600798,60,0.99009901
1,1,9.784,9,172.9333333,4,0.199600798,80,0.99009901
1,1,9.784,9,148.0,8,0.199600798,80,0.99009901
1,1,9.784,9,162.5333333,12,0.199600798,80,0.99009901
1,1,9.784,9,650.7333333,4,0.199600798,20,1.960784314
1,1,9.784,9,403.2666667,8,0.199600798,20,1.960784314
1,1,9.784,9,475.3333333,12,0.199600798,20,1.960784314
1,1,9.784,9,191.8,4,0.199600798,40,1.960784314
1,1,9.784,9,170.0,8,0.199600798,40,1.960784314
1,1,9.784,9,307.4666667,12,0.199600798,40,1.960784314
1,1,9.784,9,189.0333333,4,0.199600798,60,1.960784314
1,1,9.784,9,155.4333333,8,0.199600798,60,1.960784314
1,1,9.784,9,256.8,12,0.199600798,60,1.960784314
1,1,9.784,9,202.3,4,0.199600798,80,1.960784314
1,1,9.784,9,135.8666667,8,0.199600798,80,1.960784314
1,1,9.784,9,163.5333333,12,0.199600798,80,1.960784314
1,1,9.784,9,431.8,4,0.199600798,20,9.090909091
1,1,9.784,9,465.9333333,8,0.199600798,20,9.090909091
1,1,9.784,9,599.5333333,12,0.199600798,20,9.090909091
1,1,9.784,9,197.5666667,4,0.199600798,40,9.090909091
1,1,9.784,9,199.4,8,0.199600798,40,9.090909091
1,1,9.784,9,208.5,12,0.199600798,40,9.090909091
1,1,9.784,9,193.9,4,0.199600798,60,9.090909091
1,1,9.784,9,159.3,8,0.199600798,60,9.090909091
1,1,9.784,9,190.9666667,12,0.199600798,60,9.090909091
1,1,9.784,9,166.8666667,4,0.199600798,80,9.090909091
1,1,9.784,9,146.8666667,8,0.199600798,80,9.090909091
1,1,9.784,9,167.8,12,0.199600798,80,9.090909091
1,1,9.784,9,287.7333333,4,0.199600798,20,50.0
1,1,9.784,9,306.5333333,8,0.199600798,20,50.0
1,1,9.784,9,473.2,12,0.199600798,20,50.0
1,1,9.784,9,261.7,4,0.199600798,40,50.0
1,1,9.784,9,205.1,8,0.199600798,40,50.0
1,1,9.784,9,177.9333333,12,0.199600798,40,50.0
1,1,9.784,9,224.5,4,0.199600798,60,50.0
1,1,9.784,9,195.0333333,8,0.199600798,60,50.0
1,1,9.784,9,179.0333333,12,0.199600798,60,50.0
1,1,9.784,9,237.6333333,4,0.199600798,80,50.0
1,1,9.784,9,164.9666667,8,0.199600798,80,50.0
1,1,9.784,9,171.5333333,12,0.199600798,80,50.0
1,1,9.784,9,177.0333333,4,0.99009901,20,0.497512438
1,1,9.784,9,223.4,8,0.99009901,20,0.497512438
1,1,9.784,9,169.1333333,12,0.99009901,20,0.497512438
1,1,9.784,9,193.5,4,0.99009901,40,0.497512438
1,1,9.784,9,139.0,8,0.99009901,40,0.497512438
1,1,9.784,9,159.2333333,12,0.99009901,40,0.497512438
1,1,9.784,9,171.7,4,0.99009901,60,0.497512438
1,1,9.784,9,150.1333333,8,0.99009901,60,0.497512438
1,1,9.784,9,177.5333333,12,0.99009901,60,0.497512438
1,1,9.784,9,219.6333333,4,0.99009901,80,0.497512438
1,1,9.784,9,141.4666667,8,0.99009901,80,0.497512438
1,1,9.784,9,160.0333333,12,0.99009901,80,0.497512438
1,1,9.784,9,176.9333333,4,0.99009901,20,0.99009901
1,1,9.784,9,263.8333333,8,0.99009901,20,0.99009901
1,1,9.784,9,303.3666667,12,0.99009901,20,0.99009901
1,1,9.784,9,174.6666667,4,0.99009901,40,0.99009901
1,1,9.784,9,148.9333333,8,0.99009901,40,0.99009901
1,1,9.784,9,152.4666667,12,0.99009901,40,0.99009901
1,1,9.784,9,164.2,4,0.99009901,60,0.99009901
1,1,9.784,9,150.2666667,8,0.99009901,60,0.99009901
1,1,9.784,9,191.8,12,0.99009901,60,0.99009901
1,1,9.784,9,241.5333333,4,0.99009901,80,0.99009901
1,1,9.784,9,148.0333333,8,0.99009901,80,0.99009901
1,1,9.784,9,155.5666667,12,0.99009901,80,0.99009901
1,1,9.784,9,153.8666667,4,0.99009901,20,1.960784314
1,1,9.784,9,203.9333333,8,0.99009901,20,1.960784314
1,1,9.784,9,263.9333333,12,0.99009901,20,1.960784314
1,1,9.784,9,170.0666667,4,0.99009901,40,1.960784314
1,1,9.784,9,158.3666667,8,0.99009901,40,1.960784314
1,1,9.784,9,130.9333333,12,0.99009901,40,1.960784314
1,1,9.784,9,160.7333333,4,0.99009901,60,1.960784314
1,1,9.784,9,138.7333333,8,0.99009901,60,1.960784314
1,1,9.784,9,152.2333333,12,0.99009901,60,1.960784314
1,1,9.784,9,189.0,4,0.99009901,80,1.960784314
1,1,9.784,9,147.2,8,0.99009901,80,1.960784314
1,1,9.784,9,148.5333333,12,0.99009901,80,1.960784314
1,1,9.784,9,154.9,4,0.99009901,20,9.090909091
1,1,9.784,9,230.9333333,8,0.99009901,20,9.090909091
1,1,9.784,9,168.1666667,12,0.99009901,20,9.090909091
1,1,9.784,9,164.0666667,4,0.99009901,40,9.090909091
1,1,9.784,9,478.0,8,0.99009901,40,9.090909091
1,1,9.784,9,161.1333333,12,0.99009901,40,9.090909091
1,1,9.784,9,179.6666667,4,0.99009901,60,9.090909091
1,1,9.784,9,153.8,8,0.99009901,60,9.090909091
1,1,9.784,9,150.7333333,12,0.99009901,60,9.090909091
1,1,9.784,9,222.5666667,4,0.99009901,80,9.090909091
1,1,9.784,9,166.1666667,8,0.99009901,80,9.090909091
1,1,9.784,9,198.6666667,12,0.99009901,80,9.090909091
1,1,9.784,9,236.7666667,4,0.99009901,20,50.0
1,1,9.784,9,211.3666667,8,0.99009901,20,50.0
1,1,9.784,9,182.6,12,0.99009901,20,50.0
1,1,9.784,9,179.9,4,0.99009901,40,50.0
1,1,9.784,9,196.2,8,0.99009901,40,50.0
1,1,9.784,9,180.0,12,0.99009901,40,50.0
1,1,9.784,9,197.7,4,0.99009901,60,50.0
1,1,9.784,9,148.4666667,8,0.99009901,60,50.0
1,1,9.784,9,171.6333333,12,0.99009901,60,50.0
1,1,9.784,9,253.0666667,4,0.99009901,80,50.0
1,1,9.784,9,186.6333333,8,0.99009901,80,50.0
1,1,9.784,9,150.0333333,12,0.99009901,80,50.0
1,1,9.784,9,274.6,4,9.090909091,20,0.497512438
1,1,9.784,9,236.6,8,9.090909091,20,0.497512438
1,1,9.784,9,405.4,12,9.090909091,20,0.497512438
1,1,9.784,9,170.1333333,4,9.090909091,40,0.497512438
1,1,9.784,9,176.6666667,8,9.090909091,40,0.497512438
1,1,9.784,9,260.6666667,12,9.090909091,40,0.497512438
1,1,9.784,9,153.6333333,4,9.090909091,60,0.497512438
1,1,9.784,9,153.0333333,8,9.090909091,60,0.497512438
1,1,9.784,9,149.9,12,9.090909091,60,0.497512438
1,1,9.784,9,133.1,4,9.090909091,80,0.497512438
1,1,9.784,9,138.3666667,8,9.090909091,80,0.497512438
1,1,9.784,9,136.2333333,12,9.090909091,80,0.497512438
1,1,9.784,9,196.5,4,9.090909091,20,0.99009901
1,1,9.784,9,197.3,8,9.090909091,20,0.99009901
1,1,9.784,9,213.9333333,12,9.090909091,20,0.99009901
1,1,9.784,9,137.9333333,4,9.090909091,40,0.99009901
1,1,9.784,9,470.4333333,8,9.090909091,40,0.99009901
1,1,9.784,9,165.9666667,12,9.090909091,40,0.99009901
1,1,9.784,9,137.5666667,4,9.090909091,60,0.99009901
1,1,9.784,9,115.6333333,8,9.090909091,60,0.99009901
1,1,9.784,9,207.0666667,12,9.090909091,60,0.99009901
1,1,9.784,9,145.4,4,9.090909091,80,0.99009901
1,1,9.784,9,135.8666667,8,9.090909091,80,0.99009901
1,1,9.784,9,120.9333333,12,9.090909091,80,0.99009901
1,1,9.784,9,278.8333333,4,9.090909091,20,1.960784314
1,1,9.784,9,415.8,8,9.090909091,20,1.960784314
1,1,9.784,9,496.8333333,12,9.090909091,20,1.960784314
1,1,9.784,9,93.06666667,4,9.090909091,40,1.960784314
1,1,9.784,9,207.5666667,8,9.090909091,40,1.960784314
1,1,9.784,9,201.6333333,12,9.090909091,40,1.960784314
1,1,9.784,9,136.1666667,4,9.090909091,60,1.960784314
1,1,9.784,9,129.5,8,9.090909091,60,1.960784314
1,1,9.784,9,202.5,12,9.090909091,60,1.960784314
1,1,9.784,9,143.0333333,4,9.090909091,80,1.960784314
1,1,9.784,9,134.7,8,9.090909091,80,1.960784314
1,1,9.784,9,135.2333333,12,9.090909091,80,1.960784314
1,1,9.784,9,235.4666667,4,9.090909091,20,9.090909091
1,1,9.784,9,378.9333333,8,9.090909091,20,9.090909091
1,1,9.784,9,476.3333333,12,9.090909091,20,9.090909091
1,1,9.784,9,132.7666667,4,9.090909091,40,9.090909091
1,1,9.784,9,279.9666667,8,9.090909091,40,9.090909091
1,1,9.784,9,153.0,12,9.090909091,40,9.090909091
1,1,9.784,9,156.7333333,4,9.090909091,60,9.090909091
1,1,9.784,9,134.0666667,8,9.090909091,60,9.090909091
1,1,9.784,9,167.5,12,9.090909091,60,9.090909091
1,1,9.784,9,144.4333333,4,9.090909091,80,9.090909091
1,1,9.784,9,161.1333333,8,9.090909091,80,9.090909091
1,1,9.784,9,118.1666667,12,9.090909091,80,9.090909091
1,1,9.784,9,302.6666667,4,9.090909091,20,50.0
1,1,9.784,9,270.0333333,8,9.090909091,20,50.0
1,1,9.784,9,180.3,12,9.090909091,20,50.0
1,1,9.784,9,157.5,4,9.090909091,40,50.0
1,1,9.784,9,140.4666667,8,9.090909091,40,50.0
1,1,9.784,9,228.2,12,9.090909091,40,50.0
1,1,9.784,9,153.2,4,9.090909091,60,50.0
1,1,9.784,9,129.7666667,8,9.090909091,60,50.0
1,1,9.784,9,145.7333333,12,9.090909091,60,50.0
1,1,9.784,9,165.1666667,4,9.090909091,80,50.0
1,1,9.784,9,157.6666667,8,9.090909091,80,50.0
1,1,9.784,9,140.5666667,12,9.090909091,80,50.0
1,0,12.515,4,157.3333333,4,0.199600798,20,0.497512438
1,0,12.515,4,138.8333333,8,0.199600798,20,0.497512438
1,0,12.515,4,235.9333333,12,0.199600798,20,0.497512438
1,0,12.515,4,175.8333333,4,0.199600798,40,0.497512438
1,0,12.515,4,172.5333333,8,0.199600798,40,0.497512438
1,0,12.515,4,173.3,12,0.199600798,40,0.497512438
1,0,12.515,4,222.7333333,4,0.199600798,60,0.497512438
1,0,12.515,4,163.4666667,8,0.199600798,60,0.497512438
1,0,12.515,4,132.7666667,12,0.199600798,60,0.497512438
1,0,12.515,4,172.6333333,4,0.199600798,80,0.497512438
1,0,12.515,4,156.5,8,0.199600798,80,0.497512438
1,0,12.515,4,415.4333333,12,0.199600798,80,0.497512438
1,0,12.515,4,126.4666667,4,0.199600798,20,0.99009901
1,0,12.515,4,173.0,8,0.199600798,20,0.99009901
1,0,12.515,4,198.5333333,12,0.199600798,20,0.99009901
1,0,12.515,4,185.6666667,4,0.199600798,40,0.99009901
1,0,12.515,4,160.6,8,0.199600798,40,0.99009901
1,0,12.515,4,183.8333333,12,0.199600798,40,0.99009901
1,0,12.515,4,224.0,4,0.199600798,60,0.99009901
1,0,12.515,4,147.6666667,8,0.199600798,60,0.99009901
1,0,12.515,4,146.4333333,12,0.199600798,60,0.99009901
1,0,12.515,4,170.8666667,4,0.199600798,80,0.99009901
1,0,12.515,4,136.8333333,8,0.199600798,80,0.99009901
1,0,12.515,4,290.3,12,0.199600798,80,0.99009901
1,0,12.515,4,122.2,4,0.199600798,20,1.960784314
1,0,12.515,4,176.0666667,8,0.199600798,20,1.960784314
1,0,12.515,4,186.9666667,12,0.199600798,20,1.960784314
1,0,12.515,4,153.4666667,4,0.199600798,40,1.960784314
1,0,12.515,4,204.5333333,8,0.199600798,40,1.960784314
1,0,12.515,4,177.8333333,12,0.199600798,40,1.960784314
1,0,12.515,4,193.0,4,0.199600798,60,1.960784314
1,0,12.515,4,155.2333333,8,0.199600798,60,1.960784314
1,0,12.515,4,133.8333333,12,0.199600798,60,1.960784314
1,0,12.515,4,204.0333333,4,0.199600798,80,1.960784314
1,0,12.515,4,118.1,8,0.199600798,80,1.960784314
1,0,12.515,4,1330.666667,12,0.199600798,80,1.960784314
1,0,12.515,4,105.7,4,0.199600798,20,9.090909091
1,0,12.515,4,131.2333333,8,0.199600798,20,9.090909091
1,0,12.515,4,241.2,12,0.199600798,20,9.090909091
1,0,12.515,4,204.4333333,4,0.199600798,40,9.090909091
1,0,12.515,4,135.9,8,0.199600798,40,9.090909091
1,0,12.515,4,199.2666667,12,0.199600798,40,9.090909091
1,0,12.515,4,157.6333333,4,0.199600798,60,9.090909091
1,0,12.515,4,133.6333333,8,0.199600798,60,9.090909091
1,0,12.515,4,139.3666667,12,0.199600798,60,9.090909091
1,0,12.515,4,138.7666667,4,0.199600798,80,9.090909091
1,0,12.515,4,143.8333333,8,0.199600798,80,9.090909091
1,0,12.515,4,581.7333333,12,0.199600798,80,9.090909091
1,0,12.515,4,137.3,4,0.199600798,20,50.0
1,0,12.515,4,899.4,8,0.199600798,20,50.0
1,0,12.515,4,158.2333333,12,0.199600798,20,50.0
1,0,12.515,4,214.0333333,4,0.199600798,40,50.0
1,0,12.515,4,173.5,8,0.199600798,40,50.0
1,0,12.515,4,217.2,12,0.199600798,40,50.0
1,0,12.515,4,218.4,4,0.199600798,60,50.0
1,0,12.515,4,152.1333333,8,0.199600798,60,50.0
1,0,12.515,4,101.8666667,12,0.199600798,60,50.0
1,0,12.515,4,200.6,4,0.199600798,80,50.0
1,0,12.515,4,133.7333333,8,0.199600798,80,50.0
1,0,12.515,4,223.2,12,0.199600798,80,50.0
1,0,12.515,4,265.1,4,0.99009901,20,0.497512438
1,0,12.515,4,576.1666667,8,0.99009901,20,0.497512438
1,0,12.515,4,453.7333333,12,0.99009901,20,0.497512438
1,0,12.515,4,157.1,4,0.99009901,40,0.497512438
1,0,12.515,4,161.9333333,8,0.99009901,40,0.497512438
1,0,12.515,4,154.0333333,12,0.99009901,40,0.497512438
1,0,12.515,4,187.9,4,0.99009901,60,0.497512438
1,0,12.515,4,151.0666667,8,0.99009901,60,0.497512438
1,0,12.515,4,165.1666667,12,0.99009901,60,0.497512438
1,0,12.515,4,152.2,4,0.99009901,80,0.497512438
1,0,12.515,4,143.4666667,8,0.99009901,80,0.497512438
1,0,12.515,4,119.9666667,12,0.99009901,80,0.497512438
1,0,12.515,4,269.6333333,4,0.99009901,20,0.99009901
1,0,12.515,4,115.6666667,8,0.99009901,20,0.99009901
1,0,12.515,4,388.5666667,12,0.99009901,20,0.99009901
1,0,12.515,4,176.5,4,0.99009901,40,0.99009901
1,0,12.515,4,214.0333333,8,0.99009901,40,0.99009901
1,0,12.515,4,199.2,12,0.99009901,40,0.99009901
1,0,12.515,4,182.5333333,4,0.99009901,60,0.99009901
1,0,12.515,4,155.6333333,8,0.99009901,60,0.99009901
1,0,12.515,4,181.7,12,0.99009901,60,0.99009901
