,P_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
168,0,9.3028,3,4,1,20,10
169,0,9.3028,3,8,1,20,10
170,0,9.3028,3,12,1,20,10
171,0,9.3028,3,4,1,40,10
172,0,9.3028,3,8,1,40,10
173,0,9.3028,3,12,1,40,10
174,0,9.3028,3,4,1,60,10
175,0,9.3028,3,8,1,60,10
176,0,9.3028,3,12,1,60,10
177,0,9.3028,3,4,1,80,10
178,0,9.3028,3,8,1,80,10
179,0,9.3028,3,12,1,80,10
180,1,9.784,2,4,200,20,500
181,1,9.784,2,8,200,20,500
182,1,9.784,2,12,200,20,500
183,1,9.784,2,4,200,40,500
184,1,9.784,2,8,200,40,500
185,1,9.784,2,12,200,40,500
186,1,9.784,2,4,200,60,500
187,1,9.784,2,8,200,60,500
188,1,9.784,2,12,200,60,500
189,1,9.784,2,4,200,80,500
190,1,9.784,2,8,200,80,500
191,1,9.784,2,12,200,80,500
192,1,9.784,2,4,100,20,500
193,1,9.784,2,8,100,20,500
194,1,9.784,2,12,100,20,500
195,1,9.784,2,4,100,40,500
196,1,9.784,2,8,100,40,500
197,1,9.784,2,12,100,40,500
198,1,9.784,2,4,100,60,500
199,1,9.784,2,8,100,60,500
200,1,9.784,2,12,100,60,500
201,1,9.784,2,4,100,80,500
202,1,9.784,2,8,100,80,500
203,1,9.784,2,12,100,80,500
204,1,9.784,2,4,50,20,500
205,1,9.784,2,8,50,20,500
206,1,9.784,2,12,50,20,500
207,1,9.784,2,4,50,40,500
208,1,9.784,2,8,50,40,500
209,1,9.784,2,12,50,40,500
210,1,9.784,2,4,50,60,500
211,1,9.784,2,8,50,60,500
212,1,9.784,2,12,50,60,500
213,1,9.784,2,4,50,80,500
214,1,9.784,2,8,50,80,500
215,1,9.784,2,12,50,80,500
216,1,9.784,2,4,10,20,500
217,1,9.784,2,8,10,20,500
218,1,9.784,2,12,10,20,500
219,1,9.784,2,4,10,40,500
220,1,9.784,2,8,10,40,500
221,1,9.784,2,12,10,40,500
222,1,9.784,2,4,10,60,500
223,1,9.784,2,8,10,60,500
224,1,9.784,2,12,10,60,500
225,1,9.784,2,4,10,80,500
226,1,9.784,2,8,10,80,500
227,1,9.784,2,12,10,80,500
228,1,9.784,2,4,1,20,500
229,1,9.784,2,8,1,20,500
230,1,9.784,2,12,1,20,500
231,1,9.784,2,4,1,40,500
232,1,9.784,2,8,1,40,500
233,1,9.784,2,12,1,40,500
234,1,9.784,2,4,1,60,500
235,1,9.784,2,8,1,60,500
236,1,9.784,2,12,1,60,500
237,1,9.784,2,4,1,80,500
238,1,9.784,2,8,1,80,500
239,1,9.784,2,12,1,80,500
240,1,9.784,2,4,200,20,100
241,1,9.784,2,8,200,20,100
242,1,9.784,2,12,200,20,100
243,1,9.784,2,4,200,40,100
244,1,9.784,2,8,200,40,100
245,1,9.784,2,12,200,40,100
246,1,9.784,2,4,200,60,100
247,1,9.784,2,8,200,60,100
248,1,9.784,2,12,200,60,100
249,1,9.784,2,4,200,80,100
250,1,9.784,2,8,200,80,100
251,1,9.784,2,12,200,80,100
252,1,9.784,2,4,100,20,100
253,1,9.784,2,8,100,20,100
254,1,9.784,2,12,100,20,100
255,1,9.784,2,4,100,40,100
256,1,9.784,2,8,100,40,100
257,1,9.784,2,12,100,40,100
258,1,9.784,2,4,100,60,100
259,1,9.784,2,8,100,60,100
260,1,9.784,2,12,100,60,100
261,1,9.784,2,4,100,80,100
262,1,9.784,2,8,100,80,100
263,1,9.784,2,12,100,80,100
264,1,9.784,2,4,50,20,100
265,1,9.784,2,8,50,20,100
266,1,9.784,2,12,50,20,100
267,1,9.784,2,4,50,40,100
268,1,9.784,2,8,50,40,100
269,1,9.784,2,12,50,40,100
270,1,9.784,2,4,50,60,100
271,1,9.784,2,8,50,60,100
272,1,9.784,2,12,50,60,100
273,1,9.784,2,4,50,80,100
274,1,9.784,2,8,50,80,100
275,1,9.784,2,12,50,80,100
276,1,9.784,2,4,10,20,100
277,1,9.784,2,8,10,20,100
278,1,9.784,2,12,10,20,100
279,1,9.784,2,4,10,40,100
280,1,9.784,2,8,10,40,100
281,1,9.784,2,12,10,40,100
282,1,9.784,2,4,10,60,100
283,1,9.784,2,8,10,60,100
284,1,9.784,2,12,10,60,100
285,1,9.784,2,4,10,80,100
286,1,9.784,2,8,10,80,100
287,1,9.784,2,12,10,80,100
288,1,9.784,2,4,1,20,100
289,1,9.784,2,8,1,20,100
290,1,9.784,2,12,1,20,100
291,1,9.784,2,4,1,40,100
292,1,9.784,2,8,1,40,100
293,1,9.784,2,12,1,40,100
294,1,9.784,2,4,1,60,100
295,1,9.784,2,8,1,60,100
296,1,9.784,2,12,1,60,100
297,1,9.784,2,4,1,80,100
298,1,9.784,2,8,1,80,100
299,1,9.784,2,12,1,80,100
300,1,9.784,2,4,200,20,10
301,1,9.784,2,8,200,20,10
302,1,9.784,2,12,200,20,10
303,1,9.784,2,4,200,40,10
304,1,9.784,2,8,200,40,10
305,1,9.784,2,12,200,40,10
306,1,9.784,2,4,200,60,10
