,RF,LGBM,XGB,DT,kNN,lasso,PLS,MLR
682,0.24916868335427528,0.17237773646082932,0.010172427533549633,0.031634266007020684,0.16888920821957176,0.02664986826914656,0.07390253093600002,0.07614181477960769
683,0.10305752050938105,0.17208771996625827,0.09141756951346414,0.08437172828608375,0.059994252047707974,0.0872760214956691,0.14739414669703998,0.14867770008296877
684,0.1293579127035845,0.017322228291506925,0.14053415802467623,0.24862288643004266,0.13563730421037512,0.345990087445627,0.15104522507713397,0.15213580688042122
685,0.11989649781370931,0.035295897208725446,0.17320745771413298,0.09722661301911206,0.03872682856732279,0.13602878794381235,0.08716682861213593,0.08685651894104907
686,0.07813707767242176,0.16097606858167118,0.07450888204512912,0.06353882262777216,0.04982037649087506,0.18817401740528883,0.02453283204895046,0.022901484194920108
687,0.009786003265138704,0.08205460588167002,0.058900822924546625,0.04391435551084932,0.06292570771662592,0.20316837969802742,0.019522438763483307,0.01932701292157396
688,0.11605415725626803,0.07025701694525016,0.09814222838142378,0.05696220721368017,0.1885040954160082,0.22509187266995678,0.09745827275676272,0.09550025533467221
689,0.01854582225739465,0.08361652056034558,0.18496790189975326,0.07188133671823854,0.11646788331656849,0.2217760379271707,0.19785350996577533,0.19745540421813376
690,0.003004278568231822,0.032924954400526785,0.11795964829151556,0.147233797959477,2.7755575615628914e-17,0.06407845509476384,0.03879263631939289,0.03663361250361613
691,0.05389055381928444,0.02048572293181096,0.21530998806652624,0.036125880155194745,0.0290271590745797,0.06729206077856714,0.1867000921208421,0.1866544894691582
692,0.005381569196821187,0.042957813581931126,0.09733126237656575,0.1001580686880299,0.08165547995055553,0.005251810854619732,0.05237819148114117,0.04934815736894249
693,0.011950779896605451,0.01738862151322279,0.05840029955372794,0.0778847535565455,0.027914005960355356,0.07246130256059749,0.10892090324796261,0.10753928235073162
694,0.0062035747655195955,0.03232410184173856,0.013787914044488037,0.015806868802988927,0.002980505187603566,0.028273467867138732,0.06962555514443486,0.06861091050443008
695,0.028474724693326528,0.019551167593525154,0.011234071259355383,0.0,0.0035639313120468807,0.07557942017666135,0.11861590974982925,0.1169975230988285
696,0.05096014142299213,0.02048572293181096,0.000617053513383703,0.0,0.026455026553230496,0.06275026761823632,0.11123730030382148,0.10793750115119838
697,0.05757341625871594,0.08714468373581373,0.008830573563432531,0.0,0.02159418839921501,0.0008811720593586148,0.050064723117333385,0.047113480083615544
698,0.05648861699548391,0.02048572293181096,0.04005951439191735,0.04526512429946833,0.0670463279714035,0.06786418736827385,0.019602766250405107,0.021724866287949784
