Formula label,Helper_lipid,18PG,14PA,DOPE,DSPC,DOTAP,DDAB,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_HEK293
89,18PG,1,0,0,0,0,0,162.0,0.536333333,-0.342,8,0.99009901,40,1.960784314,9.952
90,18PG,1,0,0,0,0,0,203.3333333,0.343333333,-2.2,12,0.99009901,40,1.960784314,10.517
91,18PG,1,0,0,0,0,0,194.0,0.484333333,-3.503333333,4,0.99009901,60,1.960784314,10.551
92,18PG,1,0,0,0,0,0,235.7333333,0.341333333,-2.013333333,8,0.99009901,60,1.960784314,11.074
93,18PG,1,0,0,0,0,0,183.1666667,0.295666667,-3.336666667,12,0.99009901,60,1.960784314,11.66
94,18PG,1,0,0,0,0,0,264.4666667,0.139,-6.496666667,4,0.99009901,80,1.960784314,10.835
95,18PG,1,0,0,0,0,0,410.2,0.146666667,0.9383,8,0.99009901,80,1.960784314,11.636
96,18PG,1,0,0,0,0,0,363.8,0.148333333,0.4627,12,0.99009901,80,1.960784314,12.662
97,18PG,1,0,0,0,0,0,457.7666667,0.88,-20.96666667,4,0.99009901,20,9.090909091,5.745
98,18PG,1,0,0,0,0,0,170.4666667,0.436333333,-1.013333333,8,0.99009901,20,9.090909091,8.332
99,18PG,1,0,0,0,0,0,205.1333333,0.81,-0.812553333,12,0.99009901,20,9.090909091,8.183
100,18PG,1,0,0,0,0,0,153.8666667,0.343666667,-1.636666667,4,0.99009901,40,9.090909091,8.525
101,18PG,1,0,0,0,0,0,202.0333333,0.364666667,-0.022666667,8,0.99009901,40,9.090909091,8.45
102,18PG,1,0,0,0,0,0,192.2666667,0.267,-3.43,12,0.99009901,40,9.090909091,9.234
103,18PG,1,0,0,0,0,0,176.8,0.353333333,-13.4,4,0.99009901,60,9.090909091,11.024
104,18PG,1,0,0,0,0,0,293.4666667,0.390666667,-1.985333333,8,0.99009901,60,9.090909091,8.867
105,18PG,1,0,0,0,0,0,281.8333333,0.217333333,-3.243333333,12,0.99009901,60,9.090909091,10.038
106,18PG,1,0,0,0,0,0,496.8666667,0.153666667,-1.304,4,0.99009901,80,9.090909091,5.541
107,18PG,1,0,0,0,0,0,526.7333333,0.369,-0.888,8,0.99009901,80,9.090909091,10.398
108,18PG,1,0,0,0,0,0,501.1333333,0.277,-0.417666667,12,0.99009901,80,9.090909091,10.646
109,18PG,1,0,0,0,0,0,237.7333333,0.221,-6.72,4,0.99009901,20,50.0,3.773
110,18PG,1,0,0,0,0,0,154.0666667,0.200333333,-5.936666667,8,0.99009901,20,50.0,4.828
111,18PG,1,0,0,0,0,0,185.1,0.109,-3.736666667,12,0.99009901,20,50.0,2.14
112,18PG,1,0,0,0,0,0,196.1666667,0.203333333,-7.57,4,0.99009901,40,50.0,3.178
113,18PG,1,0,0,0,0,0,298.0333333,0.1,-4.593333333,8,0.99009901,40,50.0,2.565
114,18PG,1,0,0,0,0,0,189.2333333,0.111,-1.266666667,12,0.99009901,40,50.0,2.674
115,18PG,1,0,0,0,0,0,241.5,0.106333333,-16.4,4,0.99009901,60,50.0,8.939
116,18PG,1,0,0,0,0,0,249.8,0.209,-1.483333333,8,0.99009901,60,50.0,4.078
117,18PG,1,0,0,0,0,0,346.5,0.061666667,-0.622,12,0.99009901,60,50.0,2.741
118,18PG,1,0,0,0,0,0,364.1333333,0.201,-8.473333333,4,0.99009901,80,50.0,1.946
119,18PG,1,0,0,0,0,0,812.3666667,0.132666667,-5.833333333,8,0.99009901,80,50.0,2.803
120,18PG,1,0,0,0,0,0,409.6,0.290333333,-6.46,12,0.99009901,80,50.0,2.674
121,18PG,1,0,0,0,0,0,113.3,0.238333333,-1.485333333,4,9.090909091,20,0.497512438,3.97
122,18PG,1,0,0,0,0,0,179.0666667,0.428333333,-0.415666667,8,9.090909091,20,0.497512438,4.543
123,18PG,1,0,0,0,0,0,1512.333333,0.599333333,-2.8,12,9.090909091,20,0.497512438,3.676
124,18PG,1,0,0,0,0,0,108.3166667,0.307333333,-1.42,4,9.090909091,40,0.497512438,4.585
125,18PG,1,0,0,0,0,0,153.9,0.435666667,-0.845333333,8,9.090909091,40,0.497512438,7.272
126,18PG,1,0,0,0,0,0,120.1,0.400666667,-1.69,12,9.090909091,40,0.497512438,7.583
127,18PG,1,0,0,0,0,0,166.4,0.504,-3.313333333,4,9.090909091,60,0.497512438,4.212
128,18PG,1,0,0,0,0,0,192.9,0.356666667,-1.398,8,9.090909091,60,0.497512438,7.668
129,18PG,1,0,0,0,0,0,260.3666667,0.331,-0.940666667,12,9.090909091,60,0.497512438,6.919
130,18PG,1,0,0,0,0,0,230.6333333,0.313333333,8.696666667,4,9.090909091,80,0.497512438,4.758
131,18PG,1,0,0,0,0,0,237.4,0.258666667,-0.939,8,9.090909091,80,0.497512438,6.624
132,18PG,1,0,0,0,0,0,208.8333333,0.286,-0.976,12,9.090909091,80,0.497512438,3.738
133,18PG,1,0,0,0,0,0,129.5333333,0.231666667,-1.733333333,4,9.090909091,20,0.99009901,3.664
134,18PG,1,0,0,0,0,0,247.0333333,0.714,-1.54,8,9.090909091,20,0.99009901,3.98
135,18PG,1,0,0,0,0,0,1955.333333,0.704333333,-1.195666667,12,9.090909091,20,0.99009901,3.902
136,18PG,1,0,0,0,0,0,181.4666667,0.334,-1.7,4,9.090909091,40,0.99009901,4.407
137,18PG,1,0,0,0,0,0,144.4,0.396,-0.988333333,8,9.090909091,40,0.99009901,7.049
138,18PG,1,0,0,0,0,0,123.8,0.366333333,-2.643333333,12,9.090909091,40,0.99009901,5.715
139,18PG,1,0,0,0,0,0,253.1333333,0.477333333,-0.603333333,4,9.090909091,60,0.99009901,4.723
140,18PG,1,0,0,0,0,0,212.9666667,0.330666667,-0.511666667,8,9.090909091,60,0.99009901,8.706
141,18PG,1,0,0,0,0,0,219.6333333,0.313,-1.116666667,12,9.090909091,60,0.99009901,9.002
142,18PG,1,0,0,0,0,0,243.4333333,0.302666667,2.933333333,4,9.090909091,80,0.99009901,6.114
143,18PG,1,0,0,0,0,0,226.2666667,0.251333333,0.520333333,8,9.090909091,80,0.99009901,7.602
144,18PG,1,0,0,0,0,0,262.2333333,0.095333333,-2.67,12,9.090909091,80,0.99009901,8.837
145,18PG,1,0,0,0,0,0,135.9333333,0.257333333,-1.596666667,4,9.090909091,20,1.960784314,4.241
146,18PG,1,0,0,0,0,0,967.0333333,1.0,-1.566666667,8,9.090909091,20,1.960784314,4.454
147,18PG,1,0,0,0,0,0,1599.666667,0.223666667,-2.373333333,12,9.090909091,20,1.960784314,4.714
148,18PG,1,0,0,0,0,0,113.75,0.3625,-1.247666667,4,9.090909091,40,1.960784314,6.707
149,18PG,1,0,0,0,0,0,142.2666667,0.315,-1.014,8,9.090909091,40,1.960784314,6.335
150,18PG,1,0,0,0,0,0,142.3333333,0.393333333,-3.99,12,9.090909091,40,1.960784314,6.452
151,18PG,1,0,0,0,0,0,256.9666667,0.289333333,-10.79333333,4,9.090909091,60,1.960784314,5.034
152,18PG,1,0,0,0,0,0,205.9333333,0.315,-1.503333333,8,9.090909091,60,1.960784314,8.742
153,18PG,1,0,0,0,0,0,184.7,0.339666667,-1.180333333,12,9.090909091,60,1.960784314,8.485
154,18PG,1,0,0,0,0,0,244.4333333,0.245,1.269666667,4,9.090909091,80,1.960784314,6.387
155,18PG,1,0,0,0,0,0,247.3666667,0.241333333,-1.149666667,8,9.090909091,80,1.960784314,7.715
156,18PG,1,0,0,0,0,0,250.6333333,0.152666667,-1.219666667,12,9.090909091,80,1.960784314,8.171
157,18PG,1,0,0,0,0,0,636.7,1.0,-2.273333333,4,9.090909091,20,9.090909091,3.701
158,18PG,1,0,0,0,0,0,691.7,0.956666667,-1.220666667,8,9.090909091,20,9.090909091,3.871
159,18PG,1,0,0,0,0,0,1708.333333,0.6,-1.876666667,12,9.090909091,20,9.090909091,5.617
160,18PG,1,0,0,0,0,0,111.6666667,0.341,-1.019766667,4,9.090909091,40,9.090909091,4.736
161,18PG,1,0,0,0,0,0,148.1333333,0.512,-1.61,8,9.090909091,40,9.090909091,6.261
162,18PG,1,0,0,0,0,0,118.0,0.328666667,-1.693333333,12,9.090909091,40,9.090909091,6.118
163,18PG,1,0,0,0,0,0,233.5,0.391333333,-0.879,4,9.090909091,60,9.090909091,5.781
164,18PG,1,0,0,0,0,0,264.6666667,0.407666667,-0.790333333,8,9.090909091,60,9.090909091,8.81
165,18PG,1,0,0,0,0,0,220.9,0.306,-1.506666667,12,9.090909091,60,9.090909091,7.845
166,18PG,1,0,0,0,0,0,256.1,0.264333333,0.606333333,4,9.090909091,80,9.090909091,8.0
167,18PG,1,0,0,0,0,0,278.3,0.217333333,-1.317,8,9.090909091,80,9.090909091,9.616
