,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_HEK293
95,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,50.0,80.0,100.0,363.8,0.4627,0.6495305382541601
97,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,10.0,20.0,100.0,170.4666667,-1.013333333,0.5193827275262619
99,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,10.0,40.0,100.0,153.8666667,-1.636666667,0.20693501905735795
100,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,10.0,40.0,100.0,202.0333333,-0.022666667,0.2509063865389979
101,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,10.0,40.0,100.0,192.2666667,-3.43,0.43618109138235567
102,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,10.0,60.0,100.0,176.8,-13.4,0.4015989588175141
103,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,10.0,60.0,100.0,293.4666667,-1.985333333,0.4124755972854885
104,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,10.0,60.0,100.0,281.8333333,-3.243333333,0.2806544575625174
105,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,10.0,80.0,100.0,496.8666667,-1.304,0.6253602305475505
106,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,10.0,80.0,100.0,526.7333333,-0.888,0.6014688110067863
107,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,10.0,80.0,100.0,501.1333333,-0.417666667,0.40643302035883605
108,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,1.0,20.0,100.0,237.7333333,-6.72,0.5298875151064424
109,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,1.0,20.0,100.0,154.0666667,-5.936666667,0.5722785163149577
110,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,1.0,20.0,100.0,185.1,-3.736666667,0.2529515664218648
111,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,1.0,40.0,100.0,196.1666667,-7.57,0.38142604815469
112,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,1.0,40.0,100.0,298.0333333,-4.593333333,0.35009761085804586
113,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,1.0,40.0,100.0,189.2333333,-1.266666667,0.6316816956400484
114,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,1.0,60.0,100.0,241.5,-16.4,0.541972668959747
115,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,1.0,60.0,100.0,249.8,-1.483333333,0.5563818908617644
116,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,1.0,60.0,100.0,346.5,-0.622,0.7066096495305383
117,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,1.0,80.0,100.0,364.1333333,-8.473333333,0.722041461373989
118,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,1.0,80.0,100.0,812.3666667,-5.833333333,0.2683833782653156
119,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,1.0,80.0,100.0,409.6,-6.46,0.15441108115645624
120,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,200.0,20.0,10.0,113.3,-1.485333333,0.3202565771125779
121,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,200.0,20.0,10.0,179.0666667,-0.415666667,0.3987171144371107
123,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,200.0,40.0,10.0,108.3166667,-1.42,0.13042669889374364
124,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,200.0,40.0,10.0,153.9,-0.845333333,0.40429487775402057
125,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,200.0,40.0,10.0,120.1,-1.69,0.17997582969229337
127,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,200.0,60.0,10.0,192.9,-1.398,0.039695082272008936
128,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,200.0,60.0,10.0,260.3666667,-0.940666667,0.4604443618109138
129,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,200.0,80.0,10.0,230.6333333,8.696666667,0.16863437761457656
130,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,200.0,80.0,10.0,237.4,-0.939,0.4021567351492052
131,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,200.0,80.0,10.0,208.8333333,-0.976,0.8022682904155434
132,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,100.0,20.0,10.0,129.5333333,-1.733333333,0.12075857581109972
135,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,100.0,40.0,10.0,181.4666667,-1.7,0.5899414334851725
136,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,100.0,40.0,10.0,144.4,-0.988333333,0.6336339128009667
137,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,100.0,40.0,10.0,123.8,-2.643333333,0.5571255926373524
139,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,100.0,60.0,10.0,212.9666667,-0.511666667,0.5558241145300735
140,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,100.0,60.0,10.0,219.6333333,-1.116666667,0.7687087477921355
141,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,100.0,80.0,10.0,243.4333333,2.933333333,0.5699544482662453
142,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,100.0,80.0,10.0,226.2666667,0.520333333,0.4016919215394627
143,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,100.0,80.0,10.0,262.2333333,-2.67,0.8176071395370457
144,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,50.0,20.0,10.0,135.9333333,-1.596666667,0.2206005391837873
146,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,50.0,20.0,10.0,1599.666667,-2.373333333,0.5750673979734127
147,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,50.0,40.0,10.0,113.75,-1.247666667,0.7017755879892162
148,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,50.0,40.0,10.0,142.2666667,-1.014,0.035604722506275
149,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,50.0,40.0,10.0,142.3333333,-3.99,0.5802733104025286
150,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,50.0,60.0,10.0,256.9666667,-10.79333333,0.410709305568467
151,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,50.0,60.0,10.0,205.9333333,-1.503333333,0.3979734126615227
152,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,50.0,60.0,10.0,184.7,-1.180333333,0.835177093985312
153,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,50.0,80.0,10.0,244.4333333,1.269666667,0.16231291252207863
154,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,50.0,80.0,10.0,247.3666667,-1.149666667,0.5201264293018499
155,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,50.0,80.0,10.0,250.6333333,-1.219666667,0.873570698150042
159,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,10.0,40.0,10.0,111.6666667,-1.019766667,0.6823463791019801
161,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,10.0,40.0,10.0,118.0,-1.693333333,0.7741935483870968
162,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,10.0,60.0,10.0,233.5,-0.879,0.8470763223947197
163,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,10.0,60.0,10.0,264.6666667,-0.790333333,0.8460537324532862
164,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,10.0,60.0,10.0,220.9,-1.506666667,0.36469275820396013
165,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,10.0,80.0,10.0,256.1,0.606333333,0.5863158873291809
166,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,10.0,80.0,10.0,278.3,-1.317,0.8548851910383937
167,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,10.0,80.0,10.0,265.9,-0.951333333,0.7711257785627963
169,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,1.0,20.0,10.0,682.8333333,-31.73333333,0.19708097053081713
171,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,1.0,40.0,10.0,163.5666667,-1.746666667,0.8239286046295435
172,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,1.0,40.0,10.0,459.9666667,-1.683333333,0.9430138514455704
174,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,1.0,60.0,10.0,194.8666667,-1.74,0.9239564934461282
176,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,1.0,60.0,10.0,1021.5,-1.422666667,0.896346565027424
177,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,1.0,80.0,10.0,201.0,-1.713333333,0.8074742028446593
178,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,1.0,80.0,10.0,456.4,-2.203333333,0.5867807009389234
179,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,1.0,80.0,10.0,398.5,-1.184333333,0.6256391187133958
181,1.0,1.0,9.784,2.0,36.0,2.0,8.0,200.0,20.0,500.0,533.7,-3.523333333,0.5257971553407084
183,1.0,1.0,9.784,2.0,36.0,2.0,4.0,200.0,40.0,500.0,237.1333333,-4.23,0.7675931951287533
184,1.0,1.0,9.784,2.0,36.0,2.0,8.0,200.0,40.0,500.0,185.1333333,-1.803333333,0.6838337826531562
186,1.0,1.0,9.784,2.0,36.0,2.0,4.0,200.0,60.0,500.0,206.6,-5.31,0.5131542251557126
187,1.0,1.0,9.784,2.0,36.0,2.0,8.0,200.0,60.0,500.0,173.1333333,0.721666667,0.5595426234080134
188,1.0,1.0,9.784,2.0,36.0,2.0,12.0,200.0,60.0,500.0,183.6666667,-0.501666667,0.7829320442502556
189,1.0,1.0,9.784,2.0,36.0,2.0,4.0,200.0,80.0,500.0,166.6333333,-24.63333333,0.6131821139722973
190,1.0,1.0,9.784,2.0,36.0,2.0,8.0,200.0,80.0,500.0,137.6333333,-6.11,0.62601096960119
191,1.0,1.0,9.784,2.0,36.0,2.0,12.0,200.0,80.0,500.0,158.8,-0.955,0.6245235660500139
192,1.0,1.0,9.784,2.0,36.0,2.0,4.0,100.0,20.0,500.0,577.6666667,-11.77666667,0.58203960211955
193,1.0,1.0,9.784,2.0,36.0,2.0,8.0,100.0,20.0,500.0,562.7666667,-3.553333333,0.6045365808310867
194,1.0,1.0,9.784,2.0,36.0,2.0,12.0,100.0,20.0,500.0,288.1666667,-1.593,0.7707539276750022
195,1.0,1.0,9.784,2.0,36.0,2.0,4.0,100.0,40.0,500.0,240.3,-3.686666667,0.7009389234916799
196,1.0,1.0,9.784,2.0,36.0,2.0,8.0,100.0,40.0,500.0,191.7333333,0.269333333,0.8249511945709771
197,1.0,1.0,9.784,2.0,36.0,2.0,12.0,100.0,40.0,500.0,189.9666667,-2.24,0.4869387375662359
198,1.0,1.0,9.784,2.0,36.0,2.0,4.0,100.0,60.0,500.0,192.8,-3.663333333,0.6882030305847355
199,1.0,1.0,9.784,2.0,36.0,2.0,8.0,100.0,60.0,500.0,170.3,0.073,0.7873942549037836
200,1.0,1.0,9.784,2.0,36.0,2.0,12.0,100.0,60.0,500.0,181.6333333,-1.161666667,0.5629822441201078
201,1.0,1.0,9.784,2.0,36.0,2.0,4.0,100.0,80.0,500.0,172.9333333,-26.66666667,0.6509249790833875
202,1.0,1.0,9.784,2.0,36.0,2.0,8.0,100.0,80.0,500.0,148.0,-6.033333333,0.6035139908896532
203,1.0,1.0,9.784,2.0,36.0,2.0,12.0,100.0,80.0,500.0,162.5333333,-0.325333333,0.5750673979734127
206,1.0,1.0,9.784,2.0,36.0,2.0,12.0,50.0,20.0,500.0,475.3333333,-3.116666667,0.748907688017105
207,1.0,1.0,9.784,2.0,36.0,2.0,4.0,50.0,40.0,500.0,191.8,-0.756333333,0.8406618945802733
208,1.0,1.0,9.784,2.0,36.0,2.0,8.0,50.0,40.0,500.0,170.0,0.3774,0.5198475411360044
210,1.0,1.0,9.784,2.0,36.0,2.0,4.0,50.0,60.0,500.0,189.0333333,-2.12,0.11908524681602672
211,1.0,1.0,9.784,2.0,36.0,2.0,8.0,50.0,60.0,500.0,155.4333333,1.195666667,0.7495584270707445
212,1.0,1.0,9.784,2.0,36.0,2.0,12.0,50.0,60.0,500.0,256.8,0.16,0.7834898205819465
213,1.0,1.0,9.784,2.0,36.0,2.0,4.0,50.0,80.0,500.0,202.3,-29.4,0.7773542809333458
214,1.0,1.0,9.784,2.0,36.0,2.0,8.0,50.0,80.0,500.0,135.8666667,-10.41,0.8603699916333551
215,1.0,1.0,9.784,2.0,36.0,2.0,12.0,50.0,80.0,500.0,163.5333333,-0.4925,0.8342474667658271
216,1.0,1.0,9.784,2.0,36.0,2.0,4.0,10.0,20.0,500.0,431.8,-9.42,0.7816305661429768
217,1.0,1.0,9.784,2.0,36.0,2.0,8.0,10.0,20.0,500.0,465.9333333,-1.686666667,0.7394254903783581
219,1.0,1.0,9.784,2.0,36.0,2.0,4.0,10.0,40.0,500.0,197.5666667,-2.53,0.7953890489913544
220,1.0,1.0,9.784,2.0,36.0,2.0,8.0,10.0,40.0,500.0,199.4,2.476666667,0.6287998512596449
221,1.0,1.0,9.784,2.0,36.0,2.0,12.0,10.0,40.0,500.0,208.5,1.541666667,0.8139815933810544
222,1.0,1.0,9.784,2.0,36.0,2.0,4.0,10.0,60.0,500.0,193.9,-1.64,0.841126708190016
223,1.0,1.0,9.784,2.0,36.0,2.0,8.0,10.0,60.0,500.0,159.3,2.77,0.8814725295156642
224,1.0,1.0,9.784,2.0,36.0,2.0,12.0,10.0,60.0,500.0,190.9666667,2.354,0.8960676768615785
225,1.0,1.0,9.784,2.0,36.0,2.0,4.0,10.0,80.0,500.0,166.8666667,-26.83333333,0.8863995537789349
226,1.0,1.0,9.784,2.0,36.0,2.0,8.0,10.0,80.0,500.0,146.8666667,5.42,0.8555359300920331
227,1.0,1.0,9.784,2.0,36.0,2.0,12.0,10.0,80.0,500.0,167.8,7.203333333,0.8811936413498187
228,1.0,1.0,9.784,2.0,36.0,2.0,4.0,1.0,20.0,500.0,287.7333333,2.916666667,0.8461466951752348
230,1.0,1.0,9.784,2.0,36.0,2.0,12.0,1.0,20.0,500.0,473.2,5.006666667,0.797341266152273
231,1.0,1.0,9.784,2.0,36.0,2.0,4.0,1.0,40.0,500.0,261.7,4.206666667,0.73003625546156
232,1.0,1.0,9.784,2.0,36.0,2.0,8.0,1.0,40.0,500.0,205.1,4.25,0.4477084689039696
233,1.0,1.0,9.784,2.0,36.0,2.0,12.0,1.0,40.0,500.0,177.9333333,2.72,0.6366087199033188
234,1.0,1.0,9.784,2.0,36.0,2.0,4.0,1.0,60.0,500.0,224.5,4.343333333,0.6598494003904434
235,1.0,1.0,9.784,2.0,36.0,2.0,8.0,1.0,60.0,500.0,195.0333333,5.876666667,0.616900622850237
236,1.0,1.0,9.784,2.0,36.0,2.0,12.0,1.0,60.0,500.0,179.0333333,6.29,0.4220507576461839
237,1.0,1.0,9.784,2.0,36.0,2.0,4.0,1.0,80.0,500.0,237.6333333,6.303333333,0.5892906944315328
238,1.0,1.0,9.784,2.0,36.0,2.0,8.0,1.0,80.0,500.0,164.9666667,11.93333333,0.773449846611509
239,1.0,1.0,9.784,2.0,36.0,2.0,12.0,1.0,80.0,500.0,171.5333333,8.72,0.686250813423817
240,1.0,1.0,9.784,2.0,36.0,2.0,4.0,200.0,20.0,100.0,177.0333333,-4.186666667,0.6676582690341173
242,1.0,1.0,9.784,2.0,36.0,2.0,12.0,200.0,20.0,100.0,169.1333333,-2.373333333,0.6489727619224692
243,1.0,1.0,9.784,2.0,36.0,2.0,4.0,200.0,40.0,100.0,193.5,-1.616666667,0.5305382541600818
244,1.0,1.0,9.784,2.0,36.0,2.0,8.0,200.0,40.0,100.0,139.0,-1.976666667,0.5871525518267173
245,1.0,1.0,9.784,2.0,36.0,2.0,12.0,200.0,40.0,100.0,159.2333333,-2.136666667,0.6273124477084688
246,1.0,1.0,9.784,2.0,36.0,2.0,4.0,200.0,60.0,100.0,171.7,-0.094333333,0.16017476991726315
247,1.0,1.0,9.784,2.0,36.0,2.0,8.0,200.0,60.0,100.0,150.1333333,-1.95,0.6398624151715162
248,1.0,1.0,9.784,2.0,36.0,2.0,12.0,200.0,60.0,100.0,177.5333333,-2.43,0.6567816305661429
249,1.0,1.0,9.784,2.0,36.0,2.0,4.0,200.0,80.0,100.0,219.6333333,-15.26666667,0.6560379287905549
250,1.0,1.0,9.784,2.0,36.0,2.0,8.0,200.0,80.0,100.0,141.4666667,-3.21,0.5131542251557126
251,1.0,1.0,9.784,2.0,36.0,2.0,12.0,200.0,80.0,100.0,160.0333333,-4.51,0.4003904434321837
252,1.0,1.0,9.784,2.0,36.0,2.0,4.0,100.0,20.0,100.0,176.9333333,-4.66,0.657153481453937
253,1.0,1.0,9.784,2.0,36.0,2.0,8.0,100.0,20.0,100.0,263.8333333,-6.34,0.7013107743794738
255,1.0,1.0,9.784,2.0,36.0,2.0,4.0,100.0,40.0,100.0,174.6666667,-3.043333333,0.7224133122617831
256,1.0,1.0,9.784,2.0,36.0,2.0,8.0,100.0,40.0,100.0,148.9333333,-0.049066667,0.6404201915032073
257,1.0,1.0,9.784,2.0,36.0,2.0,12.0,100.0,40.0,100.0,152.4666667,-1.993333333,0.6587338477270615
258,1.0,1.0,9.784,2.0,36.0,2.0,4.0,100.0,60.0,100.0,164.2,-2.476666667,0.4808031979176351
259,1.0,1.0,9.784,2.0,36.0,2.0,8.0,100.0,60.0,100.0,150.2666667,1.32,0.608348052430975
260,1.0,1.0,9.784,2.0,36.0,2.0,12.0,100.0,60.0,100.0,191.8,-1.426666667,0.7809798270893371
261,1.0,1.0,9.784,2.0,36.0,2.0,4.0,100.0,80.0,100.0,241.5333333,-15.93333333,0.5454122896718416
262,1.0,1.0,9.784,2.0,36.0,2.0,8.0,100.0,80.0,100.0,148.0333333,-3.53,0.5957980849679279
263,1.0,1.0,9.784,2.0,36.0,2.0,12.0,100.0,80.0,100.0,155.5666667,-3.316666667,0.6343776145765547
264,1.0,1.0,9.784,2.0,36.0,2.0,4.0,50.0,20.0,100.0,153.8666667,-3.213333333,0.6399553778934646
266,1.0,1.0,9.784,2.0,36.0,2.0,12.0,50.0,20.0,100.0,263.9333333,-1.060666667,0.5937529050850607
267,1.0,1.0,9.784,2.0,36.0,2.0,4.0,50.0,40.0,100.0,170.0666667,-3.176666667,0.7579250720461095
268,1.0,1.0,9.784,2.0,36.0,2.0,8.0,50.0,40.0,100.0,158.3666667,-1.57,0.8152830714883332
269,1.0,1.0,9.784,2.0,36.0,2.0,12.0,50.0,40.0,100.0,130.9333333,0.963666667,0.0
270,1.0,1.0,9.784,2.0,36.0,2.0,4.0,50.0,60.0,100.0,160.7333333,-3.816666667,0.36590127358929064
271,1.0,1.0,9.784,2.0,36.0,2.0,8.0,50.0,60.0,100.0,138.7333333,0.242266667,0.14706702612252487
272,1.0,1.0,9.784,2.0,36.0,2.0,12.0,50.0,60.0,100.0,152.2333333,-1.88,0.3350376499023891
273,1.0,1.0,9.784,2.0,36.0,2.0,4.0,50.0,80.0,100.0,189.0,-15.9,0.2797248303430324
274,1.0,1.0,9.784,2.0,36.0,2.0,8.0,50.0,80.0,100.0,147.2,-5.523333333,0.48256948963465657
275,1.0,1.0,9.784,2.0,36.0,2.0,12.0,50.0,80.0,100.0,148.5333333,-2.94,0.28985776703541877
278,1.0,1.0,9.784,2.0,36.0,2.0,12.0,10.0,20.0,100.0,168.1666667,-0.284166667,0.4658361996839267
279,1.0,1.0,9.784,2.0,36.0,2.0,4.0,10.0,40.0,100.0,164.0666667,-0.60825,0.29283257413777075
281,1.0,1.0,9.784,2.0,36.0,2.0,12.0,10.0,40.0,100.0,161.1333333,0.813333333,0.27693594868457744
282,1.0,1.0,9.784,2.0,36.0,2.0,4.0,10.0,60.0,100.0,179.6666667,1.84,0.17635028353630194
283,1.0,1.0,9.784,2.0,36.0,2.0,8.0,10.0,60.0,100.0,153.8,-0.397333333,0.36590127358929064
284,1.0,1.0,9.784,2.0,36.0,2.0,12.0,10.0,60.0,100.0,150.7333333,-0.254666667,0.4887050292832575
285,1.0,1.0,9.784,2.0,36.0,2.0,4.0,10.0,80.0,100.0,222.5666667,-12.13333333,0.3387561587803291
