,Model,Cell_Type,Valid Score,Test Score,Spearmans Rank,Pearsons Correlation,Model Parms,Score_difference
32,lasso,ARPE19,0.1802110755284955,0.17916792680014945,"SpearmanrResult(correlation=0.4839927697000666, pvalue=7.962499041560711e-10)","(0.47115866509941445, 2.5222703399734947e-09)","{'positive': False, 'alpha': 0.01}",0.0010431487283460439
33,lasso,N2a,0.13028952868339133,0.12706962765245092,"SpearmanrResult(correlation=0.5474223847040791, pvalue=1.248418396065298e-12)","(0.4776747017147177, 1.4129994335559623e-09)","{'positive': False, 'alpha': 0.5}",0.003219901030940414
34,lasso,HepG2,0.12782879366874364,0.12833524933944496,"SpearmanrResult(correlation=0.3972130647394546, pvalue=8.24984091115302e-07)","(0.34053361304421725, 2.962799752180314e-05)","{'positive': False, 'alpha': 1.0}",0.0005064556707013168
35,lasso,HEK293,0.14869072840531197,0.14879410912902488,"SpearmanrResult(correlation=0.41865143508801556, pvalue=1.4151151522175077e-10)","(0.40347397048949474, 7.308541827734694e-10)","{'positive': True, 'alpha': 0.01}",0.00010338072371290918
36,MLR,PC3,0.1131681345022408,0.11132372295444458,"SpearmanrResult(correlation=0.6101897196127296, pvalue=2.0164186359426707e-23)","(array([0.7131826342008716], dtype=object), 7.275755060423982e-35)","{'positive': False, 'fit_intercept': False}",0.0018444115477962153
37,MLR,B16,0.10145873318974374,0.10283348894313706,"SpearmanrResult(correlation=0.66700901026446, pvalue=3.6079150898171426e-29)","(array([0.6850528016276769], dtype=object), 2.8664342839780797e-31)","{'positive': False, 'fit_intercept': True}",0.0013747557533933114
38,MLR,ARPE19,0.17932942066826396,0.1794247331944964,"SpearmanrResult(correlation=0.47688394327667827, pvalue=1.5169210428376123e-09)","(array([0.47820524574823225], dtype=object), 1.347160246235805e-09)","{'positive': False, 'fit_intercept': True}",9.53125262324328e-05
39,MLR,N2a,0.1311444481943356,0.1317835857846083,"SpearmanrResult(correlation=0.47619822839299225, pvalue=1.612970226720466e-09)","(array([0.46909615918283976], dtype=object), 3.0224113891222674e-09)","{'positive': False, 'fit_intercept': True}",0.0006391375902727037
40,MLR,HepG2,0.12860212822763728,0.12929355220150457,"SpearmanrResult(correlation=0.3331669447316194, pvalue=4.4966243113659415e-05)","(array([0.40726097300109465], dtype=object), 4.064676215447063e-07)","{'positive': False, 'fit_intercept': True}",0.0006914239738672889
41,MLR,HEK293,0.14436801497431623,0.1415147571500953,"SpearmanrResult(correlation=0.4461579039499988, pvalue=5.8125865285551e-12)","(array([0.4346481200470624], dtype=object), 2.289376313936088e-11)","{'positive': False, 'fit_intercept': True}",0.0028532578242209394
42,RF,PC3,0.06282049946590157,0.06304773800074666,"SpearmanrResult(correlation=0.781849388973267, pvalue=8.550036551535588e-46)","PearsonRResult(statistic=0.917122001074769, pvalue=1.9495911880850188e-87)","{'oob_score': True, 'n_estimators': 100, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0, 'bootstrap': True}",0.0002272385348450895
43,RF,B16,0.04883387521972142,0.04868072754885473,"SpearmanrResult(correlation=0.9375034363270104, pvalue=4.524063964155021e-100)","PearsonRResult(statistic=0.9389380776472964, pvalue=4.074753825143798e-101)","{'oob_score': True, 'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'absolute_error', 'ccp_alpha': 0, 'bootstrap': True}",0.0001531476708666879
44,RF,ARPE19,0.08903390363655014,0.09198793713208005,"SpearmanrResult(correlation=0.8589807838013389, pvalue=4.0481790912705e-43)","PearsonRResult(statistic=0.8641610390204642, pvalue=3.4393155546324216e-44)","{'oob_score': True, 'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0, 'bootstrap': True}",0.0029540334955299036
45,RF,N2a,0.05481034997767133,0.055349913535906396,"SpearmanrResult(correlation=0.8871385237480346, pvalue=1.5454053187528011e-49)","PearsonRResult(statistic=0.9060732250454778, pvalue=6.686073292645546e-55)","{'oob_score': True, 'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'absolute_error', 'ccp_alpha': 0, 'bootstrap': True}",0.0005395635582350691
46,RF,HepG2,0.062231229724393364,0.0617792503650003,"SpearmanrResult(correlation=0.78877020343937, pvalue=8.227328580605335e-32)","PearsonRResult(statistic=0.894774787221776, pvalue=1.411450856615549e-51)","{'oob_score': True, 'n_estimators': 400, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0, 'bootstrap': True}",0.0004519793593930621
47,RF,HEK293,0.08181717647755078,0.07667491039361717,"SpearmanrResult(correlation=0.8290777975658282, pvalue=6.095386162073323e-56)","PearsonRResult(statistic=0.7987747427826433, pvalue=4.0664019403229095e-49)","{'oob_score': True, 'n_estimators': 400, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'absolute_error', 'ccp_alpha': 0, 'bootstrap': True}",0.0051422660839336165
