,RLU_N2a
293,0.773863941919871
294,0.9701532670072599
295,0.8046517881150845
296,0.712691583759075
297,1.0
298,0.9727077171282601
299,0.8751008335574078
300,0.0
301,0.0
302,0.0
303,0.0
304,0.02393116429147618
305,0.04463565474589942
306,0.02393116429147618
307,0.049341220758268356
308,0.13041140091422432
309,0.02393116429147618
310,0.0668190373756386
311,0.1753159451465448
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.07071793492874423
320,0.16402258671685932
321,0.04463565474589942
322,0.0
323,0.10231244958322128
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.053912342027426674
332,0.07851573003495566
333,0.018150040333422934
334,0.0
335,0.0060500134444743114
336,0.0
337,0.0
338,0.0
339,0.0
340,0.11710137133638077
341,0.04463565474589942
342,0.012234471632159183
343,0.15151922559827902
344,0.25208389351976335
345,0.4788921753159451
346,0.24576499058886803
347,0.20314600699112662
348,0.07851573003495566
349,0.0
350,0.0
351,0.30626512503361114
352,0.1970959935466523
353,0.12261360580801284
354,0.20314600699112662
355,0.47700994891099757
356,0.48709330465178813
357,0.506991126646948
358,0.7026082280182846
359,0.5813390696423769
360,0.32831406292013976
361,0.30693734874966394
362,0.36353858564130137
363,0.40844312987362197
364,0.3518418929819843
365,0.3468674374831944
366,0.22358160795912885
367,0.18916375369723037
368,0.29174509276687277
369,0.053912342027426674
370,0.07851573003495566
371,0.23339607421349817
372,0.34727077171282605
373,0.30760957246571663
374,0.32831406292013976
375,0.34377520838935194
376,0.33127184727077175
377,0.405216456036569
378,0.20166711481581068
379,0.30559290131755845
380,0.358967464372143
381,0.11992471094380208
382,0.07461683248184997
383,0.2667383705297123
384,0.33893519763377244
385,0.34108631352514107
386,0.38800752890561974
387,0.31298736219413825
388,0.36488303307340686
389,0.3378596396880882
390,0.19077709061575687
391,0.30142511427803165
392,0.2823339607421349
393,0.11710137133638077
394,0.018150040333422934
395,0.5801290669534821
396,0.3492874428609841
397,0.3483463296585103
398,0.30492067760150576
399,0.34431298736219407
400,0.3432374294165098
401,0.38343640763646136
402,0.405216456036569
403,0.40145200322667374
404,0.6117235816079589
405,0.5009411132024737
406,0.48830330734068284
407,0.606480236622748
408,0.6914493143318097
409,0.6466792148426994
410,0.5746168324818499
411,0.9936810970691046
412,0.6911804248453886
413,0.24146275880613066
414,0.9912610916913147
415,0.9061575692390427
416,0.5603656897015327
417,0.7633772519494488
418,0.817961817692928
419,0.7535627856950793
420,0.1599892444205432
421,0.17894595321322937
422,0.0
423,0.0
