,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HEK293
118,119,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,100,3.0
119,120,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,100,3.0
120,121,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,10,3.97
121,122,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,10,4.543
122,123,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,10,3.676
123,124,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,10,4.585
124,125,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,10,7.272
125,126,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,10,7.583
126,127,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,10,4.212
127,128,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,10,7.668
128,129,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,10,6.919
129,130,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,10,4.758
130,131,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,10,6.624
131,132,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,10,3.738
132,133,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,10,3.664
133,134,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,10,3.98
134,135,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,10,3.902
135,136,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,10,4.407
136,137,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,10,7.049
137,138,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,10,5.715
138,139,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,10,4.723
139,140,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,10,8.706
140,141,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,10,9.002
141,142,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,10,6.114
142,143,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,10,7.602
143,144,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,10,8.837
