P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,18PG,DOPE,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL)
0,1,8.8188,3,10,2,1,0,613.1333333,0.699333333,-2.063333333,4,0.99009901,20,0.99009901
0,1,8.8188,3,10,2,1,0,187.7333333,0.447,-1.543333333,8,0.99009901,20,0.99009901
0,1,8.8188,3,10,2,1,0,99.15666667,0.669666667,-1.906666667,12,0.99009901,20,0.99009901
0,1,8.8188,3,10,2,1,0,118.2,0.441,-1.441,4,0.99009901,40,0.99009901
0,1,8.8188,3,10,2,1,0,170.9666667,0.641666667,-1.497333333,8,0.99009901,40,0.99009901
0,1,8.8188,3,10,2,1,0,215.6333333,0.624,-4.113333333,12,0.99009901,40,0.99009901
0,1,8.8188,3,10,2,1,0,182.2,0.565,-3.46,4,0.99009901,60,0.99009901
0,1,8.8188,3,10,2,1,0,207.7333333,0.412333333,-5.52,8,0.99009901,60,0.99009901
0,1,8.8188,3,10,2,1,0,348.7,0.722666667,-2.886666667,12,0.99009901,60,0.99009901
0,1,8.8188,3,10,2,1,0,379.2666667,0.080666667,-2.153333333,4,0.99009901,80,0.99009901
0,1,8.8188,3,10,2,1,0,430.7333333,0.114666667,-1.356666667,8,0.99009901,80,0.99009901
0,1,8.8188,3,10,2,1,0,255.0166667,0.3485,0.867666667,12,0.99009901,80,0.99009901
0,1,8.8188,3,10,2,1,0,738.2666667,0.887666667,-1.916666667,4,0.99009901,20,1.960784314
0,1,8.8188,3,10,2,1,0,190.2,0.453,-0.810333333,8,0.99009901,20,1.960784314
0,1,8.8188,3,10,2,1,0,210.8,0.686333333,-2.876666667,12,0.99009901,20,1.960784314
0,1,8.8188,3,10,2,1,0,263.4666667,0.627666667,-2.14,4,0.99009901,40,1.960784314
0,1,8.8188,3,10,2,1,0,162.0,0.536333333,-0.342,8,0.99009901,40,1.960784314
0,1,8.8188,3,10,2,1,0,203.3333333,0.343333333,-2.2,12,0.99009901,40,1.960784314
0,1,8.8188,3,10,2,1,0,194.0,0.484333333,-3.503333333,4,0.99009901,60,1.960784314
0,1,8.8188,3,10,2,1,0,235.7333333,0.341333333,-2.013333333,8,0.99009901,60,1.960784314
0,1,8.8188,3,10,2,1,0,183.1666667,0.295666667,-3.336666667,12,0.99009901,60,1.960784314
0,1,8.8188,3,10,2,1,0,264.4666667,0.139,-6.496666667,4,0.99009901,80,1.960784314
