,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI
126,0,1,9.3028,3,10,36,1,4,200,60,10,166.4,0.504
127,0,1,9.3028,3,10,36,1,8,200,60,10,192.9,0.356666667
128,0,1,9.3028,3,10,36,1,12,200,60,10,260.3666667,0.331
129,0,1,9.3028,3,10,36,1,4,200,80,10,230.6333333,0.313333333
130,0,1,9.3028,3,10,36,1,8,200,80,10,237.4,0.258666667
131,0,1,9.3028,3,10,36,1,12,200,80,10,208.8333333,0.286
132,0,1,9.3028,3,10,36,1,4,100,20,10,129.5333333,0.231666667
133,0,1,9.3028,3,10,36,1,8,100,20,10,247.0333333,0.714
135,0,1,9.3028,3,10,36,1,4,100,40,10,181.4666667,0.334
136,0,1,9.3028,3,10,36,1,8,100,40,10,144.4,0.396
137,0,1,9.3028,3,10,36,1,12,100,40,10,123.8,0.366333333
138,0,1,9.3028,3,10,36,1,4,100,60,10,253.1333333,0.477333333
139,0,1,9.3028,3,10,36,1,8,100,60,10,212.9666667,0.330666667
140,0,1,9.3028,3,10,36,1,12,100,60,10,219.6333333,0.313
141,0,1,9.3028,3,10,36,1,4,100,80,10,243.4333333,0.302666667
142,0,1,9.3028,3,10,36,1,8,100,80,10,226.2666667,0.251333333
143,0,1,9.3028,3,10,36,1,12,100,80,10,262.2333333,0.095333333
144,0,1,9.3028,3,10,36,1,4,50,20,10,135.9333333,0.257333333
145,0,1,9.3028,3,10,36,1,8,50,20,10,967.0333333,1.0
147,0,1,9.3028,3,10,36,1,4,50,40,10,113.75,0.3625
148,0,1,9.3028,3,10,36,1,8,50,40,10,142.2666667,0.315
149,0,1,9.3028,3,10,36,1,12,50,40,10,142.3333333,0.393333333
150,0,1,9.3028,3,10,36,1,4,50,60,10,256.9666667,0.289333333
151,0,1,9.3028,3,10,36,1,8,50,60,10,205.9333333,0.315
152,0,1,9.3028,3,10,36,1,12,50,60,10,184.7,0.339666667
153,0,1,9.3028,3,10,36,1,4,50,80,10,244.4333333,0.245
154,0,1,9.3028,3,10,36,1,8,50,80,10,247.3666667,0.241333333
155,0,1,9.3028,3,10,36,1,12,50,80,10,250.6333333,0.152666667
156,0,1,9.3028,3,10,36,1,4,10,20,10,636.7,1.0
157,0,1,9.3028,3,10,36,1,8,10,20,10,691.7,0.956666667
159,0,1,9.3028,3,10,36,1,4,10,40,10,111.6666667,0.341
160,0,1,9.3028,3,10,36,1,8,10,40,10,148.1333333,0.512
161,0,1,9.3028,3,10,36,1,12,10,40,10,118.0,0.328666667
162,0,1,9.3028,3,10,36,1,4,10,60,10,233.5,0.391333333
163,0,1,9.3028,3,10,36,1,8,10,60,10,264.6666667,0.407666667
164,0,1,9.3028,3,10,36,1,12,10,60,10,220.9,0.306
165,0,1,9.3028,3,10,36,1,4,10,80,10,256.1,0.264333333
166,0,1,9.3028,3,10,36,1,8,10,80,10,278.3,0.217333333
167,0,1,9.3028,3,10,36,1,12,10,80,10,265.9,0.18
168,0,1,9.3028,3,10,36,1,4,1,20,10,675.8333333,0.61
169,0,1,9.3028,3,10,36,1,8,1,20,10,682.8333333,0.205
170,0,1,9.3028,3,10,36,1,12,1,20,10,464.0,0.574666667
171,0,1,9.3028,3,10,36,1,4,1,40,10,163.5666667,0.133666667
172,0,1,9.3028,3,10,36,1,8,1,40,10,459.9666667,0.154666667
173,0,1,9.3028,3,10,36,1,12,1,40,10,753.9666667,0.546333333
174,0,1,9.3028,3,10,36,1,4,1,60,10,194.8666667,0.121
