,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_N2a
93,94,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,100,5.576
94,95,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,100,4.86
95,96,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,100,5.165
96,97,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,100,5.136
97,98,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,100,3.738
98,99,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,100,3.466
99,100,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,100,5.389
100,101,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,100,4.043
101,102,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,100,4.111
102,103,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,100,5.82
103,104,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,100,5.635
104,105,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,100,3.135
105,106,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,100,6.109
106,107,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,100,4.868
107,108,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,100,4.736
108,109,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,100,1.099
109,110,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,100,1.386
110,111,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,100,1.099
111,112,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,100,1.946
112,113,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,100,1.099
113,114,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,100,1.386
114,115,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,100,1.386
115,116,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,100,1.386
116,117,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,100,1.609
117,118,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,100,0.693
118,119,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,100,1.386
119,120,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,100,1.609
120,121,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,10,2.079
121,122,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,10,1.609
122,123,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,10,1.386
123,124,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,10,2.197
124,125,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,10,3.219
125,126,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,10,3.497
126,127,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,10,2.639
