LGBM,XGB,DT,RF,kNN,MLP,MLR,lasso,PLS
0.07705045807996075,0.035557998416407166,0.11809129559185494,0.06091407473707833,0.06071313950422297,0.043582694988414716,0.14466215761857593,0.19042222303870127,0.15665874743320607
0.024785289157377044,0.06763734669326854,0.12957516862193527,0.08138957261132204,0.13198404044704892,0.11149408672903849,0.06692391089461641,0.04214230722307005,0.06398133007457518
0.02416794308709358,0.02748519615002415,0.006545088386663678,0.01679738196464553,0.14055022986751348,0.09795555942178696,0.0504147955355882,0.025603329952165188,0.08039249907570195
0.03602720076468807,0.05083052056778409,0.018639516670395984,0.06822779145222652,0.0687222471702898,0.05813044094211478,0.03349559848556638,0.030754211468968062,0.005723095140818202
0.020590524160463364,0.0009631210457535233,0.009146341463414698,0.022041843812934447,0.1722170418779438,0.12933252667369738,0.12049136225168128,0.0854384322159118,0.1773085307358016
0.0005645890855662805,0.00857396816935263,0.008902598855608457,0.018548359598929753,0.01616590039879756,0.07068381661339262,0.03635214569719708,0.04646917246898696,0.05213563182974845
0.224094187580688,0.2964911802512844,0.25153837547549784,0.25317118622734436,0.1654846133708437,0.27160288157679313,0.13314232291812722,0.18758828673429562,0.1601057558717111
0.0007545297788629224,0.00010682699477065905,0.054654285074960784,0.024395837995077274,0.14714044832546735,0.11789281477772079,0.10570036566867058,0.0663302342374171,0.07220095840602811
0.024107469214716126,0.08741770927792397,0.048911016633102045,0.055295405385246466,0.016795481788226874,0.0901262582043108,0.09269011345022443,0.0422802476816459,0.08060186404702602
0.0878806253057044,0.13067367402171898,0.18568658163645857,0.09960047689639728,0.07850171658455216,0.15197133822835246,0.013438527182049964,0.03448455559462754,0.04694469481665292
0.09469063506574071,0.04764937013421022,0.07063474304467815,0.12616786007309616,0.10445202006137966,0.04094042586451496,0.1860597030378276,0.12495519063883703,0.1626426092360348
0.2397574641589767,0.19752186811538475,0.24788543298277016,0.18704911613336261,0.20262620078404214,0.045422525829598936,0.1601925875538205,0.16356898948841803,0.15986277119184344
0.15726788155321814,0.1480666027690079,0.1286827776534647,0.1250406770450404,0.06281562232689275,0.012993738992617854,0.012966853004935719,0.021247025961338373,0.0160675416344212
0.0014302713770403264,0.04320438053149672,0.057014992168270384,0.026500895054821838,0.003943418022977541,0.007590022447644784,0.10164213599192856,0.10546686614309336,0.08480252802271754
0.05800981220513504,0.137171521526131,0.17133586932199596,0.13899026627880895,0.13471695395377453,0.1654056516464819,0.01107419910460325,0.05679053690074681,0.019051346235457095
0.052609720159735696,0.12190163398274473,0.1314611769970911,0.026936115462072363,0.12738552158804134,0.14895075703487864,0.10724647515043356,0.0798516698222495,0.1042633119372463
0.24428181174567665,0.29186620982228373,0.33739091519355546,0.27378328485119696,0.027168637409791196,0.12659946982745007,0.10987926633674283,0.04207635573830981,0.08318122802286687
0.027338552563885024,0.0203438401222229,0.09358916983665248,0.10400648914746029,0.6002561424231218,0.4358445491317726,0.31689747502153676,0.366390493390359,0.34800998262453864
0.02239021453049922,0.028141092936660173,0.01709927649735199,0.012755297072957972,0.03891381677298811,0.062175346798483466,0.046560622934481655,0.006244543822479354,0.024725400623778593
0.014034977835288287,0.028982527892470633,0.019719176549563622,0.013678628701424556,0.0387557217393687,0.05063207460088187,0.004397434275981549,0.0177154620757507,0.018152826807520672
0.07993838395554331,0.03682266094055603,0.0356455582904453,0.06661837100022372,0.07086452720176234,0.007109040376426401,0.010663869054188868,0.07673233492186926,0.02189989690925509
0.010941159740850345,0.028129946894761976,0.04266427985380772,0.04172353994182142,0.1978317690370589,0.4523998589961672,0.47535733370653355,0.5016013125166094,0.49244607767971504
0.03621127734726992,0.09242224894692413,0.1366237253460346,0.002440702618035806,0.027022341235252545,0.15230918685478584,0.10282322273837302,0.09623760241805301,0.10938029762523188
0.10986355616223764,0.07737672046197014,0.028166256433206527,0.07618810369583018,0.11178438313987193,0.0005824592756313307,0.13275343410995427,0.08325915200477885,0.12043311138418761
0.02836625892761746,0.051041903478983464,0.004654285074960796,0.12839953009621902,0.09090868747077102,0.39117857846421117,0.09774340810011123,0.10550266861750307,0.1012454623074987
0.11980416914748798,0.21470204517862146,0.15558290445289774,0.10075799955247289,0.14128926004685494,0.09601909784479934,0.09943524368920098,0.08186951834177991,0.10015835687214836
