LGBM,RF,XGB,DT,MLR,kNN,PLS,lasso
0.05627801175444053,0.046121796813167235,0.05423043074953052,0.03499781945050153,0.001629414494087579,0.2410276508254587,0.0015472523518188508,0.028152317907662483
0.020502194985979258,0.030887061049888774,0.01720710286551358,0.033035324901875274,0.03853738231627056,0.07923561694583026,0.03448913829647589,0.028226668346264028
0.09719986401542328,0.05885682106634457,0.11500835418701172,0.0,0.0743661635227527,0.1827823786790242,0.0677408072850236,0.05566687518916902
0.0433382211348022,0.039056662402061425,0.0446925163269043,0.0389072331941935,0.024443196014721558,0.048314250332089664,0.028261978173625663,0.03171698284150609
0.008999452653329673,0.04279116219827077,0.05039632320404053,0.0389072331941935,0.02010460722447019,0.008373186428106617,0.02309378801376502,0.013939308537155803
0.034203974641929286,0.042556131843637275,0.059771984815597534,0.0389072331941935,0.03500662344966903,0.0369022965301063,0.037960915375956056,0.020462131408246848
0.019382274745552902,0.0260475000742663,0.0030931830406188965,0.0389072331941935,0.010884740005673096,0.07045574256847369,0.015806515955404193,0.005890156427942966
0.012909994557911985,0.0018210816461606896,0.002262502908706665,0.0,0.022387310635286713,0.11334271130646946,0.025225125369113505,0.016944958321531922
0.019958867352395337,0.018394935613481177,0.00042769312858581543,0.0,0.013983755757324714,0.050135609498924816,0.01546453876941803,0.02146646344471051
0.036480986866749124,0.00015962186854416398,0.003905385732650757,0.0,0.0031481242979771494,0.05534686760303875,0.0010623082854612498,0.012503271409830208
0.008201557321378129,0.00019116150603285347,0.00498160719871521,0.0,0.000815360117222813,0.08413354914587956,0.0005814356732611603,0.008850579451777252
0.01924607473074805,0.00023767058297502664,0.014250189065933228,0.0,0.034115263803232,0.08678399109063005,0.030705678703576017,0.017337431888729854
0.0025038398132193615,0.0006875322531515613,0.0027023255825042725,0.0,0.02218667676319175,0.07269864824734885,0.019564368865735843,0.029697027055790165
0.03874523709617427,0.0036215292920482637,0.017896056175231934,0.0,0.00017665390852721616,0.019056268388915738,0.00023619123110693585,0.013594481612321713
0.018086465349022637,5.95015177039112e-05,0.007036089897155762,0.0,0.049942279942934355,0.01578609588960558,0.04685644834110947,0.040100576980484165
0.025680850752423146,0.011003561818324133,0.003679722547531128,0.0,0.07345556652284121,0.13689701845483157,0.0733521132096588,0.051236123237402814
0.004509412308123993,0.005684933744176547,0.0013702809810638428,0.0,0.05555252282777333,0.11424661250919803,0.06002809646562654,0.06363776200947802
0.0059291705214327,0.002339816265809563,0.0023611485958099365,0.0,0.024357607814081073,0.060455204282673834,0.022481668097499685,0.026310898722410242
0.0013079430538168256,0.0005996177090548385,0.002240985631942749,0.0,0.05639296222672677,0.1268297700665257,0.05585162531082724,0.05748545213187936
0.011180487561444283,0.021362022876633247,0.07062696386412975,0.05633994766681205,0.011749902536997092,0.04865332552171584,0.011444133951060864,0.015295345136261615
0.19587788434596942,0.13587916159280938,0.11399590969085693,0.1620965983427824,0.10714859489449022,0.00429895170227038,0.10672369456917559,0.11447232039915739
0.0033941526883910795,0.05995956340985443,0.03533013686830175,0.006623419101613584,0.1464794737338186,0.1347448463238043,0.14692004224887364,0.14951352252458175
0.04324879953466724,0.061375210240115455,0.06199389696121216,0.008258831225468818,0.15919146510113916,0.15265412677935486,0.15962956422641217,0.1671708489135887
0.04739655563563011,0.04916305595278783,0.05714717934966557,0.15145473802255316,0.007592873453117738,0.1520844138362463,0.003994211307800005,0.007677843713876614
0.019173104438944946,0.0845526713888144,0.028705098433521647,0.04908962058438722,0.09377577631626247,0.07070541749385598,0.09490724531058653,0.1023660838888264
0.12338349088494685,0.12699024533635006,0.15415834589031552,0.029491931966855622,0.10776266473151175,0.10410474807088427,0.10848561120948952,0.1126846030213966
0.07665120726745475,0.10289422243764121,0.08332720398902893,0.0,0.08149855114124421,0.14125739803342616,0.07610937376636262,0.09725594332178063
0.1041504283172448,0.10069196101502781,0.13139397119051283,0.03832315743567377,0.03502884503594181,0.07205337091605282,0.03823832785887987,0.04280984958126441
0.1788168534921659,0.13848699840806258,0.17140397247507017,0.10734845180985605,0.1778350100840599,0.004645956019946572,0.18155717254757175,0.1532030868092137
0.10808929761010885,0.10563609233854912,0.08796775159074705,0.10734845180985605,0.14710910195106378,0.20677340621004503,0.1467044505041687,0.14552238392504957
0.1114276337831478,0.07647164099190165,0.09721380516373324,0.05571303968600087,0.07872585732112036,0.05247096452568134,0.07724298562668701,0.08276267884767424
0.04589591817469631,0.09446234512895768,0.11534988880157471,0.003579735426660851,0.009671281097565121,0.06109203634738278,0.011082616232332865,0.028067067198035256
