P_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Chol_DMG-PEG_ratio,Dlin-MC3+Helper lipid percentage,Dlin-MC3_Helper lipid_ratio
1,12.515,0,4,36,2,4,10,80,50
1,12.515,0,4,36,2,8,10,80,50
1,12.515,0,4,36,2,12,10,80,50
1,12.515,0,4,36,2,4,10,20,10
1,12.515,0,4,36,2,8,10,20,10
1,12.515,0,4,36,2,12,10,20,10
1,12.515,0,4,36,2,4,10,40,10
1,12.515,0,4,36,2,8,10,40,10
1,12.515,0,4,36,2,12,10,40,10
1,12.515,0,4,36,2,4,10,60,10
1,12.515,0,4,36,2,8,10,60,10
1,12.515,0,4,36,2,12,10,60,10
1,12.515,0,4,36,2,4,10,80,10
1,12.515,0,4,36,2,8,10,80,10
1,12.515,0,4,36,2,12,10,80,10
1,12.515,0,4,36,2,4,10,20,1
1,12.515,0,4,36,2,8,10,20,1
1,12.515,0,4,36,2,12,10,20,1
1,12.515,0,4,36,2,4,10,40,1
1,12.515,0,4,36,2,8,10,40,1
1,12.515,0,4,36,2,12,10,40,1
1,12.515,0,4,36,2,4,10,60,1
1,12.515,0,4,36,2,8,10,60,1
1,12.515,0,4,36,2,12,10,60,1
1,12.515,0,4,36,2,4,10,80,1
1,12.515,0,4,36,2,8,10,80,1
1,12.515,0,4,36,2,12,10,80,1
1,6.12,0,8,36,0,4,500,20,200
1,6.12,0,8,36,0,8,500,20,200
1,6.12,0,8,36,0,12,500,20,200
1,6.12,0,8,36,0,4,500,40,200
1,6.12,0,8,36,0,8,500,40,200
1,6.12,0,8,36,0,12,500,40,200
1,6.12,0,8,36,0,4,500,60,200
1,6.12,0,8,36,0,8,500,60,200
1,6.12,0,8,36,0,12,500,60,200
1,6.12,0,8,36,0,4,500,80,200
1,6.12,0,8,36,0,8,500,80,200
1,6.12,0,8,36,0,12,500,80,200
1,6.12,0,8,36,0,4,500,20,100
1,6.12,0,8,36,0,8,500,20,100
1,6.12,0,8,36,0,12,500,20,100
1,6.12,0,8,36,0,4,500,40,100
1,6.12,0,8,36,0,8,500,40,100
1,6.12,0,8,36,0,12,500,40,100
1,6.12,0,8,36,0,4,500,60,100
1,6.12,0,8,36,0,8,500,60,100
1,6.12,0,8,36,0,12,500,60,100
1,6.12,0,8,36,0,4,500,80,100
