,RLU_B16
376,0.2207537934410181
377,0.1140479686735193
378,0.09593734703866857
379,0.2809593734703867
380,0.30457660303475276
381,0.29723445912873225
382,0.0570239843367597
383,0.06436612824278021
384,0.28634361233480177
385,0.0
386,0.0
387,0.33272148800783163
388,0.1000978952520803
389,0.15271659324522757
390,0.3102055800293686
391,0.254650024473813
392,0.20521292217327458
393,0.17939304943710233
394,0.3991678903573176
395,0.11992168379833579
396,0.12873225648556041
397,0.4864170337738619
398,0.5212922173274596
399,0.4055310817425355
400,0.5837004405286342
401,0.6049926578560939
402,0.6782917278511991
403,0.5931228585413607
404,0.618942731277533
405,0.7159813999021047
406,0.5139500734214391
407,0.5848017621145374
408,0.6202887909936369
409,0.6812285854136073
410,0.5867596671561429
411,0.575746451297112
412,0.7930739109153204
413,0.48433675966715617
414,0.7321341164953499
415,0.790381791483113
416,0.5023250122369065
417,0.7737395986294664
418,1.0
419,0.0
420,0.09312285854136076
421,0.06620166421928536
422,0.08883994126284872
423,0.17437591776798822
424,0.307513460597161
425,0.0
426,0.0
427,0.16752325012236902
428,0.0
429,0.09177679882525697
430,0.0
431,0.144640234948605
432,0.3458149779735682
433,0.0
434,0.0
435,0.3124082232011747
436,0.0
437,0.17437591776798822
438,0.06265296133137543
439,0.11527165932452277
440,0.21243269701419476
441,0.3306412139011258
442,0.0
443,0.0
444,0.2996818404307391
445,0.05115026921194321
446,0.0
447,0.3526676456191874
448,0.38472834067547723
449,0.38986784140969155
450,0.49608418991678904
451,0.5526186979931473
452,0.24057758198727364
453,0.27361722956436607
454,0.501101321585903
455,0.0
456,0.0
457,0.0
458,0.1683798335780715
459,0.0
460,0.15271659324522757
461,0.11637298091042586
462,0.2006852667645619
463,0.15271659324522757
464,0.4718551150269211
465,0.42535487028879093
466,0.18759177679882533
467,0.16752325012236902
468,0.11869799314733237
469,0.08431228585413608
470,0.1501468428781204
471,0.16984826235927553
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.1921194322075379
479,0.10535976505139505
480,0.13387175721977485
481,0.11637298091042586
482,0.10792951541850221
483,0.27300538423886433
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.18147332354380807
491,0.10915320606950563
492,0.11759667156142922
493,0.0
494,0.1587126774351444
495,0.28805677924620654
496,0.0
497,0.0
498,0.07305433186490456
499,0.0
500,0.0
501,0.0
502,0.302496328928047
503,0.17511013215859028
504,0.20239843367596666
505,0.06265296133137543
506,0.2167156142927068
507,0.22711698482623588
508,0.11527165932452277
509,0.08737151248164465
510,0.13790993636808613
511,0.23580518844836018
512,0.18147332354380807
513,0.1587126774351444
514,0.0
515,0.0
516,0.0
517,0.10658345570239841
518,0.14084679393049437
519,0.0
520,0.0
521,0.0
522,0.0
523,0.005506607929515406
524,0.05115026921194321
525,0.10792951541850221
526,0.10401370533529125
527,0.013950073421439058
528,0.19138521781693585
529,0.18954968184043075
530,0.2280959373470386
531,0.0
532,0.0
533,0.11037689672050904
534,0.0
535,0.0
536,0.044909446891825744
537,0.12873225648556041
538,0.0588595203132648
539,0.0
540,0.24143416544297602
541,0.2697014194811551
542,0.3092266275085658
543,0.026798825256975023
544,0.0570239843367597
545,0.20521292217327458
546,0.0
547,0.0
548,0.0
549,0.1651982378854625
550,0.0
551,0.306045031815957
552,0.18281938325991187
553,0.2809593734703867
554,0.1988497307880568
555,0.11869799314733237
556,0.26627508565834557
557,0.07635829662261379
558,0.016519823788546217
559,0.055066079295154224
560,0.2528144884973078
561,0.12971120900636313
562,0.14745472344591282
563,0.42596671561429267
564,0.3850954478707782
565,0.3640479686735193
566,0.5280225159079784
567,0.4319627998042095
568,0.49155653450807635
569,0.399657366617719
570,0.4060205580029368
571,0.25159079784630445
572,0.0
573,0.0
574,0.0
575,0.2130445423396965
576,0.3691874694077337
577,0.0
578,0.0
579,0.0
580,0.0
581,0.09312285854136076
582,0.12873225648556041
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.03842388644150757
590,0.11160058737151246
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.019211943220753813
601,0.10266764561918745
602,0.0
603,0.0
604,0.03157121879588842
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.09593734703866857
613,0.14745472344591282
614,0.0
615,0.0
616,0.06081742535487028
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.13790993636808613
623,0.20178658835046503
624,0.20582476749877632
625,0.21867351933431223
626,0.18416544297601567
627,0.19823788546255505
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.011135584924131192
639,0.32048458149779735
640,0.28805677924620654
641,0.19946157611355841
642,0.0
643,0.005506607929515406
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.2344591287322565
652,0.3058002936857561
653,0.17939304943710233
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.14561918746940772
664,0.2613803230543319
665,0.2304209495839452
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.03389623103279493
676,0.07305433186490456
677,0.17143906020557997
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.011135584924131192
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.16116005873715122
700,0.22369065100342633
701,0.09177679882525697
702,0.021781693587860973
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.044909446891825744
712,0.1359520313264806
713,0.07305433186490456
714,0.03157121879588842
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.19456681350954474
724,0.11992168379833579
725,0.036221243269701386
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.16042584434654916
736,0.13289280469897213
737,0.0987518355359765
738,0.0588595203132648
739,0.0570239843367597
740,0.12652961331375423
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.029246206558981858
748,0.0
749,0.0
750,0.11637298091042586
751,0.08272148800783163
752,0.055066079295154224
753,0.06436612824278021
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0857807146353402
762,0.15712187958883994
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.03389623103279493
774,0.09728340675477237
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.04698972099853155
786,0.053108174253548746
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.06081742535487028
818,0.2006852667645619
819,0.1957905041605481
820,0.09728340675477237
821,0.10535976505139505
822,0.2034997552618698
823,0.21023005384238858
824,0.12212432697014197
825,0.30677924620655894
826,0.24057758198727364
827,0.13289280469897213
828,0.3119187469407734
829,0.1000978952520803
830,0.21023005384238858
831,0.1536955457660304
832,0.16116005873715122
833,0.005506607929515406
834,0.21867351933431223
835,0.2745961820851688
836,0.2080274106705825
837,0.19334312285854138
838,0.19823788546255505
839,0.16984826235927553
840,0.06791483113069019
841,0.157856093979442
842,0.04906999510523735
843,0.036221243269701386
844,0.08737151248164465
845,0.016519823788546217
846,0.14929025942241791
847,0.18147332354380807
848,0.25
849,0.21769456681350952
850,0.0857807146353402
851,0.10792951541850221
852,0.036221243269701386
853,0.0
854,0.1359520313264806
855,0.08125305922662751
856,0.21023005384238858
857,0.0
858,0.11282427802251593
859,0.2558737151248165
860,0.5445423396965247
861,0.3617229564366128
862,0.24143416544297602
863,0.42682329906999517
864,0.35523739598629456
865,0.33871757219774834
866,0.3824033284385707
867,0.386441507586882
868,0.3466715614292707
869,0.09177679882525697
870,0.22026431718061668
871,0.4456681350954479
872,0.24192364170337743
873,0.2309104258443465
874,0.03842388644150757
875,0.3147332354380812
876,0.2683553597650513
877,0.32733724914341644
878,0.1436612824278023
879,0.1510034263338228
880,0.157856093979442
881,0.193954968184043
882,0.2551395007342143
883,0.23972099853157114
884,0.2851199216837983
885,0.0
886,0.17437591776798822
887,0.33835046500244736
888,0.2030102790014684
889,0.0
890,0.2834067547723935
891,0.1901615271659325
892,0.19823788546255505
893,0.016519823788546217
894,0.25991189427312766
895,0.29760156632403334
896,0.1501468428781204
897,0.2934410181106216
898,0.3895007342143906
899,0.2140234948604992
900,0.41275085658345567
901,0.3773861967694566
902,0.21243269701419476
903,0.2834067547723935
904,0.2983357807146353
905,0.2906265296133137
906,0.07305433186490456
907,0.3354136074400391
908,0.3723690651003426
909,0.4394273127753304
910,0.36514929025942233
911,0.40712187958883994
912,0.4708761625061184
913,0.3486294664708761
914,0.2834067547723935
915,0.31448849730788053
916,0.21928536465981396
917,0.17364170337738616
918,0.34703866862457167
919,0.37028879099363676
920,0.40455212922173267
921,0.2080274106705825
922,0.20692608908467935
923,0.2130445423396965
924,0.144640234948605
925,0.29943710230053844
926,0.18685756240822315
927,0.11992168379833579
928,0.16911404796867346
929,0.3846059716103768
930,0.0
931,0.036221243269701386
932,0.08737151248164465
933,0.321096426823299
934,0.055066079295154224
935,0.005506607929515406
936,0.22711698482623588
937,0.0
938,0.044909446891825744
939,0.09312285854136076
940,0.2923396965247186
941,0.3612334801762114
942,0.0
943,0.0
944,0.1510034263338228
945,0.0
946,0.17364170337738616
947,0.2936857562408224
948,0.0
949,0.0
950,0.07807146353401856
951,0.24192364170337743
952,0.31045031815956925
953,0.2011747430249633
954,0.19273127753303965
955,0.07635829662261379
956,0.0
957,0.19640234948604995
958,0.12102300538423882
959,0.1436612824278023
960,0.0
961,0.026798825256975023
962,0.1536955457660304
963,0.0747674987763094
964,0.0
965,0.08883994126284872
