Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,Size,PDI,Zeta,wt_Helper,wt_Dlin,wt_Chol,wt_DMG,wt_pDNA,RLU_N2a
124,18PG,0,1,9.3028,3,10,1,108.3166667,0.307333333,-1.42,0.249530865,40.10459121,33.09537531,21.47582999,5.074672619,2.197
125,18PG,0,1,9.3028,3,10,1,153.9,0.435666667,-0.845333333,0.256027135,41.14867139,33.95697805,22.03493028,2.603393149,3.219
126,18PG,0,1,9.3028,3,10,1,120.1,0.400666667,-1.69,0.258268382,41.50888454,34.25423552,22.22782282,1.750788738,3.497
127,18PG,0,1,9.3028,3,10,1,166.4,0.504,-3.313333333,0.358096048,57.55318334,21.10863005,13.69754372,7.282546833,2.639
128,18PG,0,1,9.3028,3,10,1,192.9,0.356666667,-1.398,0.371628041,59.72804476,21.90629827,14.21515643,3.778872496,3.892
129,18PG,0,1,9.3028,3,10,1,260.3666667,0.331,-0.940666667,0.376368875,60.48999131,22.1857554,14.39649821,2.551386208,4.007
130,18PG,0,1,9.3028,3,10,1,230.6333333,0.313333333,8.696666667,0.4576533,73.55402109,10.11645575,6.564641789,9.307228067,3.178
131,18PG,0,1,9.3028,3,10,1,237.4,0.258666667,-0.939,0.479990191,77.14400535,10.61021417,6.885045219,4.880745071,3.296
132,18PG,0,1,9.3028,3,10,1,208.8333333,0.286,-0.976,0.487928371,78.41982934,10.78568815,6.998911563,3.307642581,4.635
133,18PG,0,1,9.3028,3,10,1,129.5333333,0.231666667,-1.733333333,0.260028833,20.89591207,46.21240738,29.98756759,2.644084123,2.079
134,18PG,0,1,9.3028,3,10,1,247.0333333,0.714,-1.54,0.26351258,21.17586593,46.83154003,30.38932728,1.339754175,2.0
135,18PG,0,1,9.3028,3,10,1,1955.333333,0.704333333,-1.195666667,0.264694666,21.27085833,47.04162073,30.52565017,0.897176101,2.0
136,18PG,0,1,9.3028,3,10,1,181.4666667,0.334,-1.7,0.49647495,39.89671758,33.08763263,21.47080571,5.048369132,2.0
137,18PG,0,1,9.3028,3,10,1,144.4,0.396,-0.988333333,0.509331415,40.92986286,33.94445328,22.02680287,2.589549577,2.996
138,18PG,0,1,9.3028,3,10,1,123.8,0.366333333,-2.643333333,0.513766158,41.28623874,34.24000727,22.21859,1.741397838,2.0
139,18PG,0,1,9.3028,3,10,1,253.1333333,0.477333333,-0.603333333,0.712407354,57.24904146,21.10154382,13.69294541,7.24406195,2.89
140,18PG,0,1,9.3028,3,10,1,212.9666667,0.330666667,-0.511666667,0.739180708,59.4005477,21.894572,14.20754717,3.75815242,3.97
141,18PG,0,1,9.3028,3,10,1,219.6333333,0.313,-1.116666667,0.748558025,60.15410873,22.17232864,14.38778548,2.537219134,2.773
142,18PG,0,1,9.3028,3,10,1,243.4333333,0.302666667,2.933333333,0.910384662,73.15849421,10.11211584,6.561825593,9.257179695,3.296
143,18PG,0,1,9.3028,3,10,1,226.2666667,0.251333333,0.520333333,0.954567685,76.70904109,10.60287966,6.880285803,4.853225763,4.06
144,18PG,0,1,9.3028,3,10,1,262.2333333,0.095333333,-2.67,0.970264053,77.97040096,10.77722738,6.993421311,3.288686299,4.317
145,18PG,0,1,9.3028,3,10,1,135.9333333,0.257333333,-1.596666667,0.514834749,20.68605535,46.20125164,29.98032856,2.617529702,2.079
146,18PG,0,1,9.3028,3,10,1,967.0333333,1.0,-1.566666667,0.521662079,20.9603774,46.81393598,30.37790389,1.326120652,2.079
147,18PG,0,1,9.3028,3,10,1,1599.666667,0.223666667,-2.373333333,0.523978274,21.05344208,47.02179121,30.51278266,0.888005777,2.0
148,18PG,0,1,9.3028,3,10,1,113.75,0.3625,-1.247666667,0.982762024,39.48736881,33.07238558,21.46091179,4.996571795,2.0
149,18PG,0,1,9.3028,3,10,1,142.2666667,0.315,-1.014,1.00794333,40.49915345,33.91979914,22.01080462,2.562299464,2.996
150,18PG,0,1,9.3028,3,10,1,142.3333333,0.393333333,-3.99,1.016626333,40.84803645,34.21200381,22.20041835,1.722915057,2.0
151,18PG,0,1,9.3028,3,10,1,256.9666667,0.289333333,-10.79333333,1.409913232,56.65030033,21.08759369,13.68389307,7.168299671,2.639
152,18PG,0,1,9.3028,3,10,1,205.9333333,0.315,-1.503333333,1.462325157,58.75621097,21.87150106,14.19257627,3.717386539,3.932
153,18PG,0,1,9.3028,3,10,1,184.7,0.339666667,-1.180333333,1.480672598,59.49341099,22.14591751,14.37064711,2.509351795,2.773
