,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Zeta,RLU_B16
286,1,1,2,8,10,80,100,-6.06,0.23239052091296275
287,1,1,2,12,10,80,100,-0.9158,0.38396854865130503
288,1,1,2,4,1,20,100,-3.646666667,0.28393578682974774
289,1,1,2,8,1,20,100,1.916666667,0.019875505078082334
290,1,1,2,12,1,20,100,0.651,0.08277820246805723
291,1,1,2,4,1,40,100,-1.32,0.3132030140875832
292,1,1,2,8,1,40,100,2.876666667,0.33657311346510865
293,1,1,2,12,1,40,100,-3.013333333,0.29179862400349466
294,1,1,2,4,1,60,100,0.54,0.3837501365075898
295,1,1,2,8,1,60,100,4.106666667,0.4688216664846565
296,1,1,2,12,1,60,100,1.651,0.41815004914273235
297,1,1,2,4,1,80,100,-0.074666667,0.5185104291798625
298,1,1,2,8,1,80,100,-5.6,0.5245167631320301
299,1,1,2,12,1,80,100,6.683333333,0.43737031778966906
300,1,1,2,4,200,20,10,-9.106666667,0.10756798077973134
301,1,1,2,8,200,20,10,-4.033333333,0.10756798077973134
302,1,1,2,12,200,20,10,-5.893333333,0.05580430271923115
303,1,1,2,4,200,40,10,-5.413333333,0.04182592552145897
304,1,1,2,8,200,40,10,-1.593333333,0.025772632958392466
305,1,1,2,12,200,40,10,-1.943333333,0.1336682319536966
306,1,1,2,4,200,60,10,-3.223333333,0.10756798077973134
307,1,1,2,8,200,60,10,-1.48,0.025772632958392466
308,1,1,2,12,200,60,10,-2.086666667,0.12001747297149717
309,1,1,2,4,200,80,10,-3.64,0.10756798077973134
310,1,1,2,8,200,80,10,-33.9,0.10756798077973134
311,1,1,2,12,200,80,10,-2.783333333,0.2288959266135197
312,1,1,2,4,100,20,10,-6.903333333,0.10756798077973134
313,1,1,2,8,100,20,10,-2.48,0.10756798077973134
314,1,1,2,12,100,20,10,-1.81,0.10756798077973134
315,1,1,2,4,100,40,10,-6.893333333,0.07567980779731354
316,1,1,2,8,100,40,10,-3.68,0.025772632958392466
317,1,1,2,12,100,40,10,-2.296666667,0.10756798077973134
318,1,1,2,4,100,60,10,-3.093333333,0.036693240144151984
319,1,1,2,8,100,60,10,-2.686666667,0.05132685377306978
320,1,1,2,12,100,60,10,-1.29,0.07567980779731354
321,1,1,2,4,100,80,10,-3.763333333,0.10756798077973134
322,1,1,2,8,100,80,10,-36.3,0.006989188598886115
323,1,1,2,12,100,80,10,-1.66,0.13781806268428526
324,1,1,2,4,50,20,10,-8.986666667,0.10756798077973134
325,1,1,2,8,50,20,10,-6.63,0.10756798077973134
326,1,1,2,12,50,20,10,-6.54,0.10756798077973134
327,1,1,2,4,50,40,10,-2.723333333,0.08933056677951295
328,1,1,2,8,50,40,10,-2.203333333,0.08605438462378506
329,1,1,2,12,50,40,10,-2.146666667,0.07196680135415529
330,1,1,2,4,50,60,10,-2.57,0.10756798077973134
331,1,1,2,8,50,60,10,-1.666333333,0.04182592552145897
332,1,1,2,12,50,60,10,-2.12,0.06006333952167736
333,1,1,2,4,50,80,10,-3.51,0.10756798077973134
334,1,1,2,8,50,80,10,-36.66666667,0.04182592552145897
335,1,1,2,12,50,80,10,-2.383333333,0.1894725346729278
336,1,1,2,4,10,20,10,-9.563333333,0.10756798077973134
337,1,1,2,8,10,20,10,-5.376666667,0.10756798077973134
338,1,1,2,12,10,20,10,-7.476666667,0.10756798077973134
339,1,1,2,4,10,40,10,-5.483333333,0.11750573331877251
340,1,1,2,8,10,40,10,-2.596666667,0.05580430271923115
341,1,1,2,12,10,40,10,-1.983333333,0.05580430271923115
342,1,1,2,4,10,60,10,-3.656666667,0.14764660915146882
343,1,1,2,8,10,60,10,-1.370333333,0.1336682319536966
344,1,1,2,12,10,60,10,-2.37,0.16664846565469038
345,1,1,2,4,10,80,10,-4.92,0.013650758982199418
346,1,1,2,8,10,80,10,-31.9,0.15135961559462702
347,1,1,2,12,10,80,10,-2.056666667,0.2861199082668996
348,1,1,2,4,1,20,10,-8.333333333,0.10756798077973134
349,1,1,2,8,1,20,10,-7.673333333,0.10756798077973134
350,1,1,2,12,1,20,10,-9.613333333,0.10756798077973134
351,1,1,2,4,1,40,10,-3.126666667,0.10756798077973134
352,1,1,2,8,1,40,10,-1.383333333,0.10756798077973134
353,1,1,2,12,1,40,10,-1.873333333,0.305449382985694
354,1,1,2,4,1,60,10,-2.37,0.06006333952167736
355,1,1,2,8,1,60,10,-1.059,0.14185868734301627
356,1,1,2,12,1,60,10,-1.533333333,0.2306432237632412
357,1,1,2,4,1,80,10,-3.313333333,0.2743256525062794
358,1,1,2,8,1,80,10,15.6,0.28819482363219395
359,1,1,2,12,1,80,10,-1.012333333,0.45233154963415967
360,1,0,2,4,200,20,500,5.9,0.5934257944741728
361,1,0,2,8,200,20,500,5.12,0.507589821994103
362,1,0,2,12,200,20,500,9.113333333,0.5090095009282516
363,1,0,2,4,200,40,500,12.9,0.37064540788467837
364,1,0,2,8,200,40,500,1.866666667,0.4606312110953369
365,1,0,2,12,200,40,500,6.673333333,0.49317462050890026
366,1,0,2,4,200,60,500,16.2,0.12001747297149717
367,1,0,2,8,200,60,500,13.33333333,0.13148411051654468
368,1,0,2,12,200,60,500,15.63333333,0.23239052091296275
369,1,0,2,4,200,80,500,-10.96666667,0.05580430271923115
370,1,0,2,8,200,80,500,5.703333333,0.10756798077973134
371,1,0,2,12,200,80,500,-30.56666667,0.28502784754832367
372,1,0,2,4,100,20,500,1.823,0.49208255979032434
373,1,0,2,8,100,20,500,7.926666667,0.47712132794583384
374,1,0,2,12,100,20,500,2.883333333,0.4310363656219286
375,1,0,2,4,100,40,500,12.1,0.42557606202904885
376,1,0,2,8,100,40,500,4.013333333,0.3382112045429726
377,1,0,2,12,100,40,500,2.956666667,0.4197881402205963
378,1,0,2,4,100,60,500,22.76666667,0.16009610134323465
379,1,0,2,8,100,60,500,9.33,0.07567980779731354
380,1,0,2,12,100,60,500,19.53333333,0.24309271595500703
381,1,0,2,4,100,80,500,7.633333333,0.10756798077973134
382,1,0,2,8,100,80,500,7.98,0.025772632958392466
383,1,0,2,12,100,80,500,-25.13333333,0.4048269083761058
384,1,0,2,4,50,20,500,18.9,0.4903352626406028
385,1,0,2,8,50,20,500,21.16666667,0.4281970077536311
386,1,0,2,12,50,20,500,2.883333333,0.44829092497542866
387,1,0,2,4,50,40,500,17.63333333,0.4284154198973462
388,1,0,2,8,50,40,500,0.663333333,0.4200065523643114
389,1,0,2,12,50,40,500,3.57,0.46216009610134323
390,1,0,2,4,50,60,500,24.03333333,0.21852134978704818
391,1,0,2,8,50,60,500,9.956666667,0.18139128535546578
392,1,0,2,12,50,60,500,18.63333333,0.33657311346510865
393,1,0,2,4,50,80,500,6.13,0.171344326744567
394,1,0,2,8,50,80,500,9.33,0.14382439663645297
395,1,0,2,12,50,80,500,-27.3,0.4160751337774381
396,1,0,2,4,10,20,500,44.06666667,0.5370754613956535
397,1,0,2,8,10,20,500,25.86666667,0.4617232718139129
398,1,0,2,12,10,20,500,1.388333333,0.3981653379927924
399,1,0,2,4,10,40,500,26.16666667,0.4599759746641914
400,1,0,2,8,10,40,500,27.06666667,0.43311128098722285
401,1,0,2,12,10,40,500,22.36666667,0.42601288631647927
402,1,0,2,4,10,60,500,30.7,0.5201485202577263
403,1,0,2,8,10,60,500,15.33333333,0.5082450584252484
404,1,0,2,12,10,60,500,20.86666667,0.579884241563831
405,1,0,2,4,10,80,500,15.56666667,0.5032215791197991
406,1,0,2,8,10,80,500,18.4,0.5189472534672929
407,1,0,2,12,10,80,500,-31.76666667,0.5951730916238943
408,1,0,2,4,1,20,500,19.9,0.9427760183466202
409,1,0,2,8,1,20,500,16.3,0.8560663972916894
410,1,0,2,12,1,20,500,12.23333333,0.8045211313749044
411,1,0,2,4,1,40,500,5.41,0.7291689417931637
412,1,0,2,8,1,40,500,22.13333333,0.809763022824069
413,1,0,2,12,1,40,500,24.76666667,0.8240690182374141
414,1,0,2,4,1,60,500,22.4,0.531833569946489
415,1,0,2,8,1,60,500,23.5,0.7478431800808125
416,1,0,2,12,1,60,500,21.46666667,0.7707764551709075
417,1,0,2,4,1,80,500,12.93333333,0.6661570383313312
418,1,0,2,8,1,80,500,31.5,0.8237414000218412
419,1,0,2,12,1,80,500,-16.6,0.8760511084416295
420,1,0,2,4,200,20,100,-27.6,0.44152014852025767
421,1,0,2,8,200,20,100,-2.563333333,0.2737796221469914
422,1,0,2,12,200,20,100,1.926666667,0.20716391831385822
423,1,0,2,4,200,40,100,-3.873333333,0.3317680463033744
424,1,0,2,8,200,40,100,-3.35,0.3344981980998144
425,1,0,2,12,200,40,100,-2.93,0.36103527356121
426,1,0,2,4,200,60,100,-3.706666667,0.06421317025226603
427,1,0,2,8,200,60,100,-1.271,0.14382439663645297
428,1,0,2,12,200,60,100,4.56,0.3448727749262859
429,1,0,2,4,200,80,100,1.253333333,0.1042917986240035
430,1,0,2,8,200,80,100,4.306666667,0.08277820246805723
431,1,0,2,12,200,80,100,3.433333333,0.3045757344108333
432,1,0,2,4,100,20,100,-30.33333333,0.3762149175494157
433,1,0,2,8,100,20,100,3.27,0.20934803975101013
434,1,0,2,12,100,20,100,-0.77,0.19318554111608605
435,1,0,2,4,100,40,100,-3.76,0.35830512176477014
436,1,0,2,8,100,40,100,-3.076666667,0.379381893633286
437,1,0,2,12,100,40,100,-2.876666667,0.37282952932183033
438,1,0,2,4,100,60,100,-2.633333333,0.15845801026537076
439,1,0,2,8,100,60,100,-2.463333333,0.16501037457682644
440,1,0,2,12,100,60,100,2.173333333,0.36311018892650426
441,1,0,2,4,100,80,100,-1.211333333,0.07196680135415529
