,P_charged_centers,N_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,Zeta
210,1,1,9.784,2,4,50,60,500,189.0333333,0.220333333,-2.12
211,1,1,9.784,2,8,50,60,500,155.4333333,0.233333333,1.195666667
212,1,1,9.784,2,12,50,60,500,256.8,0.427666667,0.16
213,1,1,9.784,2,4,50,80,500,202.3,0.256333333,-29.4
214,1,1,9.784,2,8,50,80,500,135.8666667,0.173666667,-10.41
215,1,1,9.784,2,12,50,80,500,163.5333333,0.229333333,-0.4925
216,1,1,9.784,2,4,10,20,500,431.8,0.420666667,-9.42
217,1,1,9.784,2,8,10,20,500,465.9333333,0.358,-1.686666667
218,1,1,9.784,2,12,10,20,500,599.5333333,0.522,-0.166206667
219,1,1,9.784,2,4,10,40,500,197.5666667,0.262666667,-2.53
220,1,1,9.784,2,8,10,40,500,199.4,0.327666667,2.476666667
221,1,1,9.784,2,12,10,40,500,208.5,0.330666667,1.541666667
222,1,1,9.784,2,4,10,60,500,193.9,0.197333333,-1.64
223,1,1,9.784,2,8,10,60,500,159.3,0.201,2.77
224,1,1,9.784,2,12,10,60,500,190.9666667,0.275,2.354
225,1,1,9.784,2,4,10,80,500,166.8666667,0.266,-26.83333333
226,1,1,9.784,2,8,10,80,500,146.8666667,0.208666667,5.42
227,1,1,9.784,2,12,10,80,500,167.8,0.237,7.203333333
228,1,1,9.784,2,4,1,20,500,287.7333333,0.327,2.916666667
229,1,1,9.784,2,8,1,20,500,306.5333333,0.569,3.96
230,1,1,9.784,2,12,1,20,500,473.2,0.17,5.006666667
231,1,1,9.784,2,4,1,40,500,261.7,0.330333333,4.206666667
232,1,1,9.784,2,8,1,40,500,205.1,0.196,4.25
233,1,1,9.784,2,12,1,40,500,177.9333333,0.268,2.72
234,1,1,9.784,2,4,1,60,500,224.5,0.256333333,4.343333333
235,1,1,9.784,2,8,1,60,500,195.0333333,0.254,5.876666667
236,1,1,9.784,2,12,1,60,500,179.0333333,0.261666667,6.29
237,1,1,9.784,2,4,1,80,500,237.6333333,0.301,6.303333333
238,1,1,9.784,2,8,1,80,500,164.9666667,0.183666667,11.93333333
239,1,1,9.784,2,12,1,80,500,171.5333333,0.187333333,8.72
240,1,1,9.784,2,4,200,20,100,177.0333333,0.31,-4.186666667
241,1,1,9.784,2,8,200,20,100,223.4,0.485666667,-2.646666667
242,1,1,9.784,2,12,200,20,100,169.1333333,0.368333333,-2.373333333
243,1,1,9.784,2,4,200,40,100,193.5,0.275333333,-1.616666667
244,1,1,9.784,2,8,200,40,100,139.0,0.236666667,-1.976666667
245,1,1,9.784,2,12,200,40,100,159.2333333,0.303666667,-2.136666667
246,1,1,9.784,2,4,200,60,100,171.7,0.236333333,-0.094333333
247,1,1,9.784,2,8,200,60,100,150.1333333,0.232,-1.95
248,1,1,9.784,2,12,200,60,100,177.5333333,0.260666667,-2.43
249,1,1,9.784,2,4,200,80,100,219.6333333,0.307666667,-15.26666667
250,1,1,9.784,2,8,200,80,100,141.4666667,0.245666667,-3.21
251,1,1,9.784,2,12,200,80,100,160.0333333,0.184333333,-4.51
252,1,1,9.784,2,4,100,20,100,176.9333333,0.24,-4.66
253,1,1,9.784,2,8,100,20,100,263.8333333,0.433333333,-6.34
255,1,1,9.784,2,4,100,40,100,174.6666667,0.246333333,-3.043333333
256,1,1,9.784,2,8,100,40,100,148.9333333,0.217333333,-0.049066667
257,1,1,9.784,2,12,100,40,100,152.4666667,0.288333333,-1.993333333
258,1,1,9.784,2,4,100,60,100,164.2,0.201666667,-2.476666667
259,1,1,9.784,2,8,100,60,100,150.2666667,0.204333333,1.32
260,1,1,9.784,2,12,100,60,100,191.8,0.244333333,-1.426666667
261,1,1,9.784,2,4,100,80,100,241.5333333,0.267,-15.93333333
262,1,1,9.784,2,8,100,80,100,148.0333333,0.21,-3.53
263,1,1,9.784,2,12,100,80,100,155.5666667,0.167333333,-3.316666667
264,1,1,9.784,2,4,50,20,100,153.8666667,0.203,-3.213333333
265,1,1,9.784,2,8,50,20,100,203.9333333,0.501,-2.766666667
266,1,1,9.784,2,12,50,20,100,263.9333333,0.412333333,-1.060666667
267,1,1,9.784,2,4,50,40,100,170.0666667,0.220333333,-3.176666667
268,1,1,9.784,2,8,50,40,100,158.3666667,0.279,-1.57
269,1,1,9.784,2,12,50,40,100,130.9333333,0.215,0.963666667
270,1,1,9.784,2,4,50,60,100,160.7333333,0.165333333,-3.816666667
271,1,1,9.784,2,8,50,60,100,138.7333333,0.185333333,0.242266667
272,1,1,9.784,2,12,50,60,100,152.2333333,0.245666667,-1.88
273,1,1,9.784,2,4,50,80,100,189.0,0.199,-15.9
274,1,1,9.784,2,8,50,80,100,147.2,0.241333333,-5.523333333
275,1,1,9.784,2,12,50,80,100,148.5333333,0.207,-2.94
277,1,1,9.784,2,8,10,20,100,230.9333333,0.481666667,-2.173333333
278,1,1,9.784,2,12,10,20,100,168.1666667,0.428,-0.284166667
279,1,1,9.784,2,4,10,40,100,164.0666667,0.157333333,-0.60825
281,1,1,9.784,2,12,10,40,100,161.1333333,0.330333333,0.813333333
282,1,1,9.784,2,4,10,60,100,179.6666667,0.263333333,1.84
283,1,1,9.784,2,8,10,60,100,153.8,0.197333333,-0.397333333
284,1,1,9.784,2,12,10,60,100,150.7333333,0.228333333,-0.254666667
285,1,1,9.784,2,4,10,80,100,222.5666667,0.208,-12.13333333
286,1,1,9.784,2,8,10,80,100,166.1666667,0.209333333,-6.06
287,1,1,9.784,2,12,10,80,100,198.6666667,0.219,-0.9158
288,1,1,9.784,2,4,1,20,100,236.7666667,0.272333333,-3.646666667
289,1,1,9.784,2,8,1,20,100,211.3666667,0.439666667,1.916666667
290,1,1,9.784,2,12,1,20,100,182.6,0.281,0.651
291,1,1,9.784,2,4,1,40,100,179.9,0.168333333,-1.32
292,1,1,9.784,2,8,1,40,100,196.2,0.148333333,2.876666667
293,1,1,9.784,2,12,1,40,100,180.0,0.512666667,-3.013333333
294,1,1,9.784,2,4,1,60,100,197.7,0.18,0.54
295,1,1,9.784,2,8,1,60,100,148.4666667,0.206666667,4.106666667
296,1,1,9.784,2,12,1,60,100,171.6333333,0.198666667,1.651
297,1,1,9.784,2,4,1,80,100,253.0666667,0.335333333,-0.074666667
298,1,1,9.784,2,8,1,80,100,186.6333333,0.255,-5.6
299,1,1,9.784,2,12,1,80,100,150.0333333,0.178,6.683333333
301,1,1,9.784,2,8,200,20,10,236.6,0.577,-4.033333333
303,1,1,9.784,2,4,200,40,10,170.1333333,0.409333333,-5.413333333
304,1,1,9.784,2,8,200,40,10,176.6666667,0.290333333,-1.593333333
306,1,1,9.784,2,4,200,60,10,153.6333333,0.193,-3.223333333
307,1,1,9.784,2,8,200,60,10,153.0333333,0.370333333,-1.48
308,1,1,9.784,2,12,200,60,10,149.9,0.288333333,-2.086666667
309,1,1,9.784,2,4,200,80,10,133.1,0.144333333,-3.64
310,1,1,9.784,2,8,200,80,10,138.3666667,0.247666667,-33.9
311,1,1,9.784,2,12,200,80,10,136.2333333,0.169,-2.783333333
315,1,1,9.784,2,4,100,40,10,137.9333333,0.216666667,-6.893333333
318,1,1,9.784,2,4,100,60,10,137.5666667,0.191333333,-3.093333333
319,1,1,9.784,2,8,100,60,10,115.6333333,0.217,-2.686666667
320,1,1,9.784,2,12,100,60,10,207.0666667,0.332333333,-1.29
321,1,1,9.784,2,4,100,80,10,145.4,0.130333333,-3.763333333
322,1,1,9.784,2,8,100,80,10,135.8666667,0.231,-36.3
323,1,1,9.784,2,12,100,80,10,120.9333333,0.173,-1.66
326,1,1,9.784,2,12,50,20,10,496.8333333,0.378333333,-6.54
327,1,1,9.784,2,4,50,40,10,93.06666667,0.211,-2.723333333
330,1,1,9.784,2,4,50,60,10,136.1666667,0.159666667,-2.57
331,1,1,9.784,2,8,50,60,10,129.5,0.283,-1.666333333
332,1,1,9.784,2,12,50,60,10,202.5,0.512333333,-2.12
333,1,1,9.784,2,4,50,80,10,143.0333333,0.155333333,-3.51
334,1,1,9.784,2,8,50,80,10,134.7,0.230666667,-36.66666667
335,1,1,9.784,2,12,50,80,10,135.2333333,0.219666667,-2.383333333
339,1,1,9.784,2,4,10,40,10,132.7666667,0.226,-5.483333333
341,1,1,9.784,2,12,10,40,10,153.0,0.411666667,-1.983333333
342,1,1,9.784,2,4,10,60,10,156.7333333,0.235666667,-3.656666667
343,1,1,9.784,2,8,10,60,10,134.0666667,0.204666667,-1.370333333
344,1,1,9.784,2,12,10,60,10,167.5,0.380333333,-2.37
345,1,1,9.784,2,4,10,80,10,144.4333333,0.081666667,-4.92
346,1,1,9.784,2,8,10,80,10,161.1333333,0.24,-31.9
347,1,1,9.784,2,12,10,80,10,118.1666667,0.198,-2.056666667
351,1,1,9.784,2,4,1,40,10,157.5,0.177,-3.126666667
352,1,1,9.784,2,8,1,40,10,140.4666667,0.248666667,-1.383333333
353,1,1,9.784,2,12,1,40,10,228.2,0.517,-1.873333333
354,1,1,9.784,2,4,1,60,10,153.2,0.232666667,-2.37
355,1,1,9.784,2,8,1,60,10,129.7666667,0.194666667,-1.059
356,1,1,9.784,2,12,1,60,10,145.7333333,0.333666667,-1.533333333
357,1,1,9.784,2,4,1,80,10,165.1666667,0.186,-3.313333333
358,1,1,9.784,2,8,1,80,10,157.6666667,0.210666667,15.6
359,1,1,9.784,2,12,1,80,10,140.5666667,0.184333333,-1.012333333
360,1,0,12.515,0,4,200,20,500,157.3333333,0.166,5.9
361,1,0,12.515,0,8,200,20,500,138.8333333,0.375666667,5.12
362,1,0,12.515,0,12,200,20,500,235.9333333,0.509333333,9.113333333
363,1,0,12.515,0,4,200,40,500,175.8333333,0.266333333,12.9
364,1,0,12.515,0,8,200,40,500,172.5333333,0.298333333,1.866666667
365,1,0,12.515,0,12,200,40,500,173.3,0.307666667,6.673333333
366,1,0,12.515,0,4,200,60,500,222.7333333,0.28,16.2
367,1,0,12.515,0,8,200,60,500,163.4666667,0.289666667,13.33333333
368,1,0,12.515,0,12,200,60,500,132.7666667,0.248666667,15.63333333
369,1,0,12.515,0,4,200,80,500,172.6333333,0.228666667,-10.96666667
370,1,0,12.515,0,8,200,80,500,156.5,0.215666667,5.703333333
371,1,0,12.515,0,12,200,80,500,415.4333333,0.464333333,-30.56666667
372,1,0,12.515,0,4,100,20,500,126.4666667,0.141666667,1.823
373,1,0,12.515,0,8,100,20,500,173.0,0.266666667,7.926666667
374,1,0,12.515,0,12,100,20,500,198.5333333,0.402666667,2.883333333
375,1,0,12.515,0,4,100,40,500,185.6666667,0.295,12.1
376,1,0,12.515,0,8,100,40,500,160.6,0.245333333,4.013333333
377,1,0,12.515,0,12,100,40,500,183.8333333,0.354,2.956666667
378,1,0,12.515,0,4,100,60,500,224.0,0.195666667,22.76666667
379,1,0,12.515,0,8,100,60,500,147.6666667,0.245666667,9.33
380,1,0,12.515,0,12,100,60,500,146.4333333,0.24,19.53333333
381,1,0,12.515,0,4,100,80,500,170.8666667,0.246333333,7.633333333
382,1,0,12.515,0,8,100,80,500,136.8333333,0.256666667,7.98
383,1,0,12.515,0,12,100,80,500,290.3,0.270666667,-25.13333333
384,1,0,12.515,0,4,50,20,500,122.2,0.186333333,18.9
385,1,0,12.515,0,8,50,20,500,176.0666667,0.496333333,21.16666667
386,1,0,12.515,0,12,50,20,500,186.9666667,0.243,2.883333333
387,1,0,12.515,0,4,50,40,500,153.4666667,0.229666667,17.63333333
388,1,0,12.515,0,8,50,40,500,204.5333333,0.348333333,0.663333333
389,1,0,12.515,0,12,50,40,500,177.8333333,0.331,3.57
390,1,0,12.515,0,4,50,60,500,193.0,0.257666667,24.03333333
391,1,0,12.515,0,8,50,60,500,155.2333333,0.232666667,9.956666667
392,1,0,12.515,0,12,50,60,500,133.8333333,0.272,18.63333333
393,1,0,12.515,0,4,50,80,500,204.0333333,0.267,6.13
394,1,0,12.515,0,8,50,80,500,118.1,0.251,9.33
395,1,0,12.515,0,12,50,80,500,1330.666667,0.467333333,-27.3
396,1,0,12.515,0,4,10,20,500,105.7,0.192333333,44.06666667
397,1,0,12.515,0,8,10,20,500,131.2333333,0.203666667,25.86666667
398,1,0,12.515,0,12,10,20,500,241.2,0.458333333,1.388333333
399,1,0,12.515,0,4,10,40,500,204.4333333,0.278666667,26.16666667
400,1,0,12.515,0,8,10,40,500,135.9,0.314333333,27.06666667
401,1,0,12.515,0,12,10,40,500,199.2666667,0.421,22.36666667
402,1,0,12.515,0,4,10,60,500,157.6333333,0.228333333,30.7
403,1,0,12.515,0,8,10,60,500,133.6333333,0.194,15.33333333
404,1,0,12.515,0,12,10,60,500,139.3666667,0.264333333,20.86666667
405,1,0,12.515,0,4,10,80,500,138.7666667,0.140333333,15.56666667
406,1,0,12.515,0,8,10,80,500,143.8333333,0.207,18.4
408,1,0,12.515,0,4,1,20,500,137.3,0.147333333,19.9
409,1,0,12.515,0,8,1,20,500,899.4,0.383333333,16.3
410,1,0,12.515,0,12,1,20,500,158.2333333,0.258666667,12.23333333
411,1,0,12.515,0,4,1,40,500,214.0333333,0.282,5.41
412,1,0,12.515,0,8,1,40,500,173.5,0.248333333,22.13333333
413,1,0,12.515,0,12,1,40,500,217.2,0.522333333,24.76666667
414,1,0,12.515,0,4,1,60,500,218.4,0.214,22.4
415,1,0,12.515,0,8,1,60,500,152.1333333,0.246333333,23.5
416,1,0,12.515,0,12,1,60,500,101.8666667,0.231333333,21.46666667
417,1,0,12.515,0,4,1,80,500,200.6,0.364,12.93333333
418,1,0,12.515,0,8,1,80,500,133.7333333,0.264333333,31.5
420,1,0,12.515,0,4,200,20,100,2056.666667,0.388333333,-27.6
421,1,0,12.515,0,8,200,20,100,576.1666667,0.390666667,-2.563333333
