,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,PDI,RLU_B16
165,166,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,10,256.1,0.264333333,0.0,3.0
166,167,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,10,278.3,0.217333333,0.0,3.0
167,168,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,10,265.9,0.18,0.0,3.0
170,171,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,10,464.0,0.574666667,0.0,3.0
171,172,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,10,163.5666667,0.133666667,0.0,3.0
172,173,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,10,459.9666667,0.154666667,0.0,3.0
174,175,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,10,194.8666667,0.121,0.0,3.0
177,178,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,10,201.0,0.139666667,0.0,3.0
178,179,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,10,456.4,0.434666667,0.0,3.0
179,180,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,10,398.5,0.280666667,0.0,3.0
181,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,533.7,-3.523333333,0.403333333,3.0
183,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,237.1333333,-4.23,0.211,3.0
184,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,185.1333333,-1.803333333,0.237333333,3.0
186,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,206.6,-5.31,0.246666667,3.0
187,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,173.1333333,0.721666667,0.215,3.0
188,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,183.6666667,-0.501666667,0.260333333,3.0
