,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HepG2
98,99,18PG,0,1,9.3028,3,10,36,1,777.1,12,10,20,100,2.015
99,100,18PG,0,1,9.3028,3,10,36,1,777.1,4,10,40,100,2.351
100,101,18PG,0,1,9.3028,3,10,36,1,777.1,8,10,40,100,2.251
101,102,18PG,0,1,9.3028,3,10,36,1,777.1,12,10,40,100,3.784
102,103,18PG,0,1,9.3028,3,10,36,1,777.1,4,10,60,100,2.442
103,104,18PG,0,1,9.3028,3,10,36,1,777.1,8,10,60,100,2.303
104,105,18PG,0,1,9.3028,3,10,36,1,777.1,12,10,60,100,3.135
105,106,18PG,0,1,9.3028,3,10,36,1,777.1,4,10,80,100,1.504
106,107,18PG,0,1,9.3028,3,10,36,1,777.1,8,10,80,100,2.833
107,108,18PG,0,1,9.3028,3,10,36,1,777.1,12,10,80,100,1.946
108,109,18PG,0,1,9.3028,3,10,36,1,777.1,4,1,20,100,1.705
109,110,18PG,0,1,9.3028,3,10,36,1,777.1,8,1,20,100,0.916
110,111,18PG,0,1,9.3028,3,10,36,1,777.1,12,1,20,100,1.386
111,112,18PG,0,1,9.3028,3,10,36,1,777.1,4,1,40,100,1.792
112,113,18PG,0,1,9.3028,3,10,36,1,777.1,8,1,40,100,1.386
113,114,18PG,0,1,9.3028,3,10,36,1,777.1,12,1,40,100,1.253
114,115,18PG,0,1,9.3028,3,10,36,1,777.1,4,1,60,100,5.075
115,116,18PG,0,1,9.3028,3,10,36,1,777.1,8,1,60,100,1.386
116,117,18PG,0,1,9.3028,3,10,36,1,777.1,12,1,60,100,1.504
117,118,18PG,0,1,9.3028,3,10,36,1,777.1,4,1,80,100,1.504
118,119,18PG,0,1,9.3028,3,10,36,1,777.1,8,1,80,100,1.504
119,120,18PG,0,1,9.3028,3,10,36,1,777.1,12,1,80,100,0.916
120,121,18PG,0,1,9.3028,3,10,36,1,777.1,4,200,20,10,1.386
121,122,18PG,0,1,9.3028,3,10,36,1,777.1,8,200,20,10,0.916
122,123,18PG,0,1,9.3028,3,10,36,1,777.1,12,200,20,10,0.916
123,124,18PG,0,1,9.3028,3,10,36,1,777.1,4,200,40,10,1.504
124,125,18PG,0,1,9.3028,3,10,36,1,777.1,8,200,40,10,2.674
125,126,18PG,0,1,9.3028,3,10,36,1,777.1,12,200,40,10,2.14
126,127,18PG,0,1,9.3028,3,10,36,1,777.1,4,200,60,10,1.099
127,128,18PG,0,1,9.3028,3,10,36,1,777.1,8,200,60,10,2.197
128,129,18PG,0,1,9.3028,3,10,36,1,777.1,12,200,60,10,2.015
129,130,18PG,0,1,9.3028,3,10,36,1,777.1,4,200,80,10,1.099
130,131,18PG,0,1,9.3028,3,10,36,1,777.1,8,200,80,10,1.386
131,132,18PG,0,1,9.3028,3,10,36,1,777.1,12,200,80,10,0.916
132,133,18PG,0,1,9.3028,3,10,36,1,777.1,4,100,20,10,1.504
133,134,18PG,0,1,9.3028,3,10,36,1,777.1,8,100,20,10,1.253
134,135,18PG,0,1,9.3028,3,10,36,1,777.1,12,100,20,10,1.099
135,136,18PG,0,1,9.3028,3,10,36,1,777.1,4,100,40,10,1.099
136,137,18PG,0,1,9.3028,3,10,36,1,777.1,8,100,40,10,1.386
137,138,18PG,0,1,9.3028,3,10,36,1,777.1,12,100,40,10,1.099
138,139,18PG,0,1,9.3028,3,10,36,1,777.1,4,100,60,10,1.253
139,140,18PG,0,1,9.3028,3,10,36,1,777.1,8,100,60,10,1.872
140,141,18PG,0,1,9.3028,3,10,36,1,777.1,12,100,60,10,2.639
141,142,18PG,0,1,9.3028,3,10,36,1,777.1,4,100,80,10,1.792
142,143,18PG,0,1,9.3028,3,10,36,1,777.1,8,100,80,10,1.872
143,144,18PG,0,1,9.3028,3,10,36,1,777.1,12,100,80,10,2.14
144,145,18PG,0,1,9.3028,3,10,36,1,777.1,4,50,20,10,1.253
145,146,18PG,0,1,9.3028,3,10,36,1,777.1,8,50,20,10,0.916
146,147,18PG,0,1,9.3028,3,10,36,1,777.1,12,50,20,10,1.386
147,148,18PG,0,1,9.3028,3,10,36,1,777.1,4,50,40,10,1.386
148,149,18PG,0,1,9.3028,3,10,36,1,777.1,8,50,40,10,1.386
149,150,18PG,0,1,9.3028,3,10,36,1,777.1,12,50,40,10,1.386
150,151,18PG,0,1,9.3028,3,10,36,1,777.1,4,50,60,10,1.099
151,152,18PG,0,1,9.3028,3,10,36,1,777.1,8,50,60,10,2.398
152,153,18PG,0,1,9.3028,3,10,36,1,777.1,12,50,60,10,2.303
153,154,18PG,0,1,9.3028,3,10,36,1,777.1,4,50,80,10,1.504
154,155,18PG,0,1,9.3028,3,10,36,1,777.1,8,50,80,10,2.015
155,156,18PG,0,1,9.3028,3,10,36,1,777.1,12,50,80,10,2.251
156,157,18PG,0,1,9.3028,3,10,36,1,777.1,4,10,20,10,1.705
157,158,18PG,0,1,9.3028,3,10,36,1,777.1,8,10,20,10,1.792
158,159,18PG,0,1,9.3028,3,10,36,1,777.1,12,10,20,10,1.386
159,160,18PG,0,1,9.3028,3,10,36,1,777.1,4,10,40,10,1.253
160,161,18PG,0,1,9.3028,3,10,36,1,777.1,8,10,40,10,0.916
161,162,18PG,0,1,9.3028,3,10,36,1,777.1,12,10,40,10,1.504
162,163,18PG,0,1,9.3028,3,10,36,1,777.1,4,10,60,10,1.386
163,164,18PG,0,1,9.3028,3,10,36,1,777.1,8,10,60,10,2.398
164,165,18PG,0,1,9.3028,3,10,36,1,777.1,12,10,60,10,1.792
165,166,18PG,0,1,9.3028,3,10,36,1,777.1,4,10,80,10,1.792
166,167,18PG,0,1,9.3028,3,10,36,1,777.1,8,10,80,10,1.946
167,168,18PG,0,1,9.3028,3,10,36,1,777.1,12,10,80,10,2.303
168,169,18PG,0,1,9.3028,3,10,36,1,777.1,4,1,20,10,1.253
169,170,18PG,0,1,9.3028,3,10,36,1,777.1,8,1,20,10,1.099
170,171,18PG,0,1,9.3028,3,10,36,1,777.1,12,1,20,10,1.386
171,172,18PG,0,1,9.3028,3,10,36,1,777.1,4,1,40,10,1.609
172,173,18PG,0,1,9.3028,3,10,36,1,777.1,8,1,40,10,1.386
173,174,18PG,0,1,9.3028,3,10,36,1,777.1,12,1,40,10,1.099
174,175,18PG,0,1,9.3028,3,10,36,1,777.1,4,1,60,10,1.253
175,176,18PG,0,1,9.3028,3,10,36,1,777.1,8,1,60,10,1.872
176,177,18PG,0,1,9.3028,3,10,36,1,777.1,12,1,60,10,1.099
177,178,18PG,0,1,9.3028,3,10,36,1,777.1,4,1,80,10,1.609
178,179,18PG,0,1,9.3028,3,10,36,1,777.1,8,1,80,10,1.253
179,180,18PG,0,1,9.3028,3,10,36,1,777.1,12,1,80,10,1.504
180,181,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,20,500,2.485
181,182,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,20,500,1.792
182,183,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,20,500,1.609
183,184,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,40,500,1.099
184,185,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,40,500,1.253
185,186,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,40,500,1.386
186,187,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,60,500,1.099
187,188,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,60,500,1.386
188,189,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,60,500,1.504
189,190,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,80,500,1.253
190,191,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,80,500,0.916
191,192,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,80,500,1.253
192,193,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,20,500,1.253
193,194,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,20,500,2.398
194,195,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,20,500,1.609
195,196,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,40,500,1.099
196,197,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,40,500,0.916
197,198,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,40,500,1.099
198,199,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,60,500,0.916
199,200,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,60,500,1.099
200,201,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,60,500,1.253
201,202,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,80,500,0.916
202,203,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,80,500,0.693
203,204,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,80,500,0.693
204,205,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,20,500,2.398
205,206,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,20,500,2.351
206,207,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,20,500,0.916
207,208,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,40,500,0.916
208,209,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,40,500,0.916
209,210,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,40,500,0.405
210,211,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,60,500,0.405
211,212,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,60,500,0.405
212,213,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,60,500,1.253
213,214,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,80,500,0.693
214,215,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,80,500,0.405
215,216,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,80,500,4.357
216,217,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,20,500,2.741
217,218,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,20,500,1.386
218,219,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,20,500,1.253
219,220,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,40,500,1.253
220,221,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,40,500,1.099
221,222,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,40,500,0.916
222,223,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,60,500,0.693
223,224,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,60,500,0.405
224,225,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,60,500,1.609
225,226,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,80,500,1.504
226,227,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,80,500,1.253
227,228,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,80,500,3.902
228,229,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,20,500,3.676
229,230,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,20,500,2.862
230,231,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,20,500,2.197
231,232,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,40,500,1.253
232,233,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,40,500,3.584
233,234,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,40,500,3.401
234,235,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,60,500,4.174
235,236,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,60,500,4.159
236,237,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,60,500,5.807
237,238,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,80,500,6.222
238,239,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,80,500,6.708
239,240,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,80,500,6.424
240,241,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,20,100,1.253
241,242,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,20,100,1.253
242,243,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,20,100,0.916
243,244,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,40,100,1.099
244,245,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,40,100,0.693
245,246,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,40,100,1.504
246,247,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,60,100,0.693
247,248,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,60,100,0.405
248,249,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,60,100,1.792
249,250,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,80,100,0.693
250,251,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,80,100,0.405
251,252,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,80,100,5.226
252,253,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,20,100,1.253
253,254,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,20,100,1.099
254,255,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,20,100,1.253
255,256,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,40,100,0.693
256,257,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,40,100,1.386
257,258,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,40,100,1.099
258,259,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,60,100,0.916
259,260,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,60,100,1.099
260,261,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,60,100,1.504
261,262,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,80,100,0.405
262,263,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,80,100,0.405
263,264,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,80,100,3.989
264,265,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,20,100,1.099
265,266,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,20,100,0.916
266,267,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,20,100,1.386
267,268,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,40,100,2.015
268,269,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,40,100,1.609
269,270,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,40,100,4.304
270,271,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,60,100,2.398
271,272,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,60,100,1.099
272,273,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,60,100,1.872
273,274,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,80,100,1.872
274,275,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,80,100,1.946
275,276,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,80,100,4.483
276,277,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,20,100,2.197
277,278,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,20,100,2.079
278,279,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,20,100,2.251
279,280,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,40,100,1.946
280,281,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,40,100,1.872
281,282,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,40,100,3.02
282,283,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,60,100,1.792
