,RLU_HepG2
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.09318401769666801
125,0.019355730678833116
126,0.0
127,0.027236278169500916
128,0.0020738282870178537
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.08834508502695976
141,0.0
142,0.0
143,0.019355730678833116
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.05502557721553991
152,0.041891331397760245
153,0.0
154,0.0020738282870178537
155,0.0347020600027651
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.05502557721553991
164,0.0
165,0.0
166,0.0
167,0.041891331397760245
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.06705378128024331
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.05502557721553991
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.05502557721553991
205,0.04852758191621731
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.3258675515000692
216,0.10244711737868106
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.2629614267938615
228,0.23171574726945943
229,0.11917599889395825
230,0.027236278169500916
231,0.0
232,0.21899626710908338
233,0.19369556200746574
234,0.30056684639845155
235,0.2984930181114337
236,0.5263376192451266
237,0.5837135351859533
238,0.6509055716853311
239,0.6116410894511268
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.446011336927969
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.27498963085856487
264,0.0
265,0.0
266,0.0
267,0.0020738282870178537
268,0.0
269,0.31854002488593947
270,0.05502557721553991
271,0.0
272,0.0
273,0.0
274,0.0
275,0.3432877091110189
276,0.027236278169500916
277,0.010922162311627293
278,0.0347020600027651
279,0.0
280,0.0
281,0.14102032351721278
282,0.0
283,0.0
284,0.3266970828148763
285,0.12304714502972486
286,0.21097746439928106
287,0.5314530623531039
288,0.5275819162173372
289,0.17917876399834093
290,0.31950781141988105
291,0.5570302778929904
292,0.6044518180561316
293,0.6163417669017005
294,0.5538504078528964
295,0.6272639292133277
296,0.7792064150421678
297,0.8074104797456103
298,0.8618830360846121
299,0.8600857182358634
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.22079358495783213
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.010922162311627293
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.1110189409650214
336,0.0
