,RLU_HEK293
433,0.3662505116659845
434,0.12556283258288992
435,0.09926320098239871
436,0.41772410970118706
437,0.459476054031928
438,0.5050143266475644
439,0.5460499386000819
440,0.1103151862464184
441,0.4857756856324192
442,0.595169873106836
443,0.4024764633647155
444,0.45722472370036843
445,0.47124437167417116
446,0.28724928366762187
447,0.5576135898485468
448,0.471039705280393
449,0.4269340974212034
450,0.6751944330740893
451,0.6593327875562833
452,0.07173557101923866
453,0.06528857961522716
454,0.7537863282848956
455,0.0
456,0.29768726975030696
457,0.1408104789193615
458,0.3777118297175604
459,0.3102742529676627
460,0.0
461,0.254297994269341
462,0.33125255832992223
463,0.0
464,0.31682357756856333
465,0.39787146950470736
466,0.4585550552599263
467,0.4803520261972984
468,0.4452517396643471
469,0.4477077363896848
470,0.5147359803520262
471,0.5698935734752355
472,0.5532132623823169
473,0.6206508391322145
474,0.6845067539909948
475,0.25982398690135083
476,0.3737208350388867
477,0.6629144494474009
478,0.4308227589029881
479,0.37044617273843644
480,0.5080843225542366
481,0.3875358166189112
482,0.5540319279574295
483,0.5990585345886206
484,0.6248465002046664
485,0.6894187474416702
486,0.4383954154727793
487,0.43112975849365537
488,0.534486287351617
489,0.3515145313139582
490,0.43900941465411386
491,0.44248874334834226
492,0.5771592304543596
493,0.5588415882112159
494,0.6153295128939829
495,0.7172533769954974
496,0.3658411788784282
497,0.5200573065902581
498,0.5918952108063857
499,0.4322554236594352
500,0.4119934506753991
501,0.423454768726975
502,0.6444944740073679
503,0.6949447400736799
504,0.677752762996316
505,0.787658616455178
506,0.6939214081047893
507,0.43890708145722473
508,0.7157183790421613
509,0.6294514940646745
510,0.2680106426524765
511,0.4475030699959068
512,0.10489152681129765
513,0.35509619320507574
514,0.36717151043798607
515,0.04103561195251737
516,0.427752762996316
517,0.5304952926729432
518,0.4651043798608269
519,0.3945968072042571
520,0.43952108063855916
521,0.5553622595169874
522,0.5755218993041344
523,0.0778755628325829
524,0.28121162505116665
525,0.5261972984036021
526,0.26923864101514533
527,0.35857552189930414
528,0.4615227179697094
529,0.4689930413426116
530,0.392959476054032
531,0.4418747441670077
532,0.5572042570609907
533,0.5734752353663528
534,0.1128735161686451
535,0.35622185837085557
536,0.573577568563242
537,0.2790626279164962
538,0.3514121981170692
539,0.2855096193205076
540,0.4562013917314777
541,0.48055669259107653
542,0.39244781006958657
543,0.4139377814162915
544,0.5871878837494884
545,0.648792468276709
546,0.20538272615636516
547,0.4198731068358576
548,0.6173761768317643
549,0.10765452312730245
550,0.3459885386819485
551,0.5561809250920999
552,0.510130986492018
553,0.45343839541547276
554,0.5111543184609089
555,0.6940237413016783
556,0.658821121571838
557,0.3827261563651249
558,0.47564469914040114
559,0.6108268522308637
560,0.0
561,0.0
562,0.0
563,0.17120343839541552
564,0.3418952108063857
565,0.0
566,0.18246009005321334
567,0.34772820302906265
568,0.1128735161686451
569,0.28919361440851415
570,0.5458452722063036
571,0.3733115022513303
572,0.36113385182153096
573,0.5719402374130169
574,0.4286737617683177
575,0.49314367580843227
576,0.4963160049119934
577,0.43706508391322146
578,0.6438804748260336
579,0.5242529676627097
580,0.17396643471142043
581,0.08022922636103152
582,0.1334424887433484
583,0.3509005321326239
584,0.5356119525173966
585,0.3043389275480966
586,0.4656160458452722
587,0.2592099877200164
588,0.39275480966025383
589,0.440646745804339
590,0.5644699140401146
591,0.0
592,0.14643880474826038
593,0.2001637331150226
594,0.3707531723291036
595,0.458043389275481
596,0.4715513712648383
597,0.4308227589029881
598,0.2706713057715923
599,0.44852640196479737
600,0.4690953745395006
601,0.4440237413016784
602,0.4983626688497749
603,0.02241097011870652
604,0.2845886205485059
605,0.12853049529267296
606,0.5460499386000819
607,0.4745190339746213
608,0.5064469914040115
609,0.5728612361850185
610,0.3777118297175604
611,0.3514121981170692
612,0.3955178059762588
613,0.49703233729021695
614,0.5414449447400738
615,0.15288579615227177
616,0.43389275480966033
617,0.26688497748669665
618,0.6479738027015964
619,0.5484036021285306
620,0.42355710192386414
621,0.35601719197707743
622,0.4016577977896029
623,0.39142447810069586
624,0.4209987720016373
625,0.19535407286123624
626,0.1837904216127712
627,0.19033974621367178
