,Model,Cell_Type,Valid Score,Test Score,Spearmans Rank,Pearsons Correlation,Model Parms,Score_difference
10,XGB,HepG2,0.06429474419503156,0.06784607769795482,"SignificanceResult(statistic=0.805129094943854, pvalue=1.899282823745382e-50)","PearsonRResult(statistic=0.8898445362715179, pvalue=7.221406045315042e-75)","{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.001, 'n_estimators': 300, 'min_child_weight': 5.0, 'max_depth': 4, 'max_delta_step': 8, 'learning_rate': 0.05, 'gamma': 0, 'booster': 'dart'}",0.0035513335029232623
11,XGB,HEK293,0.07830915592215876,0.07833286280388968,"SignificanceResult(statistic=0.8423047806342866, pvalue=2.3452965736051984e-59)","PearsonRResult(statistic=0.8373206959889469, pvalue=4.929798417357001e-58)","{'subsample': 0.7, 'reg_lambda': 0.001, 'reg_alpha': 0.1, 'n_estimators': 400, 'min_child_weight': 2.0, 'max_depth': 9, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 0, 'booster': 'dart'}",2.3706881730922724e-05
12,LGBM,PC3,0.06179076557274481,0.059739382899894625,"SignificanceResult(statistic=0.7669860514990771, pvalue=4.1100919358649405e-43)","PearsonRResult(statistic=0.8995692590375033, pvalue=6.2740942800239e-79)","{'subsample': 1.0, 'reg_lambda': 0.015, 'reg_alpha': 0.015, 'num_leaves': 64, 'n_estimators': 600, 'min_child_weight': 1.0, 'min_child_samples': 10, 'learning_rate': 0.1, 'boosting_type': 'dart'}",0.0020513826728501827
13,LGBM,B16,0.04817616618287699,0.048514560339613426,"SignificanceResult(statistic=0.9064947196828551, pvalue=4.396448277542956e-82)","PearsonRResult(statistic=0.9269461801851144, pvalue=4.567531119500928e-93)","{'subsample': 0.4, 'reg_lambda': 0.015, 'reg_alpha': 0.015, 'num_leaves': 64, 'n_estimators': 600, 'min_child_weight': 1.0, 'min_child_samples': 10, 'learning_rate': 0.1, 'boosting_type': 'gbdt'}",0.00033839415673643514
14,LGBM,ARPE19,0.08908660213396963,0.08691625888050065,"SignificanceResult(statistic=0.8717772372228985, pvalue=7.572654480888075e-46)","PearsonRResult(statistic=0.8757483696653164, pvalue=9.388235427076347e-47)","{'subsample': 0.6, 'reg_lambda': 0.015, 'reg_alpha': 0, 'num_leaves': 128, 'n_estimators': 500, 'min_child_weight': 10.0, 'min_child_samples': 10, 'learning_rate': 0.1, 'boosting_type': 'dart'}",0.002170343253468973
15,LGBM,N2a,0.056223146986013994,0.05939122236627522,"SignificanceResult(statistic=0.8782437104576728, pvalue=2.4367121671154133e-47)","PearsonRResult(statistic=0.9065378543596565, pvalue=4.78142754588358e-55)","{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.005, 'num_leaves': 256, 'n_estimators': 300, 'min_child_weight': 1.0, 'min_child_samples': 2, 'learning_rate': 0.1, 'boosting_type': 'dart'}",0.0031680753802612246
16,LGBM,HepG2,0.06329599708724794,0.06853969630183918,"SignificanceResult(statistic=0.7905040916783226, pvalue=1.8675202312338775e-47)","PearsonRResult(statistic=0.8884114243461801, pvalue=2.659048838393459e-74)","{'subsample': 0.6, 'reg_lambda': 0.015, 'reg_alpha': 0, 'num_leaves': 16, 'n_estimators': 400, 'min_child_weight': 0.01, 'min_child_samples': 20, 'learning_rate': 0.1, 'boosting_type': 'gbdt'}",0.005243699214591238
17,LGBM,HEK293,0.07791519615449219,0.07813908337094962,"SignificanceResult(statistic=0.8550460725715248, pvalue=5.875724466881593e-63)","PearsonRResult(statistic=0.8460964897053993, pvalue=2.1519104558484313e-60)","{'subsample': 0.6, 'reg_lambda': 0, 'reg_alpha': 0.015, 'num_leaves': 256, 'n_estimators': 300, 'min_child_weight': 1.0, 'min_child_samples': 10, 'learning_rate': 0.1, 'boosting_type': 'gbdt'}",0.00022388721645742737
18,kNN,PC3,0.07801496941953666,0.07702299962390012,"SignificanceResult(statistic=0.6694213030217382, pvalue=1.9277526746681267e-29)","PearsonRResult(statistic=0.8604944248733315, pvalue=1.3252842228508138e-64)","{'weights': 'distance', 'p': 1, 'n_neighbors': 8, 'metric': 'minkowski', 'leaf_size': 100, 'algorithm': 'brute'}",0.000991969795636538
19,kNN,B16,0.06653664668456061,0.06576889097804296,"SignificanceResult(statistic=0.8409163994382102, pvalue=5.53615720210193e-59)","PearsonRResult(statistic=0.858777794476417, pvalue=4.452378307551927e-64)","{'weights': 'distance', 'p': 1, 'n_neighbors': 4, 'metric': 'minkowski', 'leaf_size': 100, 'algorithm': 'kd_tree'}",0.0007677557065176449
20,kNN,ARPE19,0.10548207388724301,0.10555193708135721,"SignificanceResult(statistic=0.8109043855300839, pvalue=7.404064249961544e-35)","PearsonRResult(statistic=0.7827791694753414, pvalue=4.758133024432782e-31)","{'weights': 'distance', 'p': 1, 'n_neighbors': 6, 'metric': 'minkowski', 'leaf_size': 75, 'algorithm': 'kd_tree'}",6.986319411420028e-05
21,kNN,N2a,0.07631353128421033,0.08373987652095265,"SignificanceResult(statistic=0.8141241164042508, pvalue=2.471794989446089e-35)","PearsonRResult(statistic=0.8022129586199896, pvalue=1.2923094822815982e-33)","{'weights': 'distance', 'p': 1, 'n_neighbors': 6, 'metric': 'minkowski', 'leaf_size': 50, 'algorithm': 'brute'}",0.007426345236742321
22,kNN,HepG2,0.07914717312637409,0.08062956934488527,"SignificanceResult(statistic=0.6832490866781785, pvalue=4.721389868526299e-31)","PearsonRResult(statistic=0.8312576842812737, pvalue=1.7488650532712996e-56)","{'weights': 'distance', 'p': 1, 'n_neighbors': 8, 'metric': 'minkowski', 'leaf_size': 75, 'algorithm': 'ball_tree'}",0.0014823962185111783
23,kNN,HEK293,0.10435265951034371,0.1044498882862359,"SignificanceResult(statistic=0.7151657394998084, pvalue=3.9087628280498133e-35)","PearsonRResult(statistic=0.7060875273723176, pvalue=6.439253604143407e-34)","{'weights': 'distance', 'p': 1, 'n_neighbors': 8, 'metric': 'minkowski', 'leaf_size': 30, 'algorithm': 'brute'}",9.722877589218859e-05
24,PLS,PC3,0.11096308042029021,0.11477876136373509,"SignificanceResult(statistic=0.5240914109450614, pvalue=1.22704024021789e-16)","PearsonRResult(statistic=array([0.6654008889768028], dtype=object), pvalue=5.461474687979221e-29)","{'n_components': 6, 'max_iter': 250}",0.0038156809434448796
25,PLS,B16,0.10255286257167019,0.09987230938188173,"SignificanceResult(statistic=0.6650569885389819, pvalue=5.965815584657065e-29)","PearsonRResult(statistic=array([0.675853054119647], dtype=object), pvalue=3.5208387088534575e-30)","{'n_components': 6, 'max_iter': 250}",0.002680553189788465
26,PLS,ARPE19,0.18037738559872654,0.178321844416075,"SignificanceResult(statistic=0.3523307817250376, pvalue=1.4855156399513008e-05)","PearsonRResult(statistic=array([0.3835123836005836], dtype=object), pvalue=2.087640325176339e-06)","{'n_components': 6, 'max_iter': 250}",0.0020555411826515546
27,PLS,N2a,0.1316220003941111,0.12785555975825524,"SignificanceResult(statistic=0.588055025859636, pvalue=9.228245647879598e-15)","PearsonRResult(statistic=array([0.5125784244928842], dtype=object), pvalue=5.1096151010112966e-11)","{'n_components': 2, 'max_iter': 250}",0.00376644063585585
28,PLS,HepG2,0.12004075327415127,0.1259874497666027,"SignificanceResult(statistic=0.38151894388982854, pvalue=6.818976768771516e-09)","PearsonRResult(statistic=array([0.4868080117148995], dtype=object), pvalue=2.977397227394919e-14)","{'n_components': 4, 'max_iter': 250}",0.005946696492451428
29,PLS,HEK293,0.14421078448089458,0.14384629539680216,"SignificanceResult(statistic=0.446550131476617, pvalue=5.5422330958227404e-12)","PearsonRResult(statistic=array([0.4168446266909451], dtype=object), pvalue=1.7280628833113565e-10)","{'n_components': 6, 'max_iter': 250}",0.0003644890840924231
30,lasso,PC3,0.11301294667837046,0.11480878823307031,"SignificanceResult(statistic=0.5891032020920776, pvalue=1.4289258283874876e-21)","PearsonRResult(statistic=0.6471076292534568, pvalue=5.12242958828336e-27)","{'positive': False, 'alpha': 0.01}",0.001795841554699848
31,lasso,B16,0.10376604584499824,0.10096899035100099,"SignificanceResult(statistic=0.6648884067388672, pvalue=6.229532627446939e-29)","PearsonRResult(statistic=0.6732815639994708, pvalue=6.983969086128319e-30)","{'positive': False, 'alpha': 0.01}",0.0027970554939972525
32,lasso,ARPE19,0.1794752616520098,0.18272452512461176,"SignificanceResult(statistic=0.49529750248275467, pvalue=2.7701819532550717e-10)","PearsonRResult(statistic=0.47823041750468204, pvalue=1.3441111569203003e-09)","{'positive': False, 'alpha': 0.01}",0.00324926347260196
33,lasso,N2a,0.12969699566375933,0.12573119558724233,"SignificanceResult(statistic=0.5784972167063192, pvalue=3.112205070750373e-14)","PearsonRResult(statistic=0.5109491779223136, pvalue=6.016845541862603e-11)","{'positive': False, 'alpha': 0.01}",0.0039658000765170065
34,lasso,HepG2,0.1190046200612361,0.1259911809972498,"SignificanceResult(statistic=0.37337890604039176, pvalue=1.4981167548427083e-08)","PearsonRResult(statistic=0.4899241493064147, pvalue=1.9294405571371257e-14)","{'positive': False, 'alpha': 0.01}",0.006986560936013686
35,lasso,HEK293,0.14879006899723296,0.1497202985027915,"SignificanceResult(statistic=0.321815958938319, pvalue=1.3556894238064813e-06)","PearsonRResult(statistic=0.2952194907320765, pvalue=1.0223579058534138e-05)","{'positive': True, 'alpha': 0.01}",0.0009302295055585441
36,MLR,PC3,0.11274249150474133,0.11506763934818227,"SignificanceResult(statistic=0.591585185588079, pvalue=8.79442552971806e-22)","PearsonRResult(statistic=0.6452350375308563, pvalue=8.012734695446131e-27)","{'positive': False, 'fit_intercept': False}",0.0023251478434409417
37,MLR,B16,0.10178227210611027,0.09841867511563601,"SignificanceResult(statistic=0.6697038244512863, pvalue=1.790623138567163e-29)","PearsonRResult(statistic=0.6739080658119837, pvalue=5.914369690181272e-30)","{'positive': False, 'fit_intercept': False}",0.0033635969904742546
38,MLR,ARPE19,0.17992304983160307,0.17832184196950568,"SignificanceResult(statistic=0.3523307817250376, pvalue=1.4855156399513008e-05)","PearsonRResult(statistic=0.38351237955434414, pvalue=2.0876408847919527e-06)","{'positive': False, 'fit_intercept': True}",0.0016012078620973869
39,MLR,N2a,0.13175380286593388,0.12968377208984616,"SignificanceResult(statistic=0.5609702921052835, pvalue=2.6172092936898346e-13)","PearsonRResult(statistic=0.49647650992302905, pvalue=2.4758012460665584e-10)","{'positive': False, 'fit_intercept': True}",0.0020700307760877223
40,MLR,HepG2,0.11999952251283744,0.12549936002037895,"SignificanceResult(statistic=0.3777533175731313, pvalue=9.840528399067242e-09)","PearsonRResult(statistic=0.48735751830473806, pvalue=2.7589995354727787e-14)","{'positive': False, 'fit_intercept': True}",0.005499837507541516
41,MLR,HEK293,0.14363655166908487,0.14416160409465958,"SignificanceResult(statistic=0.3828238844740897, pvalue=5.998497973058892e-09)","PearsonRResult(statistic=0.3673632126013821, pvalue=2.6434820513747287e-08)","{'positive': False, 'fit_intercept': True}",0.0005250524255747124
42,RF,PC3,0.061351831370593635,0.06522271624562358,"SignificanceResult(statistic=0.7345139134451342, pvalue=6.807981428814605e-38)","PearsonRResult(statistic=0.8987103758663274, pvalue=1.4882048499307534e-78)","{'oob_score': True, 'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 6, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0, 'bootstrap': True}",0.0038708848750299424
43,RF,B16,0.051061231979402065,0.04976785634431681,"SignificanceResult(statistic=0.9091443728521501, pvalue=2.3472885264869384e-83)","PearsonRResult(statistic=0.9242618679350727, pvalue=1.8750642114885762e-91)","{'oob_score': True, 'n_estimators': 100, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'absolute_error', 'ccp_alpha': 0, 'bootstrap': True}",0.0012933756350852546
44,RF,ARPE19,0.09271362183985599,0.09223793923217238,"SignificanceResult(statistic=0.8583233697763821, pvalue=5.496599042170828e-43)","PearsonRResult(statistic=0.862979081901474, pvalue=6.090286518632981e-44)","{'oob_score': True, 'n_estimators': 400, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0, 'bootstrap': True}",0.00047568260768360293
45,RF,N2a,0.0536681319836383,0.05843234778518905,"SignificanceResult(statistic=0.8801091593157357, pvalue=8.718172293684429e-48)","PearsonRResult(statistic=0.8814474902381937, pvalue=4.12644336383717e-48)","{'oob_score': True, 'n_estimators': 400, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0, 'bootstrap': True}",0.004764215801550752
46,RF,HepG2,0.06289254549042891,0.06576255772178313,"SignificanceResult(statistic=0.8021343094056715, pvalue=8.160936452359631e-50)","PearsonRResult(statistic=0.8863680583285181, pvalue=1.6543944268774053e-73)","{'oob_score': True, 'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': None, 'criterion': 'absolute_error', 'ccp_alpha': 0, 'bootstrap': True}",0.0028700122313542187
47,RF,HEK293,0.0819879582505394,0.08012735802040412,"SignificanceResult(statistic=0.8633368431428351, pvalue=1.7188698502689013e-65)","PearsonRResult(statistic=0.8511027940578855, pvalue=8.306348093142761e-62)","{'oob_score': True, 'n_estimators': 400, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0, 'bootstrap': True}",0.0018606002301352759
