,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Zeta
392,1,0,2,12,50,60,500,18.63333333
393,1,0,2,4,50,80,500,6.13
394,1,0,2,8,50,80,500,9.33
395,1,0,2,12,50,80,500,-27.3
396,1,0,2,4,10,20,500,44.06666667
397,1,0,2,8,10,20,500,25.86666667
398,1,0,2,12,10,20,500,1.388333333
399,1,0,2,4,10,40,500,26.16666667
400,1,0,2,8,10,40,500,27.06666667
401,1,0,2,12,10,40,500,22.36666667
402,1,0,2,4,10,60,500,30.7
403,1,0,2,8,10,60,500,15.33333333
404,1,0,2,12,10,60,500,20.86666667
405,1,0,2,4,10,80,500,15.56666667
406,1,0,2,8,10,80,500,18.4
407,1,0,2,12,10,80,500,-31.76666667
408,1,0,2,4,1,20,500,19.9
409,1,0,2,8,1,20,500,16.3
410,1,0,2,12,1,20,500,12.23333333
411,1,0,2,4,1,40,500,5.41
412,1,0,2,8,1,40,500,22.13333333
413,1,0,2,12,1,40,500,24.76666667
414,1,0,2,4,1,60,500,22.4
415,1,0,2,8,1,60,500,23.5
416,1,0,2,12,1,60,500,21.46666667
417,1,0,2,4,1,80,500,12.93333333
418,1,0,2,8,1,80,500,31.5
419,1,0,2,12,1,80,500,-16.6
420,1,0,2,4,200,20,100,-27.6
421,1,0,2,8,200,20,100,-2.563333333
422,1,0,2,12,200,20,100,1.926666667
423,1,0,2,4,200,40,100,-3.873333333
424,1,0,2,8,200,40,100,-3.35
425,1,0,2,12,200,40,100,-2.93
426,1,0,2,4,200,60,100,-3.706666667
427,1,0,2,8,200,60,100,-1.271
428,1,0,2,12,200,60,100,4.56
429,1,0,2,4,200,80,100,1.253333333
430,1,0,2,8,200,80,100,4.306666667
431,1,0,2,12,200,80,100,3.433333333
432,1,0,2,4,100,20,100,-30.33333333
433,1,0,2,8,100,20,100,3.27
434,1,0,2,12,100,20,100,-0.77
435,1,0,2,4,100,40,100,-3.76
436,1,0,2,8,100,40,100,-3.076666667
437,1,0,2,12,100,40,100,-2.876666667
438,1,0,2,4,100,60,100,-2.633333333
439,1,0,2,8,100,60,100,-2.463333333
440,1,0,2,12,100,60,100,2.173333333
441,1,0,2,4,100,80,100,-1.211333333
442,1,0,2,8,100,80,100,2.933333333
443,1,0,2,12,100,80,100,3.573333333
444,1,0,2,4,50,20,100,-28.56666667
445,1,0,2,8,50,20,100,1.826666667
446,1,0,2,12,50,20,100,1.6
447,1,0,2,4,50,40,100,-3.646666667
448,1,0,2,8,50,40,100,-2.73
449,1,0,2,12,50,40,100,-2.316666667
450,1,0,2,4,50,60,100,-5.89
451,1,0,2,8,50,60,100,-0.982333333
452,1,0,2,12,50,60,100,3.386666667
453,1,0,2,4,50,80,100,2.24
454,1,0,2,8,50,80,100,1.28
455,1,0,2,12,50,80,100,2.923333333
456,1,0,2,4,10,20,100,-30.76666667
457,1,0,2,8,10,20,100,3.026666667
458,1,0,2,12,10,20,100,1.253333333
459,1,0,2,4,10,40,100,-2.246666667
460,1,0,2,8,10,40,100,-2.403333333
461,1,0,2,12,10,40,100,-2.746666667
462,1,0,2,4,10,60,100,-1.385333333
463,1,0,2,8,10,60,100,-0.514
464,1,0,2,12,10,60,100,2.373333333
465,1,0,2,4,10,80,100,-0.684
466,1,0,2,8,10,80,100,2.273333333
467,1,0,2,12,10,80,100,4.91
468,1,0,2,4,1,20,100,-28.23333333
469,1,0,2,8,1,20,100,4.226666667
470,1,0,2,12,1,20,100,6.786666667
471,1,0,2,4,1,40,100,-3.153333333
472,1,0,2,8,1,40,100,-1.426666667
473,1,0,2,12,1,40,100,-1.543333333
474,1,0,2,4,1,60,100,-2.55
475,1,0,2,8,1,60,100,0.63
476,1,0,2,12,1,60,100,6.336666667
477,1,0,2,4,1,80,100,6.34
478,1,0,2,8,1,80,100,12.86666667
479,1,0,2,12,1,80,100,6.843333333
480,1,0,2,4,200,20,10,-2.183333333
481,1,0,2,8,200,20,10,-2.966666667
482,1,0,2,12,200,20,10,-2.463333333
483,1,0,2,4,200,40,10,-1.186666667
484,1,0,2,8,200,40,10,-3.813333333
485,1,0,2,12,200,40,10,-5.33
486,1,0,2,4,200,60,10,-20.13333333
487,1,0,2,8,200,60,10,-9.57
488,1,0,2,12,200,60,10,-1.092
489,1,0,2,4,200,80,10,-1.492333333
490,1,0,2,8,200,80,10,-1.123
491,1,0,2,12,200,80,10,-0.810666667
492,1,0,2,4,100,20,10,-1.883333333
493,1,0,2,8,100,20,10,-1.316666667
494,1,0,2,12,100,20,10,-2.92
495,1,0,2,4,100,40,10,-1.833333333
496,1,0,2,8,100,40,10,-6.416666667
497,1,0,2,12,100,40,10,-4.216666667
498,1,0,2,4,100,60,10,-20.63333333
499,1,0,2,8,100,60,10,-9.726666667
500,1,0,2,12,100,60,10,-1.077
501,1,0,2,4,100,80,10,-2.533333333
502,1,0,2,8,100,80,10,-0.168
503,1,0,2,12,100,80,10,-0.043
504,1,0,2,4,50,20,10,-1.640333333
505,1,0,2,8,50,20,10,-1.149
506,1,0,2,12,50,20,10,-2.276666667
507,1,0,2,4,50,40,10,-0.863666667
508,1,0,2,8,50,40,10,-7.106666667
509,1,0,2,12,50,40,10,-2.183333333
510,1,0,2,4,50,60,10,-22.2
511,1,0,2,8,50,60,10,-14.66666667
512,1,0,2,12,50,60,10,-1.203333333
513,1,0,2,4,50,80,10,-2.56
