,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,Zeta,RLU_PC3
203,204,DOPE,1,1,9.784,2,9,36,2,12,100,80,500,162.5333333,0.193666667,-0.325333333,3.0
206,207,DOPE,1,1,9.784,2,9,36,2,12,50,20,500,475.3333333,0.162,-3.116666667,3.0
207,208,DOPE,1,1,9.784,2,9,36,2,4,50,40,500,191.8,0.206,-0.756333333,3.0
208,209,DOPE,1,1,9.784,2,9,36,2,8,50,40,500,170.0,0.294,0.3774,3.0
210,211,DOPE,1,1,9.784,2,9,36,2,4,50,60,500,189.0333333,0.220333333,-2.12,3.0
211,212,DOPE,1,1,9.784,2,9,36,2,8,50,60,500,155.4333333,0.233333333,1.195666667,3.0
212,213,DOPE,1,1,9.784,2,9,36,2,12,50,60,500,256.8,0.427666667,0.16,3.0
213,214,DOPE,1,1,9.784,2,9,36,2,4,50,80,500,202.3,0.256333333,-29.4,3.0
214,215,DOPE,1,1,9.784,2,9,36,2,8,50,80,500,135.8666667,0.173666667,-10.41,3.0
215,216,DOPE,1,1,9.784,2,9,36,2,12,50,80,500,163.5333333,0.229333333,-0.4925,3.0
216,217,DOPE,1,1,9.784,2,9,36,2,4,10,20,500,431.8,0.420666667,-9.42,3.0
217,218,DOPE,1,1,9.784,2,9,36,2,8,10,20,500,465.9333333,0.358,-1.686666667,3.0
219,220,DOPE,1,1,9.784,2,9,36,2,4,10,40,500,197.5666667,0.262666667,-2.53,3.0
220,221,DOPE,1,1,9.784,2,9,36,2,8,10,40,500,199.4,0.327666667,2.476666667,3.0
221,222,DOPE,1,1,9.784,2,9,36,2,12,10,40,500,208.5,0.330666667,1.541666667,3.0
222,223,DOPE,1,1,9.784,2,9,36,2,4,10,60,500,193.9,0.197333333,-1.64,3.0
223,224,DOPE,1,1,9.784,2,9,36,2,8,10,60,500,159.3,0.201,2.77,3.0
224,225,DOPE,1,1,9.784,2,9,36,2,12,10,60,500,190.9666667,0.275,2.354,3.0
225,226,DOPE,1,1,9.784,2,9,36,2,4,10,80,500,166.8666667,0.266,-26.83333333,3.0
226,227,DOPE,1,1,9.784,2,9,36,2,8,10,80,500,146.8666667,0.208666667,5.42,3.0
227,228,DOPE,1,1,9.784,2,9,36,2,12,10,80,500,167.8,0.237,7.203333333,3.0
228,229,DOPE,1,1,9.784,2,9,36,2,4,1,20,500,287.7333333,0.327,2.916666667,3.0
230,231,DOPE,1,1,9.784,2,9,36,2,12,1,20,500,473.2,0.17,5.006666667,3.0
231,232,DOPE,1,1,9.784,2,9,36,2,4,1,40,500,261.7,0.330333333,4.206666667,3.0
232,233,DOPE,1,1,9.784,2,9,36,2,8,1,40,500,205.1,0.196,4.25,3.367
233,234,DOPE,1,1,9.784,2,9,36,2,12,1,40,500,177.9333333,0.268,2.72,3.0
234,235,DOPE,1,1,9.784,2,9,36,2,4,1,60,500,224.5,0.256333333,4.343333333,3.0
235,236,DOPE,1,1,9.784,2,9,36,2,8,1,60,500,195.0333333,0.254,5.876666667,3.0
236,237,DOPE,1,1,9.784,2,9,36,2,12,1,60,500,179.0333333,0.261666667,6.29,3.0
237,238,DOPE,1,1,9.784,2,9,36,2,4,1,80,500,237.6333333,0.301,6.303333333,3.0
238,239,DOPE,1,1,9.784,2,9,36,2,8,1,80,500,164.9666667,0.183666667,11.93333333,3.0
239,240,DOPE,1,1,9.784,2,9,36,2,12,1,80,500,171.5333333,0.187333333,8.72,3.0
240,241,DOPE,1,1,9.784,2,9,36,2,4,200,20,100,177.0333333,0.31,-4.186666667,3.0
242,243,DOPE,1,1,9.784,2,9,36,2,12,200,20,100,169.1333333,0.368333333,-2.373333333,3.0
243,244,DOPE,1,1,9.784,2,9,36,2,4,200,40,100,193.5,0.275333333,-1.616666667,3.0
244,245,DOPE,1,1,9.784,2,9,36,2,8,200,40,100,139.0,0.236666667,-1.976666667,3.0
245,246,DOPE,1,1,9.784,2,9,36,2,12,200,40,100,159.2333333,0.303666667,-2.136666667,3.0
246,247,DOPE,1,1,9.784,2,9,36,2,4,200,60,100,171.7,0.236333333,-0.094333333,3.0
247,248,DOPE,1,1,9.784,2,9,36,2,8,200,60,100,150.1333333,0.232,-1.95,3.0
248,249,DOPE,1,1,9.784,2,9,36,2,12,200,60,100,177.5333333,0.260666667,-2.43,3.0
249,250,DOPE,1,1,9.784,2,9,36,2,4,200,80,100,219.6333333,0.307666667,-15.26666667,3.0
250,251,DOPE,1,1,9.784,2,9,36,2,8,200,80,100,141.4666667,0.245666667,-3.21,3.0
251,252,DOPE,1,1,9.784,2,9,36,2,12,200,80,100,160.0333333,0.184333333,-4.51,3.0
252,253,DOPE,1,1,9.784,2,9,36,2,4,100,20,100,176.9333333,0.24,-4.66,3.0
253,254,DOPE,1,1,9.784,2,9,36,2,8,100,20,100,263.8333333,0.433333333,-6.34,3.0
255,256,DOPE,1,1,9.784,2,9,36,2,4,100,40,100,174.6666667,0.246333333,-3.043333333,3.0
256,257,DOPE,1,1,9.784,2,9,36,2,8,100,40,100,148.9333333,0.217333333,-0.049066667,3.0
257,258,DOPE,1,1,9.784,2,9,36,2,12,100,40,100,152.4666667,0.288333333,-1.993333333,3.555
258,259,DOPE,1,1,9.784,2,9,36,2,4,100,60,100,164.2,0.201666667,-2.476666667,3.0
259,260,DOPE,1,1,9.784,2,9,36,2,8,100,60,100,150.2666667,0.204333333,1.32,3.0
260,261,DOPE,1,1,9.784,2,9,36,2,12,100,60,100,191.8,0.244333333,-1.426666667,3.0
261,262,DOPE,1,1,9.784,2,9,36,2,4,100,80,100,241.5333333,0.267,-15.93333333,3.0
262,263,DOPE,1,1,9.784,2,9,36,2,8,100,80,100,148.0333333,0.21,-3.53,3.0
263,264,DOPE,1,1,9.784,2,9,36,2,12,100,80,100,155.5666667,0.167333333,-3.316666667,3.0
264,265,DOPE,1,1,9.784,2,9,36,2,4,50,20,100,153.8666667,0.203,-3.213333333,3.0
266,267,DOPE,1,1,9.784,2,9,36,2,12,50,20,100,263.9333333,0.412333333,-1.060666667,3.0
267,268,DOPE,1,1,9.784,2,9,36,2,4,50,40,100,170.0666667,0.220333333,-3.176666667,3.0
268,269,DOPE,1,1,9.784,2,9,36,2,8,50,40,100,158.3666667,0.279,-1.57,3.0
269,270,DOPE,1,1,9.784,2,9,36,2,12,50,40,100,130.9333333,0.215,0.963666667,3.0
270,271,DOPE,1,1,9.784,2,9,36,2,4,50,60,100,160.7333333,0.165333333,-3.816666667,3.0
271,272,DOPE,1,1,9.784,2,9,36,2,8,50,60,100,138.7333333,0.185333333,0.242266667,3.0
272,273,DOPE,1,1,9.784,2,9,36,2,12,50,60,100,152.2333333,0.245666667,-1.88,3.0
273,274,DOPE,1,1,9.784,2,9,36,2,4,50,80,100,189.0,0.199,-15.9,3.0
274,275,DOPE,1,1,9.784,2,9,36,2,8,50,80,100,147.2,0.241333333,-5.523333333,3.0
275,276,DOPE,1,1,9.784,2,9,36,2,12,50,80,100,148.5333333,0.207,-2.94,3.0
278,279,DOPE,1,1,9.784,2,9,36,2,12,10,20,100,168.1666667,0.428,-0.284166667,3.0
279,280,DOPE,1,1,9.784,2,9,36,2,4,10,40,100,164.0666667,0.157333333,-0.60825,3.0
281,282,DOPE,1,1,9.784,2,9,36,2,12,10,40,100,161.1333333,0.330333333,0.813333333,3.0
282,283,DOPE,1,1,9.784,2,9,36,2,4,10,60,100,179.6666667,0.263333333,1.84,3.0
283,284,DOPE,1,1,9.784,2,9,36,2,8,10,60,100,153.8,0.197333333,-0.397333333,3.0
284,285,DOPE,1,1,9.784,2,9,36,2,12,10,60,100,150.7333333,0.228333333,-0.254666667,3.434
285,286,DOPE,1,1,9.784,2,9,36,2,4,10,80,100,222.5666667,0.208,-12.13333333,3.0
286,287,DOPE,1,1,9.784,2,9,36,2,8,10,80,100,166.1666667,0.209333333,-6.06,3.0
287,288,DOPE,1,1,9.784,2,9,36,2,12,10,80,100,198.6666667,0.219,-0.9158,4.431
288,289,DOPE,1,1,9.784,2,9,36,2,4,1,20,100,236.7666667,0.272333333,-3.646666667,3.0
289,290,DOPE,1,1,9.784,2,9,36,2,8,1,20,100,211.3666667,0.439666667,1.916666667,3.0
290,291,DOPE,1,1,9.784,2,9,36,2,12,1,20,100,182.6,0.281,0.651,3.258
291,292,DOPE,1,1,9.784,2,9,36,2,4,1,40,100,179.9,0.168333333,-1.32,3.0
292,293,DOPE,1,1,9.784,2,9,36,2,8,1,40,100,196.2,0.148333333,2.876666667,3.0
294,295,DOPE,1,1,9.784,2,9,36,2,4,1,60,100,197.7,0.18,0.54,3.0
295,296,DOPE,1,1,9.784,2,9,36,2,8,1,60,100,148.4666667,0.206666667,4.106666667,4.682
296,297,DOPE,1,1,9.784,2,9,36,2,12,1,60,100,171.6333333,0.198666667,1.651,6.621
297,298,DOPE,1,1,9.784,2,9,36,2,4,1,80,100,253.0666667,0.335333333,-0.074666667,4.934
298,299,DOPE,1,1,9.784,2,9,36,2,8,1,80,100,186.6333333,0.255,-5.6,6.443
299,300,DOPE,1,1,9.784,2,9,36,2,12,1,80,100,150.0333333,0.178,6.683333333,7.745
303,304,DOPE,1,1,9.784,2,9,36,2,4,200,40,10,170.1333333,0.409333333,-5.413333333,3.0
304,305,DOPE,1,1,9.784,2,9,36,2,8,200,40,10,176.6666667,0.290333333,-1.593333333,3.0
306,307,DOPE,1,1,9.784,2,9,36,2,4,200,60,10,153.6333333,0.193,-3.223333333,3.0
307,308,DOPE,1,1,9.784,2,9,36,2,8,200,60,10,153.0333333,0.370333333,-1.48,3.0
308,309,DOPE,1,1,9.784,2,9,36,2,12,200,60,10,149.9,0.288333333,-2.086666667,3.0
309,310,DOPE,1,1,9.784,2,9,36,2,4,200,80,10,133.1,0.144333333,-3.64,3.0
310,311,DOPE,1,1,9.784,2,9,36,2,8,200,80,10,138.3666667,0.247666667,-33.9,3.0
311,312,DOPE,1,1,9.784,2,9,36,2,12,200,80,10,136.2333333,0.169,-2.783333333,3.0
315,316,DOPE,1,1,9.784,2,9,36,2,4,100,40,10,137.9333333,0.216666667,-6.893333333,3.0
318,319,DOPE,1,1,9.784,2,9,36,2,4,100,60,10,137.5666667,0.191333333,-3.093333333,3.0
319,320,DOPE,1,1,9.784,2,9,36,2,8,100,60,10,115.6333333,0.217,-2.686666667,3.0
320,321,DOPE,1,1,9.784,2,9,36,2,12,100,60,10,207.0666667,0.332333333,-1.29,3.0
321,322,DOPE,1,1,9.784,2,9,36,2,4,100,80,10,145.4,0.130333333,-3.763333333,3.0
322,323,DOPE,1,1,9.784,2,9,36,2,8,100,80,10,135.8666667,0.231,-36.3,3.0
323,324,DOPE,1,1,9.784,2,9,36,2,12,100,80,10,120.9333333,0.173,-1.66,3.0
326,327,DOPE,1,1,9.784,2,9,36,2,12,50,20,10,496.8333333,0.378333333,-6.54,3.0
327,328,DOPE,1,1,9.784,2,9,36,2,4,50,40,10,93.06666667,0.211,-2.723333333,3.0
330,331,DOPE,1,1,9.784,2,9,36,2,4,50,60,10,136.1666667,0.159666667,-2.57,3.0
331,332,DOPE,1,1,9.784,2,9,36,2,8,50,60,10,129.5,0.283,-1.666333333,3.0
333,334,DOPE,1,1,9.784,2,9,36,2,4,50,80,10,143.0333333,0.155333333,-3.51,3.0
