,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HEK293,Exp_HEK293
114,115,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,100,8.940310861912616,7633.5696729183865
115,116,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,100,4.234502036832201,69.02729712230101
116,117,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,100,3.2387756955737586,25.502479827510633
117,118,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,100,2.833250342481756,17.000628984869827
118,119,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,100,3.2769203601385932,26.494054786377255
119,120,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,100,3.1985851440283946,24.49784474350812
120,121,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,10,4.142889154013742,62.98453083967617
121,122,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,10,4.644124465096724,103.97229455035794
122,123,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,10,3.9017327467543064,49.48812524496258
123,124,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,10,4.682160737263872,108.00318714210871
124,125,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,10,7.278923190923135,1449.4264289599403
125,126,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,10,7.5880774064738095,1974.5136749350143
126,127,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,10,4.350166803638096,77.49138769267006
127,128,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,10,7.672664623639458,2148.79956566414
128,129,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,10,6.928839614472369,1021.3081805316996
129,130,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,10,4.840342440572817,126.5126673834603
130,131,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,10,6.637193658398054,762.9508850685268
131,132,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,10,3.951510573829026,52.013878324544635
132,133,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,10,3.892169207612109,49.01709954849662
133,134,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,10,4.151308125475601,63.51703422749116
134,135,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,10,4.0859990496803595,59.501352874542334
135,136,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,10,4.522038817000975,92.02302495633975
136,137,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,10,7.057645289559214,1161.706460277881
137,138,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,10,5.747429924405915,313.3842033094074
138,139,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,10,4.808153989781062,122.50526268808555
139,140,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,10,8.707654523407754,6049.037959413882
140,141,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,10,9.003230874474449,8129.306312407912
141,142,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,10,6.135875833094505,462.143677546433
142,143,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,10,7.6069820840912685,2012.196285951711
143,144,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,10,8.8384515247009,6894.308703851934
144,145,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,10,4.37547137591259,79.4772944060907
145,146,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,10,4.5640370775355565,95.97013770802953
146,147,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,10,4.799891695845669,121.49725814834315
147,148,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,10,6.719149155294149,828.1126164103538
148,149,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,10,6.3525760899947485,573.9694029850692
149,150,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,10,6.467650531847514,643.9689636464885
150,151,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,10,5.097094111940742,163.54596984341677
151,152,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,10,8.74359606660806,6270.4040078070275
152,153,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,10,8.487063303919907,4851.597464967773
153,154,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,10,6.4036928806669335,604.0716886242161
154,155,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,10,7.719450934522846,2251.722897782593
155,156,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,10,8.17382336195886,3546.879074847392
156,157,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,10,3.921731166263939,50.487771894822544
157,158,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,10,4.060276659574407,57.9903524460855
158,159,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,10,5.652710051828174,285.0629553467309
159,160,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,10,4.820099122573316,123.97737912763962
160,161,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,10,6.279913364432278,533.7424207448038
161,162,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,10,6.139789449069895,463.95587423373195
162,163,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,10,5.811389798971708,334.08311154122845
163,164,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,10,8.811491220137752,6710.919267018122
164,165,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,10,7.848909404391953,2562.9376635435365
165,166,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,10,8.003349012072496,2990.9579870417283
166,167,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,10,9.616666314962208,15012.918082538172
167,168,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,10,9.782564428335588,17722.04153560232
168,169,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,10,3.067867326545081,21.49600978566695
