,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_ARPE19,Exp_ARPE19
73,74,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,100,5.112123107431799,166.02246448639497
74,75,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,100,3.9121194432994737,50.00482212608044
75,76,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,100,4.762330471947649,117.0183162800893
76,77,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,100,3.7135817413769767,41.00039666349822
77,78,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,100,3.829017899120732,46.01732238181185
78,79,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,100,2.707904251597284,14.997810917177775
79,80,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,100,3.33196553882205,27.993309601550315
80,81,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,100,2.833250342481756,17.000628984869827
81,82,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,100,2.707904251597284,14.997810917177775
82,83,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,100,2.6389732352794555,13.998822728800372
83,84,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,100,2.7726789280592854,16.001443358210743
84,85,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,100,5.117762727652369,166.96141330291817
85,86,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,100,5.438435571818226,230.0819550637643
86,87,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,100,4.077686690120483,59.00880618379953
87,88,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,100,5.655604964097952,285.8893832347824
88,89,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,100,5.093339151279902,162.93301269561476
89,90,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,100,3.583449217486555,35.99749013259223
90,91,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,100,3.583449217486555,35.99749013259223
91,92,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,100,3.5554367595855143,35.00310457104625
92,93,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,100,3.218845704509294,24.999247002367667
93,94,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,100,2.944332606715115,18.997979030914447
94,95,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,100,2.890175541218196,17.99646844628277
95,96,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,100,2.7726789280592854,16.001443358210743
96,97,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,100,4.344072888241162,77.02059766630471
97,98,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,100,4.025646267335598,56.016498719574216
98,99,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,100,4.344072888241162,77.02059766630471
99,100,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,100,4.304166211097287,74.00748310242206
100,101,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,100,4.654071734600454,105.0116960178729
101,102,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,100,4.4660803334224255,87.01498397499613
102,103,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,100,4.762330471947649,117.0183162800893
103,104,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,100,4.927225614306022,137.99612627690635
104,105,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,100,4.344072888241162,77.02059766630471
105,106,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,100,4.691239028118217,108.98813554766788
106,107,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,100,5.030583136984842,153.02221959891523
107,108,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,100,4.875390790265223,131.02534663718407
108,109,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,100,2.6389732352794555,13.998822728800372
109,110,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,100,2.4848821211989405,11.999705660541164
110,111,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,100,2.707904251597284,14.997810917177775
111,112,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,100,2.5650388426503046,13.001163359504929
112,113,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,100,2.6389732352794555,13.998822728800372
113,114,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,100,2.7726789280592854,16.001443358210743
114,115,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,100,2.707904251597284,14.997810917177775
115,116,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,100,2.5650388426503046,13.001163359504929
116,117,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,100,2.7726789280592854,16.001443358210743
117,118,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,100,2.6389732352794555,13.998822728800372
118,119,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,100,2.5650388426503046,13.001163359504929
119,120,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,100,2.5650388426503046,13.001163359504929
120,121,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,10,2.7726789280592854,16.001443358210743
121,122,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,10,2.890175541218196,17.99646844628277
122,123,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,10,2.5650388426503046,13.001163359504929
123,124,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,10,3.0910933727360477,22.001120254831193
124,125,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,10,2.833250342481756,17.000628984869827
125,126,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,10,2.707904251597284,14.997810917177775
126,127,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,10,2.707904251597284,14.997810917177775
127,128,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,10,3.2957025435723697,26.99637353790015
128,129,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,10,3.4343107393317647,31.01003120287951
129,130,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,10,2.833250342481756,17.000628984869827
130,131,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,10,3.2957025435723697,26.99637353790015
