Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,18PG,DOPE,DSPC,DOTAP,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_ARPE19
43,18PG,0,1,8.8188,3,10,1,1,0,0,0,242.8,0.252666667,-1.566666667,4,0.199600798,60,9.090909091,1.792
44,18PG,0,1,8.8188,3,10,1,1,0,0,0,202.9666667,0.257333333,-2.063333333,8,0.199600798,60,9.090909091,1.5
45,18PG,0,1,8.8188,3,10,1,1,0,0,0,142.2666667,0.268333333,-0.186,12,0.199600798,60,9.090909091,1.792
46,18PG,0,1,8.8188,3,10,1,1,0,0,0,154.0833333,0.3755,-22.66666667,4,0.199600798,80,9.090909091,1.792
47,18PG,0,1,8.8188,3,10,1,1,0,0,0,172.25,0.288833333,-0.437,8,0.199600798,80,9.090909091,1.609
48,18PG,0,1,8.8188,3,10,1,1,0,0,0,175.9333333,0.234333333,-2.24,12,0.199600798,80,9.090909091,2.197
49,18PG,0,1,8.8188,3,10,1,1,0,0,0,1859.333333,0.579,-19.73333333,4,0.199600798,20,50.0,1.5
50,18PG,0,1,8.8188,3,10,1,1,0,0,0,487.5,0.492333333,-3.413333333,8,0.199600798,20,50.0,1.5
51,18PG,0,1,8.8188,3,10,1,1,0,0,0,1049.966667,0.215333333,-2.423333333,12,0.199600798,20,50.0,2.079
52,18PG,0,1,8.8188,3,10,1,1,0,0,0,370.2333333,0.760333333,-25.56666667,4,0.199600798,40,50.0,1.609
53,18PG,0,1,8.8188,3,10,1,1,0,0,0,1164.833333,0.693666667,-15.7,8,0.199600798,40,50.0,1.5
54,18PG,0,1,8.8188,3,10,1,1,0,0,0,1153.333333,0.461,-4.87,12,0.199600798,40,50.0,1.5
55,18PG,0,1,8.8188,3,10,1,1,0,0,0,1720.666667,0.716333333,-28.26666667,4,0.199600798,60,50.0,1.609
56,18PG,0,1,8.8188,3,10,1,1,0,0,0,214.1666667,0.147333333,-17.83333333,8,0.199600798,60,50.0,1.5
