Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_N2a
83,18PG,0,1,9.3028,3,10,1,430.7333333,0.114666667,-1.356666667,8,0.99009901,80,0.99009901,4.205
84,18PG,0,1,9.3028,3,10,1,255.0166667,0.3485,0.867666667,12,0.99009901,80,0.99009901,5.165
85,18PG,0,1,9.3028,3,10,1,738.2666667,0.887666667,-1.916666667,4,0.99009901,20,1.960784314,6.014
86,18PG,0,1,9.3028,3,10,1,190.2,0.453,-0.810333333,8,0.99009901,20,1.960784314,5.198
87,18PG,0,1,9.3028,3,10,1,210.8,0.686333333,-2.876666667,12,0.99009901,20,1.960784314,4.511
88,18PG,0,1,9.3028,3,10,1,263.4666667,0.627666667,-2.14,4,0.99009901,40,1.960784314,5.714
89,18PG,0,1,9.3028,3,10,1,162.0,0.536333333,-0.342,8,0.99009901,40,1.960784314,5.17
90,18PG,0,1,9.3028,3,10,1,203.3333333,0.343333333,-2.2,12,0.99009901,40,1.960784314,4.927
91,18PG,0,1,9.3028,3,10,1,194.0,0.484333333,-3.503333333,4,0.99009901,60,1.960784314,4.883
92,18PG,0,1,9.3028,3,10,1,235.7333333,0.341333333,-2.013333333,8,0.99009901,60,1.960784314,5.236
93,18PG,0,1,9.3028,3,10,1,183.1666667,0.295666667,-3.336666667,12,0.99009901,60,1.960784314,5.075
94,18PG,0,1,9.3028,3,10,1,264.4666667,0.139,-6.496666667,4,0.99009901,80,1.960784314,5.576
95,18PG,0,1,9.3028,3,10,1,410.2,0.146666667,0.9383,8,0.99009901,80,1.960784314,4.86
96,18PG,0,1,9.3028,3,10,1,363.8,0.148333333,0.4627,12,0.99009901,80,1.960784314,5.165
97,18PG,0,1,9.3028,3,10,1,457.7666667,0.88,-20.96666667,4,0.99009901,20,9.090909091,5.136
98,18PG,0,1,9.3028,3,10,1,170.4666667,0.436333333,-1.013333333,8,0.99009901,20,9.090909091,3.738
99,18PG,0,1,9.3028,3,10,1,205.1333333,0.81,-0.812553333,12,0.99009901,20,9.090909091,3.466
100,18PG,0,1,9.3028,3,10,1,153.8666667,0.343666667,-1.636666667,4,0.99009901,40,9.090909091,5.389
101,18PG,0,1,9.3028,3,10,1,202.0333333,0.364666667,-0.022666667,8,0.99009901,40,9.090909091,4.043
102,18PG,0,1,9.3028,3,10,1,192.2666667,0.267,-3.43,12,0.99009901,40,9.090909091,4.111
103,18PG,0,1,9.3028,3,10,1,176.8,0.353333333,-13.4,4,0.99009901,60,9.090909091,5.82
104,18PG,0,1,9.3028,3,10,1,293.4666667,0.390666667,-1.985333333,8,0.99009901,60,9.090909091,5.635
105,18PG,0,1,9.3028,3,10,1,281.8333333,0.217333333,-3.243333333,12,0.99009901,60,9.090909091,3.135
106,18PG,0,1,9.3028,3,10,1,496.8666667,0.153666667,-1.304,4,0.99009901,80,9.090909091,6.109
107,18PG,0,1,9.3028,3,10,1,526.7333333,0.369,-0.888,8,0.99009901,80,9.090909091,4.868
108,18PG,0,1,9.3028,3,10,1,501.1333333,0.277,-0.417666667,12,0.99009901,80,9.090909091,4.736
109,18PG,0,1,9.3028,3,10,1,237.7333333,0.221,-6.72,4,0.99009901,20,50.0,2.0
110,18PG,0,1,9.3028,3,10,1,154.0666667,0.200333333,-5.936666667,8,0.99009901,20,50.0,2.0
111,18PG,0,1,9.3028,3,10,1,185.1,0.109,-3.736666667,12,0.99009901,20,50.0,2.0
112,18PG,0,1,9.3028,3,10,1,196.1666667,0.203333333,-7.57,4,0.99009901,40,50.0,2.0
113,18PG,0,1,9.3028,3,10,1,298.0333333,0.1,-4.593333333,8,0.99009901,40,50.0,2.0
114,18PG,0,1,9.3028,3,10,1,189.2333333,0.111,-1.266666667,12,0.99009901,40,50.0,2.0
115,18PG,0,1,9.3028,3,10,1,241.5,0.106333333,-16.4,4,0.99009901,60,50.0,2.0
116,18PG,0,1,9.3028,3,10,1,249.8,0.209,-1.483333333,8,0.99009901,60,50.0,2.0
117,18PG,0,1,9.3028,3,10,1,346.5,0.061666667,-0.622,12,0.99009901,60,50.0,2.0
118,18PG,0,1,9.3028,3,10,1,364.1333333,0.201,-8.473333333,4,0.99009901,80,50.0,2.0
119,18PG,0,1,9.3028,3,10,1,812.3666667,0.132666667,-5.833333333,8,0.99009901,80,50.0,2.0
120,18PG,0,1,9.3028,3,10,1,409.6,0.290333333,-6.46,12,0.99009901,80,50.0,2.0
121,18PG,0,1,9.3028,3,10,1,113.3,0.238333333,-1.485333333,4,9.090909091,20,0.497512438,2.079
122,18PG,0,1,9.3028,3,10,1,179.0666667,0.428333333,-0.415666667,8,9.090909091,20,0.497512438,2.0
123,18PG,0,1,9.3028,3,10,1,1512.333333,0.599333333,-2.8,12,9.090909091,20,0.497512438,2.0
124,18PG,0,1,9.3028,3,10,1,108.3166667,0.307333333,-1.42,4,9.090909091,40,0.497512438,2.197
125,18PG,0,1,9.3028,3,10,1,153.9,0.435666667,-0.845333333,8,9.090909091,40,0.497512438,3.219
126,18PG,0,1,9.3028,3,10,1,120.1,0.400666667,-1.69,12,9.090909091,40,0.497512438,3.497
127,18PG,0,1,9.3028,3,10,1,166.4,0.504,-3.313333333,4,9.090909091,60,0.497512438,2.639
128,18PG,0,1,9.3028,3,10,1,192.9,0.356666667,-1.398,8,9.090909091,60,0.497512438,3.892
129,18PG,0,1,9.3028,3,10,1,260.3666667,0.331,-0.940666667,12,9.090909091,60,0.497512438,4.007
130,18PG,0,1,9.3028,3,10,1,230.6333333,0.313333333,8.696666667,4,9.090909091,80,0.497512438,3.178
131,18PG,0,1,9.3028,3,10,1,237.4,0.258666667,-0.939,8,9.090909091,80,0.497512438,3.296
132,18PG,0,1,9.3028,3,10,1,208.8333333,0.286,-0.976,12,9.090909091,80,0.497512438,4.635
133,18PG,0,1,9.3028,3,10,1,129.5333333,0.231666667,-1.733333333,4,9.090909091,20,0.99009901,2.079
134,18PG,0,1,9.3028,3,10,1,247.0333333,0.714,-1.54,8,9.090909091,20,0.99009901,2.0
135,18PG,0,1,9.3028,3,10,1,1955.333333,0.704333333,-1.195666667,12,9.090909091,20,0.99009901,2.0
136,18PG,0,1,9.3028,3,10,1,181.4666667,0.334,-1.7,4,9.090909091,40,0.99009901,2.0
137,18PG,0,1,9.3028,3,10,1,144.4,0.396,-0.988333333,8,9.090909091,40,0.99009901,2.996
138,18PG,0,1,9.3028,3,10,1,123.8,0.366333333,-2.643333333,12,9.090909091,40,0.99009901,2.0
139,18PG,0,1,9.3028,3,10,1,253.1333333,0.477333333,-0.603333333,4,9.090909091,60,0.99009901,2.89
140,18PG,0,1,9.3028,3,10,1,212.9666667,0.330666667,-0.511666667,8,9.090909091,60,0.99009901,3.97
141,18PG,0,1,9.3028,3,10,1,219.6333333,0.313,-1.116666667,12,9.090909091,60,0.99009901,2.773
142,18PG,0,1,9.3028,3,10,1,243.4333333,0.302666667,2.933333333,4,9.090909091,80,0.99009901,3.296
143,18PG,0,1,9.3028,3,10,1,226.2666667,0.251333333,0.520333333,8,9.090909091,80,0.99009901,4.06
