Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,Chol_DMG-PEG_ratio,Dlin-MC3+Helper lipid percentage,Dlin-MC3_Helper lipid_ratio,RLU_B16
76,18PG,0,1,9.3028,3,10,36,1,118.2,0.441,-1.441,4,100,40,100,2.0
77,18PG,0,1,9.3028,3,10,36,1,170.9666667,0.641666667,-1.497333333,8,100,40,100,2.674
78,18PG,0,1,9.3028,3,10,36,1,215.6333333,0.624,-4.113333333,12,100,40,100,2.0
79,18PG,0,1,9.3028,3,10,36,1,182.2,0.565,-3.46,4,100,60,100,2.0
80,18PG,0,1,9.3028,3,10,36,1,207.7333333,0.412333333,-5.52,8,100,60,100,2.0
81,18PG,0,1,9.3028,3,10,36,1,348.7,0.722666667,-2.886666667,12,100,60,100,2.0
82,18PG,0,1,9.3028,3,10,36,1,379.2666667,0.080666667,-2.153333333,4,100,80,100,2.0
83,18PG,0,1,9.3028,3,10,36,1,430.7333333,0.114666667,-1.356666667,8,100,80,100,2.0
84,18PG,0,1,9.3028,3,10,36,1,255.0166667,0.3485,0.867666667,12,100,80,100,2.0
85,18PG,0,1,9.3028,3,10,36,1,738.2666667,0.887666667,-1.916666667,4,100,20,50,3.135
86,18PG,0,1,9.3028,3,10,36,1,190.2,0.453,-0.810333333,8,100,20,50,2.197
87,18PG,0,1,9.3028,3,10,36,1,210.8,0.686333333,-2.876666667,12,100,20,50,2.0
88,18PG,0,1,9.3028,3,10,36,1,263.4666667,0.627666667,-2.14,4,100,40,50,2.0
89,18PG,0,1,9.3028,3,10,36,1,162.0,0.536333333,-0.342,8,100,40,50,2.14
90,18PG,0,1,9.3028,3,10,36,1,203.3333333,0.343333333,-2.2,12,100,40,50,2.603
91,18PG,0,1,9.3028,3,10,36,1,194.0,0.484333333,-3.503333333,4,100,60,50,2.0
92,18PG,0,1,9.3028,3,10,36,1,235.7333333,0.341333333,-2.013333333,8,100,60,50,2.0
93,18PG,0,1,9.3028,3,10,36,1,183.1666667,0.295666667,-3.336666667,12,100,60,50,2.0
94,18PG,0,1,9.3028,3,10,36,1,264.4666667,0.139,-6.496666667,4,100,80,50,2.0
95,18PG,0,1,9.3028,3,10,36,1,410.2,0.146666667,0.9383,8,100,80,50,2.0
96,18PG,0,1,9.3028,3,10,36,1,363.8,0.148333333,0.4627,12,100,80,50,2.0
97,18PG,0,1,9.3028,3,10,36,1,457.7666667,0.88,-20.96666667,4,100,20,10,2.079
98,18PG,0,1,9.3028,3,10,36,1,170.4666667,0.436333333,-1.013333333,8,100,20,10,3.497
99,18PG,0,1,9.3028,3,10,36,1,205.1333333,0.81,-0.812553333,12,100,20,10,3.239
100,18PG,0,1,9.3028,3,10,36,1,153.8666667,0.343666667,-1.636666667,4,100,40,10,3.091
101,18PG,0,1,9.3028,3,10,36,1,202.0333333,0.364666667,-0.022666667,8,100,40,10,2.398
102,18PG,0,1,9.3028,3,10,36,1,192.2666667,0.267,-3.43,12,100,40,10,2.442
103,18PG,0,1,9.3028,3,10,36,1,176.8,0.353333333,-13.4,4,100,60,10,2.0
104,18PG,0,1,9.3028,3,10,36,1,293.4666667,0.390666667,-1.985333333,8,100,60,10,2.0
105,18PG,0,1,9.3028,3,10,36,1,281.8333333,0.217333333,-3.243333333,12,100,60,10,2.303
106,18PG,0,1,9.3028,3,10,36,1,496.8666667,0.153666667,-1.304,4,100,80,10,2.0
107,18PG,0,1,9.3028,3,10,36,1,526.7333333,0.369,-0.888,8,100,80,10,2.0
108,18PG,0,1,9.3028,3,10,36,1,501.1333333,0.277,-0.417666667,12,100,80,10,2.0
109,18PG,0,1,9.3028,3,10,36,1,237.7333333,0.221,-6.72,4,100,20,1,2.0
110,18PG,0,1,9.3028,3,10,36,1,154.0666667,0.200333333,-5.936666667,8,100,20,1,2.0
111,18PG,0,1,9.3028,3,10,36,1,185.1,0.109,-3.736666667,12,100,20,1,2.0
112,18PG,0,1,9.3028,3,10,36,1,196.1666667,0.203333333,-7.57,4,100,40,1,2.0
113,18PG,0,1,9.3028,3,10,36,1,298.0333333,0.1,-4.593333333,8,100,40,1,2.0
114,18PG,0,1,9.3028,3,10,36,1,189.2333333,0.111,-1.266666667,12,100,40,1,2.0
115,18PG,0,1,9.3028,3,10,36,1,241.5,0.106333333,-16.4,4,100,60,1,2.015
116,18PG,0,1,9.3028,3,10,36,1,249.8,0.209,-1.483333333,8,100,60,1,2.0
117,18PG,0,1,9.3028,3,10,36,1,346.5,0.061666667,-0.622,12,100,60,1,2.0
118,18PG,0,1,9.3028,3,10,36,1,364.1333333,0.201,-8.473333333,4,100,80,1,2.0
119,18PG,0,1,9.3028,3,10,36,1,812.3666667,0.132666667,-5.833333333,8,100,80,1,2.0
120,18PG,0,1,9.3028,3,10,36,1,409.6,0.290333333,-6.46,12,100,80,1,2.0
121,18PG,0,1,9.3028,3,10,36,1,113.3,0.238333333,-1.485333333,4,10,20,200,2.0
122,18PG,0,1,9.3028,3,10,36,1,179.0666667,0.428333333,-0.415666667,8,10,20,200,2.0
123,18PG,0,1,9.3028,3,10,36,1,1512.333333,0.599333333,-2.8,12,10,20,200,2.015
124,18PG,0,1,9.3028,3,10,36,1,108.3166667,0.307333333,-1.42,4,10,40,200,2.0
125,18PG,0,1,9.3028,3,10,36,1,153.9,0.435666667,-0.845333333,8,10,40,200,2.0
126,18PG,0,1,9.3028,3,10,36,1,120.1,0.400666667,-1.69,12,10,40,200,2.0
127,18PG,0,1,9.3028,3,10,36,1,166.4,0.504,-3.313333333,4,10,60,200,2.0
128,18PG,0,1,9.3028,3,10,36,1,192.9,0.356666667,-1.398,8,10,60,200,2.0
129,18PG,0,1,9.3028,3,10,36,1,260.3666667,0.331,-0.940666667,12,10,60,200,2.0
130,18PG,0,1,9.3028,3,10,36,1,230.6333333,0.313333333,8.696666667,4,10,80,200,2.0
