,LGBM,XGB,RF,DT,kNN,MLR,lasso,PLS
602,0.027524198763072792,0.037926267832517624,0.12315385630501136,0.034691998660863727,0.2769568096426738,0.13079111307814673,0.16636557764588497,0.19561581841472434
603,0.347907423721856,0.28421398957397437,0.22129660849572108,0.279779042517576,0.4705185075373615,0.49426647265275625,0.4512041021008494,0.4321001613515598
604,0.003864640121569947,0.01659075729548931,0.006749618718149011,0.0,0.0,0.00594907105830611,0.020200990847936334,0.007972947003885851
605,0.003345457287879643,0.012925232760608196,0.0021041178439906256,0.0,0.0,0.02334283386110858,0.009299655026608733,0.004332946754496546
606,0.003864640121569947,0.010157618671655655,0.0030629208049696827,0.0,0.0,0.01291090850081944,0.0010242064095103975,0.005701684945440946
607,0.003345457287879643,0.002342322375625372,0.003060670312093144,0.0,0.0,0.022942466672270068,0.03586123353367279,0.030847313993566855
608,0.003864640121569947,0.007220493629574776,0.0010561693263400661,0.0,0.0,0.008159937172158016,0.016732459068816763,0.008384289870387716
609,0.13554024702606293,0.0922899690282396,0.10967669158948029,0.1349598259122865,0.10050356045044195,0.09627963993515076,0.06238901273115269,0.06988287113000977
610,0.025184578914460753,0.12069369852542877,0.029860683331473414,0.0,0.012169501079998013,0.011032862410381927,0.020073130580559567,0.01443539636849784
611,0.012797313347737836,0.006681155413389206,0.009908404674223215,0.02187255886619795,0.0,0.03195868269474411,0.06851577016529056,0.05162001756660347
612,0.003864640121569947,0.0008962778956629336,0.0037991946583342618,0.0,0.0,0.02619202988368996,0.02677736444742465,0.0319469236217508
613,0.003864640121569947,0.0026926056016236544,0.0,0.0,0.0,0.030490528832527786,0.02011019702445943,0.019737641673043947
614,0.003864640121569947,0.0032183423172682524,0.0002187255886619795,0.0,0.0,0.04556175510165672,0.006104890141423597,0.007457441009804104
615,0.003345457287879643,0.0006938572623766959,0.0010601495368820443,0.0,0.0,0.021889467291823173,0.01832616033885362,0.05115714435736864
616,0.003345457287879643,0.0016046753153204918,0.0,0.0,0.0,0.011107273860604283,0.015411237705209718,0.003035509435214509
617,0.003864640121569947,0.023434413596987724,0.0019208235687981246,0.0,0.0,0.041380537885411406,0.04332177994349476,0.04403554248456877
618,0.003345457287879643,0.010403545573353767,0.0019923371647509575,0.0,0.0,0.03220240239929395,0.06144020266464703,0.04584176382000538
619,0.003345457287879643,0.004325425252318382,0.005451121526615331,0.0,0.0,0.03612511261805851,0.0631910688761945,0.05763887927914625
