,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,Zeta,RLU_ARPE19
99,100,18PG,0,1,9.3028,3,10,36,1,4,10,40,100,153.8666667,0.343666667,-1.636666667,4.159
100,101,18PG,0,1,9.3028,3,10,36,1,8,10,40,100,202.0333333,0.364666667,-0.022666667,4.554
101,102,18PG,0,1,9.3028,3,10,36,1,12,10,40,100,192.2666667,0.267,-3.43,4.344
102,103,18PG,0,1,9.3028,3,10,36,1,4,10,60,100,176.8,0.353333333,-13.4,4.673
103,104,18PG,0,1,9.3028,3,10,36,1,8,10,60,100,293.4666667,0.390666667,-1.985333333,4.852
104,105,18PG,0,1,9.3028,3,10,36,1,12,10,60,100,281.8333333,0.217333333,-3.243333333,4.205
105,106,18PG,0,1,9.3028,3,10,36,1,4,10,80,100,496.8666667,0.153666667,-1.304,4.595
106,107,18PG,0,1,9.3028,3,10,36,1,8,10,80,100,526.7333333,0.369,-0.888,4.963
107,108,18PG,0,1,9.3028,3,10,36,1,12,10,80,100,501.1333333,0.277,-0.417666667,4.796
108,109,18PG,0,1,9.3028,3,10,36,1,4,1,20,100,237.7333333,0.221,-6.72,3.0
109,110,18PG,0,1,9.3028,3,10,36,1,8,1,20,100,154.0666667,0.200333333,-5.936666667,3.0
110,111,18PG,0,1,9.3028,3,10,36,1,12,1,20,100,185.1,0.109,-3.736666667,3.0
111,112,18PG,0,1,9.3028,3,10,36,1,4,1,40,100,196.1666667,0.203333333,-7.57,3.0
112,113,18PG,0,1,9.3028,3,10,36,1,8,1,40,100,298.0333333,0.1,-4.593333333,3.0
113,114,18PG,0,1,9.3028,3,10,36,1,12,1,40,100,189.2333333,0.111,-1.266666667,3.0
114,115,18PG,0,1,9.3028,3,10,36,1,4,1,60,100,241.5,0.106333333,-16.4,3.0
115,116,18PG,0,1,9.3028,3,10,36,1,8,1,60,100,249.8,0.209,-1.483333333,3.0
116,117,18PG,0,1,9.3028,3,10,36,1,12,1,60,100,346.5,0.061666667,-0.622,3.0
117,118,18PG,0,1,9.3028,3,10,36,1,4,1,80,100,364.1333333,0.201,-8.473333333,3.0
118,119,18PG,0,1,9.3028,3,10,36,1,8,1,80,100,812.3666667,0.132666667,-5.833333333,3.0
119,120,18PG,0,1,9.3028,3,10,36,1,12,1,80,100,409.6,0.290333333,-6.46,3.0
120,121,18PG,0,1,9.3028,3,10,36,1,4,200,20,10,113.3,0.238333333,-1.485333333,3.0
121,122,18PG,0,1,9.3028,3,10,36,1,8,200,20,10,179.0666667,0.428333333,-0.415666667,3.0
123,124,18PG,0,1,9.3028,3,10,36,1,4,200,40,10,108.3166667,0.307333333,-1.42,3.0
