LGBM,RF,XGB,MLP,DT,kNN,lasso,MLR,PLS
0.024158868624354218,0.01610866453814818,0.01917928457260132,0.027738152435636855,0.008021264214152021,0.07805835860460163,0.14122869965836046,0.21121798549000503,0.1651113518341784
0.014868944663147959,0.010458548937575682,0.011187523603439331,0.009280294973596413,8.807662666519555e-05,0.0,0.04130484032524477,0.06309382171582441,0.06405773930382344
0.004127219038564955,0.010631949796322778,0.030786098217788327,0.0007552952549584671,0.0021798965099636466,0.01996595670042657,0.1229208407046046,0.14151514446344915,0.10586060769283284
0.027556030949461453,0.004481999339425299,0.02747020125389099,0.03422194973695001,0.0008571743130809503,0.18454596494416942,0.015836674626030556,0.013059227750539954,0.033115018136736674
0.0156654064225032,0.0,0.014591783285140991,0.004353198066488907,8.807662666519555e-05,0.0003637377219449337,0.13409265452237323,0.16348896300800891,0.12212289257230594
0.04630697469143837,0.08602994605306616,0.021777517060856594,0.040075439575530385,0.024588058277368,0.051242935773454644,0.047083084245935214,0.056777695480001146,0.07681890494692839
0.00033328981748176334,0.061579324011890424,0.06542327167651055,0.017505321510492278,0.13132592021725573,0.170097985247165,0.09781257166545132,0.04019258784634905,0.07942447451972617
0.0031026503053359494,0.021641528129472606,0.031151587688409726,0.03465501297072199,0.07324121986127927,0.2081307540558125,0.21837206932272205,0.23067859124627763,0.25304898620675287
0.13165174098545673,0.03055873610040738,0.21550065092639903,0.05410562049723017,0.07731869583680656,0.19775840525425226,0.004769896563937337,0.014080439671522782,0.02230680887310388
0.00952875129634606,0.10247109985687541,0.06972415884869568,0.13848962342053656,0.01838599581636019,0.08529403668575997,0.2288409582580351,0.25569429220498685,0.23910591547695056
0.3459318556176936,0.24366949245843897,0.41126956322717334,0.3045803346909127,0.2754911058335038,0.04242169435299584,0.20313840936046904,0.17339156288227084,0.21615384090779868
0.12341029273361172,0.1344071342067599,0.1117649172044832,0.11607042622098745,0.15938199566956585,0.1378983321084637,0.08422169359463708,0.1100944291790387,0.10223821862875479
0.018686706576720332,0.025597269624573385,0.07298484021355031,0.038195037567922856,0.04824554505276733,0.034043458799361825,0.027658481743119828,0.06457494734985753,0.04415708685305089
0.028300299530129504,0.00024441263899592584,0.033110231161117554,0.03234187446904272,0.07439722558626005,0.02483185090963016,0.03302285811864719,0.029233996250775735,0.003370507544312923
0.15281608773700717,0.17314488605086414,0.23256638646125793,0.1650357853995941,0.16805020367719917,0.17459429170363597,0.3003923522396511,0.24897471753338007,0.30304574713011445
0.08742765444236578,0.09438346361334382,0.049113946070981296,0.10890560874563093,0.07834415941869433,0.005306997061399699,0.10426068330984906,0.12534989363573157,0.11115353246858906
0.04138100575116236,0.006229769899812816,0.03523025033456384,0.05215382088840384,0.09866154983406994,0.012000440383133304,0.1598656360720481,0.13202831549691593,0.1536685991305632
0.03691552307155226,0.010315424419244722,0.08754363772851526,0.05707183127142826,0.2236871077837719,0.03996863820827176,0.07188139292458035,0.040802923473904344,0.029016813304876196
0.015844190108559076,0.00830507541561158,0.026803970336914062,0.06475885416621188,0.004602003743256628,0.03965460445975314,0.03068340275749104,0.012736981769074429,0.016664009042489575
0.001088176437782841,0.020605526808323255,0.0033540973300570653,0.031639583476128545,0.016888693163051867,0.025343324554600973,0.009362415179324984,0.011960875954122204,0.045243123590960554
0.07248180188930542,0.1886915116151055,0.011185900244722768,0.03285996265895641,0.049259999056321835,0.06604518000261295,0.30470361265260726,0.35785097796313164,0.2870086991138992
0.016845795106764132,0.005199273367830024,0.023646922087493527,0.0003612986905508833,0.02890014312451835,0.051717420160695596,0.0034944169504229627,0.014030686018449513,0.013429901235513492
0.03313569158016141,0.010517450181658021,0.05805000779611169,0.09907821273957582,0.024991742816250162,0.012000440383133304,0.20731713493507128,0.1623790122215355,0.19293262922047735
0.06008536370188304,0.03475393592425413,0.013674286747115266,0.09180099806823078,0.042717163932621344,0.0175307023688068,0.11866690179606465,0.16905190048781807,0.16383042718302918
0.06655858505010884,0.08213145436529784,0.014656375223721707,0.20765578584261185,0.041643730045139216,0.1485971888132959,0.20496855742576287,0.21090140147330966,0.24780167990933977
0.14278351743403828,0.22256853462512383,0.09145944138580153,0.26862399393271696,0.061818782340636313,0.7164325467820565,0.6056457682762648,0.5779194068161879,0.5972747601084548
0.015476483028527,0.00012000440383133304,0.010549694299697876,0.0538867255620837,8.807662666519555e-05,0.0,0.17283862270601816,0.16388258681440807,0.14811465712829275
0.01599056581013593,0.049426951447759576,0.048605660969342435,0.02778234245487323,0.04691653166826565,0.05637695491612099,0.11517155768076684,0.042168406790203214,0.08527049894649938
0.07224480048842785,0.19931465374876128,0.050007715311053524,0.24569079431077961,0.19285635645869043,0.13204938736554583,0.2593952783462642,0.27630776456614536,0.24435194772930413
0.018540233264863665,0.004684025101838597,0.002690523862838745,0.00720582497504383,0.002000073397188884,0.0,0.04678020600780228,0.016652456158375187,0.08812755944901496
0.03433923258973296,0.014448970604425843,0.015829533338546753,0.007057798954993845,0.003000110095783326,0.006434426586688589,0.026474729866240762,0.0012920294116196206,0.0013606558750147435
0.017578188358298472,0.00023010018716283136,0.005119293928146362,0.007860729953443037,0.003835003119380523,0.0,0.009832860876207702,0.003487905219241521,0.0024213026453465125
0.018996736226561367,0.014605306616756573,0.044249653816223145,0.01684664359766338,0.002000073397188884,0.032810927943991625,0.0023734963135409043,0.012005421940677769,0.015291532360990567
0.06897989537865044,0.06358692062094018,0.05121353385430871,0.04951146590149184,0.08623252229439615,0.11884365794883517,0.21457424604056233,0.22045126208679616,0.25339527656136973
0.03409447844313786,0.045273588021578805,0.041756768649493015,0.019252781273516456,0.05572419433478557,0.15288575473235053,0.09722490092113847,0.1546691727779299,0.1196341837293298
0.010230142060925958,0.0,0.010236859321594238,0.031388262810662405,0.012275679841462071,0.0,0.007068046234658704,0.04781317403069654,0.009131429066262797
0.10159867289697055,0.008890234504018268,0.11888980839885854,0.015314899525700865,0.018430034129692907,0.08806086323661966,0.10154229522414315,0.11584667944285887,0.09985229371827209
0.016830021082919873,0.04302983595728283,0.0384576278321874,0.0032210262997676084,0.008202135858196631,0.01854566051063551,0.04458003367791137,0.02917967196281085,0.07978285083751613
0.019713533452971686,0.016249587140812503,0.0021735727787017822,0.07212408368250264,0.00042858715654047516,0.012035830111219852,0.06642983426387788,0.015844362868823385,0.09973948359648094
