,0,1,2,3,4,5,6,7,8,9
179,6.551601046400232e-06,1.4535380776632432e-06,5.799454321717872e-07,5.021030952597417e-07,4.434925176502008e-07,1.04198820298666e-06,5.307138090978148e-07,5.407477351450379e-07,3.414860631114528e-06,1.3771971908323538e-06
197,5.956103269109012e-06,1.825926799911717e-05,1.4256001935212992e-05,3.5147444000798673e-06,4.2548697537532295e-06,5.008101711293924e-06,5.799466745360201e-06,6.896537637123543e-06,9.155451874495571e-06,5.597288348208268e-06
214,9.06180999642526e-06,3.754391878891982e-06,2.8922657613815858e-05,9.793255090001723e-06,8.484484071878434e-06,2.455161768836948e-06,9.768355587001105e-06,3.6763508860190853e-06,5.503317205039636e-06,5.30264164633844e-06
232,6.259482020415015e-06,1.222139992486377e-06,7.46879120399046e-06,4.6461565299272485e-06,5.063170012661257e-06,8.216276146660725e-06,3.3953364453721264e-06,2.0911098054852415e-05,2.701496146391423e-06,3.5008762416357697e-06
249,1.756822576268728e-06,2.089211450173424e-06,7.454938527760731e-07,1.1802445110509515e-06,8.542226018975269e-07,7.912111359852842e-07,3.6652772885682897e-06,1.5254213759756146e-06,3.5208062254196284e-06,1.5463671478049607e-06
267,1.567121524295705e-06,2.3114745040370247e-06,3.824004696262669e-07,4.032993843729828e-06,8.435434073129989e-07,1.1667513231731176e-06,1.6340754370857444e-06,1.5606563975712545e-06,2.9001103635462625e-06,2.3566170436732926e-06
285,9.629276421355224e-06,2.1228615154285287e-06,4.071756934952374e-06,2.2058073104751344e-06,1.4133653594692689e-06,2.598539528776595e-06,1.2989326830483197e-06,7.504754485158447e-07,2.8126077876932884e-06,3.817398678976019e-06
302,2.669144745432398e-06,1.346001422981775e-06,2.618710832841072e-06,3.6184330005472695e-06,2.7104743841649893e-06,2.1467403169995135e-06,1.0268832043660034e-05,5.958473819356161e-06,1.6870523040381405e-06,1.9724429109956148e-06
320,4.821425469402381e-06,9.472301266461858e-07,3.760524122464168e-06,1.5985206735401728e-06,2.1178976985377804e-06,3.8880278627384555e-06,1.4422368021177755e-06,2.2480498921624957e-06,5.283855494909692e-06,4.097903061168153e-06
337,8.877977016163675e-07,1.5983397086145625e-06,1.0851633260368992e-06,1.824180547783557e-06,5.3438678769117265e-06,4.030552048370706e-06,6.408553742575141e-07,7.458068208831217e-07,7.230022683731373e-07,1.6816074409782284e-06
