,RLU_B16
96,0.10607550137632718
97,0.24547778214707036
98,0.2201140385371608
99,0.20556429414077862
100,0.13743609909555643
101,0.14176169878096737
102,0.049547778214707044
103,0.05987023200943767
104,0.12809673613841918
105,0.03794730633110499
106,0.03794730633110499
107,0.05987023200943767
108,0.06930790405033427
109,0.024872198191112846
110,0.03794730633110499
111,0.049547778214707044
112,0.03794730633110499
113,0.024872198191112846
114,0.09978372001572947
115,0.05987023200943767
116,0.024872198191112846
117,0.0
118,0.05987023200943767
119,0.03794730633110499
120,0.049547778214707044
121,0.03794730633110499
122,0.09978372001572947
123,0.049547778214707044
124,0.03794730633110499
125,0.07786079433739679
126,0.0
127,0.009732599292174599
128,0.009732599292174599
129,0.009732599292174599
130,0.0
131,0.009732599292174599
132,0.03794730633110499
133,0.0
134,0.009732599292174599
135,0.024872198191112846
136,0.009732599292174599
137,0.0
138,0.009732599292174599
139,0.009732599292174599
140,0.0
141,0.03794730633110499
142,0.03794730633110499
143,0.049547778214707044
144,0.049547778214707044
145,0.024872198191112846
146,0.0
147,0.009732599292174599
148,0.049547778214707044
149,0.009732599292174599
150,0.009732599292174599
151,0.03794730633110499
152,0.05987023200943767
153,0.009732599292174599
154,0.05987023200943767
155,0.0
156,0.009732599292174599
157,0.0
158,0.0
159,0.0
160,0.009732599292174599
161,0.049547778214707044
162,0.024872198191112846
163,0.0
164,0.05987023200943767
165,0.03794730633110499
166,0.024872198191112846
167,0.009732599292174599
168,0.0
169,0.009732599292174599
170,0.009732599292174599
171,0.0
172,0.024872198191112846
173,0.03794730633110499
174,0.03794730633110499
175,0.0
176,0.024872198191112846
177,0.03794730633110499
178,0.024872198191112846
179,0.0
180,0.14598898938261895
181,0.15001966181675183
182,0.27261108926464805
183,0.06930790405033427
184,0.12809673613841918
185,0.157589461266221
186,0.07786079433739679
187,0.049547778214707044
188,0.19366889500589854
189,0.06930790405033427
190,0.05987023200943767
191,0.05987023200943767
192,0.09978372001572947
193,0.11767597325992923
194,0.11767597325992923
195,0.0
196,0.09978372001572947
197,0.2360401101061738
198,0.009732599292174599
199,0.024872198191112846
200,0.20556429414077862
201,0.0
202,0.009732599292174599
203,0.08572552103814393
204,0.09978372001572947
205,0.15001966181675183
206,0.14176169878096737
207,0.08572552103814393
208,0.12298466378293352
209,0.05987023200943767
210,0.049547778214707044
211,0.049547778214707044
212,0.11767597325992923
213,0.08572552103814393
214,0.05987023200943767
215,0.3786865906409752
216,0.157589461266221
217,0.27143138025953595
218,0.35342115611482494
219,0.024872198191112846
220,0.24390483680692096
221,0.27595359811246556
222,0.15001966181675183
223,0.16456940621313407
224,0.30505308690523003
225,0.06930790405033427
226,0.2526543452615021
227,0.3260912308297287
228,0.22571765631144317
229,0.12298466378293352
230,0.157589461266221
231,0.0
232,0.26799056232795915
233,0.157589461266221
234,0.1611285882815572
235,0.27595359811246556
236,0.31134486826582775
237,0.2593393629571372
238,0.4114235155328352
239,0.4627408572552104
240,0.22748721981911127
241,0.201042076287849
242,0.24695241840346047
243,0.11767597325992923
244,0.2511797090051121
245,0.3361187573731812
246,0.12298466378293352
247,0.09300039323633502
248,0.14598898938261895
249,0.05987023200943767
250,0.049547778214707044
251,0.47591427447896184
