Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),Lipid_NA_ratio,RLU_HEK293
70,18PG,0,1,9.3028,3,10,36,1,415.6,0.144666667,-2.0,4,0.99009901,80,0.497512438,8.980554327,8.416
71,18PG,0,1,9.3028,3,10,36,1,420.6,0.213666667,-2.613333333,8,0.99009901,80,0.497512438,17.96110865,10.519
72,18PG,0,1,9.3028,3,10,36,1,725.6666667,0.112,-0.015666667,12,0.99009901,80,0.497512438,26.94166298,12.319
73,18PG,0,1,9.3028,3,10,36,1,613.1333333,0.699333333,-2.063333333,4,0.99009901,20,0.99009901,27.557724,8.725
74,18PG,0,1,9.3028,3,10,36,1,187.7333333,0.447,-1.543333333,8,0.99009901,20,0.99009901,55.115448,7.148
75,18PG,0,1,9.3028,3,10,36,1,99.15666667,0.669666667,-1.906666667,12,0.99009901,20,0.99009901,82.673172,8.766
76,18PG,0,1,9.3028,3,10,36,1,118.2,0.441,-1.441,4,0.99009901,40,0.99009901,15.208104,9.07
77,18PG,0,1,9.3028,3,10,36,1,170.9666667,0.641666667,-1.497333333,8,0.99009901,40,0.99009901,30.416208,9.798
78,18PG,0,1,9.3028,3,10,36,1,215.6333333,0.624,-4.113333333,12,0.99009901,40,0.99009901,45.624312,10.032
79,18PG,0,1,9.3028,3,10,36,1,182.2,0.565,-3.46,4,0.99009901,60,0.99009901,11.091564,10.357
80,18PG,0,1,9.3028,3,10,36,1,207.7333333,0.412333333,-5.52,8,0.99009901,60,0.99009901,22.183128,10.134
81,18PG,0,1,9.3028,3,10,36,1,348.7,0.722666667,-2.886666667,12,0.99009901,60,0.99009901,33.274692,11.444
82,18PG,0,1,9.3028,3,10,36,1,379.2666667,0.080666667,-2.153333333,4,0.99009901,80,0.99009901,9.033294,8.579
83,18PG,0,1,9.3028,3,10,36,1,430.7333333,0.114666667,-1.356666667,8,0.99009901,80,0.99009901,18.066588,6.127
84,18PG,0,1,9.3028,3,10,36,1,255.0166667,0.3485,0.867666667,12,0.99009901,80,0.99009901,27.099882,12.586
85,18PG,0,1,9.3028,3,10,36,1,738.2666667,0.887666667,-1.916666667,4,0.99009901,20,1.960784314,27.84661354,8.454
86,18PG,0,1,9.3028,3,10,36,1,190.2,0.453,-0.810333333,8,0.99009901,20,1.960784314,55.69322709,7.951
87,18PG,0,1,9.3028,3,10,36,1,210.8,0.686333333,-2.876666667,12,0.99009901,20,1.960784314,83.53984063,8.79
88,18PG,0,1,9.3028,3,10,36,1,263.4666667,0.627666667,-2.14,4,0.99009901,40,1.960784314,15.37472008,9.014
89,18PG,0,1,9.3028,3,10,36,1,162.0,0.536333333,-0.342,8,0.99009901,40,1.960784314,30.74944016,9.952
90,18PG,0,1,9.3028,3,10,36,1,203.3333333,0.343333333,-2.2,12,0.99009901,40,1.960784314,46.12416024,10.517
91,18PG,0,1,9.3028,3,10,36,1,194.0,0.484333333,-3.503333333,4,0.99009901,60,1.960784314,11.21742226,10.551
92,18PG,0,1,9.3028,3,10,36,1,235.7333333,0.341333333,-2.013333333,8,0.99009901,60,1.960784314,22.43484451,11.074
93,18PG,0,1,9.3028,3,10,36,1,183.1666667,0.295666667,-3.336666667,12,0.99009901,60,1.960784314,33.65226677,11.66
94,18PG,0,1,9.3028,3,10,36,1,264.4666667,0.139,-6.496666667,4,0.99009901,80,1.960784314,9.138773347,10.835
95,18PG,0,1,9.3028,3,10,36,1,410.2,0.146666667,0.9383,8,0.99009901,80,1.960784314,18.27754669,11.636
96,18PG,0,1,9.3028,3,10,36,1,363.8,0.148333333,0.4627,12,0.99009901,80,1.960784314,27.41632004,12.662
97,18PG,0,1,9.3028,3,10,36,1,457.7666667,0.88,-20.96666667,4,0.99009901,20,9.090909091,30.1577299,5.745
98,18PG,0,1,9.3028,3,10,36,1,170.4666667,0.436333333,-1.013333333,8,0.99009901,20,9.090909091,60.3154598,8.332
99,18PG,0,1,9.3028,3,10,36,1,205.1333333,0.81,-0.812553333,12,0.99009901,20,9.090909091,90.4731897,8.183
100,18PG,0,1,9.3028,3,10,36,1,153.8666667,0.343666667,-1.636666667,4,0.99009901,40,9.090909091,16.70764871,8.525
101,18PG,0,1,9.3028,3,10,36,1,202.0333333,0.364666667,-0.022666667,8,0.99009901,40,9.090909091,33.41529743,8.45
102,18PG,0,1,9.3028,3,10,36,1,192.2666667,0.267,-3.43,12,0.99009901,40,9.090909091,50.12294614,9.234
103,18PG,0,1,9.3028,3,10,36,1,176.8,0.353333333,-13.4,4,0.99009901,60,9.090909091,12.22428832,11.024
104,18PG,0,1,9.3028,3,10,36,1,293.4666667,0.390666667,-1.985333333,8,0.99009901,60,9.090909091,24.44857663,8.867
105,18PG,0,1,9.3028,3,10,36,1,281.8333333,0.217333333,-3.243333333,12,0.99009901,60,9.090909091,36.67286495,10.038
106,18PG,0,1,9.3028,3,10,36,1,496.8666667,0.153666667,-1.304,4,0.99009901,80,9.090909091,9.982608119,5.541
107,18PG,0,1,9.3028,3,10,36,1,526.7333333,0.369,-0.888,8,0.99009901,80,9.090909091,19.96521624,10.398
108,18PG,0,1,9.3028,3,10,36,1,501.1333333,0.277,-0.417666667,12,0.99009901,80,9.090909091,29.94782436,10.646
109,18PG,0,1,9.3028,3,10,36,1,237.7333333,0.221,-6.72,4,0.99009901,20,50.0,56.15778891,3.773
110,18PG,0,1,9.3028,3,10,36,1,154.0666667,0.200333333,-5.936666667,8,0.99009901,20,50.0,112.3155778,4.828
111,18PG,0,1,9.3028,3,10,36,1,185.1,0.109,-3.736666667,12,0.99009901,20,50.0,168.4733667,2.14
112,18PG,0,1,9.3028,3,10,36,1,196.1666667,0.203333333,-7.57,4,0.99009901,40,50.0,31.70309584,3.178
113,18PG,0,1,9.3028,3,10,36,1,298.0333333,0.1,-4.593333333,8,0.99009901,40,50.0,63.40619168,2.565
114,18PG,0,1,9.3028,3,10,36,1,189.2333333,0.111,-1.266666667,12,0.99009901,40,50.0,95.10928752,2.674
115,18PG,0,1,9.3028,3,10,36,1,241.5,0.106333333,-16.4,4,0.99009901,60,50.0,23.55153149,8.939
