LGBM,XGB,RF,MLP,DT,kNN,MLR,PLS,lasso
0.035368871572035054,0.01695116612931591,0.009712681024878544,0.04418187781407623,0.10842926104715933,0.07894061492679061,0.22687492833359418,0.2341963899694272,0.1967640012315165
0.2334960982313448,0.22836923599243164,0.2289644448570368,0.08873541218432957,0.1453150142344349,0.1546556167047054,0.02284549875557562,0.0265812899277732,0.019935870943219358
0.10252208685966618,0.02501993764965138,0.164232036761975,0.3802978914926896,0.12854313652679789,0.004778623141638461,0.2814830408957768,0.2769587653079164,0.2695104067805988
0.06392972669441865,0.18586090128527133,0.014026411065725997,0.054348224675162427,0.02088748607500923,0.32983772205785644,0.09496106952677463,0.10283316028211298,0.15581649974714262
0.05013802595458006,0.0003577871832580737,0.052329186780541326,0.17449724083711338,0.1054585963609358,0.07938567391779106,0.10490649156089482,0.1040463174848667,0.07482928056034832
0.15305953159701935,0.18547544325987209,0.14128550872632617,0.022192989676342256,0.12572719395964838,0.2179538383811842,0.13934002880844243,0.14688822956556247,0.10878358230017315
0.07356640753897625,0.05395941851841135,0.006346314519124818,0.04272202703208694,0.03648347567768273,0.05472981246161662,0.16649969592693759,0.15618864147046996,0.1304136110919435
0.0886190851825423,0.08693241257451523,0.028967694021536983,0.06679268174052067,0.001949498700334118,0.03741280410096315,0.31048665623899996,0.3203979456108338,0.3202489661744572
0.29121678617869673,0.08745451051862196,0.32335406609728945,0.05375969794630309,0.5112328258447827,0.14469631362517676,0.043684463457976275,0.03802486590216203,0.015903324479183856
0.08811914472923221,0.2818988859653473,0.05792981804678721,0.2212860559795066,0.0756126995915336,0.2811542211129212,0.29438311916750504,0.2903929722622447,0.279236284663139
0.02830585361785265,0.397531579860382,0.10274043817304113,0.45514750877539667,0.01197549201633874,0.354238380716141,0.1964242858645846,0.19165273602538968,0.24592001442413558
0.16211143042302356,0.11673171731383647,0.12393798737467498,0.119818517202161,0.20116969922020056,0.07764748240160058,0.15625279688900898,0.15803733852741306,0.19563699150086808
0.18401785471630958,0.16864513746655396,0.24701657073895286,0.03379814700876338,0.04425052605520488,0.03244804842260851,0.11262634485806766,0.10467136975805225,0.09975401504644832
0.34951753858062307,0.03517457064845686,0.2854616134422572,0.04445965432328364,0.4450427033048645,0.12679405341223615,0.016345072580883635,0.010586784879223099,0.04736813829526887
0.14798715794791917,0.05849030426873891,0.055550269216487314,0.008995546834830226,0.1211474192350539,0.055158931417311374,0.09275848408535337,0.08787953317123448,0.10323693405103984
0.20714083024544172,0.09912834364908407,0.21893450612699517,0.03913234256826564,0.10109543260304465,0.2645164137738435,0.10952721660533427,0.10537968236329875,0.052251227967534675
0.03295511079504809,0.12442971389177693,0.003337588191607732,0.15912435333184127,0.39635165243223175,0.23065575232278024,0.23696133012491993,0.2328322089160204,0.24315304734532084
0.03754801165502675,0.21640850168110223,0.12712913108057866,0.0873777574319381,0.00895841069439296,0.09602466200026896,0.13677197372308714,0.12326340000038394,0.09774927915302134
0.06317780307371063,0.1021456888648953,0.021713005941329855,0.11923017024365623,0.22112885258076498,0.16254298882327836,0.16041342425369975,0.15063876520025588,0.14738749904949522
0.012664963913266658,0.05664099059581218,0.0029233197177868653,0.00045505680902135914,0.05805173907661826,0.03767290152300906,0.12958997739969336,0.13143579473345857,0.12452998595804765
0.02277493252136842,0.11364528296651599,0.017816561455625768,0.21989100756872726,0.05254363163757897,0.19258016054517835,0.19730450356204743,0.20211416063280851,0.2337419189554799
0.06434945772593892,0.005944893632818693,0.0003246843668771038,0.03917963904942656,0.043770887486075105,0.004614127855791406,0.08227242065682949,0.08294667508735976,0.043669679651467286
0.00952057459525879,0.15979764698784993,0.03530124396583745,0.1446134302962953,0.03713330857779418,0.21662304408140576,0.057791272822427464,0.05215390962779376,0.08267918687629783
0.2092665076686962,0.2359413206577301,0.2295054307463794,0.17190245137296745,0.20624458472583246,0.29939246476419124,0.06108216276213674,0.07289742792976772,0.08259944186470669
0.06297359273060565,0.006733448740898651,0.0022370497586333693,0.1076373030747435,0.02419853942319594,0.0044985642190743524,0.09454563486220569,0.08970151172815966,0.10184188892441237
0.05208562226850688,0.014055951727043103,0.001950194949869477,0.028728567940295546,0.054864463423691,0.16451736969275566,0.06727957863186651,0.059936387649572986,0.05052863690705445
0.0033378731993611854,0.06098959751833877,0.06413943557370955,0.05024123117199575,0.06767545488303006,0.14699021009630014,0.08260681536525727,0.07422251979767391,0.0518121711207008
0.002148620147626512,0.05644163323896237,0.01016454697363528,0.26671487375473735,0.0007890828072781852,0.22984772092072428,0.3655443786164351,0.360319598247177,0.35446646370300267
0.014657747510631314,0.21880594590893912,0.04736399925733392,0.0240945631452556,0.09979576680282212,0.20676017662735216,0.1893699467400194,0.18369251032739697,0.15498854029570208
0.04609259756143988,0.00972471857354229,0.27803820089119935,0.14360797802521846,0.6204975863349425,0.013471843963966668,0.05910903809031798,0.06457199093677812,0.11835120401410837
0.004304994360546377,0.055129903601396135,0.076620172669885,0.020068217271061117,0.053193464537690305,0.10897694652344592,0.048083542830849146,0.05811869896021493,0.026060556327411333
0.07355598913616479,0.0002387789957504216,0.19938846082435924,0.1439004776676701,0.16558361183314757,0.002437181378008857,0.009381512366686051,0.01916919357992064,0.06852651673577637
0.10740629654553446,0.06286626231966963,0.1551234682510212,0.08183303815135878,0.07059970293353135,0.08361115609153791,0.028320719304591235,0.01912791856085383,0.05528893717960115
