,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,wt_Helper,wt_Dlin,wt_Chol,wt_DMG,wt_pDNA,Size,PDI,Zeta,RLU_HepG2
58,59,18PG,0,1,9.3028,3,10,36,1,47.64085485,38.28418195,11.50350632,0.14929418,2.4221627,418.8333333,0.151833333,-5.44,1.0
59,60,18PG,0,1,9.3028,3,10,36,1,48.02863206,38.59579963,11.59714019,0.150509374,1.627918747,268.4333333,0.102,-4.47,1.099
60,61,18PG,0,1,9.3028,3,10,36,1,0.168847699,27.13719583,65.039655,4.220470565,3.433830903,514.5666667,0.964,-1.836666667,2.14
61,62,18PG,0,1,9.3028,3,10,36,1,0.171797314,27.61125778,66.1758382,4.29419832,1.746908392,209.0,0.518,-1.497333333,1.609
62,63,18PG,0,1,9.3028,3,10,36,1,0.172803554,27.77298062,66.56343896,4.319350016,1.171426846,296.5333333,0.349333333,-1.007333333,2.303
63,64,18PG,0,1,9.3028,3,10,36,1,0.297726132,47.85053274,43.00622328,2.790705139,6.054812704,75.20666667,0.609333333,-1.843333333,3.091
64,65,18PG,0,1,9.3028,3,10,36,1,0.307020903,49.34438788,44.34884297,2.877828708,3.121919543,210.5666667,0.548,-0.593366667,4.234
65,66,18PG,0,1,9.3028,3,10,36,1,0.310249483,49.86328509,44.81520788,2.908091467,2.103166079,184.1666667,0.46,-7.61,3.135
66,67,18PG,0,1,9.3028,3,10,36,1,0.399325464,64.17957348,25.63650609,1.663571545,8.121023415,133.6666667,0.504666667,-4.72,4.167
67,68,18PG,0,1,9.3028,3,10,36,1,0.416226385,66.89588888,26.72153724,1.733980006,4.232367485,145.6666667,0.482666667,-3.62,3.314
68,69,18PG,0,1,9.3028,3,10,36,1,0.42218249,67.85315382,27.10391636,1.758792865,2.861954467,164.5333333,0.325666667,-4.233333333,3.57
69,70,18PG,0,1,9.3028,3,10,36,1,0.481477857,77.38310298,11.59149409,0.752180491,9.791744587,415.6,0.144666667,-2.0,1.872
70,71,18PG,0,1,9.3028,3,10,36,1,0.506263891,81.36671335,12.18821345,0.790902045,5.147907259,420.6,0.213666667,-2.613333333,2.485
71,72,18PG,0,1,9.3028,3,10,36,1,0.515102897,82.78731814,12.40101097,0.80471063,3.491857365,725.6666667,0.112,-0.015666667,2.603
72,73,18PG,0,1,9.3028,3,10,36,1,0.335970441,26.99857826,65.02935811,4.219802392,3.416290797,613.1333333,0.699333333,-2.063333333,1.946
73,74,18PG,0,1,9.3028,3,10,36,1,0.341809036,27.46776767,66.15945785,4.293135387,1.737830063,187.7333333,0.447,-1.543333333,1.705
74,75,18PG,0,1,9.3028,3,10,36,1,0.343800593,27.62780913,66.54493715,4.31814942,1.165303708,99.15666667,0.669666667,-1.906666667,1.946
75,76,18PG,0,1,9.3028,3,10,36,1,0.592339099,47.6003588,42.99421921,2.789926186,6.023156706,118.2,0.441,-1.441,2.97
76,77,18PG,0,1,9.3028,3,10,36,1,0.610731765,49.07839306,44.32922866,2.876555922,3.105090589,170.9666667,0.641666667,-1.497333333,3.114
77,78,18PG,0,1,9.3028,3,10,36,1,0.617119134,49.59168195,44.79284817,2.906640529,2.091710225,215.6333333,0.624,-4.113333333,3.114
78,79,18PG,0,1,9.3028,3,10,36,1,0.794399724,63.83794679,25.62690933,1.662948804,8.077795356,182.2,0.565,-3.46,2.708
79,80,18PG,0,1,9.3028,3,10,36,1,0.827835138,66.52481604,26.70551787,1.732940498,4.208890457,207.7333333,0.412333333,-5.52,2.639
80,81,18PG,0,1,9.3028,3,10,36,1,0.839614625,67.47141536,27.0855178,1.757598969,2.845853253,348.7,0.722666667,-2.886666667,3.45
81,82,18PG,0,1,9.3028,3,10,36,1,0.95775616,76.96526687,11.58626265,0.751841019,9.738873298,379.2666667,0.080666667,-2.153333333,1.609
82,83,18PG,0,1,9.3028,3,10,36,1,1.006780709,80.90487869,12.17932727,0.790325414,5.118687914,430.7333333,0.114666667,-1.356666667,1.872
83,84,18PG,0,1,9.3028,3,10,36,1,1.02425688,82.30926346,12.39074174,0.804044253,3.471693664,255.0166667,0.3485,0.867666667,2.996
84,85,18PG,0,1,9.3028,3,10,36,1,0.665145715,26.72554853,65.00907671,4.218486318,3.381742721,738.2666667,0.887666667,-1.916666667,1.705
85,86,18PG,0,1,9.3028,3,10,36,1,0.676585912,27.18521556,66.12720264,4.291042323,1.719953563,190.2,0.453,-0.810333333,1.946
86,87,18PG,0,1,9.3028,3,10,36,1,0.680487267,27.34197197,66.50850779,4.315785492,1.153247482,210.8,0.686333333,-2.876666667,1.253
87,88,18PG,0,1,9.3028,3,10,36,1,1.172418831,47.10777752,42.97058373,2.788392463,5.960827465,263.4666667,0.627666667,-2.14,1.946
88,89,18PG,0,1,9.3028,3,10,36,1,1.208435199,48.55491487,44.29062767,2.874051076,3.071971183,162.0,0.536333333,-0.342,1.705
89,90,18PG,0,1,9.3028,3,10,36,1,1.220937482,49.05725646,44.74885162,2.903785561,2.069168879,203.3333333,0.343333333,-2.2,1.705
90,91,18PG,0,1,9.3028,3,10,36,1,1.572063319,63.1654893,25.60801907,1.661723001,7.992705308,194.0,0.484333333,-3.503333333,3.512
91,92,18PG,0,1,9.3028,3,10,36,1,1.637503744,65.79488493,26.67400644,1.730895698,4.162709194,235.7333333,0.341333333,-2.013333333,2.398
92,93,18PG,0,1,9.3028,3,10,36,1,1.660544963,66.7206809,27.04933482,1.75525103,2.814188287,183.1666667,0.295666667,-3.336666667,2.079
93,94,18PG,0,1,9.3028,3,10,36,1,1.895047407,76.14298688,11.57596744,0.751172955,9.634825316,2155.333333,0.775333333,-6.496666667,3.541
94,95,18PG,0,1,9.3028,3,10,36,1,1.990960174,79.99676097,12.16185414,0.78919157,5.061233144,410.2,0.146666667,0.9383,2.079
95,96,18PG,0,1,9.3028,3,10,36,1,2.025125617,81.36952814,12.37055502,0.802734322,3.432056897,363.8,0.148333333,0.4627,1.946
96,97,18PG,0,1,9.3028,3,10,36,1,3.076808729,24.72522912,64.86048749,4.208844255,3.1286304,457.7666667,0.88,-20.96666667,2.351
97,98,18PG,0,1,9.3028,3,10,36,1,3.125704601,25.11815626,65.89123408,4.275730152,1.589174905,170.4666667,0.436333333,-1.013333333,1.792
98,99,18PG,0,1,9.3028,3,10,36,1,3.142350416,25.251922,66.24213521,4.298500381,1.065091995,205.1333333,0.81,-0.812553333,2.015
99,100,18PG,0,1,9.3028,3,10,36,1,5.41389837,43.50607706,42.79776366,2.777178043,5.505082869,153.8666667,0.343666667,-1.636666667,2.351
100,101,18PG,0,1,9.3028,3,10,36,1,5.567136098,44.73749515,44.00913329,2.8557847,2.830450764,202.0333333,0.364666667,-0.022666667,2.251
101,102,18PG,0,1,9.3028,3,10,36,1,5.620161398,45.16360636,44.42830708,2.882985192,1.904939972,192.2666667,0.267,-3.43,3.784
102,103,18PG,0,1,9.3028,3,10,36,1,7.249405125,58.25620587,25.47011053,1.652774016,7.371504457,176.8,0.353333333,-13.4,2.442
103,104,18PG,0,1,9.3028,3,10,36,1,7.526825255,60.48555351,26.44480035,1.716022348,3.826798541,293.4666667,0.390666667,-1.985333333,2.303
104,105,18PG,0,1,9.3028,3,10,36,1,7.624077956,61.26707603,26.78648867,1.738194752,2.584162593,281.8333333,0.217333333,-3.243333333,3.135
105,106,18PG,0,1,9.3028,3,10,36,1,8.729154122,70.14746601,11.50090162,0.746301879,8.876176376,496.8666667,0.153666667,-1.304,1.504
106,107,18PG,0,1,9.3028,3,10,36,1,9.134553669,73.405256,12.03502672,0.780961646,4.644201967,526.7333333,0.369,-0.888,2.833
107,108,18PG,0,1,9.3028,3,10,36,1,9.278186239,74.55948706,12.22426659,0.793241559,3.144818553,501.1333333,0.277,-0.417666667,1.946
108,109,18PG,0,1,9.3028,3,10,36,1,16.70339922,13.42284845,64.02091561,4.154363824,1.698472904,237.7333333,0.221,-6.72,1.705
109,110,18PG,0,1,9.3028,3,10,36,1,16.84646554,13.53781652,64.56926131,4.189946376,0.856510249,154.0666667,0.200333333,-5.936666667,1.0
110,111,18PG,0,1,9.3028,3,10,36,1,16.89470049,13.57657812,64.75413658,4.201943067,0.572641745,185.1,0.109,-3.736666667,1.386
111,112,18PG,0,1,9.3028,3,10,36,1,29.10484081,23.38864457,41.83247074,2.714539482,2.959504401,196.1666667,0.203333333,-7.57,1.792
112,113,18PG,0,1,9.3028,3,10,36,1,29.54198904,23.7399368,42.46078514,2.755311261,1.501977749,298.0333333,0.1,-4.593333333,1.386
113,114,18PG,0,1,9.3028,3,10,36,1,29.69063797,23.85939105,42.67443867,2.769175394,1.006356919,189.2333333,0.111,-1.266666667,1.253
114,115,18PG,0,1,9.3028,3,10,36,1,38.67667561,31.0805692,24.70670943,1.603236362,3.932809406,241.5,0.106333333,-16.4,5.075
115,116,18PG,0,1,9.3028,3,10,36,1,39.45247085,31.70399811,25.20228841,1.635394843,2.005847788,249.8,0.209,-1.483333333,1.386
116,117,18PG,0,1,9.3028,3,10,36,1,39.71803194,31.91740295,25.37192917,1.646402956,1.346232987,346.5,0.061666667,-0.622,1.504
117,118,18PG,0,1,9.3028,3,10,36,1,46.28817105,37.1971655,11.08835339,0.719531324,4.70677874,364.1333333,0.201,-8.473333333,1.504
118,119,18PG,0,1,9.3028,3,10,36,1,47.40376625,38.09365759,11.35559475,0.736872811,2.41010861,812.3666667,0.132666667,-5.833333333,1.504
119,120,18PG,0,1,9.3028,3,10,36,1,47.78767789,38.40216891,11.44756096,0.742840565,1.619751665,409.6,0.290333333,-6.46,1.0
120,121,18PG,0,1,9.3028,3,10,36,1,0.130677266,21.0024453,46.21807055,29.99124247,2.657564406,113.3,0.238333333,-1.485333333,1.386
121,122,18PG,0,1,9.3028,3,10,36,1,0.132437067,21.28528032,46.8404785,30.39512752,1.346676602,179.0666667,0.428333333,-0.415666667,1.0
122,123,18PG,0,1,9.3028,3,10,36,1,0.133034247,21.38125912,47.05168986,30.53218411,0.901832658,1512.333333,0.599333333,-2.8,1.0
123,124,18PG,0,1,9.3028,3,10,36,1,0.249530865,40.10459121,33.09537531,21.47582999,5.074672619,108.3166667,0.307333333,-1.42,1.504
124,125,18PG,0,1,9.3028,3,10,36,1,0.256027135,41.14867139,33.95697805,22.03493028,2.603393149,153.9,0.435666667,-0.845333333,2.674
125,126,18PG,0,1,9.3028,3,10,36,1,0.258268382,41.50888454,34.25423552,22.22782282,1.750788738,120.1,0.400666667,-1.69,2.14
126,127,18PG,0,1,9.3028,3,10,36,1,0.358096048,57.55318334,21.10863005,13.69754372,7.282546833,166.4,0.504,-3.313333333,1.099
127,128,18PG,0,1,9.3028,3,10,36,1,0.371628041,59.72804476,21.90629827,14.21515643,3.778872496,192.9,0.356666667,-1.398,2.197
128,129,18PG,0,1,9.3028,3,10,36,1,0.376368875,60.48999131,22.1857554,14.39649821,2.551386208,260.3666667,0.331,-0.940666667,2.015
129,130,18PG,0,1,9.3028,3,10,36,1,0.4576533,73.55402109,10.11645575,6.564641789,9.307228067,230.6333333,0.313333333,8.696666667,1.099
130,131,18PG,0,1,9.3028,3,10,36,1,0.479990191,77.14400535,10.61021417,6.885045219,4.880745071,237.4,0.258666667,-0.939,1.386
131,132,18PG,0,1,9.3028,3,10,36,1,0.487928371,78.41982934,10.78568815,6.998911563,3.307642581,208.8333333,0.286,-0.976,1.0
132,133,18PG,0,1,9.3028,3,10,36,1,0.260028833,20.89591207,46.21240738,29.98756759,2.644084123,129.5333333,0.231666667,-1.733333333,1.504
133,134,18PG,0,1,9.3028,3,10,36,1,0.26351258,21.17586593,46.83154003,30.38932728,1.339754175,247.0333333,0.714,-1.54,1.253
134,135,18PG,0,1,9.3028,3,10,36,1,0.264694666,21.27085833,47.04162073,30.52565017,0.897176101,1955.333333,0.704333333,-1.195666667,1.099
135,136,18PG,0,1,9.3028,3,10,36,1,0.49647495,39.89671758,33.08763263,21.47080571,5.048369132,181.4666667,0.334,-1.7,1.099
136,137,18PG,0,1,9.3028,3,10,36,1,0.509331415,40.92986286,33.94445328,22.02680287,2.589549577,144.4,0.396,-0.988333333,1.386
137,138,18PG,0,1,9.3028,3,10,36,1,0.513766158,41.28623874,34.24000727,22.21859,1.741397838,123.8,0.366333333,-2.643333333,1.099
138,139,18PG,0,1,9.3028,3,10,36,1,0.712407354,57.24904146,21.10154382,13.69294541,7.24406195,253.1333333,0.477333333,-0.603333333,1.253
139,140,18PG,0,1,9.3028,3,10,36,1,0.739180708,59.4005477,21.894572,14.20754717,3.75815242,212.9666667,0.330666667,-0.511666667,1.872
140,141,18PG,0,1,9.3028,3,10,36,1,0.748558025,60.15410873,22.17232864,14.38778548,2.537219134,219.6333333,0.313,-1.116666667,2.639
141,142,18PG,0,1,9.3028,3,10,36,1,0.910384662,73.15849421,10.11211584,6.561825593,9.257179695,243.4333333,0.302666667,2.933333333,1.792
142,143,18PG,0,1,9.3028,3,10,36,1,0.954567685,76.70904109,10.60287966,6.880285803,4.853225763,226.2666667,0.251333333,0.520333333,1.872
143,144,18PG,0,1,9.3028,3,10,36,1,0.970264053,77.97040096,10.77722738,6.993421311,3.288686299,262.2333333,0.095333333,-2.67,2.14
144,145,18PG,0,1,9.3028,3,10,36,1,0.514834749,20.68605535,46.20125164,29.98032856,2.617529702,135.9333333,0.257333333,-1.596666667,1.253
145,146,18PG,0,1,9.3028,3,10,36,1,0.521662079,20.9603774,46.81393598,30.37790389,1.326120652,967.0333333,1.0,-1.566666667,1.0
146,147,18PG,0,1,9.3028,3,10,36,1,0.523978274,21.05344208,47.02179121,30.51278266,0.888005777,1599.666667,0.223666667,-2.373333333,1.386
147,148,18PG,0,1,9.3028,3,10,36,1,0.982762024,39.48736881,33.07238558,21.46091179,4.996571795,113.75,0.3625,-1.247666667,1.386
148,149,18PG,0,1,9.3028,3,10,36,1,1.00794333,40.49915345,33.91979914,22.01080462,2.562299464,142.2666667,0.315,-1.014,1.386
149,150,18PG,0,1,9.3028,3,10,36,1,1.016626333,40.84803645,34.21200381,22.20041835,1.722915057,142.3333333,0.393333333,-3.99,1.386
150,151,18PG,0,1,9.3028,3,10,36,1,1.409913232,56.65030033,21.08759369,13.68389307,7.168299671,256.9666667,0.289333333,-10.79333333,1.099
151,152,18PG,0,1,9.3028,3,10,36,1,1.462325157,58.75621097,21.87150106,14.19257627,3.717386539,205.9333333,0.315,-1.503333333,2.398
152,153,18PG,0,1,9.3028,3,10,36,1,1.480672598,59.49341099,22.14591751,14.37064711,2.509351795,184.7,0.339666667,-1.180333333,2.303
153,154,18PG,0,1,9.3028,3,10,36,1,1.801395795,72.380066,10.10357457,6.556283096,9.158680541,244.4333333,0.245,1.269666667,1.504
154,155,18PG,0,1,9.3028,3,10,36,1,1.88784672,75.85366335,10.588456,6.870926186,4.799107744,247.3666667,0.241333333,-1.149666667,2.015
155,156,18PG,0,1,9.3028,3,10,36,1,1.918537616,77.08682325,10.76059349,6.982627457,3.251418183,250.6333333,0.152666667,-1.219666667,2.251
156,157,18PG,0,1,9.3028,3,10,36,1,2.382736038,19.14766229,46.11947251,29.92726149,2.422867672,636.7,1.0,-2.273333333,1.705
157,158,18PG,0,1,9.3028,3,10,36,1,2.41195528,19.38246807,46.68503077,30.29425636,1.226289522,691.7,0.956666667,-1.220666667,1.792
158,159,18PG,0,1,9.3028,3,10,36,1,2.421854931,19.46202164,46.87664524,30.41859638,0.820881811,1708.333333,0.6,-1.876666667,1.386
159,160,18PG,0,1,9.3028,3,10,36,1,4.541071291,36.4920403,32.96081835,21.388515,4.617555052,111.6666667,0.341,-1.019766667,1.253
160,161,18PG,0,1,9.3028,3,10,36,1,4.648392328,37.35447195,33.73979516,21.89399872,2.363341831,148.1333333,0.512,-1.61,1.0
161,162,18PG,0,1,9.3028,3,10,36,1,4.685302231,37.65107986,34.00770124,22.06784493,1.588071742,118.0,0.328666667,-1.693333333,1.504
162,163,18PG,0,1,9.3028,3,10,36,1,6.505280507,52.27642184,20.98568626,13.6177646,6.614846794,233.5,0.391333333,-0.879,1.386
163,164,18PG,0,1,9.3028,3,10,36,1,6.727797247,54.06456595,21.70351334,14.08356782,3.420555655,264.6666667,0.407666667,-0.790333333,2.398
164,165,18PG,0,1,9.3028,3,10,36,1,6.805391313,54.68811171,21.95382763,14.24599859,2.306670756,220.9,0.306,-1.506666667,1.792
165,166,18PG,0,1,9.3028,3,10,36,1,8.300426831,66.70221431,10.04127453,6.51585615,8.440228174,256.1,0.264333333,0.606333333,1.792
166,167,18PG,0,1,9.3028,3,10,36,1,8.666148171,69.64115031,10.48369857,6.802948331,4.406054619,278.3,0.217333333,-1.317,1.946
167,168,18PG,0,1,9.3028,3,10,36,1,8.795323761,70.6792051,10.63996615,6.904351497,2.981153496,265.9,0.18,-0.951333333,2.303
168,169,18PG,0,1,9.3028,3,10,36,1,12.97329484,10.42533728,45.65580418,29.62638373,1.319179975,675.8333333,0.61,-3.106666667,1.253
169,170,18PG,0,1,9.3028,3,10,36,1,13.05943355,10.49455833,45.95894478,29.82309387,0.663969464,682.8333333,0.205,-31.73333333,1.099
170,171,18PG,0,1,9.3028,3,10,36,1,13.08840122,10.51783674,46.06088819,29.88924569,0.443628161,464.0,0.574666667,-2.386666667,1.386
171,172,18PG,0,1,9.3028,3,10,36,1,24.50166173,19.68953073,32.334974,20.98240004,2.491433511,163.5666667,0.133666667,-1.746666667,1.609
172,173,18PG,0,1,9.3028,3,10,36,1,24.81073319,19.93790049,32.74285725,21.24707846,1.261430608,459.9666667,0.154666667,-1.683333333,1.386
173,174,18PG,0,1,9.3028,3,10,36,1,24.91549709,20.02208875,32.88111474,21.33679474,0.844504685,753.9666667,0.546333333,-1.856666667,1.099
174,175,18PG,0,1,9.3028,3,10,36,1,34.81376453,27.97633459,20.41951609,13.25037266,3.540012125,194.8666667,0.121,-1.74,1.253
175,176,18PG,0,1,9.3028,3,10,36,1,35.44107369,28.48044011,20.78745531,13.48913109,1.801899798,934.6333333,0.794,-1.833333333,1.872
176,177,18PG,0,1,9.3028,3,10,36,1,35.65523086,28.65253678,20.91306614,13.57064088,1.208525337,1021.5,0.392,-1.422666667,1.099
177,178,18PG,0,1,9.3028,3,10,36,1,44.09243584,35.4326731,9.698170559,6.293213483,4.483507015,201.0,0.139666667,-1.713333333,1.609
178,179,18PG,0,1,9.3028,3,10,36,1,45.10354617,36.24520117,9.920565176,6.437526969,2.293160514,456.4,0.434666667,-2.203333333,1.253
179,180,18PG,0,1,9.3028,3,10,36,1,45.45096738,36.52438879,9.996980782,6.487113612,1.540549433,398.5,0.280666667,-1.184333333,1.504
