,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
284,1.0,1.0,2.0,12.0,10.0,60.0,100.0,0.11496265172735756
285,1.0,1.0,2.0,4.0,10.0,80.0,100.0,0.11496265172735756
286,1.0,1.0,2.0,8.0,10.0,80.0,100.0,0.11496265172735756
287,1.0,1.0,2.0,12.0,10.0,80.0,100.0,0.11496265172735756
288,1.0,1.0,2.0,4.0,1.0,20.0,100.0,0.11496265172735756
289,1.0,1.0,2.0,8.0,1.0,20.0,100.0,0.05485527544351068
290,1.0,1.0,2.0,12.0,1.0,20.0,100.0,0.11496265172735756
291,1.0,1.0,2.0,4.0,1.0,40.0,100.0,0.11496265172735756
292,1.0,1.0,2.0,8.0,1.0,40.0,100.0,0.033613445378151224
294,1.0,1.0,2.0,4.0,1.0,60.0,100.0,0.23459383753501403
295,1.0,1.0,2.0,8.0,1.0,60.0,100.0,0.021241830065359485
296,1.0,1.0,2.0,12.0,1.0,60.0,100.0,0.11496265172735756
297,1.0,1.0,2.0,4.0,1.0,80.0,100.0,0.06419234360410828
298,1.0,1.0,2.0,8.0,1.0,80.0,100.0,0.11496265172735756
299,1.0,1.0,2.0,12.0,1.0,80.0,100.0,0.11496265172735756
303,1.0,1.0,2.0,4.0,200.0,40.0,10.0,0.10212418300653595
304,1.0,1.0,2.0,8.0,200.0,40.0,10.0,0.351890756302521
306,1.0,1.0,2.0,4.0,200.0,60.0,10.0,0.2141690009337068
307,1.0,1.0,2.0,8.0,200.0,60.0,10.0,0.392156862745098
308,1.0,1.0,2.0,12.0,200.0,60.0,10.0,0.6078431372549019
309,1.0,1.0,2.0,4.0,200.0,80.0,10.0,0.43288982259570497
310,1.0,1.0,2.0,8.0,200.0,80.0,10.0,0.4194677871148459
311,1.0,1.0,2.0,12.0,200.0,80.0,10.0,0.7453314659197011
315,1.0,1.0,2.0,4.0,100.0,40.0,10.0,0.48062558356676
318,1.0,1.0,2.0,4.0,100.0,60.0,10.0,0.3373015873015873
319,1.0,1.0,2.0,8.0,100.0,60.0,10.0,0.873249299719888
320,1.0,1.0,2.0,12.0,100.0,60.0,10.0,0.5891690009337067
321,1.0,1.0,2.0,4.0,100.0,80.0,10.0,0.021241830065359485
322,1.0,1.0,2.0,8.0,100.0,80.0,10.0,0.11496265172735756
323,1.0,1.0,2.0,12.0,100.0,80.0,10.0,0.11496265172735756
326,1.0,1.0,2.0,12.0,50.0,20.0,10.0,0.072829131652661
327,1.0,1.0,2.0,4.0,50.0,40.0,10.0,0.11496265172735756
330,1.0,1.0,2.0,4.0,50.0,60.0,10.0,0.06419234360410828
331,1.0,1.0,2.0,8.0,50.0,60.0,10.0,0.3145424836601307
333,1.0,1.0,2.0,4.0,50.0,80.0,10.0,0.11496265172735756
334,1.0,1.0,2.0,8.0,50.0,80.0,10.0,0.007469654528478059
335,1.0,1.0,2.0,12.0,50.0,80.0,10.0,0.11496265172735756
339,1.0,1.0,2.0,4.0,10.0,40.0,10.0,0.072829131652661
341,1.0,1.0,2.0,12.0,10.0,40.0,10.0,0.04470121381886086
342,1.0,1.0,2.0,4.0,10.0,60.0,10.0,0.3586601307189542
343,1.0,1.0,2.0,8.0,10.0,60.0,10.0,0.11496265172735756
344,1.0,1.0,2.0,12.0,10.0,60.0,10.0,0.05485527544351068
345,1.0,1.0,2.0,4.0,10.0,80.0,10.0,0.11496265172735756
346,1.0,1.0,2.0,8.0,10.0,80.0,10.0,0.11496265172735756
347,1.0,1.0,2.0,12.0,10.0,80.0,10.0,0.08088235294117649
351,1.0,1.0,2.0,4.0,1.0,40.0,10.0,0.007469654528478059
352,1.0,1.0,2.0,8.0,1.0,40.0,10.0,0.44584500466853405
354,1.0,1.0,2.0,4.0,1.0,60.0,10.0,0.6779878618113911
355,1.0,1.0,2.0,8.0,1.0,60.0,10.0,0.7494164332399627
356,1.0,1.0,2.0,12.0,1.0,60.0,10.0,0.7090336134453781
357,1.0,1.0,2.0,4.0,1.0,80.0,10.0,0.5050186741363211
358,1.0,1.0,2.0,8.0,1.0,80.0,10.0,0.6507936507936508
359,1.0,1.0,2.0,12.0,1.0,80.0,10.0,0.6165966386554621
360,1.0,0.0,2.0,4.0,200.0,20.0,500.0,0.8238795518207283
361,1.0,0.0,2.0,8.0,200.0,20.0,500.0,0.9494631185807656
363,1.0,0.0,2.0,4.0,200.0,40.0,500.0,0.9052287581699348
364,1.0,0.0,2.0,8.0,200.0,40.0,500.0,0.7078664799253034
365,1.0,0.0,2.0,12.0,200.0,40.0,500.0,0.5734126984126984
366,1.0,0.0,2.0,4.0,200.0,60.0,500.0,0.9193510737628383
367,1.0,0.0,2.0,8.0,200.0,60.0,500.0,0.7813958916900094
368,1.0,0.0,2.0,12.0,200.0,60.0,500.0,0.5499533146591971
369,1.0,0.0,2.0,4.0,200.0,80.0,500.0,0.16935107376283845
370,1.0,0.0,2.0,8.0,200.0,80.0,500.0,0.007469654528478059
372,1.0,0.0,2.0,4.0,100.0,20.0,500.0,0.11496265172735756
373,1.0,0.0,2.0,8.0,100.0,20.0,500.0,0.08088235294117649
374,1.0,0.0,2.0,12.0,100.0,20.0,500.0,0.11496265172735756
375,1.0,0.0,2.0,4.0,100.0,40.0,500.0,0.08088235294117649
376,1.0,0.0,2.0,8.0,100.0,40.0,500.0,0.11496265172735756
377,1.0,0.0,2.0,12.0,100.0,40.0,500.0,0.11496265172735756
378,1.0,0.0,2.0,4.0,100.0,60.0,500.0,0.11496265172735756
379,1.0,0.0,2.0,8.0,100.0,60.0,500.0,0.11496265172735756
380,1.0,0.0,2.0,12.0,100.0,60.0,500.0,0.04470121381886086
381,1.0,0.0,2.0,4.0,100.0,80.0,500.0,0.11496265172735756
382,1.0,0.0,2.0,8.0,100.0,80.0,500.0,0.007469654528478059
383,1.0,0.0,2.0,12.0,100.0,80.0,500.0,0.29003267973856206
384,1.0,0.0,2.0,4.0,50.0,20.0,500.0,0.11496265172735756
386,1.0,0.0,2.0,12.0,50.0,20.0,500.0,0.11496265172735756
387,1.0,0.0,2.0,4.0,50.0,40.0,500.0,0.11496265172735756
388,1.0,0.0,2.0,8.0,50.0,40.0,500.0,0.033613445378151224
389,1.0,0.0,2.0,12.0,50.0,40.0,500.0,0.11496265172735756
390,1.0,0.0,2.0,4.0,50.0,60.0,500.0,0.11496265172735756
391,1.0,0.0,2.0,8.0,50.0,60.0,500.0,0.24463118580765633
392,1.0,0.0,2.0,12.0,50.0,60.0,500.0,0.11496265172735756
393,1.0,0.0,2.0,4.0,50.0,80.0,500.0,0.11496265172735756
394,1.0,0.0,2.0,8.0,50.0,80.0,500.0,0.11449579831932769
396,1.0,0.0,2.0,4.0,10.0,20.0,500.0,0.6945611577964519
397,1.0,0.0,2.0,8.0,10.0,20.0,500.0,0.3347338935574229
399,1.0,0.0,2.0,4.0,10.0,40.0,500.0,0.4391923436041082
400,1.0,0.0,2.0,8.0,10.0,40.0,500.0,0.4300887021475257
401,1.0,0.0,2.0,12.0,10.0,40.0,500.0,0.1953781512605042
402,1.0,0.0,2.0,4.0,10.0,60.0,500.0,0.16561624649859943
403,1.0,0.0,2.0,8.0,10.0,60.0,500.0,0.8316993464052287
404,1.0,0.0,2.0,12.0,10.0,60.0,500.0,0.8786181139122315
405,1.0,0.0,2.0,4.0,10.0,80.0,500.0,0.8690476190476191
406,1.0,0.0,2.0,8.0,10.0,80.0,500.0,0.878968253968254
408,1.0,0.0,2.0,4.0,1.0,20.0,500.0,0.5346638655462185
409,1.0,0.0,2.0,8.0,1.0,20.0,500.0,0.11496265172735756
410,1.0,0.0,2.0,12.0,1.0,20.0,500.0,0.11496265172735756
411,1.0,0.0,2.0,4.0,1.0,40.0,500.0,0.11496265172735756
